"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acalypha","Acanthaceae undif.","Adansonia digitata","Adenia","Adina","Afraegle","Afzelia","Alchornea","Allophylus t.","Amaranthaceae undif.","Anacardiaceae undiff.","Annonaceae","Antidesma t.","Apiaceae undif.","Apocynaceae undif.","Araliaceae undif.","Arecaceae undif.","Artemisia","Asteraceae","Balanites","Blepharis","Blighia","Bombax","Boraginaceae undif.","Borreria t.","Boswellia","Brassicaceae","Bridelia","Burkea","Caesalpinioideae","Capparaceae undif.","Caryophyllaceae undif.","Cassia","Celastraceae undif.","Celtis","Centaurea","Chrozophora","Cichorieae","Cissampelos","Cissus t.","Clematis-type","Cleome","Cochlospermum","Cola","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cordia","Crossopteryx","Cucumis","Cucurbitaceae undif.","Cussonia","Cyperaceae","Detarium","Dialium","Diospyros/Euclea t.","Dombeya","Elaeis","Entada","Ephedra","Erica t.","Erythrina","Euphorbiaceae undif.","Faboideae Undif.","Fern","Ficus","Grewioideae","Heliotropium","Hygrophila","Hymenocardia","Hyphaene t.","Indeterminable","Indigofera","Ipomoea","Irvingia","Isoberlinia","Ixora","Jatropha/Croton","Justicia t.","Kohautia","Lamiaceae undif.","Lannea","Lobelia","Lophira","Lythraceae undif.","Macaranga","Maerua","Mallotus","Malva undif.","Manilkara","Meliaceae undif.","Menispermaceae undif.","Mitracarpus","Mitragyna/Hallea","Monotes","Moraceae undif.","Morelia","Mussaenda","Nauclea","Nymphaea","Olea t.","Parkia","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Piliostigma","Pinus undif.","Poaceae","Podocarpus","Polygonum t.","Portulacaceae t.","Prosopis t.","Raphia","Rubiaceae undif.","Rutaceae undif.","Salix","Salvadora","Sapindaceae undif.","Scrophulariaceae undif.","Searsia","Securinega  t.","Sideroxylon t.","Solanum","Spergularia t.","Sterculia","Strychnos","Syzygium t.","Tacazzea","Tapinanthus","Thunbergia","Thymelaeaceae undif.","Trema","Typha","Uapaca","Urtica t.","Vernonieae","Vitaceae undif.","Vitex","Ximenia","Ziziphus/Paliurus"
" 247.8519","   2.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   6.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   2.0000","   1.0000","   0.0000","   0.0000","   0.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   3.0000","   0.0000","   0.0000","   1.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000"," 683.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   1.0000","   2.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   1.0000","   5.0000","   3.0000","   0.0000","   0.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   2.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   2.0000","   0.0000","   0.0000","   0.0000","   2.0000","1112.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000","  77.0000","   0.0000","   0.0000","   1.0000","   0.0000","   0.0000","   0.0000","   0.0000"
"313.3333","  6.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","205.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","506.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000"," 37.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"411.5555"," 12.0000","  1.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  9.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  5.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 16.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  1.0000"," 62.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","239.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  1.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","197.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000"
" 608","  24","   1","   0","   1","   2","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   7","   0","   0","   0","   0","   1","   0","   0","   0","  46","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   4","   1","   0","   0","   0","   0","   3","   0","   7","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","1044","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  46","   0","   0","   1","   0","   0","   0","   0"
"804.4445"," 36.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  8.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 29.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000","  0.0000","  2.0000","  0.0000","  7.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000"," 12.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 79.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  9.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  9.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  1.0000","  0.0000","863.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  2.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 29.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000"
"959.963"," 45.500","  2.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  2.000","  0.000"," 24.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000"," 27.000","  2.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000"," 13.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000"," 77.000","  0.000","  0.000","  2.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  3.000","  3.000","  0.000","  0.000","  0.000","  0.000","  5.000","  0.000","  6.000","  2.000","  0.000","  0.000","  2.000","  0.000","  0.000","  0.000","  0.000","  0.000","  3.000","  0.000","  0.000","  0.000","  4.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  2.000","  0.000","  0.000","  0.000","  0.000","  0.000","  2.000","  1.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000","532.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  2.000","  0.000","  2.000","  0.000","  4.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000","  0.000"," 69.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  0.000"
"1072.899","  55.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","  27.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  45.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   1.000","   0.000","   0.000","   0.000","   4.000","   0.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 685.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"1124.42","  64.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","  21.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","  16.00","   3.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  87.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   2.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00"," 536.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   7.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00"
"1178.804","  73.500","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  14.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   5.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  64.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   4.000","   3.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000"," 697.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"1233.188","  83.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   1.000","   0.000","   4.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  72.000","   0.000","   1.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   2.000","   5.000","   2.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","  10.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000"," 547.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000"
