"age_NA","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Cardueae undif.","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Erodium","Fabaceae Undif.","Fern","Galium t.","Genisteae","Gentiana t.","Hydrocotyle","IsoÃ«tes","Lamiaceae undif.","Lotus t.","Lythrum","Mercurialis","Myriophyllum alterniflorum t.","Ononis t.","Petaloid monocot","Picea","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Potentilla t.","Quercus undif.","Ranunculaceae undif.","Rosa t.","Rumex t.","Salix","Sambucus","Scrophulariaceae undif.","Sparganium","Thymelaeaceae undif.","Trifolium t.","Typha"
NA,NA,NA,"  0.5","  2.0","  7.0","  0.0","  3.0"," 26.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","392.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","127.0","  0.0","  0.0","329.0","  2.0","  1.0","  1.0","  3.0","  4.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
NA,NA,NA,"   4.5","   0.0","  11.0","   7.0","   4.0","  54.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   2.0","1140.0","   3.0","   6.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 265.0","   0.0","   0.0"," 136.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0"
NA,NA,NA," 50.5","  0.0","  9.0"," 10.0","  2.0"," 37.0","  0.0","  6.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  3.0","  0.0","  2.0","548.0","  4.0","  3.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 91.0","  0.0","  0.0","285.0","  0.0","  0.0","  0.0","  0.0"," 23.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
NA,NA,NA,"110.5","  0.0","  0.0"," 10.0","  0.0"," 15.0","  0.0","  7.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 39.0","  1.0","  0.0","  0.0"," 24.0","  0.0","  8.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0"," 37.0","  0.0","  0.0","356.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0"
NA,NA,NA," 64.5","  0.0","  4.0","  3.0","  0.0"," 24.0","  5.0","  1.0","  0.0","  0.0","  0.0","  4.0","  0.0","  9.0"," 36.0","  0.0","  0.0","  0.0","112.0","  3.0","  8.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0"," 98.0","  1.0","  0.0","306.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
NA,NA,NA," 58.5","  0.0","  4.0","  5.0","  3.0"," 18.0","  2.0","  3.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0"," 33.0","  6.0","  0.0","  1.0"," 72.0","  1.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 95.0","  0.0","  0.0","305.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
NA,NA,NA,"106.5","  0.0","  2.0","  4.0","  2.0"," 15.0","  0.0","  3.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0"," 19.0","  3.0","  0.0","  0.0"," 42.0","  0.0"," 32.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"," 44.0","  0.0","  0.0","309.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0"
NA,NA,NA,"  6.5","  0.0"," 15.0","  4.0","  6.0"," 49.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0"," 14.0","  0.0","  0.0","  0.0","476.0","  0.0","  4.0","  0.0","  0.0","  1.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","282.0","  0.0","  0.0","121.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0"
NA,NA,NA," 56.5","  0.0","  6.0","  9.0","  4.0"," 28.0","  0.0","  1.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0"," 15.0","  3.0","  0.0","  1.0","180.0","  1.0","  3.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","103.0","  0.0","  0.0","314.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
NA,NA,NA,"  2.5","  0.0","  7.0","  0.0","  1.0"," 25.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  1.0","520.0","  1.0","  4.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","202.0","  2.0","  0.0","244.0","  0.0","  3.0","  1.0","  0.0","  8.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
