"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alchemilla t.","Alismataceae","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betulaceae undif.","Brassicaceae","Caryophyllaceae (periporate, excluding Paronychioideae)","Cedrus","Celtis","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fern-Lycopodiaceae","Fraxinus","Geraniaceae undif.","Ilex","Juglans","Juncaceae","Lamiaceae undif.","Lauraceae","Lonicera","Myriophyllum spicatum/verticillatum t.","Olea t.","Petaloid monocot","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primulaceae undif.","Pseudoschizaea","Quercus undif.","Ranunculaceae undif.","Riccia","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Taxus","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Urtica t."
"201",NA,NA,"  0","  0","  0","  0"," 12"," 12","  2","  1","144","  0"," 45"," 23","318","  0","  1"," 77","  7"," 13","  0"," 28"," 34","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  1","  0","  0","  3"," 13","  0","  0","  0","  0"," 86"," 11","  2","  6","  1","  0","118","  1","  0","  0","  0"," 51","  0","  0","  0"," 10","  0","  3"
"286",NA,NA,"  5","  0","  0","  0","  4"," 11","  1","  1"," 57","  0"," 58"," 43"," 98","  0","  3"," 80","  1","  1","  0","  0","  4","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  7","  0"," 49","  1","  0","  1","  0","  1"," 69","  3","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0"
"372",NA,NA," 10","  0","  0","  0","  3"," 17","  5","  0"," 64","  0"," 54"," 21"," 64","  0","  5"," 44","  5","  0","  0","  0","  1","  2","  0","  0","  1","  0","  0","  1","  1","  0","  0","  0","  0","  1","  0","  0","  1","  0"," 14","  0"," 52","  1","  0","  4","  0","  1"," 59","  5","  0","  4","  1","  0","  0","  5","  0","  0","  0","  0"
"458",NA,NA," 15","  0","  0","  0","  3"," 14","  2","  0"," 92","  0"," 72"," 21"," 78","  0","  4"," 63","  2","  0","  0","  0","  8","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 15","  0"," 55","  3","  2","  4","  0","  3"," 59","  1","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0"
"544",NA,NA," 20","  0","  0","  0","  6","  9","  2","  0","108","  0"," 36"," 24"," 84","  0","  2"," 53","  5","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  7","  0"," 53","  4","  0","  0","  0","  8"," 59","  2","  0","  0","  1","  2","  0","  1","  0","  0","  0","  0"
"629",NA,NA," 25","  0","  0","  0","  0"," 13","  1","  1"," 57","  0"," 40"," 23"," 63","  0","  4"," 46","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0"," 62","  3","  0","  1","  0","  4"," 48","  1","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0"
"715",NA,NA," 30","  0","  0","  0","  2","  7","  2","  0"," 49","  0"," 19"," 14"," 35","  0","  4"," 28","  2","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0"," 40","  1","  0","  4","  0","  2"," 33","  1","  0","  0","  1","  4","  0","  2","  0","  1","  0","  0"
"801",NA,NA," 35","  0","  0","  0","  1"," 12","  0","  1"," 75","  0"," 29"," 16"," 44","  0","  4"," 45","  2","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  7","  0"," 39","  2","  0","  5","  0","  0"," 44","  2","  0","  0","  0","  8","  0","  0","  0","  1","  0","  1"
"886",NA,NA," 40","  0","  0","  1","  7"," 17","  3","  1"," 98","  0"," 52"," 18"," 65","  0","  2"," 45","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 28","  0"," 47","  4","  0","  8","  0","  1"," 67","  2","  0","  0","  4","  4","  0","  2","  0","  0","  0","  0"
"972",NA,NA," 45","  0","  0","  1","  5"," 12","  2","  1"," 90","  0"," 52"," 14"," 58","  1","  2"," 74","  4","  1","  0","  0","  0","  4","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0"," 59","  5","  1","  0","  0","  0"," 70","  2","  0","  1","  6","  5","  0","  2","  0","  0","  0","  0"
"1058",NA,NA,"  50","   0","   0","   0","   2","  11","   0","   1","  74","   0","  49","  16","  35","   0","   6","  45","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  15","   0","  48","   6","   0","   0","   0","   1","  34","   1","   0","   1","   0","   1","   0","   3","   0","   5","   0","   0"
"1144",NA,NA,"  55","   0","   1","   0","   3","  16","   2","   0","  75","   0","  55","  45","  42","   0","  12","  73","   2","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   1","   0","   0","   0","   7","   0","   0","   1","   2","   0","   0","  21","   0","  42","   4","   0","   0","   0","   0","  88","   4","   0","   0","   0","   1","   0","   1","   0","   4","   0","   0"
"1229",NA,NA,"  60","   0","   0","   1","   4","   9","   1","   5","  92","   0","  65"," 111"," 134","   0","   0","  55","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   5","   0","   0","   0","  10","   0","  70","   5","   8","   0","   0","   1"," 155","  18","   0","   0","   0","   4","   0","   7","   0","   3","   0","   4"
"1315",NA,NA,"  65","   0","   0","   0","   6","  18","   1","   3"," 103","   0"," 105"," 195"," 137","   0","   1","  88","   1","   3","   0","   0","   8","   0","   1","   6","   0","   0","   0","   1","   1","   0","   0","   5","   0","   0","  17","   9","   0","   1","   2","   0"," 120","  11","   1","   4","   0","   0"," 145","   4","   0","   0","   3","   7","   0","   6","   0","   0","   0","   4"
"1401",NA,NA,"  70","   0","   0","   4","   2","   4","   0","   6","  54","   0","  37","  86"," 158","   0","   4","  43","   1","   2","   0","   0","  25","   3","   0","   4","   0","   0","   0","   1","   2","   0","   3","   0","   0","   0","   3","  17","   0","   0","   6","   2","  89","   8","   1","   5","   0","   0"," 106","   1","   0","   0","   0","   5","   0","   4","   0","   2","   0","   4"
"1486",NA,NA,"  75","   0","   1","   7","   6","   6","   3","   0","  30","   0","  39","  15"," 155","   0","   1","  28","   0","   0","   0","   0","  56","   0","   0","   2","   4","   0","   0","   0","   0","   0","   0","   3","   2","   0","   0","   1","   2","   0","   0","   0"," 117","   1","   0","   6","   0","   0","  87","   0","   0","   0","   0","  11","   0","   0","   0","   2","   0","   0"
"1572",NA,NA,"  80","   0","   0","   2","   6","  17","   1","   0","  18","   0","  46","   9"," 145","   0","   5","  19","   0","   0","   0","   0"," 141","   0","   0","   2","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   6","   0","   0","   0","   0"," 160","   5","   2","   5","   0","   0","  76","   2","   0","   1","   6","   3","   0","   0","   1","   9","   1","   2"
