"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Algae? (type 229, HdV)","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Bryonia","Calluna","Campanulaceae","Caryophyllaceae undif.","Castanea","Centaurea","Chaetomium sp. (type 7A, HdV)","Cichorieae","Cistaceae","Coniochaeta xylariispora (type 6, HdV)","Corylus","Cupressaceae","Cyperaceae","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Frangula","Fraxinus","Fungi","Fungi (type 18, HdV)","Genisteae","Geranium","Ilex","Juglans","Lamiaceae undif.","Lotus t.","Musci","Olea t.","Onagraceae","Pedicularis","Petaloid monocot","Pinus subg. Strobus-type","Pinus undif.","Plantago","Poaceae","Polemonium","Polygonum t.","Potentilla t.","Primula","Prunus t.","Pseudoschizaea circula","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sambucus","Scrophulariaceae undif.","Sordaria-type (type 55A, HdV)","Taxus","Thalictrum","Thymelaeaceae undif.","Tilletia sphagni (type 27, HdV)","Ulmus t.","Unknown (type 33, HdV)","Urtica t.","Viburnum"
"289",NA,NA,"  5","  0"," 90","  3","  5","  2","  3","  2","  1","  0","  0","117","  0"," 11","  0","  2","  1","  0"," 13","  0","  0","  1","  0","  0","  2","  1"," 13"," 71","  1","  0","  5","  7","  4","  3","  2","  0","  6"," 10","  0","  1","  0","  0","  0","  0","  2","  0","  0","  2","  0"," 18","  3","147","  0","  2","  0","  0","  0","  1"," 49","  5","  4","  0","  5"," 12","  0","  0","  1"," 23","  1","  0","  0"," 23","  0","  6"," 10","  0"
"476",NA,NA," 10","  8"," 66","  4","  0","  2"," 10","  2","  0","  0","  0","102","  2","  0","  0","  0","  4","  0"," 16","  0","  0","  6","  0","  0","  6","  0"," 22"," 20","  0","  0"," 22","  0"," 32","  0","  0"," 10"," 16"," 10","  0","  0","  0","  0","  0","  6"," 30","  0","  0","  2"," 34"," 18","  6","122","  2","  0"," 12","  0","  0","  0"," 38"," 16","  0","  0"," 24"," 14","  6","  0","  8"," 80","  0","  0","  0","  0","  0","  0","  0","  0"
"664",NA,NA," 15","  0","189","  0","  0","  4","  3","  5","  0","  1"," 11","252","  0","  5","  0","  0","  3","  3"," 18","  0","  0","  9","  4","  0","  1","  0"," 22"," 72","  0","  0","  4","  0"," 13","  2","  0","  8","  7","  0","  1","  1","  0","  2","  0","  1","  7","  0","  0","  0","  0"," 11","  3"," 39","  0","  0","  2","  0","  0","  0"," 68","  7","  0","  0"," 12"," 10","  0","  0","  0","  4","  0","  2","  0","  0","  0","  0","  0","  2"
"851",NA,NA," 20","  0","128","  0","  0","  4","  7","  5","  0","  0","  5","241","  3","  0","  0","  1","  2","  2"," 29","  0","  0","  4","  3","  0","  0","  0"," 33"," 92","  0","  1","  4","  0"," 14","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  2","  5","  0","  0","  0","  0","  2","  6"," 88","  0","  0","  1","  0","  0","  0"," 43","  4","  0","  0","  3","  2","  0","  0","  2"," 10","  0","  0","  0","  0","  1","  0","  0","  0"
"1039",NA,NA,"  25","   0"," 125","   0","   0","   4","   2","   4","   0","   0","   4"," 170","   0","   1","   0","   1","   2","   3","  13","   0","   0","   4","  10","   0","   0","   0","  15"," 130","   0","   0","   4","   0","  15","   0","   0","   2","  16","   0","   0","   0","   0","   3","   0","   1","   8","   1","   1","   0","   0","   1","   2","  34","   0","   0","   0","   0","   2","   0","  47","   7","   0","   1","   7","   9","   0","   2","   1","   7","   0","   3","   0","   0","   0","   0","   0","   2"
"1226",NA,NA,"  30","   0"," 119","   2","   0","   1","   3","   2","   3","   0","   3"," 126","   0","   6","   0","   4","   2","   1","   8","   1","   0","   5","   3","   0","   0","   0","   5"," 160","   0","   0","   4","   4","   3","   0","   2","   0","  12","   4","   0","   1","   0","   0","   0","   0","   3","   0","   0","   2","   0","   0","   1"," 111","   0","   0","   0","   0","   0","   0","  59","   3","   4","   0","   5","  12","   1","   1","   1","  15","   1","   0","   0","   0","   0","   7","   9","   0"
"1413",NA,NA,"  35","   0"," 201","   0","   0","   1","   7","   4","   0","   1","   1"," 315","   0","   0","   0","   1","   2","   0","  16","   0","   0","   4","  12","   1","   0","   0","  11","  63","   0","   0","   1","   0","  24","   4","   0","   2","   0","   0","   0","   2","   0","   1","   0","   1","   4","   0","   0","   0","   0","   2","   1","  31","   0","   0","   3","   2","   0","   0","  96","   7","   0","   0","   4","   4","   0","   0","   1","   5","   0","   0","   0","   0","   1","   0","   0","   2"
"1601",NA,NA,"  40","   0"," 131","   3","   2","   0","   6","   3","   0","   0","   2"," 128","   0","   5","   0","   3","   0","   1","  21","   0","   0","   2","   4","   0","   0","   0","   9"," 112","   0","   0","  13","   5","   4","   2","   1","   0","  11","   6","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   2","   0"," 158","   0","   2","   0","   0","   0","   0","  54","   6","   1","   0","   3","  15","   1","   1","   6","   0","   1","   0","   0","   0","   1","   0","   7","   0"
"1788",NA,NA,"  45","   0","  75","   0","   0","   3","   4","   4","   0","   0","   4"," 155","   1","   0","   0","   0","   7","   1","  36","   0","   0","   3","   2","   4","   2","   0","  16"," 111","   0","   0","   4","   0","  24","   0","   0","   0","   0","   1","   0","   0","   0","   0","   3","   4","  17","   0","   0","   0","   0","   4","   5","  63","   2","   0","   3","   1","   0","   0","  58","  13","   0","   0","  10","   6","   1","   0","   0","  17","   0","   0","   1","   0","   2","   0","   0","   0"
"1976",NA,NA,"  50","   0","  56","   0","   0","   1","   1","   5","   0","   1","   4"," 131","   0","   0","   0","   5","   7","   2","  43","   0","   0","   2","   6","   2","   0","   0","  16"," 118","   0","   0","   5","   0","  29","   3","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   8","   0","   0","   3","   0","   4","   2","  96","   0","   0","   1","   0","   0","   0","  49","   0","   1","   0","   6","   3","   1","   3","   4","  17","   0","   0","   0","   0","   0","   0","   0","   0"
