"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Centaurea","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Fabaceae Undif.","Fraxinus","Galium t.","HippophaÃ«","Lamiaceae undif.","Lauraceae","Lemnaceae","Malva undif.","Olea t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Scrophulariaceae t.","Tamarix","Thymelaeaceae undif.","Typha","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
" 1",NA,NA,"25","65"," 4","41","69"," 6","16"," 0","11","41","11","11"," 0","25","16","16"," 0","13"," 6","15"," 0"," 0"," 9"," 0","13"," 6","16","19"," 0","31","91","32","15"," 8"," 1","42"," 0"," 0"," 7"," 8"," 6","11"," 0","33"," 6"," 0"," 0","28"," 2"
" 3",NA,NA,"30","71"," 4","66","89"," 4","15"," 0"," 6","38","15"," 6"," 0","38","37"," 6"," 0"," 3"," 4","12"," 0"," 0"," 5"," 0"," 8"," 6"," 8","11"," 0","26","51"," 8"," 5"," 3"," 0","34"," 0"," 0"," 5"," 1"," 1"," 6"," 0","28","10"," 0"," 0","21"," 9"
" 4",NA,NA,"35","41"," 5","42","52"," 5","18"," 0"," 8","43","12","20"," 2","25"," 9","11"," 0"," 8"," 6","16"," 0"," 0"," 8"," 0","11"," 8","14","14"," 0","25","72","23","11"," 6"," 2","49"," 1"," 0","10"," 3"," 4","10"," 0","31"," 7"," 0"," 0","24"," 2"
" 5",NA,NA,"40","35"," 6","38","42","10","22"," 0","10","53","11","16"," 3","22"," 8","11"," 1"," 8"," 4","13"," 1"," 0","10"," 0","13"," 8","13","15"," 0","24","72","24","12"," 8"," 3","47"," 1"," 0"," 9"," 4"," 6","11"," 0","26"," 6"," 0"," 0","22"," 1"
" 9",NA,NA,"45","43"," 5","52","66","10","21"," 0","10","53","15","10"," 2","30","14"," 7"," 1"," 4"," 3","12"," 1"," 0"," 9"," 0","11"," 8","11","14"," 0","29","65","23","11"," 6"," 2","41"," 1"," 0"," 7"," 3"," 4","10"," 0","24","10"," 0"," 0","19"," 3"
"14",NA,NA,"50","41"," 6","51","65","11","22"," 0","13","54","13"," 9"," 4","27","15"," 8"," 0"," 5"," 3"," 9"," 0"," 0","11"," 0","15"," 7"," 5","15"," 0","27","69","26","15","10"," 3","34"," 2"," 0"," 6"," 3"," 8","11"," 0","19"," 8"," 0"," 0","13"," 4"
"19",NA,NA,"55","81"," 6","72","88"," 0"," 4"," 0"," 4"," 8","17"," 8"," 0","48","33"," 0"," 0"," 0"," 2"," 8"," 0"," 0"," 2"," 0"," 4"," 7"," 4"," 4"," 0","27","19"," 2"," 0"," 0"," 1","30"," 0"," 0"," 5"," 0"," 0"," 3"," 0","17","12"," 0"," 0","11"," 9"
"23",NA,NA,"60","72"," 7","66","73"," 0"," 5"," 0"," 4","10","16"," 9"," 1","42","35"," 1"," 0"," 0"," 3"," 8"," 0"," 0"," 3"," 0"," 5"," 8"," 4"," 5"," 0","22","23"," 2"," 3"," 0"," 2","31"," 0"," 0"," 6"," 0"," 0"," 4"," 0","16","11"," 0"," 0","10","10"
"28",NA,NA,"65","22","13","25","22"," 6","19"," 2","11","23"," 5","24","12","10","15"," 4"," 3"," 1"," 5","11"," 2"," 0"," 8"," 0","13","14"," 8","16"," 0","11","99","19"," 9"," 8"," 9","23"," 8"," 3"," 6"," 6"," 6","13"," 0","12"," 0"," 0"," 0"," 8"," 4"
"33",NA,NA,"70","26","12","26","24"," 6","17"," 0","10","20"," 6","24","12","10","16"," 7"," 3"," 4"," 6","13"," 1"," 0"," 5"," 0","11","14"," 9","17"," 0","11","95","17"," 9"," 6"," 9","28"," 6"," 3"," 7"," 5"," 4","13"," 0","13"," 1"," 0"," 0","11"," 5"
