"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Campanulaceae","Cannabis","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Cucumis","Cupressaceae","Cyperaceae","Dipsacaceae","Elatine","Ephedra","Erica t.","Eucalyptus","Fabaceae Undif.","Fagus","Filipendula t.","Hypericum undif.","Indeterminable (destroyed)","Juglans","Lamiaceae undif.","Linum t.","Lycopodium spike","Lythrum","Malva undif.","Olea t.","Onagraceae","Papaver t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Pollen accumulation rate","Pollen concentration","Polygonum t.","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Styrax","Tamarix","Thalictrum","Theligonum","Tilia","Urtica t.","Vitis"
" 1118.454",NA,NA,"  220.000","    4.400","    0.000","   25.000","    9.000","   39.000","    0.000","    7.000","    2.000","    7.000","    0.000","    0.000","    5.000","    2.000","   19.000","    1.000","    0.000","    0.000","   11.000","    0.000","    0.000","    0.000","    0.000","    0.000","   12.000","    0.000","    2.000","    0.000","   39.000","    0.000","    1.000","    0.000","  102.000","    0.000","    0.000","   31.000","    0.000","    0.000","    7.000","   11.000","   36.000","   32.000","  101.000","   14.000","25340.460","   69.000","    3.000","   30.000","   67.000","    3.000","    0.000","    1.000","    7.000","    7.000","    7.000","   23.000","    1.000","    9.000","    0.000","    2.000","    0.000","    0.000","    0.000","    0.000","    0.000"
" 1270.971",NA,NA,"  250.000","    5.400","    0.000","   21.000","    8.000","   45.000","    1.000","   10.000","    1.000","   12.000","    2.000","    0.000","    8.000","    2.000","   21.000","    0.000","    0.000","    1.000","    9.000","    1.000","    0.000","    3.000","    0.000","    0.000","   10.000","    0.000","    1.000","    0.000","   38.000","    1.000","    0.000","    0.000","  133.000","    0.000","    0.000","   72.000","    5.000","    0.000","    2.000","   13.000","   40.000","   28.000","   81.000","   12.000","16456.120","   42.000","    0.000","   18.000","   70.000","    3.000","    0.000","    0.000","    6.000","    5.000","    9.000","   32.000","    2.000","    5.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000"
" 1398.068",NA,NA,"  275.000","    4.600","    0.000","   21.000","    8.000","   53.000","    0.000","    8.000","    1.000","    6.000","    0.000","    0.000","    5.000","    7.000","   17.000","    2.000","    0.000","    0.000","    6.000","    0.000","    0.000","    1.000","    0.000","    0.000","   18.000","    0.000","    1.000","    1.000","   36.000","    0.000","    1.000","    0.000","   87.000","    1.000","    0.000","   58.000","    0.000","    0.000","    4.000","   19.000","   23.000","   27.000","   62.000","   14.000","28092.740","   70.000","    2.000","   24.000","   87.000","    2.000","    0.000","    0.000","    7.000","    1.000","    7.000","   31.000","    0.000","    6.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    2.000"
" 1525.165",NA,NA,"  300.000","    5.600","    0.000","   14.000","   10.000","   31.000","    0.000","   11.000","    1.000","    9.000","    0.000","    0.000","    5.000","    2.000","   21.000","    1.000","    0.000","    0.000","    6.000","    0.000","    0.000","    3.000","    0.000","    0.000","   13.000","    0.000","    1.000","    0.000","   28.000","    1.000","    2.000","    0.000","   96.000","    0.000","    0.000","   85.000","    1.000","    0.000","    1.000","   24.000","   27.000","   35.000","   68.000","   12.000","20359.720","   43.000","    0.000","   23.000","   71.000","    4.000","    2.000","    0.000","    8.000","    3.000","   12.000","   20.000","    2.000","    1.000","    0.000","    0.000","    0.000","    2.000","    0.000","    0.000","    1.000"
" 1642.095",NA,NA,"  323.000","    4.500","    0.000","   18.000","    3.000","   30.000","    0.000","    7.000","    0.000","   12.000","    0.000","    0.000","    5.000","    6.000","   18.000","    2.000","    0.000","    5.000","    7.000","    0.000","    0.000","    0.000","    0.000","    0.000","   16.000","    0.000","    0.000","    0.000","   28.000","    1.000","    0.000","    0.000","   89.000","    0.000","    0.000","  233.000","    0.000","    0.000","    6.000","    8.000","   12.000","   22.000","   47.000","   10.000","28396.490","   71.000","    1.000","   11.000","   38.000","    1.000","    0.000","    0.000","    7.000","    1.000","    4.000","   17.000","    1.000","    3.000","    0.000","    1.000","    0.000","    2.000","    0.000","    0.000","    1.000"
" 1769.192",NA,NA,"  348.000","    5.200","    0.000","   27.000","    7.000","   31.000","    0.000","    6.000","    3.000","   10.000","    1.000","    0.000","    6.000","    2.000","   20.000","    0.000","    0.000","    0.000","    6.000","    0.000","    0.000","    0.000","    0.000","    0.000","   11.000","    0.000","    0.000","    0.000","   15.000","    0.000","    0.000","    0.000","  126.000","    0.000","    0.000","  245.000","    0.000","    0.000","    5.000","    5.000","    8.000","   30.000","   46.000","    5.000","16563.600","   11.000","    2.000","   14.000","   25.000","    1.000","    0.000","    1.000","    6.000","    2.000","    3.000","   17.000","    0.000","    2.000","    0.000","    0.000","    0.000","    2.000","    0.000","    0.000","    5.000"
" 1860.702",NA,NA,"  366.000","    4.700","    0.000","   17.000","    7.000","   26.000","    0.000","    6.000","    0.000","   10.000","    0.000","    0.000","    2.000","    1.000","   20.000","    0.000","    0.000","    5.000","    8.000","    0.000","    0.000","    1.000","    1.000","    0.000","   12.000","    0.000","    2.000","    0.000","   31.000","    1.000","    0.000","    0.000","  171.000","    0.000","    0.000","  201.000","    0.000","    0.000","    6.000","    9.000","   16.000","   23.000","   62.000","   13.000","13364.410","   72.000","    4.000","   14.000","   17.000","    4.000","    0.000","    0.000","    8.000","    3.000","    6.000","    6.000","    0.000","    3.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    1.000"
"1982.715",NA,NA," 390.000","   5.800","   0.000","  21.000","   6.000","  30.000","   0.000","  10.000","   1.000","   7.000","   2.000","   2.000","   5.000","   0.000","  28.000","   1.000","   1.000","   0.000","   8.000","   0.000","   0.000","   1.000","   0.000","   0.000","  11.000","   0.000","   1.000","   0.000","  21.000","   2.000","   3.000","   0.000"," 214.000","   0.000","   0.000"," 270.000","   0.000","   0.000","   3.000","   9.000","   3.000","  20.000","  56.000","  14.000","9072.912","  45.000","   1.000","  12.000","  12.000","   0.000","   0.000","   0.000","   3.000","   5.000","   3.000","   6.000","   2.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000"
" 2094.56",NA,NA,"  412.00","    4.40","    0.00","   48.00","   10.00","   37.00","    0.00","   21.00","    3.00","   17.00","    0.00","    1.00","    7.00","    3.00","   47.00","    0.00","    0.00","    2.00","   13.00","    1.00","    0.00","    0.00","    0.00","    0.00","   22.00","    0.00","    0.00","    0.00","   31.00","    1.00","    1.00","    0.00","  178.00","    0.00","    0.00","  153.00","    0.00","    0.00","   10.00","    9.00","    6.00","   33.00","   68.00","   13.00","15517.47","   73.00","    1.00","   12.00","   23.00","    4.00","    0.00","    0.00","   11.00","    2.00","    3.00","    0.00","    2.00","    6.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00"
" 2221.657",NA,NA,"  437.000","    5.000","    0.000","   52.000","   19.000","   51.000","    1.000","   24.000","    0.000","   11.000","    1.000","    0.000","   11.000","    3.000","   56.000","    0.000","    0.000","    0.000","   10.000","    0.000","    0.000","    0.000","    0.000","    0.000","   16.000","    0.000","    5.000","    0.000","   30.000","    1.000","    3.000","    0.000","  221.000","    1.000","    0.000","   59.000","    0.000","    0.000","    5.000","    9.000","    5.000","   36.000","   97.000","    9.000","10359.390","   13.000","    3.000","   13.000","   16.000","    0.000","    4.000","    0.000","    9.000","    2.000","    2.000","    1.000","    5.000","    8.000","    0.000","    0.000","    1.000","    4.000","    0.000","    2.000","    1.000"
" 2358.922",NA,NA,"  464.000","    4.800","    0.000","   53.000","    6.000","   42.000","    0.000","   17.000","    2.000","   11.000","    0.000","    0.000","    7.000","    4.000","   73.000","    0.000","    0.000","    0.000","    7.000","    0.000","    0.000","    1.000","    0.000","    0.000","   14.000","    0.000","    0.000","    0.000","   58.000","    0.000","    0.000","    0.000","  148.000","    0.000","    0.000","   48.000","    0.000","    0.000","    5.000","    6.000","   24.000","   23.000","   88.000","   15.000","17866.260","   74.000","    4.000","   35.000","   43.000","    9.000","    0.000","    0.000","    9.000","    2.000","    4.000","    2.000","    2.000","    8.000","    0.000","    0.000","    0.000","    3.000","    0.000","    0.000","    0.000"
" 2486.019",NA,NA,"  489.000","    5.800","    0.000","   47.000","   12.000","   31.000","    0.000","    8.000","    0.000","    9.000","    1.000","    0.000","    9.000","    2.000","   27.000","    2.000","    0.000","    0.000","   11.000","    0.000","    0.000","    1.000","    0.000","    0.000","   14.000","    0.000","    1.000","    0.000","   30.000","    1.000","    1.000","    0.000","   75.000","    0.000","    0.000","   32.000","    0.000","    0.000","    1.000","   12.000","   28.000","   14.000","  162.000","   20.000","28194.900","   47.000","    2.000","   53.000","   63.000","    8.000","    1.000","    0.000","    7.000","    3.000","    3.000","    3.000","    2.000","    8.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000"
" 2618.20",NA,NA,"  515.00","    4.20","    0.00","   36.00","   14.00","   29.00","    0.00","   12.00","    2.00","    7.00","    2.00","    0.00","    5.00","    2.00","   28.00","    2.00","    0.00","    0.00","   23.00","    0.00","    0.00","    2.00","    0.00","    0.00","   16.00","    0.00","    0.00","    0.00","   35.00","    1.00","    1.00","    0.00","   98.00","    0.00","    0.00","   28.00","    0.00","    0.00","    5.00","   12.00","   24.00","   19.00","  116.00","   21.00","28623.96","   75.00","    1.00","   75.00","   56.00","    6.00","    2.00","    0.00","    3.00","    3.00","    7.00","    0.00","    1.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
" 2745.297",NA,NA,"  540.000","    5.600","    0.000","   26.000","    7.000","   31.000","    1.000","    7.000","    2.000","   10.000","    0.000","    0.000","    3.000","    3.000","   16.000","    1.000","    0.000","    1.000","    5.000","    0.000","    0.000","    1.000","    0.000","    0.000","   15.000","    0.000","    2.000","    1.000","   34.000","    0.000","    0.000","    0.000","   94.000","    0.000","    0.000","   36.000","    0.000","    0.000","    2.000","    9.000","   21.000","    8.000","  135.000","   13.000","22487.410","   15.000","    2.000","  101.000","   80.000","    4.000","    1.000","    0.000","    7.000","    6.000","    1.000","    0.000","    1.000","    7.000","    0.000","    0.000","    0.000","    3.000","    0.000","    0.000","    0.000"
" 2918.149",NA,NA,"  574.000","    4.600","    0.000","   29.000","    8.000","   30.000","    1.000","    5.000","    1.000","    9.000","    0.000","    0.000","    4.000","    2.000","   28.000","    1.000","    0.000","    2.000","    7.000","    0.000","    0.000","    1.000","    0.000","    0.000","   13.000","    0.000","    0.000","    0.000","   31.000","    0.000","    1.000","    0.000","  101.000","    0.000","    0.000","   57.000","    0.000","    0.000","    2.000","   10.000","   18.000","    9.000","  127.000","   19.000","23758.720","   76.000","    1.000","   77.000","   48.000","    3.000","    0.000","    0.000","    7.000","    2.000","    2.000","    0.000","    2.000","    4.000","    0.000","    0.000","    0.000","    2.000","    0.000","    0.000","    0.000"
" 3045.247",NA,NA,"  599.000","    5.200","    0.000","   35.000","   12.000","   33.000","    0.000","    7.000","    1.000","    7.000","    2.000","    0.000","    2.000","    8.000","   40.000","    1.000","    0.000","    0.000","   31.000","    1.000","    0.000","    2.000","    0.000","    0.000","    9.000","    0.000","    1.000","    0.000","   42.000","    1.000","    3.000","    1.000","  147.000","    0.000","    1.000","   68.000","    0.000","    0.000","    5.000","   12.000","   17.000","   11.000","  132.000","   27.000","16336.700","   49.000","    2.000","   60.000","   27.000","    2.000","    2.000","    0.000","    8.000","    3.000","    3.000","    0.000","    2.000","    1.000","    0.000","    0.000","    0.000","    8.000","    0.000","    0.000","    0.000"
" 3182.511",NA,NA,"  626.000","    4.400","    0.000","   27.000","   11.000","   31.000","    0.000","    5.000","    1.000","    6.000","    0.000","    0.000","    3.000","    1.000","   22.000","    2.000","    0.000","    2.000","   22.000","    0.000","    0.000","    2.000","    0.000","    0.000","   11.000","    0.000","    2.000","    0.000","   34.000","    0.000","    0.000","    0.000","  132.000","    0.000","    0.000","   43.000","    0.000","    0.000","    4.000","    9.000","   11.000","    9.000","  107.000","   22.000","19581.260","   77.000","    2.000","  107.000","   61.000","    3.000","    0.000","    0.000","    7.000","    2.000","    3.000","    0.000","    1.000","    1.000","    0.000","    0.000","    0.000","    4.000","    0.000","    0.000","    0.000"
" 3299.441",NA,NA,"  649.000","    5.700","    0.000","   22.000","    7.000","   32.000","    0.000","    4.000","    0.000","    5.000","    1.000","    0.000","    2.000","    2.000","   14.000","    2.000","    0.000","    2.000","   15.000","    0.000","    0.000","    1.000","    0.000","    0.000","    7.000","    0.000","    1.000","    0.000","   32.000","    0.000","    0.000","    0.000","   59.000","    0.000","    0.000","   26.000","    0.000","    0.000","    1.000","    9.000","    8.000","    6.000","   88.000","   15.000","33209.580","   50.000","    0.000","  164.000","   89.000","    6.000","    1.000","    0.000","    2.000","    0.000","    0.000","    0.000","    1.000","    2.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    1.000"
" 3426.538",NA,NA,"  674.000","    4.600","    0.000","   45.000","   11.000","   36.000","    0.000","    7.000","    0.000","    8.000","    0.000","    0.000","    3.000","    2.000","   21.000","    1.000","    0.000","    1.000","   13.000","    0.000","    0.000","    0.000","    0.000","    0.000","    7.000","    0.000","    3.000","    0.000","   24.000","    0.000","    2.000","    0.000","  102.000","    0.000","    0.000","   40.000","    0.000","    0.000","    5.000","   10.000","   41.000","   10.000","   92.000","   20.000","26852.670","   78.000","    1.000","  142.000","   82.000","    9.000","    0.000","    0.000","    3.000","    3.000","    2.000","    0.000","    1.000","    2.000","    0.000","    0.000","    0.000","    7.000","    0.000","    0.000","    0.000"
" 3553.635",NA,NA,"  699.000","    6.000","    0.000","   32.000","   10.000","   30.000","    0.000","    7.000","    1.000","    5.000","    0.000","    1.000","    4.000","    6.000","   12.000","    2.000","    0.000","    2.000","   11.000","    0.000","    0.000","    0.000","    0.000","    0.000","    8.000","    0.000","    0.000","    0.000","   24.000","    0.000","    0.000","    0.000","   82.000","    0.000","    0.000","   35.000","    0.000","    0.000","    2.000","    9.000","   38.000","    3.000","   97.000","   10.000","22548.880","   51.000","    2.000","  121.000","   76.000","   10.000","    0.000","    0.000","    3.000","    2.000","    4.000","    1.000","    0.000","    2.000","    0.000","    1.000","    0.000","    2.000","    0.000","    0.000","    0.000"
" 3670.564",NA,NA,"  722.000","    4.000","    0.000","   26.000","   12.000","   18.000","    1.000","    9.000","    0.000","   16.000","    0.000","    0.000","    5.000","    3.000","   43.000","    0.000","    0.000","    0.000","   23.000","    0.000","    0.000","    0.000","    0.000","    0.000","   14.000","    0.000","    1.000","    0.000","   42.000","    0.000","    1.000","    0.000","  189.000","    0.000","    0.000","   29.000","    0.000","    0.000","    3.000","    9.000","   16.000","   14.000","  103.000","   13.000","15215.450","   79.000","    1.000","  121.000","   31.000","    7.000","    0.000","    0.000","    5.000","    1.000","    3.000","    0.000","    1.000","    6.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000"
"3797.661",NA,NA," 747.000","   5.400","   0.000","  37.000","   0.000","  13.000","   1.000","  11.000","   0.000","   9.000","   0.000","   0.000","   3.000","   5.000"," 130.000","   0.000","   0.000","   0.000","  19.000","   0.000","   0.000","   1.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","  26.000","   0.000","   0.000","   0.000"," 488.000","   0.000","   0.000","  51.000","   0.000","   0.000","   1.000","  16.000","  32.000","  13.000","  81.000","  23.000","4280.465","  19.000","   1.000","  66.000","  20.000","   5.000","   0.000","   0.000","   2.000","   2.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000"
" 3868.836",NA,NA,"  761.000","    5.200","    0.000","   49.000","   14.000","   27.000","    0.000","    8.000","    2.000","   12.000","    0.000","    0.000","    6.000","    5.000","   53.000","    2.000","    0.000","    1.000","    7.000","    0.000","    0.000","    0.000","    0.000","    0.000","   25.000","    0.000","    1.000","    0.000","   22.000","    0.000","    1.000","    0.000","  197.000","    0.000","    0.000","   97.000","    0.000","    0.000","    3.000","    7.000","   16.000","    8.000","   93.000","   25.000","11210.750","   52.000","    1.000","   62.000","   21.000","    3.000","    0.000","    0.000","    7.000","    5.000","    7.000","    1.000","    1.000","    3.000","    0.000","    0.000","    0.000","    1.000","    0.000","    0.000","    0.000"
" 3995.933",NA,NA,"  786.000","    4.600","    0.000","   29.000","    8.000","   19.000","    0.000","    5.000","    1.000","    4.000","    0.000","    0.000","    4.000","    4.000","   17.000","    2.000","    0.000","    2.000","    7.000","    0.000","    0.000","    1.000","    0.000","    0.000","   16.000","    0.000","    0.000","    1.000","   23.000","    0.000","    0.000","    0.000","   92.000","    0.000","    0.000","   52.000","    0.000","    0.000","    1.000","   10.000","   16.000","   13.000","   84.000","   13.000","25292.550","   80.000","    1.000","  137.000","   55.000","    4.000","    0.000","    0.000","    5.000","    2.000","    5.000","    0.000","    2.000","    7.000","    0.000","    0.000","    0.000","    3.000","    0.000","    0.000","    0.000"
" 4097.61",NA,NA,"  806.00","    5.30","    0.00","   24.00","    4.00","   26.00","    0.00","    9.00","    4.00","    3.00","    0.00","    0.00","    3.00","    2.00","   14.00","    1.00","    0.00","    0.00","   11.00","    0.00","    0.00","    0.00","    0.00","    0.00","   14.00","    0.00","    3.00","    0.00","   34.00","    0.00","    1.00","    0.00","  102.00","    0.00","    0.00","   41.00","    0.00","    0.00","    1.00","    9.00","   22.00","    8.00","   87.00","   11.00","20796.73","   20.00","    0.00","  191.00","   31.00","    2.00","    0.00","    0.00","    2.00","    2.00","    3.00","    2.00","    2.00","    1.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00"
" 4224.708",NA,NA,"  831.000","    4.200","    0.000","   26.000","   14.000","   11.000","    0.000","    8.000","    1.000","    6.000","    0.000","    0.000","    3.000","    2.000","   17.000","    1.000","    0.000","    0.000","    6.000","    0.000","    0.000","    1.000","    1.000","    0.000","   11.000","    0.000","    0.000","    0.000","   22.000","    0.000","    0.000","    0.000","   97.000","    0.000","    0.000","   47.000","    0.000","    0.000","    3.000","    7.000","   26.000","   13.000","  128.000","   12.000","25178.730","   81.000","    5.000","  117.000","   16.000","    5.000","    0.000","    0.000","    3.000","    2.000","    4.000","    0.000","    3.000","    6.000","    0.000","    0.000","    0.000","    3.000","    0.000","    0.000","    0.000"
