"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Campanulaceae","Cannabis","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Cucumis","Cupressaceae","Cyperaceae","Dipsacaceae","Elatine","Ephedra","Erica t.","Eucalyptus","Fabaceae Undif.","Fagus","Filipendula t.","Hypericum undif.","Indeterminable (destroyed)","Juglans","Lamiaceae undif.","Linum t.","Lycopodium spike","Lythrum","Malva undif.","Olea t.","Onagraceae","Papaver t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Pollen accumulation rate","Pollen concentration","Polygonum t.","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Styrax","Tamarix","Thalictrum","Theligonum","Tilia","Urtica t.","Vitis"
"    5.083884",NA,NA,"    1.000000","    5.000000","    0.000000","   28.000000","    7.000000","   18.000000","    0.000000","    9.000000","    1.000000","   14.000000","    1.000000","    1.000000","    5.000000","    3.000000","   11.000000","    2.000000","    0.000000","    7.000000","    7.000000","    0.000000","    0.000000","    1.000000","    0.000000","    2.000000","   24.000000","    0.000000","    1.000000","    0.000000","   40.000000","    3.000000","    3.000000","    0.000000","   73.000000","    0.000000","    0.000000","   87.000000","    6.000000","    0.000000","    4.000000","   54.000000","   18.000000","   10.000000","   62.000000","   15.000000","30700.130000","   64.000000","    0.000000","   28.000000","   48.000000","    3.000000","    0.000000","    0.000000","   11.000000","    3.000000","    8.000000","   11.000000","    2.000000","    2.000000","    0.000000","    0.000000","    0.000000","    2.000000","    0.000000","    1.000000","    2.000000"
"  116.9293",NA,NA,"   23.0000","    6.0000","    0.0000","   32.0000","   10.0000","   30.0000","    1.0000","    8.0000","    5.0000","   12.0000","    1.0000","    0.0000","   10.0000","    1.0000","   16.0000","    1.0000","    1.0000","    2.0000","    5.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","   15.0000","    0.0000","    3.0000","    0.0000","   36.0000","    8.0000","    2.0000","    1.0000","  168.0000","    0.0000","    0.0000","   70.0000","   15.0000","    0.0000","    4.0000","   33.0000","   18.0000","   25.0000","   55.0000","   13.0000","10821.6500","    1.0000","    2.0000","   20.0000","   45.0000","    5.0000","    1.0000","    0.0000","    8.0000","    2.0000","   10.0000","   10.0000","    7.0000","    2.0000","    0.0000","    0.0000","    0.0000","    2.0000","    0.0000","    0.0000","    3.0000"
"  249.1103",NA,NA,"   49.0000","    4.6000","    0.0000","   24.0000","   17.0000","   44.0000","    0.0000","   13.0000","    2.0000","   16.0000","    0.0000","    0.0000","    8.0000","    3.0000","   37.0000","    0.0000","    0.0000","    0.0000","   11.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","   18.0000","    0.0000","    2.0000","    0.0000","   36.0000","    3.0000","    2.0000","    0.0000","  117.0000","    0.0000","    0.0000","   38.0000","    2.0000","    0.0000","    3.0000","    8.0000","   22.0000","   32.0000","   77.0000","    8.0000","20026.2700","   65.0000","    2.0000","   27.0000","   57.0000","    5.0000","    0.0000","    0.0000","    6.0000","    1.0000","    6.0000","   11.0000","    1.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000"
"  371.1235",NA,NA,"   73.0000","    6.4000","    0.0000","   22.0000","   12.0000","   50.0000","    0.0000","   15.0000","    2.0000","    7.0000","    1.0000","    0.0000","    7.0000","    3.0000","   35.0000","    1.0000","    0.0000","    0.0000","   10.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","    7.0000","    0.0000","    2.0000","    1.0000","   25.0000","    2.0000","    1.0000","    0.0000","   80.0000","    0.0000","    0.0000","   30.0000","    2.0000","    0.0000","    5.0000","   10.0000","   37.0000","   32.0000","   72.0000","   13.0000","21486.5900","    2.0000","    1.0000","   21.0000","   90.0000","    5.0000","    1.0000","    0.0000","    7.0000","    5.0000","    3.0000","   15.0000","    2.0000","    7.0000","    0.0000","    0.0000","    0.0000","    5.0000","    0.0000","    0.0000","    0.0000"
"  482.969",NA,NA,"   95.000","    5.000","    0.000","   24.000","   17.000","   27.000","    0.000","   12.000","    1.000","   13.000","    1.000","    0.000","    9.000","    1.000","   11.000","    1.000","    0.000","    2.000","    8.000","    0.000","    0.000","    2.000","    1.000","    0.000","   14.000","    0.000","    1.000","    0.000","   31.000","    1.000","    1.000","    0.000","   78.000","    0.000","    0.000","   38.000","    0.000","    0.000","    1.000","    9.000","   44.000","   28.000","   81.000","   13.000","29113.370","   66.000","    0.000","   45.000","   84.000","    4.000","    0.000","    0.000","   12.000","    2.000","   12.000","   18.000","    1.000","    7.000","    0.000","    0.000","    0.000","    0.000","    0.000","    0.000","    3.000"
"  610.0661",NA,NA,"  120.0000","    5.0000","    0.0000","   23.0000","   13.0000","   32.0000","    1.0000","   10.0000","    2.0000","   12.0000","    0.0000","    0.0000","    7.0000","    3.0000","   12.0000","    1.0000","    0.0000","    0.0000","    6.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","   13.0000","    0.0000","    5.0000","    0.0000","   41.0000","    3.0000","    1.0000","    0.0000","   90.0000","    0.0000","    0.0000","   48.0000","    0.0000","    0.0000","    3.0000","   15.0000","   35.0000","   35.0000","   66.0000","   12.0000","25314.1800","    3.0000","    2.0000","   40.0000","   86.0000","    3.0000","    0.0000","    0.0000","    3.0000","    1.0000","    6.0000","   17.0000","    5.0000","    6.0000","    0.0000","    0.0000","    0.0000","    2.0000","    0.0000","    0.0000","    1.0000"
"  635.4855",NA,NA,"  125.0000","    4.5000","    0.0000","   19.0000","   21.0000","   41.0000","    0.0000","    5.0000","    4.0000","   13.0000","    1.0000","    1.0000","    6.0000","    3.0000","   10.0000","    2.0000","    0.0000","    0.0000","   11.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","   15.0000","    0.0000","    0.0000","    0.0000","   27.0000","    2.0000","    2.0000","    0.0000","   74.0000","    0.0000","    0.0000","   32.0000","    0.0000","    0.0000","    4.0000","    7.0000","   39.0000","   30.0000","   78.0000","   14.0000","33817.7100","   67.0000","    2.0000","   38.0000","  101.0000","    4.0000","    2.0000","    0.0000","    8.0000","    5.0000","    5.0000","   14.0000","    2.0000","    5.0000","    0.0000","    1.0000","    1.0000","    1.0000","    0.0000","    0.0000","    3.0000"
"  762.5826",NA,NA,"  150.0000","    5.0000","    0.0000","   27.0000","   18.0000","   48.0000","    0.0000","    6.0000","    0.0000","   11.0000","    0.0000","    0.0000","    7.0000","    2.0000","   26.0000","    0.0000","    0.0000","    1.0000","   12.0000","    3.0000","    0.0000","    1.0000","    0.0000","    0.0000","   10.0000","    0.0000","    2.0000","    0.0000","   32.0000","    0.0000","    0.0000","    0.0000","  151.0000","    0.0000","    0.0000","   37.0000","    0.0000","    0.0000","    1.0000","   16.0000","   32.0000","   37.0000","   78.0000","   17.0000","14644.8800","   40.0000","    1.0000","   27.0000","   71.0000","    2.0000","    0.0000","    0.0000","    3.0000","    2.0000","    5.0000","   21.0000","    1.0000","    3.0000","    0.0000","    1.0000","    0.0000","    0.0000","    0.0000","    0.0000","    2.0000"
"  889.6797",NA,NA,"  175.0000","    4.5000","    0.0000","   15.0000","   12.0000","   34.0000","    0.0000","    6.0000","    2.0000","   11.0000","    0.0000","    0.0000","    6.0000","    1.0000","   16.0000","    1.0000","    0.0000","    5.0000","    7.0000","    0.0000","    0.0000","    2.0000","    0.0000","    0.0000","   26.0000","    0.0000","    2.0000","    0.0000","   27.0000","    1.0000","    2.0000","    0.0000","   78.0000","    0.0000","    0.0000","   26.0000","    0.0000","    0.0000","    2.0000","   14.0000","   23.0000","   23.0000","  112.0000","   15.0000","31501.1000","   68.0000","    6.0000","   38.0000","   94.0000","    4.0000","    0.0000","    0.0000","    8.0000","    3.0000","   10.0000","    8.0000","    1.0000","    3.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    2.0000"
"  991.3574",NA,NA,"  195.0000","    5.1000","    1.0000","   17.0000","   10.0000","   46.0000","    0.0000","    9.0000","    0.0000","    8.0000","    1.0000","    0.0000","    3.0000","    4.0000","   16.0000","    1.0000","    0.0000","    0.0000","   10.0000","    0.0000","    0.0000","    1.0000","    0.0000","    0.0000","   22.0000","    0.0000","    4.0000","    0.0000","   33.0000","    1.0000","    0.0000","    0.0000","   78.0000","    0.0000","    0.0000","   24.0000","    0.0000","    0.0000","    1.0000","   12.0000","   22.0000","   25.0000","  115.0000","   12.0000","28495.8000","    8.0000","    2.0000","   51.0000","   81.0000","    4.0000","    0.0000","    0.0000","    8.0000","    3.0000","   11.0000","    9.0000","    3.0000","    6.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000","    1.0000"
