"Depth (cm)","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Calligonum","Caryophyllaceae undif.","Cedrus","Centaurea","Chionanthus","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Echium t.","Ephedra","Erica t.","Erodium","Faboideae Undif.","Fagus","Fern","Heliotropium","Hippophae","Icacinaceae","Ilex","Indeterminable","Lamiaceae undif.","Linum t.","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rumex t.","Salix","Sanguisorba t.","Searsia","Thymelaeaceae undif.","Tilia","Typha","Ulmus t."
" 55","  3"," 82","  4","  0"," 12","  3","  6","  0","  2","  0","  1","  0","  3","  0","  2","  1"," 41","  8","  8","  0"," 27"," 11","  0","  0","  6","  8","  0","  0","  0","  1"," 13","  0","  0","  6","  0","  1","106","  5","  2","  0"," 35","  0","117"," 47","  0","  1"," 11","  0","  0","  0","  1","  1","  0","  0"
" 65","  5","118","  8","  0"," 27"," 11","  6","  0","  5","  1","  0","  1","  1","  1","  3","  5"," 13"," 11"," 11","  0"," 44","  4","  0","  0","  4"," 20","  0","  0","  0","  0"," 16","  0","  0","  1","  1","  0"," 86","  1","  4","  0"," 26","  2"," 94"," 11","  0","  0","  5","  0","  0","  1","  0","  3","  2","  5"
" 75","  1"," 76","  4","  0"," 22","  9","  5","  0","  8","  0","  0","  5","  0","  0","  2","  1","  3","  2","  1","  0"," 24","  5","  0","  0","  0","  9","  2","  0","  0","  0"," 16","  0","  0","  1","  1","  0","176","  1","  0","  0"," 22","  0","115","  5","  1","  0","  6","  1","  2","  1","115","  0","  1","  1"
"85"," 3","53"," 7"," 0","76","23"," 8"," 0"," 9"," 1"," 0"," 0"," 0"," 0"," 2"," 0","22","17"," 3"," 0","24","20"," 1"," 0"," 1"," 1"," 1"," 0"," 0"," 0","21"," 0"," 0"," 8"," 2"," 4"," 1"," 1"," 0"," 0","22"," 4","76","56"," 1"," 0"," 9"," 3"," 1"," 0"," 0"," 0"," 0"," 1"
" 95","  2","248"," 14","  0"," 21","  9","  1","  0"," 10","  1","  0","  7","  0","  0","  3","  0","  5","  1","  6","  0"," 49","  9","  0","  2","  0","  7","  1","  0","  0","  1"," 18","  0","  0","  0","  5","  0"," 18","  0","  2","  0"," 12","  1"," 57"," 15","  1","  0","  4","  1","  0","  0","  1","  0","  1","  3"
"105","  7"," 52","  2","  0"," 33","  9","  8","  0"," 11","  0","  0","  0","  0","  0","  4","  0"," 35","  9","  4","  0"," 23","  9","  0","  0","  0"," 10","  0","  0","  0","  0"," 12","  0","  0","  2","  2","  4","166","  1","  9","  0"," 44","  1"," 49"," 41","  0","  0","  2","  0","  2","  0","  0","  2","  1","  2"
"115","  3"," 37","  4","  0"," 15","  3","  4","  0","  5","  0","  0","  4","  0","  0","  8","  1","  9","  0","  6","  0"," 28","  8","  0","  1","  0","  6","  0","  0","  0","  0"," 17","  0","  2","  1","  3","  0","340","  0","  3","  0"," 10","  1","220","  4","  0","  0","  3","  0","  0","  0","  0","  1","  0","  0"
"125","  3"," 19","  2","  0"," 21","  2","  0","  1","  1","  0","  0","  0","  1","  0","  0","  2"," 25","  1","  1","  0"," 16","  8","  0","  1","  0","  1","  0","  0","  1","  1"," 30","  0","  0","  0","  1","  0","395","  1","  0","  0","  7","  0","  8","  3","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0"
"135","  2"," 37","  1","  0"," 47","  2","  0","  0","  0","  1","  0","  3","  0","  0","  2","  8"," 14","  3","  0","  1"," 33","  2","  0","  0","  0","  2","  0","  0","  0","  0"," 11","  0","  0","  0","  4","  0","330","  0","  1","  0","  4","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"
"145","  0"," 70","  2","  0","109","  1","  0","  0","  1","  0","  0","  4","  1","  0","  1","  2","  0","  1","  1","  0"," 42","  5","  0","  0","  0","  3","  0","  0","  0","  0","  9","  0","  0","  0","  3","  0","284","  0","  2","  0","  8","  0"," 10","  1","  1","  0","  3","  1","  2","  1","  0","  0","  1","  0"
"155","  6"," 65","  2","  0","126","  4","  0","  0","  2","  0","  0","  6","  1","  0","  0","  1","  3","  3","  2","  0"," 22","  5","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  1","  0","  0","  0","283","  0","  2","  0"," 15","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"165","  1"," 32","  2","  0"," 89","  2","  1","  0","  4","  0","  0","  3","  0","  0","  2","  2","  4","  3","  4","  0"," 23"," 16","  0","  0","  0","  0","  0","  1","  0","  0","  4","  0","  0","  0","  0","  0","332","  0","  3","  1"," 17","  0"," 10","  0","  1","  1","  0","  0","  0","  0","  0","  1","  1","  0"
"175","  2"," 50","  2","  2","131","  3","  0","  0","  1","  1","  0","  1","  0","  0","  0","  0","  3","  4","  3","  0"," 31"," 34","  0","  0","  0","  2","  0","  0","  0","  0","  7","  1","  0","  0","  0","  0","271","  0","  4","  0"," 15","  0"," 17","  4","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0"
