"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Adansonia digitata","Adenium","Aerva type","Aeschynomene","Alchornea","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Ammannia t.","Anacardiaceae undiff.","Anthostema","Artemisia","Asteroideae undif.","Asystasia","Balanites","Blighia","Bombax","Bridelia","Caesalpinia","Caesalpinioideae","Caperonia","Capparaceae undif.","Caryophyllaceae undif.","Cassia","Cayratia","Ceiba","Celastraceae undif.","Celtis","Centaurea","Chrysobalanus t.","Cichorieae","Cissus t.","Cleome","Clusiaceae undif.","Combretaceae","Commelina","Cyperaceae","Detarium","Dialium","Dichrostachys","Diospyros/Euclea t.","Elaeis","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Galium t.","Gardenia","Grewioideae","Harungana","Indeterminable","Ipomoea","Justicia t.","Kedrostis","Kohautia","Lamiaceae undif.","Landolphia","Lannea","Lepisanthes","Lophira","Lotus t.","Macaranga","Mallotus","Malva undif.","Maytenus","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Musanga","Myriophyllum alterniflorum t.","Myrtaceae undif.","Nauclea","Nymphaea","Ocimum","Onagraceae","Ormocarpum t.","Pancovia","Parkia","Petaloid monocot","Phoenix t.","Phyllanthus amarus","Phyllanthus undif.","Plantago","Poaceae","Polygala","Polygonum t.","Portulacaceae t.","Potamogeton","Prosopis t.","Pseudospondias microcarpa","Resedaceae undiff.","Rhamnaceae undif.","Rhizophora","Rubiaceae undif.","Rutaceae undif.","Salix","Salvadora","Sapindaceae undif.","Sapotaceae undif.","Scrophulariaceae undif.","Searsia","Securinega  t.","Sesbania","Sorindeia juglandifolia","Spergularia t.","Spermacoce","Spores","Syzygium t.","Tabernaemontana","Tamarix","Tapinanthus","Teclea","Tetracera alnifolia","Thickness (cm) [cm]","Tilia","Treculia","Trema","Trifolium t.","Triletes","Typha","Uapaca","Urtica t.","Verbena t.","Verbenaceae undif.","Vitaceae undif.","Ximenia","Zanthoxylum","Zygophyllaceae undif.","Zygophyllum t."
"2007.552","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","  39.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 569.000","   0.000","   0.000","   0.000","   0.000","  22.000","   0.000","   3.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  42.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000"," 737.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","  93.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000"," 114.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","   1.000","  33.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2226.25","  15.00","   0.00","   0.00","   0.00","   0.00","   0.00","  45.00","   0.00","   0.00","   1.00","   1.00","   0.00","   2.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   3.00","   0.00"," 517.00","   0.00","   0.00","   0.00","   0.00","  20.00","   0.00","   0.00","   0.00","   0.00","  13.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  52.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  10.00","   0.00"," 864.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00"," 106.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","  80.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","  27.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00"
"2444.948","  28.000","   0.000","   0.000","   0.000","   1.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"," 494.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","  19.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000"," 992.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   1.000","   0.000","  88.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","  77.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   5.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"
"2562.708","  35.000","   1.000","   0.000","   0.000","   0.000","   0.000","  18.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000"," 999.000","   1.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","1104.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","  86.000","   0.000","   2.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  32.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   4.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000"
"2781.406","  48.000","   0.000","   2.000","   0.000","   0.000","   0.000","  19.000","   0.000","   1.000","   2.000","   0.000","   4.000","   0.000","  18.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","  80.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  87.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","  59.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   8.000","   0.000","  44.000","   0.000","   0.000","   0.000","   0.000","   6.000","   1.000","1176.000","   2.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   2.000","   0.000","   0.000","   0.000","  16.000","  32.000","   0.000","   4.000","   0.000","  68.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  60.000","   0.000","   0.000","   0.000","   1.000","   1.000","   2.000","   0.000","   2.000","   0.000","   0.000","   0.000","   2.000","  17.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000"
"2983.281","  60.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  48.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   1.000","  47.000","   1.000","   0.000","   0.000","   0.000","   7.000","   0.000","   5.000","   0.000","   0.000","  92.000","   0.000","   0.000","   0.000","   4.000","   1.000","   0.000"," 134.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   4.000","   0.000","  81.000","   0.000","   0.000","   0.000","   0.000","  15.000","   1.000"," 367.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   1.000","   0.000","   1.000","   0.000","  66.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   6.000","   0.000","   0.000","   3.000","   2.000","   1.000","   0.000","   0.000","   0.000","   2.000","   4.000","  57.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"
"3151.51","  70.00","   0.00","   0.00","   0.00","   0.00","   0.00","  40.00","   1.00","   0.00","   2.00","   0.00","   0.00","   0.00","  26.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","  43.00","   2.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","  49.00","   0.00","   1.00","   0.00","   1.00","   1.00","   0.00","  81.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00","  20.00","   0.00"," 109.00","   0.00","   0.00","   0.00","   0.00","   5.00","   1.00"," 204.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","  26.00","   3.00","   0.00","   1.00","   0.00","  60.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","  15.00","   0.00","   3.00","   0.00","   0.00","   0.00","   2.00","   0.00","   2.00","   0.00","   0.00","   0.00","   4.00","  25.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00"
"3286.094","  78.000","   0.000","   0.000","   0.000","   3.000","   0.000","  31.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   8.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   4.000","   0.000"," 439.000","   6.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","  24.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  47.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","  13.000","   0.000","  93.000","   0.000","   1.000","   0.000","   0.000","  12.000","   4.000"," 813.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   3.000","   0.000","   0.000","   0.000","  33.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  39.000","  10.000","   0.000","   0.000","   0.000","   1.000","   4.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","  21.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   2.000"
"3521.615","  92.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  36.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","  48.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000"," 110.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  95.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  97.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   1.000","   0.000","   0.000","   0.000","  32.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000","   2.000","   0.000","   1.000","   0.000","   0.000","  12.000","   2.000","   0.000","   1.000","   2.000","   0.000","   0.000","   2.000","  22.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000"
"3841.25"," 111.00","   0.00","   0.00","   1.00","   0.00","   0.00","  25.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","  60.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","  64.00","   0.00","   0.00","   1.00","   3.00","   2.00","   0.00","   5.00","   4.00","   0.00","  39.00","   0.00","   6.00","   1.00","   2.00","   0.00","   1.00"," 105.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","  14.00","   0.00","  77.00","   0.00","   0.00","   0.00","   0.00","   3.00","   1.00","  91.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  74.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  12.00","   1.00","   0.00","   1.00","   0.00","   1.00","  10.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","  28.00","   0.00","   4.00","   0.00","   0.00","   9.00","   2.00","   0.00","   6.00","   0.00","   0.00","   1.00","   3.00"," 103.00","   0.00","   0.00","   2.00","   0.00","   0.00","   5.00","   0.00","   0.00"
