"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Adansonia digitata","Aerva type","Aeschynomene","Afraegle","Alchornea","Allophylus t.","Amaranthaceae undif.","Ambrosia t.","Anthocleista","Anthostema","Antidesma t.","Asteroideae undif.","Balanites","Bauhinia","Boscia","Bridelia","Canthium","Caperonia","Caryophyllaceae undif.","Cassia","Casuarina","Ceiba","Celastraceae undif.","Celtis","Centaurea","Cichorieae","Cissampelos","Cleome","Clutia","Combretaceae","Commelina","Commiphora","Cyperaceae","Detarium","Dichrostachys","Elaeis","Ephedra","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fagonia","Fern","Fern-Lycopodiaceae","Ficus","Galium t.","Gardenia","Gomphrena t.","Grewioideae","Heliotropium","Hyphaene t.","Indeterminable","Ipomoea","Ixora","Justicia t.","Kohautia","Lamiaceae undif.","Landolphia","Lannea","Lepisanthes","Macaranga","Maerua","Maytenus","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Musanga","Musanga/Myrianthus","Myriophyllum alterniflorum t.","Nymphaea","Ocimum","Onagraceae","Ormocarpum t.","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Piliostigma","Plantago","Poaceae","Polygala","Polygonum t.","Potamogeton","Rhizophora","Rubiaceae undif.","Salix","Salvadora","Sapindaceae undif.","Sapotaceae undif.","Searsia","Securinega  t.","Solanum","Spergularia t.","Spermacoce","Spondias","Spores","Syzygium t.","Tamarix","Tapinanthus","Tetracera alnifolia","Treculia","Trifolium t.","Triletes","Typha","Uapaca","Urtica t.","Vahlia","Vernonieae","Ximenia","Zanthoxylum","Zygophyllum t."
"  0","  5","  0","  0","  0","  3","  0","  1","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  2","  0","  0","  0","  0","  1","  0","  0","  1","  0","  1","  2","  1","225","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  7","  0","  1","  0","  0","  0","  0"," 46","  0","  0","  0","  0","  0","  0","  0","  0","891","  1","  1"," 24","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","407","  0","  0","  0","  0","  0","  0","  0"
"162.2005"," 17.0000","  2.0000","  0.0000","  0.0000"," 15.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 19.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  3.0000","  0.0000","  0.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  0.0000","  0.0000","214.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000"," 13.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 32.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","782.0000","  0.0000","  2.0000"," 65.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","404.0000","  0.0000","  1.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000"
"588.1364"," 35.0000","  2.0000","  0.0000","  0.0000"," 16.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 28.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  1.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  4.0000","  1.0000","  0.0000","184.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000"," 11.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 47.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","765.0000","  1.0000","  0.0000"," 43.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  9.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","435.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000"
"943.0829"," 50.0000","  4.0000","  0.0000","  0.0000","  8.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 20.0000","  2.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  2.0000","126.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  8.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 94.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","569.0000","  1.0000","  0.0000"," 80.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  2.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","819.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"1534.66","  75.00","   1.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   8.00","   1.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00"," 178.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","  10.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","  33.00","   0.00","   0.00","   2.00","   0.00","   1.00","   0.00","   0.00","   0.00"," 386.00","   1.00","   0.00","   7.00","   0.00","   0.00","   5.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00"," 345.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00"
"2126.238"," 100.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   1.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000"," 130.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","  13.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 100.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 782.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   8.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","1323.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2410.195"," 112.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   1.000","   0.000","   0.000","   0.000","   2.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  64.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   5.000","   1.000","   5.000","   0.000","   0.000","   0.000","   0.000","  79.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 640.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  14.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","1079.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000"
"2661.669"," 125.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   3.000","   2.000","   7.000","   0.000","   0.000","   1.000","   0.000","   9.000","   0.000","   1.000","   0.000","   1.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  20.000","   0.000","   0.000","  97.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  29.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   6.000","   0.000","   0.000","   0.000","   3.000","  11.000","  12.000","   0.000","   0.000","   0.000","   1.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 306.000","   0.000","   1.000","   0.000","  84.000","   0.000","   2.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   2.000","   2.000","   0.000","   3.000","   8.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","  43.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"
"2972.515"," 150.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   6.000","   1.000","   6.000","   0.000","   4.000","   5.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   8.000","   0.000","   1.000","   0.000","   0.000","   0.000","  26.000","   1.000","   0.000","  87.000","   0.000","   1.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  30.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   4.000","   2.000","   0.000","   0.000","   4.000","  22.000","   9.000","   0.000","   0.000","   0.000","   0.000","   6.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000"," 393.000","   0.000","   0.000","   0.000"," 124.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","  19.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  43.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3283.36"," 175.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   6.00","   0.00","   4.00","   0.00","   0.00","   3.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   2.00","   0.00","   0.00","   0.00","  23.00","   0.00","   0.00","  56.00","   1.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  18.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   4.00","  13.00","  11.00","   0.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 251.00","   0.00","   1.00","   0.00"," 143.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   4.00","  31.00","   0.00","   1.00","   0.00","   2.00","   0.00","   1.00","  31.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
