"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acacia t.","Acanthus","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Casuarina","Cedrus","Celtis","Centaurea","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Echium t.","Elaeagnus","Ephedra","Erica t.","Erodium","Eucalyptus","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fraxinus","Galium t.","Geranium","Hypericum undif.","Indeterminable","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lycopodium spike","Lythrum","Mercurialis","Myriophyllum undif.","Olea t.","Onagraceae","Ononis t.","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta (trilete)","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sarcopoterium","Scrophulariaceae undif.","Searsia","Secale","Solanum","Tamarix","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Vitis","Zea","Ziziphus/Paliurus"
" -62.8",NA,NA,"   2.5","   0.0","   0.0","   0.0","   0.0","   0.0","2293.0","   0.0","   0.0","  61.0","  20.0","   8.0","   0.0","  21.0","   0.0","  36.0","   0.0","  10.0","   0.0","   0.0","   8.0","   0.0","   1.0","   4.0","  12.0","   0.0","   0.0","   5.0","   0.0","  28.0","   3.0","   0.0","   1.0","  46.0","  17.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   3.0","   0.0","   5.0","   0.0","   1.0","   0.0","   0.0","   1.0","   1.0","   0.0","   9.0","   6.0","   3.0","   0.0","   0.0"," 706.0","   0.0","   0.0"," 151.0","  71.0","   0.0","   0.0","   0.0","  13.0","   0.0","   1.0","   4.0","   0.0"," 148.0","   7.0","  21.0","   2.0","   0.0"," 236.0","  10.0","  20.0","   4.0","   0.0","   3.0","   0.0","   0.0","  35.0"," 256.0","   0.0","   8.0","   0.0","   4.0","  10.0","   4.0","   5.0","   0.0","  47.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   3.0","   1.0","   0.0","   3.0","   2.0","   0.0","   1.0","   0.0","   0.0","   1.0"
" -24.9",NA,NA,"   8.5","   0.0","   0.0","   0.0","   0.0","   0.0","1614.0","   0.0","   3.0","  43.0","  39.0","   6.0","   0.0","  26.0","   0.0","  36.0","   0.0","  13.0","   0.0","   0.0","   3.0","   0.0","   0.0","   3.0","   6.0","   0.0","   0.0","   4.0","   0.0","  55.0","   0.0","   0.0","   2.0","  44.0","   5.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   4.0","   0.0","   2.0","   2.0","   0.0","   0.0","   0.0","   0.0","  10.0","   4.0","   0.0","   0.0","   0.0"," 618.0","   0.0","   0.0"," 102.0","  66.0","   0.0","   0.0","   2.0","   6.0","   0.0","   1.0","   0.0","   0.0"," 115.0","  17.0","  15.0","   3.0","   0.0"," 207.0","  13.0","  14.0","   1.0","   0.0","   3.0","   0.0","   1.0","  37.0"," 182.0","   2.0","   9.0","   0.0","   3.0","   6.0","   4.0","   3.0","   0.0","  40.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   3.0","   0.0","   0.0","   5.0","   2.0","   0.0","   0.0"
" -18.7",NA,NA,"   9.5","   0.0","   0.0","   0.0","   2.0","   0.0","4176.0","   0.0","   1.0","  64.0","  13.0","  16.0","   0.0","  21.0","   0.0","  49.0","   0.0","  13.0","   0.0","   0.0","   8.0","   1.0","   0.0","   5.0","   5.0","   0.0","   0.0","   5.0","   0.0","  29.0","   0.0","   0.0","   1.0","  83.0","  14.0","   1.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   6.0","   0.0","   6.0","   0.0","   1.0","   0.0","   1.0","   2.0","   0.0","   1.0","  20.0","   3.0","   3.0","   1.0","   0.0"," 834.0","   0.0","   0.0"," 157.0","  74.0","   0.0","   2.0","   0.0","  28.0","   0.0","   1.0","   1.0","   0.0"," 161.0","  15.0","  21.0","   2.0","   0.0"," 246.0","  11.0","  16.0","   4.0","   0.0","  16.0","   1.0","   0.0","  39.0"," 238.0","   2.0","  10.0","   0.0","   1.0","   5.0","   5.0","   6.0","   0.0","  29.0","   4.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0","   0.0","   0.0","   6.0","   1.0","   0.0","   3.0","   3.0","   0.0","   0.0"
"  13.1",NA,NA,"  14.5","   0.0","   0.0","   0.0","   0.0","   0.0","1020.0","   0.0","   2.0","  50.0","   0.0","  16.0","   0.0","  23.0","   0.0","  41.0","   0.0","  13.0","   0.0","   0.0","   7.0","   1.0","   0.0","  12.0","   7.0","   0.0","   0.0","   8.0","   0.0","  51.0","   1.0","   0.0","   1.0","  46.0","  19.0","   3.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   1.0","   0.0","   5.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","  12.0","   3.0","   2.0","   0.0","   0.0"," 592.0","   0.0","   0.0"," 218.0","  78.0","   0.0","   0.0","   0.0","  20.0","   0.0","   0.0","   3.0","   0.0","  95.0","  10.0","  31.0","   4.0","   0.0"," 232.0","   6.0","  18.0","   2.0","   0.0","   8.0","   0.0","   0.0","  26.0"," 231.0","   2.0","  15.0","   0.0","   0.0","  10.0","   1.0","   4.0","   0.0","  33.0","   2.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   5.0","   2.0","   0.0","   1.0","   2.0","   0.0","   3.0"
"  25.7",NA,NA,"  16.5","   0.0","   0.0","   0.0","   0.0","   0.0","2593.0","   0.0","   3.0","  41.0","   1.0","  10.0","   0.0","  24.0","   0.0","  42.0","   1.0","   9.0","   0.0","   1.0","   4.0","   0.0","   1.0","   7.0","   3.0","   0.0","   0.0","  12.0","   0.0","  52.0","   2.0","   0.0","   2.0","  40.0","  16.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   7.0","   2.0","   1.0","   0.0","   0.0"," 553.0","   0.0","   0.0"," 196.0","  70.0","   0.0","   0.0","   0.0","  22.0","   0.0","   0.0","   2.0","   0.0"," 105.0","  12.0","  20.0","   2.0","   0.0"," 258.0","   5.0","  11.0","   3.0","   0.0","  11.0","   0.0","   0.0","  13.0"," 181.0","   0.0","   5.0","   0.0","   0.0","  12.0","   1.0","   1.0","   0.0","  26.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   9.0","   0.0","   1.0","   5.0","   1.0","   0.0","   1.0"
"  44.5",NA,NA,"  19.5","   0.0","   0.0","   0.0","   0.0","   0.0","2115.0","   1.0","   3.0","  51.0","   0.0","  23.0","   0.0","  21.0","   0.0","  38.0","   0.0","  15.0","   0.0","   1.0","   8.0","   0.0","   2.0","   7.0","   6.0","   0.0","   0.0","  10.0","   0.0","  57.0","   1.0","   0.0","   2.0","  20.0","  15.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   8.0","   0.0","   4.0","   0.0","   2.0","   0.0","   3.0","   1.0","   0.0","   1.0","  17.0","   6.0","   2.0","   0.0","   0.0","1301.0","   2.0","   0.0"," 299.0","  70.0","   0.0","   0.0","   1.0","  30.0","   0.0","   0.0","   3.0","   0.0"," 103.0","   9.0","  18.0","   3.0","   0.0"," 239.0","  19.0","  17.0","   1.0","   1.0","  11.0","   1.0","   0.0","  25.0"," 193.0","   0.0","   6.0","   0.0","   1.0","   4.0","   3.0","   1.0","   0.0","  29.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   6.0","   1.0","   0.0","   2.0","   1.0","   1.0","   1.0"
"  75.8",NA,NA,"  24.5","   0.0","   0.0","   0.0","   0.0","   0.0","9540.0","   0.0","   0.0","  36.0","   1.0","   6.0","   0.0","  30.0","   0.0","  48.0","   0.0","  11.0","   1.0","   0.0","  11.0","   1.0","   2.0","   8.0","   9.0","   1.0","   0.0","   7.0","   0.0","  65.0","   2.0","   0.0","   0.0","  45.0","  29.0","   2.0","   1.0","   0.0","   0.0","   1.0","   1.0","   0.0","   5.0","   0.0","   7.0","   0.0","   2.0","   0.0","   2.0","   1.0","   1.0","   0.0","   9.0","   8.0","   3.0","   0.0","   0.0"," 597.0","   0.0","   0.0"," 270.0","  63.0","   0.0","   0.0","   0.0","  14.0","   0.0","   0.0","   2.0","   0.0","  90.0","  13.0","  13.0","   0.0","   0.0"," 315.0","  10.0","  18.0","   6.0","   0.0","  22.0","   0.0","   0.0","  25.0"," 179.0","   0.0","  10.0","   0.0","   1.0","   7.0","   4.0","   2.0","   0.0","  36.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   0.0","   7.0","   0.0","   0.0","   2.0","   3.0","   0.0","   0.0"
" 105.6",NA,NA,"  29.5","   0.0","   0.0","   0.0","   0.0","   0.0","1150.0","   0.0","   0.0","  33.0","   1.0","  15.0","   0.0","  40.0","   0.0","  56.0","   1.0","  11.0","   0.0","   0.0","   4.0","   1.0","   0.0","  13.0","   6.0","   0.0","   0.0","  14.0","   0.0","  62.0","   0.0","   0.0","   1.0","  13.0","  24.0","   1.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   1.0","   0.0","   4.0","   0.0","   4.0","   0.0","   0.0","   1.0","   0.0","   0.0","  12.0","   3.0","   4.0","   0.0","   0.0"," 712.0","   0.0","   0.0"," 352.0","  79.0","   0.0","   0.0","   2.0","  30.0","   0.0","   0.0","   0.0","   0.0"," 113.0","  18.0","  27.0","   4.0","   0.0"," 262.0","  48.0","  32.0","   3.0","   0.0","   9.0","   0.0","   1.0","  16.0"," 167.0","   0.0","  15.0","   0.0","   0.0","   5.0","   5.0","   3.0","   0.0","  29.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","  17.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0"
" 118.4",NA,NA,"  31.5","   0.0","   0.0","   0.0","   0.0","   0.0","1136.0","   0.0","   0.0","  33.0","   0.0","   4.0","   0.0","  43.0","   1.0","  33.0","   0.0","   7.0","   0.0","   0.0","   2.0","   0.0","   0.0","   5.0","   2.0","   0.0","   0.0","  16.0","   0.0","  42.0","   0.0","   0.0","   1.0","  23.0","   5.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   3.0","   0.0","   1.0","   0.0","   1.0","   3.0","   0.0","   0.0","   9.0","   1.0","   2.0","   0.0","   0.0"," 693.0","   0.0","   0.0"," 339.0","  70.0","   0.0","   0.0","   0.0","  19.0","   0.0","   0.0","   2.0","   0.0","  66.0","  18.0","  19.0","   1.0","   0.0"," 281.0","   5.0","  20.0","   5.0","   0.0","   7.0","   0.0","   0.0","  17.0"," 147.0","   0.0","   9.0","   0.0","   1.0","  10.0","   6.0","   2.0","   0.0","  29.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   4.0","   2.0","   0.0","   9.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0"
" 144.2",NA,NA,"  35.5","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   2.0","  25.0","   1.0","   8.0","   0.0","  58.0","   0.0","  33.0","   0.0","   6.0","   0.0","   0.0","   4.0","   2.0","   0.0","   7.0","   0.0","   0.0","   0.0","   6.0","   0.0","  18.0","   0.0","   0.0","   0.0","   3.0","   7.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   2.0","  10.0","   2.0","   2.0","   0.0","   0.0","1683.0","   0.0","   0.0"," 730.0","  42.0","   0.0","   0.0","   3.0","   6.0","   0.0","   1.0","   1.0","   0.0","  20.0","  20.0","  21.0","   2.0","   0.0"," 355.0","  10.0","   7.0","   5.0","   0.0","  77.0","   0.0","   0.0","  29.0"," 169.0","   0.0","  18.0","   0.0","   1.0","  13.0","  10.0","   0.0","   0.0","  35.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","  11.0","   1.0","   0.0","   2.0","   3.0","   0.0","   0.0"
