"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cercis","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fallopia","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Humulus","Ilex","Indeterminable","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lonicera","Loranthus","Lycopodium spike","Lythrum","Malva undif.","Mercurialis","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Myrtus","Olea t.","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sarcopoterium","Saxifraga t.","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Staphylea","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Triletes","Typha","Ulmus t.","Urtica t.","Valeriana t.","Viburnum","Viola","Vitis"
"2019",NA,NA,"350","1.6","3","0","0","0","0","25","1","0","0","0","5","1","8","0","5","3","0","0","1","6","6","0","10","3","0","0","1","0","0","79","1","0","2","11","0","0","4","0","6","0","2","0","0","1","1","0","0","0","12","0","1","2","0","0","0","0","0","2","1","1","0","0","0","2","0","0","0","0","0","70","0","6","6","2","0","0","151","3","2","0","0","0","353","21","2","3","0","1","0","3","0","0","0","0","0","2","0","0","13","0","0","0","0","0","2","0","1","3","5","0","0","0","0","2"
"2066",NA,NA,"358","1.8","8","1","0","0","1","6","0","0","0","0","5","0","4","0","9","0","0","0","4","3","1","0","2","0","0","0","2","1","0","44","0","0","0","16","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","6","0","0","0","0","0","6","0","1","0","0","0","9","0","0","0","0","0","42","0","10","11","2","0","0","155","8","0","0","0","0","344","16","0","0","0","0","0","7","0","0","0","1","0","1","0","0","15","0","0","0","2","0","1","0","0","8","7","0","0","0","0","1"
"2113",NA,NA,"366","1.7","3","0","0","0","6","9","0","0","11","0","5","0","7","0","16","1","0","0","2","9","0","0","3","0","0","0","1","0","3","29","0","0","2","17","1","0","1","0","2","0","3","0","0","0","0","0","0","0","11","0","5","13","0","0","0","0","0","152","0","6","1","0","0","6","0","0","0","0","1","153","0","5","12","10","1","0","691","4","0","0","0","0","202","45","0","1","1","0","1","3","5","2","0","4","0","2","1","0","25","0","0","0","0","0","0","0","0","1","1","0","0","0","0","4"
"2161",NA,NA,"374","1.4","3","0","0","0","1","3","1","0","1","0","4","0","6","0","16","1","0","0","1","1","0","0","1","0","0","0","3","0","1","27","0","1","0","8","0","1","2","0","1","0","2","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","1","0","2","0","0","0","2","0","0","0","0","0","103","0","3.5","9","6","2","0","193","4","2","0","0","0","113","38","2","241","0","0","2","1","2","0","0","1","0","2","0","0","4","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0"
"2208",NA,NA,"382","2","2","0","0","0","3","6","0","0","3","0","3","1","10","0","12","1","1","1","3","9","0","0","7","0","0","0","5","0","1","51","0","0","0","25","0","0","3","0","3","0","4","0","0","0","0","0","0","0","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","233","0","2.5","3","4","0","0","1175","9","11","0","0","0","127","67","4","24","0","0","2","0","2","0","0","1","0","0","0","0","64","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0"
"2256",NA,NA,"390","2.7","1","0","0","1","0","3","2","1","1","0","4","1","9","0","11","3","0","0","2","2","3","0","8","2","0","0","6","0","0","115","0","0","1","14","0","0","2","0","3","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","2","0","0","0","6","0","0","0","0","0","292","0","3","4","4","1","0","1074","11","18","0","0","0","103","39","0","20","0","0","1","2","0","0","0","1","0","1","0","0","28","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1"
"2303",NA,NA,"398","1.6","3","0","0","0","2","2","1","0","2","0","8","2","12","0","6","1","0","0","0","6","4","0","16","1","0","0","1","0","0","136","0","0","1","12","0","0","1","0","6","0","3","0","0","0","0","0","0","0","16","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","1","272","0","2.5","8","8","0","0","773","5","34","0","0","0","124","47","0","18","0","0","3","1","1","0","0","1","0","2","0","0","24","0","0","0","1","0","0","1","4","1","2","0","0","0","0","1"
"2339",NA,NA,"406","1.8","3","0","0","0","0","5","3","0","0","0","3","11","25","0","4","0","0","1","0","8","2","0","79","1","0","0","1","0","1","139","0","0","1","10","0","0","0","0","14","2","0","0","0","3","0","0","0","0","11","0","0","1","0","0","0","0","0","0","0","3","0","0","0","7","0","0","0","0","0","173","0","4","4","5","0","0","457","1","14","0","0","0","45","17","0","5","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","1","0","0","0","4","0","0","0","0","0","0","0"
"2365",NA,NA,"414","2","6","0","0","0","3","1","0","0","9","0","5","21","39","0","8","2","0","0","1","19","10","0","195","1","2","0","2","0","0","44","0","0","2","4","1","4","0","0","23","0","1","0","0","9","0","0","0","0","16","0","0","1","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","1","107","0","9","1","0","0","0","145","12","8","0","0","0","67","13","0","3","0","0","0","1","0","0","0","1","0","0","1","0","12","0","0","0","10","0","0","2","9","0","1","0","2","0","0","1"
"2390",NA,NA,"422","1.8","0","0","0","0","1","7","1","1","1","0","3","1","12","0","0","0","0","0","2","8","3","0","41","0","0","0","0","0","0","189","0","0","0","14","1","0","0","0","8","0","0","0","0","6","0","0","1","0","12","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","53","0","9.5","2","4","0","0","73","8","15","0","0","0","68","2","0","1","0","0","1","2","1","0","0","1","0","0","0","0","3","0","0","0","1","0","0","0","6","0","2","0","0","0","0","0"
