"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cercis","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fallopia","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Humulus","Ilex","Indeterminable","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lonicera","Loranthus","Lycopodium spike","Lythrum","Malva undif.","Mercurialis","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Myrtus","Olea t.","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sarcopoterium","Saxifraga t.","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Staphylea","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Triletes","Typha","Ulmus t.","Urtica t.","Valeriana t.","Viburnum","Viola","Vitis"
"2750",NA,NA,"536","2","4","0","0","0","1","2","0","0","0","0","0","0","4","0","7","0","0","1","1","5","1","0","5","1","1","0","1","0","0","132","1","0","1","25","0","0","1","0","1","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","19","0","11.5","6","7","1","0","27","2","0","0","0","0","193","5","1","23","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2775",NA,NA,"544","1.6","2","0","0","13","0","2","0","0","0","1","1","1","14","0","3","0","0","1","0","10","2","0","20","1","0","0","4","0","0","741","1","0","0","13","0","0","1","0","6","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","11","1","4","0","0","28","5","0","0","0","0","120","0","0","9","0","0","0","0","1","0","0","0","0","0","0","1","10","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0"
"2805",NA,NA,"552","1.7","8","0","0","1","2","8","0","0","3","0","3","3","35","0","7","0","0","1","2","25","2","0","38","1","0","0","2","0","0","486","0","0","0","35","2","0","2","0","8","0","0","0","0","0","0","0","0","0","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","8.5","1","1","0","0","82","3","0","0","0","0","209","7","0","23","0","0","3","0","0","0","0","0","0","0","0","0","10","0","1","0","0","1","1","0","0","0","3","0","0","0","0","0"
"2841",NA,NA,"560","1.6","2","0","0","0","0","5","0","0","0","0","7","1","15","0","9","0","0","0","0","10","4","0","8","1","0","0","2","0","0","224","0","0","1","81","0","0","3","0","6","0","2","0","0","0","0","0","0","0","6","0","0","1","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","1","0","4","0","8.5","3","1","0","0","47","1","0","0","0","0","341","19","0","9","1","0","0","1","0","0","0","0","0","1","0","0","6","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0"
"2877",NA,NA,"568","1.3","0","0","0","0","1","8","0","0","0","0","10","1","11","1","23","3","0","0","1","21","1","0","4","1","0","0","2","1","0","1234","0","0","0","48","0","1","0","8","5","0","3","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","5","0","0","0","2","0","0","0","0","4","21","0","10.5","15","12","0","0","92","10","4","0","2","0","351","19","1","36","0","0","0","0","3","0","0","0","0","1","3","0","15","0","0","0","3","0","0","0","0","0","4","0","0","0","0","1"
"2913",NA,NA,"576","1.8","1","0","0","0","5","8","0","0","2","0","13","1","16","4","16","1","0","1","3","44","5","0","4","2","0","0","2","2","0","853","1","0","0","38","2","0","8","32","11","0","3","0","0","0","0","0","0","0","8","0","0","3","0","0","0","0","0","1","1","2","0","0","0","2","0","0","0","0","3","27","0","11","15","11","0","1","44","8","4","0","0","0","321","34","1","39","0","0","1","0","0","0","0","1","0","0","1","0","34","0","0","0","0","0","1","1","1","0","1","0","0","0","0","1"
"2949",NA,NA,"584","1.1","3","2","0","0","1","12","0","0","4","0","13","2","12","3","19","0","0","1","4","49","5","0","16","0","0","0","3","0","0","930","0","0","0","32","0","0","8","59","11","0","1","0","0","0","0","0","0","0","10","0","0","1","0","0","0","0","0","0","0","2","0","1","0","1","0","0","0","0","8","23","0","8.5","12","6","0","0","58","8","4","0","0","0","340","19","0","38","0","0","0","0","3","0","0","0","0","2","6","0","17","0","0","0","1","0","0","1","0","0","3","0","0","0","0","0"
"2985",NA,NA,"592","1.6","4","2","0","5","2","10","0","5","0","0","8","5","38","15","7","2","0","4","3","23","12","0","98","1","0","0","2","0","0","1240","3","0","0","28","0","0","20","1","20","0","0","0","0","0","0","0","0","0","10","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","19","0","19","2","10","0","0","94","7","1","0","0","0","346","11","1","16","0","0","1","1","2","1","0","1","0","1","4","0","5","0","0","0","1","0","0","0","2","2","1","0","0","0","0","0"
"3021",NA,NA,"600","2.6","1","1","0","1","3","6","0","3","0","0","8","9","33","1","16","0","0","0","3","9","3","0","79","2","0","0","6","0","0","340","4","0","0","33","0","0","7","3","9","0","1","1","0","3","1","0","0","0","9","0","0","0","0","1","3","0","0","0","0","1","0","0","0","2","0","0","0","0","0","9","0","16.5","2","10","0","0","152","13","0","0","0","0","355","6","0","18","0","0","0","0","0","0","0","0","0","0","2","3","7","0","0","0","3","0","2","0","6","1","1","0","0","0","0","1"
"3057",NA,NA,"608","0.7","4","0","0","1","1","17","10","1","2","0","23","3","11","19","8","0","0","1","1","1","9","0","34","0","0","0","2","0","0","674","0","0","0","19","1","0","22","0","9","0","0","0","0","0","0","0","1","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","14","2","19","2","3","0","0","481","0","2","0","0","0","203","4","0","5","0","0","2","0","0","0","0","0","0","0","10","0","7","0","0","0","1","0","1","0","3","1","0","0","0","0","0","0"
"3093",NA,NA,"616","1.6","6","1","0","6","4","11","6","0","0","1","3","3","16","14","5","1","0","1","2","22","12","0","60","0","0","0","0","0","0","1249","2","0","0","19","0","0","20","0","14","0","0","0","0","0","0","0","1","0","8","0","0","1","0","0","0","0","0","1","0","1","0","0","0","3","0","0","0","0","5","9","1","14","4","3","0","0","405","13","3","0","0","0","146","6","0","4","0","0","1","2","0","0","0","0","0","0","5","0","4","0","0","0","1","0","0","1","3","3","5","0","0","0","0","0"
"3129",NA,NA,"624","1.9","4","1","0","0","3","13","0","0","2","0","9","5","28","9","10","2","0","2","2","6","12","0","139","0","0","0","0","0","0","1228","6","0","0","28","2","0","26","0","5","0","0","0","0","1","0","0","0","0","18","0","0","1","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","25","0","9","2","5","0","0","86","27","6","0","1","0","158","9","0","8","0","0","0","0","2","0","0","1","0","0","3","0","4","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0"
"3165",NA,NA,"632","1.4","6","0","0","0","0","8","0","1","0","0","3","5","17","1","1","0","0","0","1","13","7","0","68","2","0","0","0","0","0","295","5","0","0","41","1","0","2","0","3","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","24","0","15.5","5","2","0","0","16","14","0","0","0","0","140","5","0","27","0","0","0","0","0","0","0","3","0","0","0","0","6","0","0","0","0","0","1","0","9","0","0","0","0","0","0","0"
"3201",NA,NA,"640","1.8","4","1","1","1","2","4","0","1","1","0","6","6","16","0","6","0","0","0","0","8","8","0","25","3","0","0","3","0","0","48","2","0","1","78","1","0","1","0","10","0","0","0","0","1","2","0","0","0","2","0","0","2","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","16","0","9.5","2","8","0","0","146","10","1","0","0","0","111","15","0","10","0","0","0","0","0","0","0","3","0","0","1","0","12","0","0","0","0","0","0","0","2","5","3","0","0","0","0","0"
"3237",NA,NA,"648","2","5","0","0","1","2","9","0","2","5","0","5","6","40","0","11","6","0","1","2","6","3","0","74","1","0","0","3","0","0","192","0","0","0","38","1","0","0","0","16","0","0","0","0","0","0","0","0","0","7","0","0","1","0","0","3","0","0","0","0","2","0","0","0","1","0","0","0","0","4","21","0","8","5","11","0","0","121","20","0","0","0","0","153","10","0","14","0","0","2","0","2","0","0","2","0","0","0","0","5","0","0","0","4","0","0","0","8","0","2","0","0","0","0","2"
"3273",NA,NA,"656","1.4","2","0","0","0","0","7","0","1","1","0","2","4","30","1","13","3","0","2","4","9","9","0","81","3","1","0","0","0","0","145","6","0","0","22","0","0","1","0","15","0","1","0","0","1","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","1","11","0","14","3","6","0","0","47","19","4","0","0","0","77","5","0","19","0","0","1","0","1","0","0","0","0","0","3","0","4","0","0","0","2","0","0","0","9","1","4","0","0","0","0","0"
"3309",NA,NA,"664","1.8","4","1","0","4","1","8","0","0","2","0","6","7","28","0","10","3","0","2","0","10","3","0","28","0","0","0","1","1","1","873","1","0","0","37","0","0","0","0","8","0","0","0","0","1","0","0","0","0","11","0","0","1","0","0","1","1","0","0","0","9","0","0","0","1","0","0","0","0","3","16","0","12","9","15","0","0","81","9","3","0","7","1","150","20","0","40","0","0","0","0","2","0","0","2","0","0","2","0","10","0","0","1","1","0","0","0","0","0","1","0","0","0","0","2"
"3345",NA,NA,"672","1.8","1","0","0","1","1","0","0","2","3","0","2","0","45","0","12","3","0","4","0","6","5","0","35","1","0","0","2","0","1","234","2","0","0","54","0","1","1","0","12","0","0","0","0","0","1","0","0","0","6","0","0","0","0","0","0","0","0","1","0","3","0","0","0","1","0","0","0","0","1","15","0","23","9","4","0","0","80","9","17","0","0","0","146","12","0","39","0","0","0","0","2","0","0","0","0","0","2","1","14","0","0","0","1","0","1","1","4","4","2","0","0","0","0","1"
"3381",NA,NA,"680","2.2","2","0","0","0","0","23","0","0","3","0","7","2","33","0","9","6","0","4","1","8","3","0","48","1","1","0","1","0","0","112","2","0","0","105","0","1","2","0","14","0","0","0","0","1","0","0","1","0","3","0","0","1","0","0","0","0","0","2","1","0","0","0","0","3","0","0","0","0","1","10","1","10.5","2","6","0","0","60","5","3","0","0","0","196","21","0","38","0","0","0","0","2","0","0","1","0","2","1","0","1","0","0","0","1","0","1","1","0","1","2","0","0","0","0","0"
"3417",NA,NA,"688","1.8","14","0","1","0","2","19","0","1","3","1","3","4","42","1","13","2","0","1","4","48","7","0","56","2","0","0","9","0","1","160","2","0","0","93","0","0","10","0","6","0","2","0","0","0","0","0","0","0","7","0","0","11","0","0","0","0","0","6","0","0","0","0","0","7","0","0","0","0","1","42","0","32","7","8","0","0","102","22","6","0","0","0","214","18","1","109","0","0","2","1","1","0","0","2","0","0","0","0","1","0","0","0","4","0","0","0","2","4","3","0","0","1","0","2"
"3453",NA,NA,"696","2.2","2","0","0","0","3","14","13","1","6","0","6","2","39","1","26","4","0","0","1","5","4","0","31","1","0","0","6","0","0","143","1","0","0","85","0","0","3","0","8","0","4","0","0","1","0","0","0","0","4","0","0","3","0","0","0","0","0","1","0","16","0","0","1","5","0","0","0","0","1","17","0","17","3","25","0","0","565","11","6","0","0","0","282","24","5","6","0","0","1","0","0","0","0","19","0","0","1","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","0","1"
"3489",NA,NA,"704","1.7","0","0","0","0","0","0","29","0","0","0","1","0","2","0","0","1","0","1","0","0","1","0","2","0","0","0","0","0","0","32","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"3525",NA,NA,"712","1.8","2","0","0","0","0","7","250","0","1","0","2","5","57","0","0","1","0","0","1","3","3","0","89","0","0","0","0","0","0","343","3","0","0","12","1","0","0","0","5","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","3","0","5","0","7","0","1","0","0","63","16","0","0","0","0","57","2","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"3561",NA,NA,"720","1.8","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3597",NA,NA,"728","2","1","0","0","1","2","14","29","1","2","0","3","2","41","1","10","2","0","1","3","8","26","0","76","0","0","0","0","0","0","196","2","0","0","37","1","0","1","0","15","0","0","0","0","0","0","0","0","0","9","0","0","4","0","0","1","0","0","0","1","5","0","0","0","0","0","0","0","0","2","15","0","17","6","22","0","0","69","10","1","0","0","0","195","6","0","7","0","0","1","0","0","0","0","1","0","2","0","0","0","0","0","0","4","0","0","2","3","0","2","0","0","0","0","2"
"3632",NA,NA,"736","2.2","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","1","0","0","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3668",NA,NA,"744","2","8","0","0","0","1","8","0","4","4","1","4","10","19","0","11","1","0","2","2","4","6","0","75","2","0","0","5","0","1","45","5","0","1","24","0","0","3","0","16","0","1","0","0","1","0","0","0","0","9","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","14","0","14.5","1","10","0","0","34","8","0","0","0","0","197","4","2","5","0","0","0","0","0","0","0","1","0","0","1","0","2","0","0","0","1","1","2","0","6","0","4","0","0","0","0","1"
"3704",NA,NA,"752","2","3","0","0","1","1","5","0","2","0","0","1","23","29","0","1","0","0","0","0","13","4","0","110","0","0","0","0","0","0","19","0","0","0","6","0","0","1","0","11","0","0","0","0","1","0","0","0","0","20","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","3","0","5","0","1","0","0","12","5","0","0","0","0","56","2","0","2","0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","1","0","0","1","7","0","1","0","0","0","0","0"
"3740",NA,NA,"760","1.9","10","0","0","0","1","7","0","2","1","0","3","4","20","2","7","3","0","1","1","12","20","0","10","1","0","0","2","0","0","84","6","0","0","4","3","0","5","0","11","0","0","0","0","2","0","0","1","0","4","0","0","2","0","0","0","0","0","3","0","2","0","0","0","1","0","0","0","0","1","27","0","12.5","8","13","0","0","40","11","0","0","0","0","335","16","0","34","0","0","0","0","2","0","0","1","0","2","0","0","1","0","0","0","1","0","1","0","3","5","2","0","0","0","0","1"
"3776",NA,NA,"768","2","8","0","0","0","2","5","0","7","0","0","2","2","12","0","10","1","0","1","2","5","7","0","33","1","0","0","2","1","1","262","0","0","0","31","0","0","6","0","12","0","1","2","0","0","0","0","0","0","3","0","0","3","0","0","2","0","0","1","0","2","0","0","0","1","0","1","0","0","1","30","0","14","12","3","0","0","41","14","0","0","0","0","358","3","0","31","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","1","0","3","0","10","2","0","0","0","0","0","0"
"3812",NA,NA,"776","1.6","4","0","0","0","0","7","0","49","5","0","4","19","34","0","12","0","0","6","3","24","5","0","82","6","0","0","0","0","1","103","35","0","1","29","2","0","0","0","34","0","0","2","0","9","0","0","0","0","6","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","1","13","0","8","3","4","0","0","31","9","0","0","0","0","280","9","0","30","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","4","0","4","1","30","1","0","0","0","1","0","0"
"3848",NA,NA,"784","1.8","17","0","0","0","2","9","0","0","1","0","6","6","11","1","13","3","0","0","4","15","4","0","18","0","0","0","5","0","0","156","0","0","1","36","0","1","4","0","6","0","1","0","0","0","0","0","0","0","8","0","0","2","0","0","1","0","0","2","0","3","0","0","0","0","0","0","0","1","3","11","0","20.5","4","2","0","0","57","4","2","0","0","0","346","10","0","4","0","0","1","0","0","0","0","0","0","2","0","0","14","0","0","0","1","0","0","0","2","6","1","0","0","0","0","2"
"3952",NA,NA,"807","1.8","6","0","0","0","3","7","0","0","0","1","1","0","9","1","26","0","0","0","2","8","3","0","3","1","0","0","7","0","0","129","0","0","1","37","0","1","3","0","6","0","4","0","0","1","2","0","0","0","6","0","0","4","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","13","0","10","12","9","0","0","53","5","1","0","0","0","331","17","0","14","0","0","0","0","4","0","1","0","0","1","1","0","3","0","0","0","1","0","0","0","0","1","2","0","0","0","0","2"
"3983",NA,NA,"814","1.6","13","0","0","0","0","10","0","0","2","0","3","2","15","0","13","2","0","0","5","4","3","0","6","1","0","0","8","0","0","181","0","0","2","50","1","0","5","0","8","0","0","1","0","0","1","0","0","0","3","0","0","4","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","1","21","0","12.5","4","3","0","0","25","7","3","0","0","0","325","20","0","7","0","0","1","0","1","0","0","0","0","0","0","0","15","0","0","0","1","0","2","0","1","13","4","0","0","0","0","0"
"4019",NA,NA,"822","2","23","1","0","0","0","9","0","1","1","0","0","2","10","0","12","0","0","1","1","4","1","0","10","0","0","0","2","0","0","205","1","0","0","31","2","1","2","0","19","0","0","0","0","0","2","0","0","0","9","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","26.5","5","1","0","0","19","6","0","0","0","0","354","5","0","31","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","1","0","3","17","4","0","0","0","0","0"
"4055",NA,NA,"830","2","6","0","0","0","0","9","0","0","1","0","5","3","11","0","26","2","0","1","4","3","2","0","19","0","0","0","3","0","1","124","1","0","0","35","0","0","3","0","10","0","4","0","0","0","2","0","1","0","3","0","0","2","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","21","0","9.5","8","7","0","0","39","4","1","0","0","0","353","10","1","18","0","0","2","2","1","1","0","2","0","2","1","0","2","0","0","0","0","0","0","0","0","3","2","0","0","0","0","1"
"4091",NA,NA,"838","1.5","10","0","0","0","3","10","0","1","2","0","3","4","15","0","19","0","0","1","2","5","3","0","19","1","0","0","5","0","0","438","1","0","0","14","0","1","0","0","7","0","2","0","0","0","0","0","0","0","13","0","0","2","0","0","0","0","0","0","3","4","0","0","0","1","0","0","0","0","1","13","0","6.5","2","6","0","0","69","13","4","0","0","0","390","8","3","32","0","0","2","0","2","0","0","0","0","0","0","0","5","0","0","0","0","0","3","0","2","1","1","0","0","0","0","1"
"4127",NA,NA,"846","2.1","11","0","0","0","1","13","0","3","0","0","2","2","23","0","16","3","0","5","3","5","5","0","36","1","0","0","5","0","1","217","3","0","0","44","0","0","4","0","30","0","3","0","0","0","2","0","0","0","5","1","0","1","0","0","1","0","0","1","0","1","0","0","0","7","0","0","0","1","1","16","0","22.5","1","6","0","0","57","2","1","0","0","0","315","10","1","29","0","0","0","0","3","0","0","0","0","2","0","0","3","0","0","0","4","0","4","0","5","0","0","0","0","0","0","1"
"4172",NA,NA,"856","1.5","2","0","0","0","4","5","0","0","4","1","2","6","15","0","19","2","0","0","3","6","3","0","33","0","0","0","4","0","0","158","1","0","0","26","0","0","1","0","15","0","4","0","0","1","0","0","0","0","6","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","60","0","6","4","11","0","0","45","4","3","0","0","0","353","9","0","23","0","0","0","0","5","1","0","1","0","0","0","0","5","0","0","0","0","0","0","0","4","0","3","0","0","0","0","2"
"4208",NA,NA,"864","2.1","12","0","0","0","0","10","0","0","5","0","2","0","13","2","13","2","0","3","1","1","7","0","24","0","1","0","3","0","0","358","2","0","1","34","0","2","4","0","14","0","3","0","0","1","0","0","0","0","8","0","0","11","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","29","0","13.5","5","2","0","0","71","8","1","0","0","0","345","11","1","13","0","0","1","1","0","0","0","2","0","2","1","0","8","0","0","0","4","0","0","0","0","0","3","1","0","0","0","3"
"4244",NA,NA,"872","2","10","1","0","0","2","9","0","0","5","1","4","4","13","0","9","2","0","0","1","8","17","0","14","3","0","0","2","0","0","608","1","0","1","68","0","0","2","0","14","0","2","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","25","0","18.5","5","3","0","0","60","4","11","0","0","0","303","20","0","4","0","0","2","1","0","0","0","0","1","5","1","0","4","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0"
"4280",NA,NA,"880","1.7","3","1","0","0","4","9","0","1","2","1","6","4","14","0","23","0","0","2","1","8","12","0","10","4","0","0","5","0","0","352","0","0","0","53","0","1","1","0","6","0","3","0","0","0","0","0","0","0","5","0","0","1","1","1","0","0","0","0","0","10","0","0","0","2","0","0","0","1","0","23","0","7","7","7","0","0","111","7","4","0","0","1","307","34","0","1","0","0","3","1","3","0","0","1","0","0","0","0","10","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1"
"4316",NA,NA,"888","1.8","21","0","0","3","6","9","0","0","1","1","3","4","16","1","21","1","0","1","3","14","6","0","25","3","0","0","9","0","0","982","0","0","1","73","0","1","1","0","13","0","1","0","0","1","1","0","0","0","7","0","0","2","0","1","0","0","0","3","0","2","0","0","0","4","0","0","0","6","0","21","0","25","5","3","0","0","44","5","1","0","0","0","201","28","0","7","0","0","3","0","0","0","0","0","0","1","0","0","49","0","0","0","1","0","0","0","2","0","4","0","0","0","0","1"
"4352",NA,NA,"896","2","15","0","0","0","5","18","0","0","1","0","2","4","20","1","10","4","0","0","5","35","4","0","53","5","1","0","4","0","0","54","1","0","1","73","0","0","4","0","20","0","0","0","0","4","1","0","0","0","9","0","0","6","0","0","0","0","0","16","0","0","0","0","0","4","0","0","0","4","0","13","1","43","1","2","0","0","140","7","0","0","0","0","222","7","0","1","0","0","1","1","0","0","0","1","0","0","0","0","737","0","0","0","3","0","2","1","6","2","1","0","0","0","0","1"
"4388",NA,NA,"904","1.7","6","0","0","0","5","10","0","6","10","2","7","21","45","1","24","4","0","4","2","87","10","0","79","6","0","0","3","1","4","37","2","0","1","39","0","1","2","0","48","0","8","0","0","3","0","0","0","1","14","0","0","3","0","0","0","0","0","2","0","8","0","0","3","1","0","0","0","0","0","14","0","8.5","4","11","0","0","457","8","2","0","0","0","310","18","0","2","0","0","0","2","4","0","0","1","0","0","0","0","145","0","0","0","8","0","0","0","24","0","3","0","0","0","0","3"
