"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Centranthus t.","Ceratonia","Chamaerops","Cichorieae","Cistaceae","Citrus","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Ficus","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentiana t.","Geranium","Hedera","Heliotropium","HippophaÃ« rhamnoides","Humulus","Hydrocotyle","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Ligustrum","Linum t.","Lotus t.","Lycium","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Malva undif.","Matthiola","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nerium","Nymphaea","Olea t.","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Potamogeton","Potentilla t.","Protist","Prunus t.","Psoralea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Ribes","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Secale","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valeriana","Viburnum","Viola","Vitis","Zea","charcoal"
"1542.833",NA,NA,"370.00","1","0","0","0","0","1","5","0","13","0","17","0","0","8","0","8","0","0","1","31","0","0","0","2","0","0","0","0","3","0","0","76","18","3","0","0","0","0","6","0","41","1","0","2","0","0","0","0","0","1","1","0","0","0","0","3","0","0","0","0","2","0","0","0","0","3","0","1","0","0","16","0","0","3","0","215","0","0","0","1","0","2","0","0","0","0","0","0","17","0","4","0","15","0","0","0","0","2","65","22","0","0","35","2","0","0","1","1","0","0","0","0","0","17","24","1","0","2","0","0","2","0","0","29","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0"
"1670.917",NA,NA,"384.00","1","0","0","0","0","3","28","0","19","0","3","0","0","4","0","11","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","38","17","7","0","0","0","0","4","0","16","0","0","2","1","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","278","0","0","0","1","0","2","0","0","0","0","0","0","3","0","1","0","4","0","0","0","0","1","31","40","0","0","62","3","0","0","0","0","0","0","0","0","0","4","18","1","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","3","0","4","0","1","1","0","0","5","0","0","6","0","0","0","0","0","0","0"
"1780.702",NA,NA,"396.00","1","0","0","0","0","0","24","0","3","0","6","0","0","7","0","11","0","0","0","11","0","0","0","2","0","0","1","0","0","0","0","37","24","5","0","0","0","0","4","0","22","0","0","1","3","0","0","0","0","0","0","0","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","305","0","0","0","0","0","1","0","0","0","0","0","0","8","0","3","0","5","1","0","0","0","5","29","12","0","0","42","2","0","0","0","2","0","0","0","0","0","13","22","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","3","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"1879.299",NA,NA,"408.00","1","0","0","0","0","1","31","0","3","0","6","4","0","11","0","7","0","2","0","6","1","0","0","0","0","0","0","0","2","0","0","40","10","3","0","0","0","0","67","0","32","1","0","3","1","0","0","0","0","1","2","0","0","0","0","16","6","1","0","0","0","0","0","0","0","1","0","0","0","1","4","1","1","1","0","595","0","0","1","0","0","3","0","0","0","1","0","0","18","0","5","0","5","0","0","0","3","0","55","18","0","1","71","0","0","0","1","1","0","0","0","0","11","23","0","0","0","0","0","0","0","0","2","23","16","1","0","0","0","0","0","1","0","5","19","1","0","0","1","0","1","0","1","4","0","0","0","0","0","0","0"
"1999.748",NA,NA,"423.00","1","0","0","0","0","0","46","0","2","0","3","0","0","2","0","9","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","16","14","5","0","0","0","0","18","0","14","0","0","3","1","0","0","0","0","0","0","0","4","0","0","9","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","319","0","0","0","0","0","3","0","0","0","0","0","0","6","0","0","0","3","5","0","0","0","0","20","5","0","0","30","0","0","0","0","0","0","0","0","0","0","7","15","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"2055.957",NA,NA,"430.00","1","0","0","0","0","0","14","0","0","0","2","0","0","3","0","5","0","2","0","7","0","0","0","0","0","0","0","0","0","0","0","16","13","7","0","0","0","0","16","0","7","0","0","5","0","0","0","0","0","0","1","0","2","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","214","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","5","0","0","0","3","39","5","0","0","22","4","0","0","0","1","0","0","0","0","0","9","12","0","0","0","0","0","0","0","1","13","0","2","0","0","0","0","0","0","0","0","6","0","4","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"2136.256",NA,NA,"440.00","1","0","0","0","1","4","50","0","15","0","32","3","0","14","0","11","0","2","0","12","0","0","0","0","0","1","0","0","0","0","0","7","19","0","0","0","1","0","31","0","63","1","3","0","1","0","0","1","1","1","1","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","295","0","0","1","0","0","21","0","0","0","0","1","0","22","1","2","0","2","1","0","1","3","0","14","19","0","0","107","6","0","0","0","2","0","1","0","1","3","6","3","0","0","0","0","0","0","1","1","17","47","2","0","0","0","0","0","0","1","2","6","0","2","0","1","0","0","0","0","5","0","0","0","0","0","0","0"
"2216.556",NA,NA,"450.00","1","0","0","0","0","1","12","0","3","0","3","0","0","0","0","4","0","2","0","11","0","0","0","0","0","1","0","0","0","0","0","13","12","2","0","0","0","0","1","0","17","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","353","0","0","0","0","0","7","0","0","0","0","0","0","28","0","7","0","0","4","0","0","0","3","22","6","0","0","94","2","0","0","0","0","0","0","0","0","1","6","6","1","0","0","0","0","0","0","0","7","8","2","0","0","0","0","0","0","8","0","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2264.735",NA,NA,"456.00","1","0","0","0","0","3","22","3","5","0","5","0","0","4","1","10","0","3","0","11","0","0","0","1","0","0","2","0","1","0","0","15","18","4","0","0","0","0","2","0","13","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","337","0","0","0","0","0","6","0","0","6","0","0","0","10","0","7","0","0","0","0","0","0","2","25","30","0","0","68","6","0","0","0","0","1","0","0","0","1","10","9","0","0","0","0","0","0","0","0","16","63","1","0","0","0","0","0","0","1","1","9","0","2","0","0","0","0","0","0","2","0","0","0","0","1","0","0"
"2328.974",NA,NA,"464.00","1","0","0","0","0","2","27","0","0","1","6","0","0","5","0","8","0","0","0","11","0","0","0","0","0","0","3","0","0","0","0","11","19","1","0","0","0","0","0","0","11","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","334","0","0","0","0","0","4","0","0","100","0","0","0","15","0","2","0","0","0","0","0","0","2","7","6","0","0","65","4","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","25","20","0","0","0","0","0","0","0","1","0","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
