"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Chamaerops","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fraxinus","Geraniaceae undif.","Hedera","Lamiaceae undif.","Ligustrum","Lythrum","Malva undif.","Myriophyllum undif.","Myrtaceae undif.","Olea t.","Onagraceae","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Tamarix","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"649","751","562","120","  0","  0","  0","  1","406"," 17","217"," 19","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 79","  2","  0","  0","  0","  0","  2","  2","  0","  0","  1","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  5","  1","  2"," 17","  1","  0","  0","  1","  2"," 23","  0","  0","  0","  0","  0","  0","  0","  2","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"
" 707"," 814"," 617"," 130","   0","   0","   0","   0","1100","   4"," 255","  19","   0","   0","   3","   0","   0","   0","   0","   0","   0","   2","   0","  34","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   4","   0","   1","   0","   2","   0","   0","   0","   0","   0","   3","   0","   0","   1","   1","   0","   3","   0","   3","   4","   0","   0","   0","   0","   4","  11","   0","   1","   0","   0","   0","   0","   0","   0","   0","   4","   2","   0","   1","   0","   0","   0","   0","   0"
"764","877","671","140","  0","  0","  0","  0","149","  4","261","  7","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 24","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  5","  0","  1","  0","  0","  0","  0","  2","  2"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0"
"822","941","725","150","  1","  0","  0","  0","296"," 12","365"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 36","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  2","  0","  2","  0","  3","  4","  0","  1","  0","  3","  2","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  1","  0","  0","  0","  1","  0","  0","  0"
" 879","1004"," 778"," 160","   0","   0","   0","   0"," 132","   7"," 204","  22","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0"," 495","   0","   0","   0","   0","   0","   0","   5","   0","   0","   8","   0","   0","   5","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   3","   0","  58","  15","   3","   0","   0","   7","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0"
" 937","1066"," 829"," 170","   0","   0","   0","   0"," 256","  17"," 230","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 227","   4","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","   1","   0","   7","   0","   0","   6","   0","   0","   0","   4","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0"
" 994","1128"," 880"," 180","   0","   0","   0","   0"," 323","   9"," 181","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  55","   6","   0","   0","   0","   0","   0","   1","   0","   0","  15","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   4","   0","   2","   3","   0","   0","   0","   3","   2","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   1","   0","   0","   0"
"1052","1189"," 930"," 190","   0","   0","   0","   0"," 691","  10"," 261","   8","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  56","  11","   0","   0","   0","   0","   1","   1","   0","   0","   9","   2","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","  10","   0","   0","   0","   5","   0","  13","   1","  14","   6","   0","   0","   0","   3","   4","  20","   0","   0","   1","   0","   1","   0","   0","   1","   0","   5","   0","   0","   0","   0","   1","   0","   0","   0"
"1109","1252"," 981"," 200","   0","   0","   0","   0","2040","   8"," 920","  20","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  74","   7","   0","   0","   0","   0","   0","   3","   0","   0","  50","   1","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   2","   0","  67","   5","  27","   5","   0","   0","   0","  18","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","  12","   0","   0","   0"
"1167","1315","1028"," 210","   0","   0","   0","   0"," 191","  14"," 141","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 374","  10","   0","   0","   0","   0","   0","   1","   0","   0","   8","   0","   0","   5","   0","   0","   0","   1","   0","   0","   0","   0","   0","   5","   0","   0","   0","   3","   0","  12","   3","  12","  22","   2","   0","   0","   1","   1","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   2","   0","   0","   0"
