"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Chamaerops","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fraxinus","Geraniaceae undif.","Hedera","Lamiaceae undif.","Ligustrum","Lythrum","Malva undif.","Myriophyllum undif.","Myrtaceae undif.","Olea t.","Onagraceae","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Tamarix","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"3551","3732","3376"," 490","   0","   0","  20","   0"," 139","   0","  41","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   5","   0","   1","   0","   0","   0","   0","  21","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0"
"4085","4291","3886"," 550","   0","   0","   9","   0","  18","   1","  11","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   3","   1","   1","   0","   0","  27","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0"
"4442","4669","4226"," 590","   0","   0","   9","   0"," 122","   2","  56","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  56","   5","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   4","   0","   3","   4","   0","   0","   0","  11","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0"
"4531","4764","4311"," 600","   0","   0","   5","   0","  47","   0","  22","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   3","   0","   7","   1","   0","   0","   0","   7","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0"
"4798","5048","4563"," 630","   0","   0","  12","   0","   3","   0"," 111","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","  11","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","  17","   0","   6","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   5","   0","   0","   0"
"4887","5143","4647"," 640","   0","   0","   0","   2","  31","   3"," 219","   3","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   1","   0","   1","   0","   0","   0","   8","  33","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   9","   0","   3","   5","   0","   0","   0","   3","   4","  43","   0","   0","   1","   0","   1","   0","   0","   4","   0","   0","   1","   0","   0","   0","   4","   0","   0","   0"
"4976","5238","4730"," 650","   0","   0","   5","   0","  56","   0"," 259","  19","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   5","   0","   0","   0","   0","   0","  21","  46","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","   0","  16","   0","   6","   1","   0","   0","   0","   8","   3","  24","   0","   0","   0","   0","   0","   1","   0","   5","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1"
"5065","5333","4814"," 660","   0","   0","   3","   0"," 297","   3"," 249","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  29","  12","   0","   0","   1","   0","   0","   5","   0","   0","  24","  15","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  11","   0","   3","  17","   3","   0","   0","   2","   4","  49","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   3","   0","   0","   0"
"5106","5370","4858"," 670","   0","   0","   0","   0"," 269","   9"," 171","   6","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","  11","   0","   0","   0","   0","   2","   3","   0","   0","   7","  10","   0","   1","   0","   0","   1","   2","   0","   0","   0","   0","   0","  10","   0","   0","   0","   4","   0","   9","  10","  11","  18","   1","   1","   1","   0","  11","  48","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0"
"5148","5408","4904"," 680","   0","   0","   0","   2"," 398","   2"," 124","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   6","   0","   0","   1","   0","   0","   5","   0","   0","   4","  19","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   6","   0","   0","   0","   1","   0","   5","  14","   2","   3","   0","   0","   0","   1","  12","  88","   0","   0","   0","   0","   5","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"5189","5446","4949"," 690","   0","   0","   1","   3"," 544","   5","  48","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  10","   5","   0","   0","   1","   7","   0","   0","   5","   0","   0","   1","   2","   0","   0","   0","   0","  10","   0","   0","   0","   7","   0","  20","  37","  14","  51","   3","   1","   0","   0","  28","  84","   1","   0","   1","   0","   5","   2","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0"
"5313","5558","5083"," 720","   0","   0","   0","   0"," 406","   3"," 111","  17","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  16","  24","   0","   0","   2","   0","   1","   8","   0","   0","  10","   7","   1","   2","   0","   0","   0","   1","   0","   1","   0","   0","   0","   8","   0","   0","   0","   3","   0","  16","   8","  15","   6","   0","   1","   0","   2","  11","  91","   3","   0","   2","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0"
"5354","5596","5128"," 730","   0","   0","   2","   1"," 548","   2","  81","   9","   0","   0","   2","   0","   0","   0","   0","   3","   0","   0","   0","  15","   5","   0","   1","   0","   0","   0","  10","   0","   0","   6","   6","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   1","   0","   8","   6","  11","  10","   2","   0","   0","   4","  10","  83","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"5395","5633","5173"," 740","   0","   0","   0","   1"," 194","   5"," 143","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  21","  13","   0","   0","   0","   0","   0","   5","   0","   0","   6","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   1","   0","   2","   1","   3","  12","   0","   0","   0","   2","   2","  46","   0","   0","   0","   4","   0","   0","   0","   2","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"5437","5670","5217"," 750","   0","   0","   0","   4"," 424","   6","  88","  10","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   5","   3","   0","   0","   0","   0","   2","   3","   0","   0","   4","   9","   0","   1","   0","   0","   1","   1","   0","   1","   0","   0","   0","  13","   0","   0","   0","   3","   0","  13","  29","   7","  17","   0","   2","   0","   1","  23","  75","   2","   1","   0","   0","   1","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0"
"5478","5708","5262"," 760","   0","   0","   0","   0"," 220","   8"," 141","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","  12","   0","   0","   1","   0","   1","   2","   0","   0","   6","   9","   0","   1","   0","   0","   1","   1","   0","   0","   0","   0","   0","  30","   0","   0","   0","   3","   0","   1","  17","   4","   6","   0","   0","   0","   2","   5","  64","   1","   1","   0","   0","   3","   1","   0","   0","   1","   2","   0","   0","   0","   0","   1","   0","   1","   0"
"5519","5746","5307"," 770","   0","   0","   0","   2"," 398","   6"," 113","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","  11","   0","   0","   2","   0","   0","   4","   0","   0","   6","  16","   0","   4","   0","   0","   0","   5","   0","   0","   0","   0","   0","  20","   0","   0","   0","   4","   0","   6","  37","   9","  11","   2","   0","   0","   0","  22","  87","   0","   0","   0","   0","   7","   0","   0","   0","   1","   2","   1","   0","   0","   0","   0","   0","   0","   0"
"5560","5784","5352"," 780","   0","   0","   0","   3"," 416","   3","  41","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   7","   0","   0","   2","   0","   0","   4","   0","   0","   2","  11","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","  21","   0","   0","   0","   5","   0","   8","  32","  14","  29","   0","   0","   0","   0","  29","  65","   2","   1","   1","   0","   8","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5602","5821","5396"," 790","   1","   0","   0","   1"," 457","  12","  38","   3","   2","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   2","   6","   0","   0","   0","   1","   4","   7","   0","   0","   6","  13","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","  49","   0","   0","   0","   3","   0","   9","  21","  34","  33","   7","   4","   0","   3","  67","  60","   1","   0","   0","   1","   2","   0","   0","   0","   0","   4","   0","   0","   0","   1","   2","   0","   0","   1"
"5643","5858","5440"," 800","   0","   0","   0","   3"," 276","   3","  22","   3","   2","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   1","   1","   0","   0","   2","   0","   2","   3","   0","   0","   1","   8","   1","   1","   0","   0","   0","   1","   1","   0","   0","   0","   0","  27","   0","   0","   0","   2","   0","   8","  30","   7","  32","   2","   0","   0","   0","  42","  66","   0","   0","   1","   0","   5","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   1"
"5684","5896","5485"," 810","   0","   0","   0","   1"," 168","  12","  24","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   3","   0","   0","   0","   0","   0","   9","   0","   1","  10","   6","   1","   3","   0","   0","   0","   3","   0","   0","   0","   0","   0","  31","   0","   0","   0","  10","   0","   9","  38","   4","  42","   7","   0","   0","   0","  34","  69","   3","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5725","5934","5530"," 820","   0","   0","   0","   0"," 264","   3","  30","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   7","   0","   0","   0","   0","   0","   4","   0","   0","   4","   7","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","   0","   0","   2","   9","   0","   6","  28","   9","  35","   4","   0","   0","   3","  22","  60","   5","   0","   1","   0","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1"
"5767","5972","5574"," 830","   0","   0","   0","   1"," 183","   9","  15","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   7","   0","   0","   0","   0","   0","   5","   0","   0","   0","   7","   0","   0","   1","   0","   0","   2","   1","   0","   0","   0","   0","  30","   0","   0","   1","   5","   0","  11","  25","  11","  24","   2","   0","   0","   0","  24","  69","   4","   0","   2","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"5808","6009","5618"," 840","   0","   0","   0","   0"," 549","   7","  24","   7","   2","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   3","   6","   0","   0","   0","   0","   1","   6","   0","   0","   3","  12","   0","   4","   0","   0","   1","   1","   0","   0","   0","   0","   0","  41","   0","   0","   4","   2","   0","  11","  13","  13","  41","   3","   0","   0","   1","  29"," 112","   1","   2","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1"
"5849","6047","5663"," 850","   0","   0","   0","   0","  83","  15","  42","   3","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","  11","   0","   0","   0","   0","   0","   6","   0","   0","   7","   5","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  30","   0","   0","   0","   2","   0","   4","  15","   1","  12","   2","   0","   0","   4","  19","  93","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0"
"5890","6085","5707"," 860","   0","   0","   0","   1"," 197","  20","  36","   7","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   2","   0","   0","   0","   0","   2","   4","   0","   0","   3","   6","   2","   3","   0","   1","   0","   1","   1","   0","   0","   0","   0","  42","   0","   0","   0","   5","   0","  11","  21","   5","  14","   1","   0","   0","   1","  30"," 107","   2","   0","   2","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"5932","6123","5752"," 870","   0","   0","   0","   1"," 205","   1","  19","   2","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   2","   0","   0","   0","   4","   0","   0","   2","   5","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","  35","   0","   0","   0","   3","   0","  15","  49","   2","  30","   6","   0","   0","   0","  27","  47","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"5973","6161","5796"," 880","   0","   0","   1","   0"," 337","   8","  26","   2","   2","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   3","   2","   0","   0","   1","   0","   1","  14","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  42","   0","   0","   0","   4","   0","  21","  36","   0","  47","   6","   0","   0","   1","  28","  58","   2","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"6014","6199","5840"," 890","   0","   0","   2","   0"," 278","  12","  47","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","   0","   0","   0","   0","   0","   2","   0","   1","   1","   2","   0","   2","   0","   0","   1","   1","   0","   0","   0","   0","   0","  50","   0","   0","   0","   6","   0","  11","  26","   1","  46","   3","   0","   0","   1","  12","  80","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0"
"6055","6237","5885"," 900","   0","   0","   0","   1"," 241","   1","  12","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   5","   0","   1","   0","   0","   0","   1","   0","   0","  18","   2","   0","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","  75","   0","   0","   1","  10","   0","  14","  33","   4","   7","   2","   0","   0","   7","  16","  56","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0"
"6097","6274","5928"," 910","   0","   0","   1","   4"," 134","  12","  27","   5","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   4","   0","   0","   0","   0","   1","  10","   0","   0","   2","   6","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","  45","   0","   0","   0","   3","   0","  12","  15","   0","  86","   4","   0","   0","   1","  15","  70","   1","   0","   0","   0","   5","   0","   0","   2","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"6138","6312","5972"," 920","   0","   0","   0","   0"," 205","   4","  14","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   1","  17","   0","   0","   0","   5","   0","   1","   0","   0","   0","   2","   1","   0","   0","   0","   0","  13","   0","   0","   0","   1","   0","  15","  31","   0","  33","   2","   0","   0","   0","  15","  49","   2","   0","   0","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0"
"6179","6350","6016"," 930","   0","   0","   1","   0"," 162","  19"," 128","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  37","  20","   0","   0","   1","   1","   0","   4","   0","   0","  14","   2","   0","   3","   0","   0","   1","   2","   0","   0","   0","   0","   0","  24","   0","   0","   0","   3","   0","   1","   4","   0","  20","   0","   2","   0","   1","  11","  73","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1"
"6220","6389","6061"," 940","   0","   0","   0","   2"," 312","   5","  77","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   8","   0","   0","   3","   5","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","  37","   0","   0","   0","   2","   0","   2","  27","   1","  56","   1","   0","   0","   1","  25","  75","   0","   0","   1","   1","   3","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6262","6426","6104"," 950","   0","   0","   3","   0"," 343","  14","  80","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   6","   0","   0","   1","   1","   0","   6","   0","   0","   3","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  31","   0","   0","   1","   2","   0","   2","  17","   0","  35","   0","   0","   0","   3","  22","  85","   1","   1","   0","   0","   2","   2","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   4"
"6303","6464","6148"," 960","   0","   0","   0","   0"," 347","   5","  37","  38","   1","   1","   1","   0","   0","   0","   0","   6","   0","   0","   0","  59","   7","   0","   0","   1","   0","   0","   1","   0","   0","  21","   1","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","  26","   0","   0","   0","   4","   0","   1","  17","   9","  11","   3","   1","   0","   3","   9","  64","   0","   0","   0","   0","   5","   4","   0","   3","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0"
"6344","6502","6192"," 970","   0","   0","   2","   0"," 127","  22"," 120","   9","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   8","   0","   0","   0","   0","   0","   1","   0","   0","  15","   5","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","  33","   0","   0","   0","   5","   0","   3","  17","   1","   6","   1","   1","   0","   1","   7","  85","   0","   0","   1","   0","   6","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"6385","6539","6235"," 980","   0","   0","   0","   0","  84","  30","  56","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   5","   0","   0","   1","   0","   0","   1","   0","   0","   5","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   9","   0","   0","   0","   1","   0","   8","   6","   0","  13","   1","   0","   0","   2","  14"," 119","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6427","6578","6280"," 990","   0","   0","  71","   4"," 234","  14","  14","   8","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  24","   1","   0","   0","   2","   0","   0","  57","   0","   0","   0","  15","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  23","   0","   0","   0","   5","   0","  10","  43","   3","  35","   1","   0","   0","   1","  22","  88","   0","   0","   2","   0","   5","   0","   0","   5","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1"
" 6468"," 6616"," 6323"," 1000","    0","    0","11935","    2","  223","    8","   13","    2","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    1","    0","    1","   15","    0","    0","    0","    7","    0","    3","    0","    0","    0","    2","    2","    0","    0","    0","    0","   10","    0","    0","    0","    5","    0","   16","   47","    0","   86","    0","    0","    0","    0","   27","   47","    2","    1","    0","    1","    0","    3","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1"
"6509","6655","6368","1010","   0","   0","   0","   2"," 142","   0","   5","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   3","   0","   1","  10","   0","   0","   1","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   1","   0","   7","  38","   0","  36","   8","   1","   0","   1","  49","  59","   0","   0","   0","   0","   4","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6550","6692","6410","1020","   0","   0","   1","   4"," 175","   1","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   2","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  22","   0","   0","   0","   2","   0","  14","  14","   1","  22","   0","   0","   0","   0","  36","  44","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6592","6730","6454","1030","   0","   0","   0","   2"," 200","   9","  57","   6","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   9","   0","   0","   1","   0","   0","   3","   0","   1","   8","   6","   0","  15","   0","   0","   2","   3","   0","   0","   0","   0","   0","  40","   0","   0","   0","   1","   0","   5","   9","   0","  15","   3","   0","   0","   1","  35"," 115","   0","   0","   2","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   1"
"6633","6769","6498","1040","   0","   0","   2","   0"," 197","  15","  58","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","  10","   0","   0","   1","   0","   0","   8","   0","   0","   5","   1","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0","   0","  45","   0","   0","   0","   1","   0","   6","  12","   0","  37","   2","   0","   0","   1","  22","  88","   0","   2","   0","   0","   5","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"6674","6807","6541","1050","   0","   0","   1","   0"," 127","  38","  87","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","  16","   0","   0","   1","   0","   1","   2","   0","   1","  11","   5","   0","   1","   0","   0","   1","   2","   0","   0","   0","   0","   0","  65","   0","   0","   0","   2","   0","   6","   2","   1","  22","   1","   0","   0","   2","  17"," 117","   2","   1","   0","   1","   6","   0","   0","   1","   0","   2","   1","   0","   0","   0","   0","   0","   0","   1"
"6715","6846","6586","1060","   0","   0","   6","   1"," 202","  19","  95","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  32","  15","   0","   0","   1","   0","   0","   2","   0","   0","   9","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  40","   0","   0","   0","   2","   0","   4","   7","   2","  26","   0","   1","   0","   5","  25"," 147","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","   0","   0","   0"
"6757","6884","6629","1070","   0","   0","   3","   0"," 213","  41"," 107","  18","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  22","   5","   0","   0","   0","   1","   0","   3","   0","   0","  15","   2","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","  31","   0","   0","   0","   0","   0","   2","   9","   0","  13","   1","   2","   0","   4","  13"," 100","   0","   0","   0","   0","   8","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"6798","6923","6673","1080","   0","   0","   0","   1"," 339","   7","  45","  14","   2","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","  18","  16","   0","   0","   0","   0","   0","   5","   0","   0","  16","   3","   0","   4","   0","   0","   0","   1","   0","   0","   0","   0","   0","  31","   0","   0","   0","   3","   0","   3","  12","  11","  16","   0","   0","   0","  10","  16"," 127","   2","   0","   1","   0","   2","   1","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0"
"6839","6961","6716","1090","   0","   0","   0","   3"," 196","  14","  23","   8","   2","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","  22","  15","   1","   1","   1","   0","   0","   2","   0","   0","  17","   6","   0","   4","   1","   0","   0","   0","   1","   0","   0","   0","   0","  18","   0","   0","   1","   1","   0","  24","  19","   8","  20","   9","   1","   0","   1","  13","  68","   0","   0","   2","   0","   1","   0","   0","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0"
"6880","7000","6759","1100","   0","   0","  41","   0"," 167","  34","  46","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   9","   0","   0","   0","   0","   1","   5","   0","   0","   5","   3","   0","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","  26","   0","   0","   0","   2","   0","   8","  15","   0","  23","   4","   1","   0","   0","  18","  74","   0","   0","   0","   1","   4","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0"
"6922","7038","6802","1110","   0","   0","  35","   1"," 214","  14","  18","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   4","   8","   0","   1","   3","   6","   0","   1","   1","   0","   0","   1","   1","   0","   0","   0","   0","  37","   0","   0","   0","   3","   0","   7","  16","   1","  34","   1","   0","   0","   1","  38","  66","   0","   0","   1","   0","   0","   0","   0","   4","   0","   1","   2","   0","   0","   0","   0","   0","   0","   1"
"6963","7076","6845","1120","   0","   0","   6","   1"," 271","   4","  23","   8","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   5","   5","   0","   0","   1","   0","   2","   6","   0","   0","   5","   4","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  19","   0","   0","   0","   1","   0","  16","  31","   4","  42","   7","   0","   0","   5","  44","  38","   4","   0","   1","   0","   1","   2","   0","  15","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0"
"7004","7115","6889","1130","   0","   0","  11","   0"," 122","  29","  47","  18","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","  13","  15","   0","   0","   0","   0","   0","  12","   0","   0","  11","   0","   0","   1","   3","   1","   0","   3","   0","   0","   0","   0","   0","  53","   0","   0","   0","   4","   0","  19","   6","   0","  78","   1","   0","   0","   4","  35","  66","   1","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"7045","7154","6932","1140","   0","   0","  10","   2","  80","  23","  13","   2","   2","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","  11","   7","   0","   1","   1","   0","   1","  23","   0","   0","   5","   1","   0","   7","   1","   0","   1","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   2","   0","  16","  12","   2","  37","   3","   0","   0","   2","  19","  23","   1","   0","   2","   1","   2","   0","   1","  87","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0"
