"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Hedera","Hypericum undif.","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Lonicera","Lotus t.","Lysimachia","Lythrum","Morella","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Ononis t.","Pedicularis","Petaloid monocot","Phillyrea","Pinus nigra/sylvestris t.","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rumex t.","Salix","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Vaccinium","Vitis"
"-30"," 20","-81","  0","  2","  0","  0","  1","  1","  0","  2","  1","  0","  0","  0","  0","  0","  0","  1","  3","  2","  1","  0","  4","  0","  0","  0"," 50","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  5","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 25","  0","  0","  2","  0","106"," 42","148","  0","  0","  0"," 61","  3","  1","  0","  2","  0","  0"," 21"," 21","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
" 10.0"," 58.0","-40.0","  2.5","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0","  0.0","  2.0","  0.0","  3.0","  0.0","  0.0","  0.0"," 64.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 36.0","  1.0","  0.0","  3.0","  0.0"," 37.0"," 93.0","130.0","  0.0","  1.0","  1.0","127.0","  1.0","  0.0","  0.0","  0.0","  3.0"," 19.0","  0.0"," 19.0","  3.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"
" 49"," 97","  0","  5","  2","  1","  0","  1","  1","  0","  0","  1","  0"," 14","  0","  4","  0","  0","  1"," 21","  1","  4","  0","  0","  0","  1","  0","121","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 54","  3","  0","  5","  0"," 94"," 40","134","  0","  2","  1","131"," 14","  0","  0","  1","  0"," 46","  1"," 47","  1","  0","  0","  3","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0"
" 88.0","138.0"," 39.0","  7.5","  1.0","  0.0","  1.0","  3.0","  0.0","  0.0","  5.0","  4.0","  1.0"," 15.0","  0.0","  4.0","  1.0","  0.0","  3.0","  6.0","  1.0","  3.0","  0.0"," 21.0","  0.0","  0.0","  0.0"," 78.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 22.0","  0.0","  0.0","  3.0","  0.0"," 26.0"," 23.0"," 49.0","  0.0","  2.0","  0.0","141.0","  1.0","  0.0","  0.0","  0.0","  6.0"," 17.0","  0.0"," 17.0"," 11.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"
"128","181"," 76"," 10","  7","  0","  0","  1","  0","  0","  3","  0","  0"," 13","  0","  3","  1","  0","  0","  4","  0"," 10","  0"," 11","  0","  0","  0"," 99","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  1","  2","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 68","  1","  0","  9","  0"," 68"," 46","114","  0","  3","  1"," 96","  9","  0","  0","  1","  0"," 36","  2"," 38","  2","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0"
"167.0","223.0","111.0"," 12.5","  2.0","  0.0","  2.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  7.0","  0.0","  4.0","  0.0","  0.0","  1.0","  2.0","  0.0"," 35.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 62.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 61.0","  0.0","  0.0","  6.0","  0.0"," 22.0"," 24.0"," 46.0","  0.0","  1.0","  0.0","140.0","  4.0","  0.0","  0.0","  0.0"," 18.0"," 28.0","  2.0"," 30.0","  5.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"
"206","267","146"," 15","  1","  1","  0","  2","  0","  0","  3","  0","  0"," 17","  0","  3","  1","  0","  6","  1","  0"," 32","  0","  9","  0","  1","  0"," 97","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 96","  4","  0"," 17","  0"," 41"," 38"," 79","  0","  6","  0","227"," 22","  0","  0","  0"," 23"," 92","  3"," 95","  1","  0","  0","  3","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  6","  0"
"246.0","312.0","181.0"," 17.5","  1.0","  1.0","  2.0","  0.0","  1.0","  0.0","  1.0","  1.0","  2.0","  4.0","  0.0","  5.0","  3.0","  0.0","  2.0","  2.0","  0.0"," 26.0","  1.0","  7.0","  0.0","  0.0","  0.0"," 87.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 75.0","  0.0","  0.0"," 13.0","  0.0"," 14.0"," 43.0"," 57.0","  0.0","  4.0","  0.0","287.0","  8.0","  0.0","  0.0","  0.0"," 22.0"," 56.0","  2.0"," 58.0","  7.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"
"285","359","218"," 20","  3","  0","  0","  0","  0","  0","  2","  0","  0"," 12","  1","  1","  3","  0","  0","  0","  0","  8","  0","  9","  0","  0","  0","132","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 64","  2","  0"," 10","  0"," 11","  7"," 18","  0","  5","  0","302"," 29","  0","  0","  2","  0"," 42","  7"," 49","  5","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"
"363","452","288"," 25","  3","  3","  1","  5","  2","  0","  1","  1","  2","  7","  1","  2","  2","  0","  0","  0","  1","  2","  9"," 10","  0","  0","  0"," 87","  0","  9","  0","  0","  0","  1","  0","  1","  2","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 50","  0","  3"," 21","  0","  3"," 67"," 70","  0","  5","  0","159","  3","  0","  1","  0"," 69"," 25","  8"," 33","  2","  0","  0"," 10","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"
"442","545","356"," 30","  2","  3","  3","  4","  5","  1","  2","  1","  0","  7","  0","  2","  5","  0","  3","  5","  0","  3"," 14"," 13","  0","  0","  0","272","  0","  8","  0","  0","  0","  0","  0","  5","  2","  3","  0","  1","  1","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 87","  0"," 12"," 42","  4","  4"," 62"," 66","  0","  9","  0","614"," 19","  0","  0","  0"," 96"," 42"," 14"," 56","  6","  0","  0"," 19","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
"521","637","422"," 35","  8","  4","  7","  7","  3","  1","  1","  1","  0"," 19","  0","  4","  8","  0","  4","  3","  1"," 52","  6"," 10","  0","  0","  0","386","  0"," 11","  0","  0","  0","  0","  1","  4","  1","  3","  0","  0","  0"," 12","  2","  2","  0","  0","  0","  0","  0"," 20","  1","  0","  1","124","  7","  3"," 31","  0","  8","  1","  9","  0"," 10","  0","899"," 61","  0","  0","  0","122","120"," 10","130"," 15","  0","  0"," 20","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0"
"599","731","489"," 40","  9","  0","  0","  2","  0","  0","  1"," 16","  0"," 10","  0","  0","  3","  0","  1","  0","  0","  1","  1","110","  0","  0","  0","118","  0","  1","  0","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  3","  0","  2","  0","  0","  0","  0","  0","  5","  0","  0","  0","  6","  1","  0","  5","  0","  2","  1","  3","  0","  5","  0","429","  9","  0","  0","  0","  0"," 74","  7"," 81"," 16","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"
"717.0","872.0","586.0"," 47.5","  9.0","  0.0","  0.0","  3.0","  1.0","  1.0","  0.0"," 12.0","  0.0","  6.0","  0.0","  0.0","  2.0","  0.0","  2.0","  3.0","  2.0","  5.0","  0.0"," 81.0","  0.0","  0.0","  0.0"," 40.0","  0.0","  1.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  3.0","  0.0","  7.0","  0.0"," 93.0","  7.0","  0.0","  0.0","  1.0","  3.0"," 43.0","  2.0"," 45.0"," 19.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"756","919","618"," 50","  4","  0","  0","  6","  0","  1","  2","  9","  0"," 21","  0","  1","  1","  0","  1","  0","  0","  4","  0","239","  1","  1","  0"," 50","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  8","  0","  1","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  3","  0","  2","  0","  2","  0","  2","  0","119","  7","  0","  0","  0","  0"," 66","  4"," 70","  2","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"
"809.0","977.0","667.0"," 52.5","  5.0","  0.0","  5.0","  2.0","  3.0","  1.0","  2.0"," 14.0","  0.0"," 21.0","  1.0","  0.0","  1.0","  0.0","  3.0","  3.0","  1.0","  2.0","  0.0","329.0","  0.0","  0.0","  0.0"," 37.0","  0.0","  3.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  1.0","  1.0","  0.0","  0.0","  1.0","  1.0","  2.0","  0.0","  1.0","  1.0","346.0","  8.0","  0.0","  0.0","  0.0"," 10.0"," 77.0","  8.0"," 85.0","103.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"
"1222.0","1367.0","1095.0","  62.5","   4.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","  10.0","   0.0","  21.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0"," 147.0","   0.0","   0.0","   0.0","  54.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   4.0","   0.0","   2.0","   2.0","   4.0","   0.0","   0.0","   0.0","  43.0","   2.0","   0.0","   0.0","   0.0","   0.0","  49.0","   3.0","  52.0","  31.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0"
"1428.0","1563.0","1306.0","  67.5","   9.0","   0.0","   0.0","   6.0","   1.0","   0.0","   1.0","  17.0","   1.0","  20.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   2.0","   1.0","   1.0","  30.0","   0.0","   0.0","   0.0"," 123.0","   1.0","  10.0","   0.0","   0.0","   0.0","   1.0","   0.0","   5.0","   7.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  13.0","   0.0","   1.0","   6.0","   7.0","   0.0","   2.0","   0.0"," 186.0","   0.0","   0.0","   0.0","   0.0","  10.0","  41.0","   2.0","  43.0","  44.0","   0.0","   0.0","  10.0","   2.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"1738","1862","1622","  75","   5","   0","   0","   2","   2","   0","   0","  10","   0","  13","   0","   3","   5","   0","   2","   0","   1","   0","   0","  19","   0","   0","   0","  92","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   1","   0","   3","   1","   6","   1","   7","   0","   0","   3"," 227","   6","   0","   0","   1","   0"," 139","   9"," 148"," 273","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"1944","2065","1831","  80","   7","   1","   0","   0","  11","   0","   1","  12","   0","   0","   0","   3","   2","   0","   2","   1","   1","   0","   0","  19","   0","   0","   0"," 113","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   2","   1","   0","   5","   0","   6","   3","   9","   0","   1","   1"," 459","  15","   0","   0","   0","   0"," 110","   3"," 113"," 290","   0","   0","   4","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   2","   0"
"2151","2267","2037","  85","   1","   0","   0","   1","   2","   0","   2","   5","   0","   4","   0","   2","   3","   0","   0","   0","   1","   0","   0","  25","   0","   0","   0","  89","   0","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   3","   1","   4","   1","   5","   0","   0","   0"," 306","  12","   0","   0","   0","   0","  68","  13","  81"," 185","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0"
"2357","2471","2241","  90","   3","   0","   0","   4","   2","   1","   0","   6","   1","   0","   0","   3","   1","   0","   2","   1","   1","   1","   3","  10","   0","   0","   0","  76","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   3","   5","   0","   0","   8","   0","   4","   1","   5","   1","   0","   3"," 385","  18","   0","   0","   0","   2","  92","   3","  95"," 194","   0","   0","   1","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   2","   0"
"2770","2892","2649"," 100","   8","   0","   0","   1","   6","   0","   1","  22","   0","   5","   0","   3","   3","   0","   3","   0","   2","   3","   0","  35","   0","   0","   0"," 148","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  11","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  11","   0","  12","   1","  13","   0","   1","   1"," 375","  22","   0","   0","   6","   0"," 119","  16"," 135"," 210","   0","   0","   2","   2","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0"
"2977","3106","2850"," 105","  13","   2","   0","   3","   2","   2","   3","  28","   0","  28","   0","   1","   0","   0","   1","   1","   0","  10","   0","  50","   0","   1","   0"," 112","   0","   2","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   5","   1","   0","   0","   9","   1","   0","   9","   0","  10","   4","  14","   0","   0","   3"," 576","  25","   0","   0","   0","   1"," 202","   3"," 205"," 193","   0","   0","   4","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   3","   0"
"3184","3322","3048"," 110","  22","   0","   1","   5","  11","   2","   0","  46","   0","  43","   1","   6","   2","   0","   2","   0","   3","   3","   0","  68","   0","   1","   0"," 171","   0","   4","   0","   0","   1","   0","   2","   2","   0","   0","   0","   0","   3","   4","   0","   4","   0","   0","   0","   0","   0","   3","   0","   0","   0","   3","   1","   0","  10","   4","  32","   3","  35","   1","   0","   7"," 591","  15","   0","   0","   1","   0"," 190","  36"," 226"," 231","   0","   0","   1","   1","   0","   2","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0"
