"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Aesculus","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Bryonia","Butomus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Frankenia","Fraxinus","Fumaria","Galium t.","Geranium","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lotus t.","Lysimachia","Lythrum","Malva","Menyanthes","Mercurialis","Musci","Myricaria","Myriophyllum spicatum/verticillatum t.","Nerium","Nuphar","Nymphaea","Olea t.","Onagraceae","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Prosopis t.","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosa t.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Styrax","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"  66"," 563","-450","   5","   4","   0","   0","   0","   0","   0","   5","   2","   7","   0","   3","  11","   0","   1","   0","   4","   0","   8","   0","   0","   0","   0","   0","   1","   0","  65","  22","  70","   0","   0","   0","   3","  64","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","  40","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   1","   1","   0","   0","   0","   0"," 322","   0","  28","  29","   7","   8","   0","   0","   0","   0","   4","  13","   1","   0","   2","   0","   0","   0","   0","   0","  25","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0"
" 256"," 726","-231","  20","  12","   0","   0","   0","   0","   0","   6","   3","   1","   0","   4","  31","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   1","   0","  23","  53","  77","   0","   0","   0","   0","  31","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","  47","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 723","   0","  20","  21","   5","   9","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"510","943"," 61"," 40"," 16","  0","  0","  0","  0","  0","  4","  1","  8","  0","  4"," 20","  0","  0","  0","  1","  0","  9","  0","  0","  1","  0","  0","  0","  0"," 22"," 26"," 92","  0","  0","  0","  0"," 16","  0","  1","  0","  0","  2","  0","  0","  3","  0","  0"," 43","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","705","  0","  2","  7","  2"," 11","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  2","  0","  0","  6","  0","  0","  0"
" 764","1159"," 352","  60","  19","   0","   0","   0","   1","   0","   4","   1","   4","   0","   3","  15","   0","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","  57","  11","  21","   0","   0","   0","   0","  38","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 112","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","1024","   0","   3","   5","   3","   2","   0","   0","   0","   0","   1","   2","   0","   0","   2","   0","   0","   0","   0","   0","  71","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"
"1018","1376"," 643","  80","   4","   0","   0","   0","   1","   0","   1","   1","   7","   0","   3","   5","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   1","   0","  22","  19","  16","   0","   0","   0","   0"," 128","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 149","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 444","   0","   4","   5","   0","   4","   0","   0","   0","   0","   8","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 401","   0","   0","   0","   0","   0","   7","   1","   0","   0","   0","   0"
"1272","1595"," 935"," 100","   8","   0","   0","   0","   2","   1","   6","   1","   2","   0","   4","  15","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   1","   0","  11","   8"," 102","   0","   1","   0","   0"," 142","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0"," 297","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 256","   0","   1","   7","   1","   5","   0","   0","   0","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 108","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0"
"1399","1704","1081"," 110","   4","   0","   0","   0","   0","   0","  29","   8","   0","   0","  39","  16","   0","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   2","   0","   6","   8"," 104","   0","   0","   1","   5","  76","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"," 178","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 155","   0","   0","   4","   1","   5","   0","   0","   0","   1","  19","   1","   0","   0","   0","   0","   0","   0","   0","   0","  49","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0"
"1590","1869","1299"," 125","   6","   0","   0","   0","   1","   0","  28","  13","   2","   0","  14","  23","   1","   1","   0","   2","   0","   0","   0","   0","   9","   1","   0","   5","   0","  12","  18"," 162","   1","   0","   0","   5","  68","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0"," 174","   0","   0","   0","   0","   2","   0","   1","   0","   0","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"," 217","   0","   3","  16","   5","   7","   0","   0","   0","   2","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","  39","   0","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0"
"1780","2034","1517"," 140","   8","   0","   0","   0","   7","   0","  10","   1","   2","   0","   7","  21","   0","   0","   0","   1","   0","   1","   0","   0","   2","   0","   0","   2","   0","  15","   7","  91","   0","   0","   0","   2","  96","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  56","   0","   0","   0","   0","   3","   0","   2","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 251","   0","   1","   8","   0","   8","   0","   1","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","  25","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"2034","2255","1808"," 160","   5","   0","   2","   0","  18","   3","  15","   6","   6","   0","  30"," 124","   2","   1","   3","   0","   0","   3","   0","   0","   1","   0","   0","  12","   0","  30","   9","  90","   0","   1","   1","   3"," 164","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0"," 111","   0","   0","   1","   0","  14","   0","   4","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 380","   0","   9","  34","   2","  22","   0","   0","   0","   0","   2","   1","   0","   1","   1","   0","   2","   0","   0","   0","  73","   0","   0","  14","   0","   0","   1","   0","   0","   0","   0","   0"
