"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fraxinus","Geranium","Hedera","Heliotropium","Humulus","Ilex","Indeterminable","Jasminum","Juglans","Lamiaceae undif.","Lonicera","Lycopodium spike","Lythrum","Menyanthes","Mercurialis","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta (trilete, psilate)","Polypodiophyta (trilete, verrucate)","Populus","Potamogeton","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Secale","Sparganium","Theligonum","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus"
" -24",NA,NA,"  4","1.5","2","0","0","226","0","4","0","1","0","4","0","0","0","0","0","0","1","0","0","1","0","0","0","6","1","0","3","0","0","0","0","5","1","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","11","0","0","2","0","6.5","2","2","0","0","16","1","0","0","1","0","0","0","28","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  19",NA,NA," 16","1.9","11","0","0","118","1","1","0","3","0","5","0","2","2","0","0","0","2","0","0","1","0","0","0","3","0","0","3","0","0","0","0","3","3","1","1","0","0","0","7","0","0","0","0","0","0","0","1","0","0","0","18","0","0","19","0","25.5","9","7","3","0","32","0","1","0","0","0","0","1","68","9","0","0","0","0","0","9","0","0","3","0","1","0","0","0","0","0","0","0","0"
"  77",NA,NA," 32","2.3","0","0","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1.5","2","0","2","0","3","1","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
" 163",NA,NA," 56","2.0","3","0","0","59","3","2","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2","1","4","0","0","0","0","4","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","10","1","1","3","0","20","0","0","0","0","0","0","0","18","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0"
" 192",NA,NA," 64","2.0","16","0","0","0","0","0","0","4","0","3","0","1","0","0","0","0","3","0","0","0","0","0","1","1","1","0","2","0","0","0","0","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","4","0","1","2","0","3","0","0","0","0","0","0","0","9","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 336",NA,NA,"104","1.9","7","1","0","127","43","0","0","4","0","5","0","5","0","0","0","0","2","0","0","9","0","0","1","4","4","0","24","0","0","0","2","5","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","6","0","0","12","0","23.5","7","6","1","0","31","1","0","0","0","0","0","0","54","2","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","1","0"
" 365",NA,NA,"112","1.9","2","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","1","0","1","0","0","0","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 422",NA,NA,"128","1.8","9","1","0","129","0","0","0","2","0","2","0","2","1","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","1","5","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","7.5","4","4","2","0","24","1","0","0","0","0","0","0","32","5","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0"
" 480",NA,NA,"144","2.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
" 508",NA,NA,"152","1.7","37","0","0","1","0","1","0","1","0","6","0","5","1","0","0","0","3","0","0","2","0","0","0","0","1","0","13","0","0","0","0","26","0","0","2","0","0","0","5","0","1","1","1","0","0","1","0","0","0","0","4","0","0","7","0","6","1","1","6","0","8","0","0","1","1","0","0","0","43","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 555",NA,NA,"165","1.5","8","1","0","16613","7","0","1","3","0","11","0","8","1","0","0","1","2","0","1","11","1","0","0","2","4","0","17","0","0","0","2","5","7","0","0","0","0","1","4","0","1","0","0","0","0","0","0","2","0","2","45","0","1","5","0","15","20","4","4","1","58","2","0","0","0","0","0","0","208","27","0","1","0","2","0","1","1","0","6","1","0","0","0","0","0","2","0","1","0"
" 566",NA,NA,"168","1.8","1","0","0","51","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","2","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" 595",NA,NA,"176","1.7","31","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","2","1","0","0","0","0","13","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6.5","0","1","3","0","7","0","2","0","0","0","0","0","7","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
" 624",NA,NA,"184","1.9","15","0","0","5532","7","4","0","9","0","13","0","7","1","0","0","1","0","0","1","7","1","0","0","0","6","2","17","0","2","0","0","21","5","0","0","0","0","0","20","1","0","1","0","0","0","0","1","2","0","2","8","1","0","71","0","29.5","25","2","2","0","82","0","0","0","1","0","0","1","309","21","0","0","0","1","0","7","0","2","2","1","4","1","1","0","0","1","0","2","0"
" 652",NA,NA,"192","1.7","8","0","0","38624","11","3","0","6","0","9","0","14","0","0","0","0","2","0","0","15","1","0","4","2","4","2","10","1","1","0","2","14","9","0","0","0","0","0","8","0","0","1","0","0","0","0","1","2","0","0","41","0","0","13","0","17","24","8","5","0","89","4","0","0","0","0","7","0","280","55","0","1","4","0","0","1","3","1","1","2","0","1","0","0","0","2","0","2","0"
" 681",NA,NA,"200","1.8","5","0","0","0","1","3","0","4","1","7","0","14","1","0","0","0","1","0","1","6","0","0","0","0","3","0","8","0","0","1","1","3","2","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","2","0","0","21","0","11","17","2","1","0","44","1","1","0","0","0","0","1","121","5","0","0","0","0","0","0","0","0","2","1","2","0","0","1","0","2","0","3","0"
" 710",NA,NA,"208","2.1","4","0","0","465","2","2","0","5","2","8","0","3","1","0","0","0","1","0","1","4","1","0","0","1","9","2","14","0","0","0","2","12","1","0","0","0","0","0","5","0","1","0","0","0","0","0","0","3","0","0","1","0","0","22","0","19.5","31","1","2","0","86","8","1","0","0","0","0","1","230","17","1","0","0","0","0","1","0","1","1","3","2","0","0","0","0","3","0","4","0"
