"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cotinus coggygria","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Geranium","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Loranthus","Lysimachia","Lythrum","Malva","Menyanthes","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Nuphar","Nymphaea","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Pseudopediastrum brevicorne","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Viburnum","Vitis"
NA,NA,NA,"330","  4","  0"," 78","  0","  6"," 10","  0","  1","  4","  0","  1","  0","  8","  0","  1","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0"," 24","  0","  0","  0","  2","  0","  0"," 11"," 11","  0","  0","  0","  0","  4","  0","  1"," 70","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","232","  0","  2","  0"," 22","  9"," 28","  0","  0","  0","  1"," 50","  0","  0","  0","  0"," 27","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0"
NA,NA,NA,"200","  1","  0","  2","  0","  8","  8","  1","  0","  5","  4"," 15","  3","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0"," 79","  0","  0","  0","  9","  0","  0"," 17","  6","  0","  0","  0","  0","  3","  0","  2"," 79","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","142","  0"," 18","  0"," 51"," 14"," 14","  0","  0","  1","  0"," 80","  0","  0","  0","  4","  0","  0","  2","  0","  6","  0","  1","  1","  0","  0","  1","  8","  0","  0","  0","  2"
NA,NA,NA,"106","  1","  0","  3","  0","  7"," 77","  0","  0"," 11","  8","  8","  0","  5","  0"," 49","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  2","  4","  0","  0","  0","  4","  0","  0"," 10"," 57","  0","  0","  0","  0","  0","  0","  7","205","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  3"," 46","  0","  0","  0","  0","  0","  0","  0"," 49","  0","  6","  0","200","  7","  0","  4","  0","  0","  0"," 82"," 13","  0","  8","  1"," 22","  0","  0","  0","166","  0","  0","  0","  0","  1","  1"," 16"," 24","  0","  0","  0"
NA,NA,NA,"250","  3","  0","  9","  0","  9","  9","  1","  0","  2","  6"," 25","  7","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  5"," 17","  0","  0","  0"," 10","  0","  0","  8"," 21","  0","  2","  1","  0","  0","  0","  9"," 41","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","136","  0","  2","  0"," 24","  2"," 15","  0","  0","  0","  0"," 27","  1","  0","  0","  1","  0","  0","  1","  0","  9","  0","  1","  1","  0","  1","  4"," 30","  1","  0","  0","  0"
NA,NA,NA,"220","  4","  0"," 38","  1"," 26","  5","  0","  0","  4"," 10","  6","  0"," 21","  0","  1","  0","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  1"," 27","  0","  0","  0","  7","  1","  0","  4"," 13","  0","  0","  0","  0","  1","  0","  2"," 45","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","113","  0","  5","  0"," 27","  1"," 22","  0","  0","  1","  0"," 79","  0","  1","  0","  0","  1","  0","  0","  0","  8","  0","  0","  0","  0","  1","  5","  6","  0","  0","  0","  1"
NA,NA,NA,"210","  4","  1"," 12","  0"," 14"," 11","  1","  0","  1","  1","  2","  0"," 29","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  2"," 28","  0","  0","  0","  5","  0","  0"," 12","  7","  1","  0","  0","  0","  2","  0","  6"," 62","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","152","  0","  9","  0"," 31","  1"," 37","  0","  0","  0","  0","231","  0","  0","  0","  0","  3","  0","  2","  0"," 13","  0","  1","  0","  0","  1","  3","  6","  0","  0","  0","  0"
NA,NA,NA,"270","  3","  0"," 44","  0"," 40"," 16","  0","  2","  4"," 15","  7","  0"," 20","  0","  1","  0","  0","  0","  0","  0","  1","  2","  4","  0","  0","  0","  3"," 30","  0","  1","  0"," 14","  0","  0"," 21"," 20","  0","  0","  0","  0","  6","  0","  2","101","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","141","  0"," 13","  0"," 45","  4"," 90","  1","  0","  0","  0","158","  0","  1","  0","  3","  0","  0","  0","  0","  5","  0","  0","  0","  0","  2","  7"," 12","  0","  0","  0","  0"
NA,NA,NA,"340","  1","  0"," 20","  1"," 20"," 19","  0","  0","  2","  9"," 15","  2"," 20","  0","  3","  0","  0","  0","  0","  0","  3","  0","  2","  0","  0","  0","  0"," 16","  0","  0","  0"," 16","  0","  0"," 34","  6","  0","  1","  0","  0","  1","  0","  1","106","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 84","  0"," 12","  0"," 69","  6"," 24","  1","  0","  0","  0"," 93","  8","  0","  0"," 16"," 34","  0","  0","  0"," 31","  0","  0","  3","  0"," 10","  7"," 42","  0","  0","  0","  2"
NA,NA,NA," 80","  2","  0","  0","  0"," 19"," 21","  0","  0","  6"," 11","  6","  3"," 21","  0"," 18","  0","  0","  0","  1","  0","  3","  0","  1","  1","  0","  1","  0","  6","  0","  0","  0"," 11","  0","  0","  6"," 85","  0","  0","  0","  0","  0","  0"," 38"," 68","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  7"," 19","  0","  0","  0","  1","  0","  0","  1"," 66","  0","  5","  1","210"," 15","  3","  0","  0","  0","  0","144"," 17","  1","  0"," 12","  8","  0","  0","  0"," 64","  0","  0","  0","  0","  0","  4"," 16","  5","  0","  0","  1"
NA,NA,NA,"240","  5","  1","  5","  6"," 17"," 25"," 95","  0","  3"," 12"," 64","  3"," 35","  0","  0","  0","  0","  0","  1","  0","  4","  0"," 10","  0","  0","  0","  2"," 21","  0","  0","  0"," 11","  0","  0","  5"," 77","  0","  0","  1","  1","  1","  0","  7"," 69","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  2","  0","  0","  0","186","  0","139","  0","139","  5"," 32","  0","  0","  0","  0","131","  0","  0","  0","  2","  1","  0","  0","  0"," 33","  0","  0","  1","  0"," 10","  8"," 14","  0","  0","  0","  0"
