"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Aizoaceae t.","Alchemilla t.","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthoceros t.","Apiaceae undif.","Araceae","Arbutus","Artemisia","Asphodelus/Asphodeline","Asteroideae undif.","Atropa-type","Berberis-type","Betula","Betulaceae undif.","Brassicaceae","Bryonia","Buxus","Callitriche","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cercis","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cryptogramma-type","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dioscorea","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Ficus","Fraxinus","Fumaria","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Hypecoum","Hypericum undif.","Indeterminable","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lavatera","Lemnaceae","Linum t.","Lotus t.","Lycopodium spike","Lythrum","Matthiola","Mercurialis","Morus","Myriophyllum spicatum/verticillatum t.","Myrtus","Nerium","Olea t.","Onagraceae","Ononis t.","Oxalis","Paeonia","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pilularia","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodium-type","Populus","Potamogeton","Potentilla t.","Primula","Prunus t.","Pteridophyta (monolete)","Punica granatum","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Ribes","Riccia-type","Rosa t.","Rosaceae undif.","Rumex subg. Emex","Rumex t.","Ruppia","Salix","Sambucus","Sarcopoterium","Saxifragaceae","Scrophulariaceae undif.","Secale","Smilax","Solanum","Spergularia t.","Sphagnum-type","Styrax","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valeriana t.","Viburnum","Vicia/Lathyrus","Vitex","Vitis"
"3094.0",NA,NA," 683.3","   0.0","   0.0","   1.0","   0.0","   0.0","   3.0","   2.0","  12.0","   0.0","   0.0","   1.0","   6.0","   0.0","   0.0","   0.0","   1.0","   8.0","   0.0","   0.0","   3.0","   3.0","  22.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   3.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","   0.0","  22.0","   0.0","   0.0","   1.0","   0.0","   2.0","   4.0","  13.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","  27.0","   0.0","   0.0","   0.0","   0.0"," 481.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  59.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   9.0","   0.0","   8.0","  18.0","  10.0","   0.0","  29.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","  53.0","  72.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","  14.0","  13.0","   0.0","   0.0","   0.0","   0.0","   6.0","  28.0"
"3136.0",NA,NA," 687.3","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   2.0","  27.0","   0.0","   0.0","   0.0","  14.0","   1.0","   0.0","   5.0","   1.0","   6.0","   0.0","   1.0","   1.0","   4.0","  10.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  18.0","   4.0","   0.0","   0.0","   1.0","   1.0","  18.0","   0.0","   0.0","  21.0","   0.0","   0.0","   0.0","   0.0","  11.0","   0.0","   1.0","   0.0","   0.0","   7.0","   2.0","  15.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","  34.0","   0.0","   0.0","   0.0","   0.0"," 706.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","  26.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   1.0","   0.0","   3.0","  10.0","   5.0","   0.0","  64.0","  32.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   4.0","   1.0","  64.0","  26.0","   2.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   1.0","  12.0","   1.0","   4.0","   5.0","   0.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   8.0","   9.0","   0.0","   0.0","   0.0","   0.0","   6.0","  13.0"
"3203.0",NA,NA," 693.6","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","  19.0","   0.0","   0.0","   5.0","  14.0","   0.0","   0.0","   4.0","   0.0","  14.0","   0.0","   0.0","   2.0","   3.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","  80.0","   4.0","   1.0","   0.0","   2.0","   6.0","  17.0","   0.0","   0.0","  14.0","   0.0","   0.0","   0.0","   0.0","  22.0","   0.0","   0.0","   1.0","   0.0","  12.0","   0.0","  11.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   2.0","   0.0","   0.0","  19.0","   0.0","   0.0","   0.0","   2.0"," 650.0","   0.0","   0.0","   0.0","   0.0","   4.0","   1.0","   0.0","  35.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   5.0","   0.0","   4.0","   3.0","   1.0","   1.0","  46.0","   3.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","   3.0","   0.0","  40.0","  53.0","   1.0","   8.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","  10.0","   2.0","   0.0","   0.0","   9.0","   0.0","   5.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   4.0","  14.0","   0.0","   0.0","   0.0","   0.0","   1.0","  11.0"
"3257.0",NA,NA," 698.5","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   2.0","  31.0","   0.0","   0.0","   2.0","   9.0","   0.0","   1.0","  12.0","   1.0","   9.0","   0.0","   0.0","   0.0","   2.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  33.0","   4.0","   0.0","   0.0","   1.0","   3.0","   7.0","   0.0","   0.0","  16.0","   0.0","   0.0","   0.0","   0.0","  16.0","   0.0","   1.0","   3.0","   0.0","   9.0","   1.0","   7.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","  22.0","   0.0","   0.0","   0.0","   0.0"," 647.0","   0.0","   0.0","   2.0","   0.0","   2.0","   0.0","   0.0","  31.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   3.0","   0.0","   6.0","  12.0","   2.0","   0.0","  72.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","  35.0","  69.0","   4.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  14.0","   6.0","   2.0","   3.0","   7.0","   0.0","   6.0","   8.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  28.0","  10.0","   0.0","   0.0","   0.0","   0.0","   7.0","   1.0"
"3323.0",NA,NA," 704.5","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","  20.0","   0.0","   0.0","   0.0","   6.0","   0.0","   2.0","   3.0","   2.0","   7.0","   0.0","   0.0","   0.0","   2.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","  20.0","   2.0","   3.0","   0.0","   0.0","   0.0","  14.0","   0.0","   0.0","  11.0","   0.0","   0.0","   0.0","   0.0","  14.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  38.0","   0.0","   0.0","   0.0","   1.0"," 508.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","  43.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   4.0","   1.0","   0.0","  10.0","  12.0","   3.0","   0.0","  59.0","   5.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   6.0","   0.0","  74.0","  87.0","   3.0","  10.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   8.0","   1.0","  11.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   3.0","   2.0","   0.0","   0.0","   0.0","   0.0","   2.0","  17.0"
"3388.0",NA,NA," 710.5","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","  18.0","   0.0","   0.0","   0.0","   6.0","   0.0","   3.0","   5.0","   0.0","   6.0","   0.0","   0.0","   1.0","   5.0","  12.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  17.0","   3.0","   0.0","   1.0","   0.0","   1.0","   3.0","   0.0","   0.0","  12.0","   0.0","   1.0","   0.0","   0.0","  18.0","   0.0","   1.0","   1.0","   0.0","   0.0","   1.0","  10.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","  29.0","   0.0","   0.0","   0.0","   2.0"," 502.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  39.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   3.0","  11.0","   0.0","   6.0","  10.0","   2.0","   0.0","  28.0","  13.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   2.0","   0.0","  42.0"," 128.0","  10.0","   4.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   6.0","   0.0","   0.0","   1.0","  10.0","   2.0","   9.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","   1.0","   0.0","   0.0","   1.0","   0.0","   4.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","  16.0"
"3447",NA,NA," 716","   0","   0","   1","   0","   0","   1","   1","  15","   0","   0","   0","   6","   0","   0","   2","   1","  10","   0","   0","   3","   1","   9","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","  28","   2","   0","   0","   0","   1","  12","   0","   0","  12","   0","   1","   1","   1","  20","   0","   0","   0","   2","   3","   0","   4","   0","   2","   0","   0","   1","   0","   0","   6","   0","   0","   0","   0","  13","   0","   0","   0","   2"," 549","   0","   1","   4","   0","   0","   0","   0","  32","   0","   0","   0","   0","   0","   0","   0","   5","   0","   5","  18","   1","   0","  43","  10","   0","   0","   0","   3","   0","   0","   0","   5","   0","  95","  68","   5","  12","   0","   0","   0","   4","   0","   0","   7","   0","   0","   0","   7","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  10","   8","   0","   0","   0","   0","   3","   9"
"3508",NA,NA," 722","   0","   0","   1","   0","   0","   0","   0","  12","   0","   0","   0","   2","   0","   0","   1","   1","   4","   0","   0","   0","   2","   9","   0","   0","   0","   1","   0","   1","   0","   1","   0","   0","   1","   0","   0","  10","   2","   0","   1","   1","   0","  13","   0","   1","   2","   0","   0","   0","   0","   9","   0","   0","   0","   0","   5","   0","  17","   0","   1","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","  17","   0","   0","   0","   1"," 510","   0","   6","   0","   0","   0","   0","   0","  75","   0","   0","   0","   0","   0","   0","   4","   1","   0","   3","  10","   7","   0","  62","   4","   0","   0","   0","   4","   0","   0","   0","   3","   0"," 128","  52","   3","   9","   0","   0","   0","   0","   0","   2","   5","   0","   1","   0","   2","   1","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","  12","   0","   0","   0","   0","   1","   7"
"3569",NA,NA," 728","   0","   0","   2","   0","   0","   0","   2","  25","   0","   0","   1","   3","   0","   0","   4","   1","  10","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","  10","   1","   0","   0","   0","   1","   5","   0","   0","   7","   0","   0","   0","   0","  12","   0","   1","   0","   0","   8","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","   0","   0","   0","   0"," 539","   0","   0","   9","   0","   0","   0","   0","  80","   0","   0","   0","   0","   0","   0","   3","   2","   0","   5","  14","   0","   0","  43","   3","   0","   0","   0","   1","   0","   0","   0","   3","   0"," 167","  46","   1","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   2","   5","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   9","   0","   0","   0","   0","   4","   7"
"3678.0",NA,NA," 739.1","   0.0","   0.0","   1.0","   0.0","   0.0","   3.0","   0.0","  17.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","  11.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  16.0","   0.0","   0.0","   3.0","   0.0","   1.0","  15.0","   0.0","   0.0","   9.0","   0.0","   0.0","   2.0","   0.0","   9.0","   0.0","   1.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","   0.0"," 551.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   0.0","  65.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   4.0","   4.0","   3.0","   1.0","  32.0","   4.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   2.0","   0.0"," 234.0","  35.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0"
