"age_NA","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Aspiromitus punctatus","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Cichorieae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Fagus","Fallopia","Fern","Fraxinus","Geranium","Hedera","Indeterminable","Juglans","Malva undif.","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Salix","Sparganium","Ulmus t.","Vitis"
NA,NA,NA," 3"," 1","44"," 0"," 0"," 0"," 2"," 0"," 5"," 0"," 1"," 4"," 0"," 5"," 2"," 1"," 7"," 3"," 0"," 0"," 0"," 0"," 0"," 4"," 2"," 0"," 0"," 0"," 4"," 3"," 0"," 0"," 0","15"," 0"," 0"," 0","13"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"
NA,NA,NA,"16"," 6","20"," 4"," 0"," 0","15"," 2","17"," 0"," 0"," 0"," 0"," 3","16","28"," 0","20"," 0"," 3"," 0"," 0"," 0"," 2","22"," 0","29"," 0","23","11"," 7"," 0"," 1"," 6"," 0"," 2"," 0","73"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 2"," 0"
NA,NA,NA,"13"," 3","22"," 0"," 0"," 0"," 3"," 1"," 3"," 0"," 0"," 9"," 0"," 3"," 5"," 1"," 2","31"," 0"," 0"," 0"," 0"," 1"," 0","10"," 0"," 1"," 0","15","19"," 1"," 7"," 7","36"," 0"," 1"," 0","63"," 2"," 0"," 6"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 3"
NA,NA,NA,"  6","  0"," 84","  0","  0","  0","  6","  1"," 14","  1","  0"," 12","  0"," 37"," 12","  2","  1"," 19"," 39","  0","  0","  0","  1","  0"," 60","  0","  7","  0"," 53"," 18"," 28","  6","  0"," 84","  0","  1","  0","146","  5","  1","  2","  0","  6","  0","  0","  0","  1","  1","  0"
NA,NA,NA," 11"," 10","110","  1","  1","  0","  7","  0","  1","  8","  0","  2","  0","  0"," 15","  9","  0"," 18","  0","  1","  0","  0","  1","  2","  8","  0","  6","  0"," 17","  9"," 24","  2","  0"," 33","  0","  1","  0"," 69","  7","  0","  6","  0","  2","  0","  1","  0","  0","  1","  1"
NA,NA,NA,"  8","  8","127","  2","  2","  0"," 20","  0","  5","  0","  0","  0","  0","  2","  8","  6","  0"," 20","  0","  0","  1","  0","  0","  0","  8","  3","  0","  0"," 18","  9"," 35","  6","  0","  4","  0","  2","  0"," 69","  0","  1","  5","  1"," 16","  0","  1","  0","  0","  2","  1"
NA,NA,NA," 18","  6"," 23","  5","  0","  0"," 57","  1"," 30","  2","  0","  3","  1"," 12"," 68","  7","  3"," 80","  0","  1","  4","  1","  0","  0","151","  0","  0","  0"," 32","  1","  3","  4","  0","127","  0","  1","  0","144","  1","  3"," 12","  0","  2","  0","  0","  0","  0","  2","  0"
NA,NA,NA,"  2"," 12","164","  0","  0","  0"," 11","  0"," 32","  1","  7","  9","  0","  4"," 12","  2"," 27"," 43","  0","  1","  2","  0","  0","  3"," 43","  0","  0","  0"," 63","  3","  1","  5","  2"," 17","  1","  2","  0"," 34","  2","  0"," 11","  1","  7","  1","  0","  1","  0","  4","  3"
NA,NA,NA,"  9","  2","126","  0","  0","  0"," 41","  5","  7","  0","  0","  2","  2","  4","  6","  8","  1"," 27","  0","  0","  0","  0","  0","  0"," 27","  0","  1","  1"," 35","  7"," 16","  7","  0","  9","  0","  1","  0"," 49","  2","  2","  4","  0"," 12","  0","  1","  0","  0","  2","  1"
NA,NA,NA,"  4","  9"," 74","  0","  0","  2"," 10","  4"," 13","  0","  0","  9","  0","  6"," 28","  7"," 21"," 77","  0","  0","  4","  0","  0","  0","423","  1","  2","  0"," 35"," 12"," 16","  3","  1"," 25","  1","  1","  0"," 95","  3","  0","  9","  0","  6","  0","  0","  0","  0","  4","250"
NA,NA,NA,"  1","  4","145","  0","  0","  0"," 11","  1"," 23","  0","  2"," 42","  1","  7"," 28"," 33"," 20"," 16","  1","  0","  0","  0","  0","  3"," 51","  2","  1","  0"," 47"," 34"," 10"," 12","  3"," 60","  0","  3","  1","195","  1","  0"," 10","  1","  8","  0","  0","  0","  0","  0"," 11"
