"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Anagallis t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fagus","Filipendula t.","Frangula","Fraxinus","Gentiana t.","Gentianaceae undif.","Hedera","Indeterminable","Indeterminable (crumpled)","Indeterminable (hidden)","Indeterminable (reworked)","Juglans","Lamiaceae undif.","Lonicera","Lythrum","Myricaria","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Nuphar","Nymphaea","Olea t.","Oxyria","Pedicularis","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Populus","Potamogeton","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Scrophulariaceae undif.","Solanum","Sparganium","Tamarix","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"8206",NA,NA," 904","   1","   5","   0","   0","   3","   1","   0","   4","  11","   0","   0","   5","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","  27","   0","  23","  12","   0","   0","   0","   0","   0","  16","   0","   0","   1","  16","   0","   0","   0","   0","   2","   0","   0","   2","   0","  13","   0","   1","   5","   1","   0","   0","   0","   0","  79","   6","   2","   0","  49","   1","   0","   1","   0","  56","   0","   0","   0","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","  10","   4","   3","  14","   0","   0","   3"
"8302",NA,NA," 911","   1","   5","   0","   0","   1","   4","   0","   6","  14","   2","   1","   1","   4","   0","   0","   0","   0","   1","   0","   1","   0","   0","  16","   0","  42"," 211","   0","   0","   0","   0","   0","   7","   0","   0","   0","  20","   5","   5","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  53","   2","   0","   0","  38","   0","   0","   0","   0","  64","   0","   0","   0","   0","   0","   8","   0","   0","   1","   0","   0","   0","   0","   7","   0","   1","   4","   0","   3","  26","   0","   0","   0"
"8384",NA,NA," 917","   1","   5","   0","   0","   2","   0","   0","   0","   6","   1","   0","   5","   2","   0","   0","   0","   1","   0","   0","   1","   0","   0","  19","   0","  16","   6","   0","   0","   0","   0","   0","  19","   0","   0","   0","  12","   3","   1","   0","   0","   0","   0","   0","   0","   1","  10","   0","   2","   0","   0","   0","   0","   0","   1"," 112","   4","   1","   0","  23","   1","   0","   0","   0","  90","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   5","   1","   0","  10","   0","   0","   0"
"8466",NA,NA," 923","   1","   5","   0","   0","   3","   0","   0","   1","   1","   0","   0","  23","   3","   1","   0","   0","   7","   0","   0","   0","   0","   0","  13","   1","  18","  20","   0","   1","   3","   0","   0","   8","   0","   0","   0","   7","   1","   2","   0","   0","   2","   0","   0","   1","   0","   6","   0","   1","  17","   0","   0","   0","   0","   0","  69","   2","   0","   0","  43","   1","   0","   0","   0","  91","   3","   1","   1","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   2","   0","   0","   2","   3","   3","   8","   0","   0","   0"
"8562",NA,NA," 930","   1","   9","   0","   0","   6","   1","   0","   3","   4","   0","   1","  19","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","  27","   0","  26","  19","   0","   0","   0","   0","   0","  21","   0","   0","   0","  15","   1","   1","   0","   0","   1","   0","   0","   1","   0","   7","   0","   1","   3","   0","   0","   0","   0","   2","  83","   2","   0","   1","  28","   0","   0","   1","   0","  70","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   3","  25","   0","   0","   0"
"8644",NA,NA," 936","   1","   0","   0","   0","   2","   1","   0","   1","   4","   1","   0","   1","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","  10","   1","  10","  59","   0","   0","   0","   0","   0","   3","   0","   0","   0","  24","   5","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  56","   2","   0","   0","  34","   0","   0","   2","   0"," 149","   1","   0","   0","   0","   0","   4","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  12","   0","   6","  17","   1","   0","   0"
"8753",NA,NA," 944","   1","   7","   1","   5","   4","   0","   0","   0","   7","   3","   0","   9","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  40","   0","  28","  22","   0","   0","   0","   0","   0","  15","   0","   0","   1","  14","   1","   3","   0","   0","   1","   0","   0","   1","   0","   9","   0","   0","   3","   0","   0","   0","   0","   1","  62","   6","   0","   0","  39","   1","   0","   1","   0","  69","   0","   0","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   3","   0","   0","   1","   1","  10","  19","   0","   0","   0"
"8877",NA,NA," 953","   1","   5","   0","   0","   2","   0","   0","   4","   1","   0","   1","   2","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","  18","  24","   0","   0","   0","   0","   0","  16","   0","   0","   0","  10","   0","   5","   0","   0","   0","   0","   0","   0","   0","  36","   0","   0","   3","   0","   0","   0","   0","   0","  49","   2","   1","   0"," 103","   0","   0","   0","   1","  69","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","  24","   0","   0","   2","   3","   2","  45","   2","   0","   3"
"8986",NA,NA," 961","   1","   7","   0","   0","   3","   1","   0","   1","   1","   2","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","  21","  27","   0","   0","   0","   1","   0","  15","   0","   0","   0","  22","   0","   9","   0","   0","   0","   0","   1","   3","   0","  42","   1","   0","   1","   0","   0","   0","   0","   2","  46","   2","   0","   0","  91","   0","   0","   3","   0","  81","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   6","   4","   1","  45","   0","   0","   2"
"9109",NA,NA," 970","   1","   2","   2","   0","   1","   1","   0","   1","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  10","   0","  12"," 143","   0","   0","   1","   0","   0","   2","   0","   0","   0","  42","   2","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  40","   2","   1","   0","  73","   0","   0","   0","   0"," 131","   0","   0","   0","   0","   0","   2","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   5","   0","   6","   8","   0","   0","   1"
"9274",NA,NA," 982","   1","   3","   0","   0","   3","   0","   0","   5","   6","   1","   2","   5","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","  20","   1","  18","  21","   0","   0","   0","   1","   0","  18","   0","   0","   0","  18","   1","   2","   1","   0","   0","   1","   1","   0","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","  60","   8","   2","   0","  77","   0","   0","  76","   0","  69","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   2","   1","   2","  16","   0","   0","   2"
"9424",NA,NA," 993","   1","   3","   0","   0","   3","   2","   0","   3","   5","   2","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","  21","  37","   0","   0","   0","   0","   0","  16","   0","   0","   0","  10","   0","   4","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   1","   0","   0","   0","   0","   0","  67","   4","   0","   1","  64","   0","   0","   1","   0","  83","   1","   1","   0","   0","   1","   0","   1","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   3","  11","   1","   0","   0"
"9766",NA,NA,"1018","   1","   2","   0","   0","   2","   1","   0","   0","   2","   2","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   6","   1","  32","  43","   0","   0","   0","   1","   0","  13","   0","   0","   0","  16","   0","   0","   0","   0","   0","   0","   2","   0","   0","   5","   0","   0","   1","   0","   0","   0","   0","   0","  45","   4","   1","   0"," 109","   0","   0","   7","   0","  68","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   1","   1","   0","   6","   2","   0","  18","   0","   0","   2"
"10191",NA,NA," 1049","    1","    2","    0","    0","    1","    4","    0","    1","    3","    2","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","   30","   32","    0","    0","    0","    0","    0","    7","    0","    0","    0","   19","    2","    1","    0","    0","    2","    0","    0","    0","    0","    2","    0","    0","    2","    0","    0","    0","    0","    1","   50","    6","    0","    0","  108","    0","    0","    0","    0","   75","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    2","    2","    2","    8","    0","    0","    0"
"10279",NA,NA," 1080","    1","    1","    0","    0","    5","    1","    0","    1","    5","    2","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","  195","    0","    0","    1","    2","    0","    4","    0","    0","    0","   16","    0","    2","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   20","    0","    0","    0","  107","    0","    1","    0","    1","  115","    0","    0","    0","    0","    0","    1","   11","    0","    0","    5","    0","    0","    0","    0","    0","    1","    1","    0","   10","   10","    0","    0","    1"
"10328",NA,NA," 1100","    1","    0","    0","    1","    6","    9","    0","    4","    5","    8","    7","    2","    4","    0","    0","    0","    0","    2","    0","    3","    0","    0","    1","    0","    9","   68","    0","    0","    0","    0","    0","    1","    0","    0","    0","   48","   10","    7","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   57","    2","    1","    0","   88","    0","    0","    0","    0","  165","    0","    2","    0","    0","    1","    1","    2","    0","    0","    5","    0","    0","    0","    2","    0","    1","    5","    0","    5","   25","    0","    0","    0"
"10378",NA,NA," 1120","    1","    0","    0","    0","    5","    3","    0","    2","    3","    2","    4","    1","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    3","    0","    6","   88","    0","    0","    0","    0","    0","    7","    0","    0","    0","   12","    3","    1","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   13","    4","    1","    0","   93","    0","    0","    0","    0","  115","    4","    0","    0","    0","    0","    1","   12","    0","    0","    5","    0","    0","    0","    0","    0","    0","    1","    0","   14","    6","    0","    0","    2"
"10427",NA,NA," 1140","    1","    1","    0","    0","    4","    3","    0","    3","    6","    0","    2","    0","    1","    0","    0","    0","    0","    3","    1","    1","    0","    0","    3","    0","    6","   73","    0","    0","    0","    0","    0","    3","    0","    1","    0","   14","    1","   19","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   16","    0","    0","    0","  110","    0","    0","    0","    0","  104","    0","    1","    1","    0","    2","    2","   11","    1","    0","    1","    0","    0","    0","    2","    0","    3","    2","    0","    6","    2","    0","    0","    0"
