"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Anagallis t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fagus","Filipendula t.","Frangula","Fraxinus","Gentiana t.","Gentianaceae undif.","Hedera","Indeterminable","Indeterminable (crumpled)","Indeterminable (hidden)","Indeterminable (reworked)","Juglans","Lamiaceae undif.","Lonicera","Lythrum","Myricaria","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Nuphar","Nymphaea","Olea t.","Oxyria","Pedicularis","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Populus","Potamogeton","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Scrophulariaceae undif.","Solanum","Sparganium","Tamarix","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"3814",NA,NA," 449","   1","  13","   1","   0","   3","   1","   0","   1","   1","   0","   0","  11","   2","   1","   0","   0","   5","   0","   0","   0","   0","   0","   3","   0","  11"," 508","   0","   0","   1","   0","   0","   8","   0","   0","   0","  19","   3","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  78","   0","   0","   0","  17","   0","   0","   0","   0","  72","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   1","   1","   1","   3","  40","   0","   0","   1"
"4132",NA,NA," 486","   1","   8","   0","   0","   7","   1","   0","   0","   0","   1","   1","  16","   0","   1","   0","   0","   3","   0","   0","   1","   0","   0","  11","   0","  10","  57","   0","   1","   6","   0","   0","   4","   0","   0","   1","  15","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   8","  14","   0","   0","   0","   0","   0","  79","   0","   1","   0","  31","   0","   0","   0","   1"," 115","   2","   2","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","  15","   0","   0","   0","   3","   1","  16","   1","   0","   0"
"4459",NA,NA," 524","   1","   5","   0","   0","   3","   0","   0","   0","   0","   0","   1","  16","   1","   1","   0","   0","   6","   0","   0","   0","   0","   0","   3","   0","  19","  54","   0","   1","   5","   0","   0","   4","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   5","  17","   0","   0","   0","   0","   0","  49","   2","   1","   0","  22","   0","   0","   0","   0","  64","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","   0","   5","   1","  28","   2","   0","   0"
"4778",NA,NA," 561","   1","   8","   0","   0","  10","   1","   0","   1","   1","   1","   0","  25","   5","   0","   0","   0","   8","   1","   0","   0","   0","   1","   3","   0","  22","  26","   0","   1","   4","   0","   0","   7","   0","   0","   2","  12","   1","   1","   0","   0","   0","   0","   0","   0","   0","   7","   0","   5","  12","   0","   0","   0","   0","   0","  49","   4","   0","   0","  27","   0","   0","   1","   0"," 113","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   5","   1","   1","   5","   0","   0","   0"
"4950",NA,NA," 581","   1","  10","   0","   0","   4","   1","   0","   1","   0","   0","   0","  51","   1","   0","   0","   0","   6","   0","   0","   0","   0","   0","  11","   0","  18","  21","   0","   0","   0","   0","   0","   6","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","  10","   0","   5","  12","   0","   0","   1","   0","   0","  68","   2","   0","   0","  35","   0","   0","   2","   0","  81","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   5","  14","   0","   0","   0"
"5053",NA,NA," 593","   1","   6","   0","   1","  11","   1","   0","   1","   3","   1","   2","  23","   1","   1","   0","   0","  13","   0","   0","   1","   0","   0","   7","   0","  16","  36","   0","   2","   4","   0","   0","  10","   0","   0","   0","   4","   0","   2","   0","   0","   0","   0","   1","   0","   0","   2","   0","   5","  24","   2","   0","   0","   0","   0","  53","   2","   2","   0","  51","   0","   0","   2","   0","  80","   1","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   2","   8","  13","   0","   0","   1"
"5165",NA,NA," 606","   1","   8","   1","   0","   8","   0","   0","   0","   0","   0","   0","  27","   2","   0","   0","   0","   8","   0","   0","   0","   0","   0","   5","   0","  12","  29","   0","   0","  10","   0","   0","  10","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   3","  22","   0","   0","   0","   1","   1","  65","   2","   3","   0","  55","   0","   0","   0","   0","  82","   1","   1","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   3","   1","   0","   1","   1","   1","   7","   0","   0","   0"
"5268",NA,NA," 618","   1","  13","   0","   0","  10","   3","   0","   0","   3","   2","   1","  43","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   4","   2","  12","  19","   0","   0","  13","   0","   0","  15","   0","   0","   0","   6","   1","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   5","  12","   0","   0","   0","   0","   0","  60","   2","   0","   1","  34","   0","   0","   2","   0","  80","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   1","   4","  13","   0","   0","   0"
"5371",NA,NA," 630","   1","  10","   0","   0","   2","   0","   0","   0","   1","   0","   2","  31","   2","   0","   0","   0","   6","   0","   0","   0","   1","   0","  11","   0","   4","  32","   0","   0","   1","   0","   0","   3","   0","   0","   1","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   8","   0","   0","   0","   1","   0","  88","   2","   3","   0","  37","   0","   0","   2","   0","  93","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   1","   4","  21","   1","   0","   1"
"5483",NA,NA," 643","   1","   4","   0","   0","  11","   0","   0","   1","   0","   0","   1","  59","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   1","   1","  15","  20","   1","   0","   0","   0","   0","  14","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","  21","   0","   2","  12","   0","   0","   0","   0","   0","  62","   0","   0","   0","  25","   0","   0","   0","   0","  94","   0","   1","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   2","   9","   1","   0","   0"
