"Sample Age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Aerva type","Alchornea","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Anacardiaceae undiff.","Anthostema","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Blighia","Bridelia","Caperonia","Capparaceae undif.","Capparis","Caryophyllaceae undif.","Cassia","Casuarina","Ceiba","Celastraceae undif.","Celtis","Centaurea","Chrysobalanus t.","Cichorieae","Cissampelos","Cissus t.","Cleome","Clusiaceae undif.","Combretaceae","Commelina","Commiphora","Cucurbitaceae undif.","Cynometra","Cyperaceae","Detarium","Dichrostachys","Diospyros/Euclea t.","Dodonaea","Echium t.","Elaeis","Eriocaulon","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Gardenia","Gomphrena t.","Grewioideae","Haematostaphis","Harungana","Indeterminable","Ipomoea","Kohautia","Lamiaceae undif.","Lannea","Lophira","Lotus t.","Macaranga","Maerua","Maytenus","Mitracarpus","Mitragyna/Hallea","Monoletes","Myriophyllum alterniflorum t.","Myrtaceae undif.","Nymphaea","Ocimum","Onagraceae","Petaloid monocot","Phoenix t.","Phyllanthus amarus","Phyllanthus undif.","Poaceae","Polygala","Polygonum t.","Resedaceae undiff.","Rhamnaceae undif.","Rhizophora","Rubiaceae undif.","Rutaceae undif.","Salix","Sapindaceae undif.","Sapium","Sapotaceae undif.","Searsia","Securinega  t.","Spergularia t.","Spermacoce","Spores","Stereospermum","Syzygium t.","Tamarix","Tetracera alnifolia","Tilia","Treculia","Triletes","Typha","Uapaca","Urtica t.","Vernonieae","Ximenia","Zanthoxylum"
"4180.067","  88.000","   0.000","   0.000","   5.000","   4.000","   0.000","   0.000","   0.000","   0.000","  18.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000"," 303.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   6.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  64.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   7.000","   0.000","   0.000","   2.000","   0.000","  32.000","  23.000","   0.000","   2.000","   4.000","   0.000","   1.000","   0.000","   0.000","   1.000"," 113.000","   0.000","   1.000","   0.000","   1.000","  23.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   7.000","   0.000","   5.000","   0.000","  15.000","   4.000","   1.000","  14.000","   0.000","   0.000","   0.000","   6.000"
"4515.135","  99.000","   1.000","   0.000","  13.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   1.000","   0.000"," 306.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","  20.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   8.000","   0.000","   1.000","   0.000","   3.000","  24.000","  54.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 183.000","   2.000","   0.000","   0.000","   0.000"," 131.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","  17.000","   0.000","   0.000","   0.000","   5.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000"
"4850.202"," 110.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000"," 358.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   5.000","  44.000","  12.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 219.000","   0.000","   0.000","   1.000","   0.000"," 157.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  35.000","   0.000","   6.000","   0.000","   3.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   5.000"
"5185.27"," 121.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","   1.00","   0.00","   4.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   1.00","   0.00"," 339.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","  12.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","  22.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   8.00","   0.00","   1.00","   5.00","   2.00","  69.00","  14.00","   0.00","   3.00","   0.00","   0.00","   1.00","   3.00","   0.00","   3.00"," 253.00","   0.00","   1.00","   0.00","   0.00","  55.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   7.00","   0.00","  56.00","   1.00","   2.00","   0.00","   1.00","  20.00","  36.00","   3.00","   0.00","   0.00","   1.00","   5.00"
"5489.876"," 131.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000"," 137.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","  11.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","  19.000","   3.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 125.000","   0.000","   0.000","   0.000","   0.000","  33.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","  31.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   1.000"
"5794.483"," 141.000","   0.000","   0.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000"," 126.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","  10.000","   0.000","   0.000","   2.000","   0.000","  45.000","  57.000","   0.000","   1.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000"," 230.000","   0.000","   0.000","   0.000","   0.000","  39.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000"," 140.000","   0.000","  16.000","   0.000","   0.000","   1.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"6038.168"," 149.000","   0.000","   0.000","  18.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000"," 137.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   9.000","   0.000","   0.000","   6.000","   2.000","  42.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  85.000","   0.000","   0.000","   0.000","   0.000","  32.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 174.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   3.000"
"6403.697"," 161.000","   0.000","   0.000","  30.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 104.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  20.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   3.000","   0.000","   0.000","   2.000","  10.000","  52.000","  19.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 123.000","   0.000","   0.000","   0.000","   0.000","  16.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000"," 237.000","   0.000","  10.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000"
"6647.382"," 169.000","   0.000","   0.000","  27.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000","  80.000","  10.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   2.000","   9.000","  39.000","   6.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  94.000","   0.000","   0.000","   0.000","   0.000","  33.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  79.000","   0.000","  10.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000"
"7012.91"," 181.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 231.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","  11.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  19.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   6.00","   0.00","   0.00","   2.00","   0.00","  65.00","  20.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00"," 139.00","   0.00","   0.00","   0.00","   0.00","  47.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  16.00","   0.00","   7.00","   0.00","   1.00","  16.00","  13.00","   0.00","   0.00","   0.00","   0.00","   3.00"
