"Sample Age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Aerva type","Alchornea","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Anacardiaceae undiff.","Anthostema","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Blighia","Bridelia","Caperonia","Capparaceae undif.","Capparis","Caryophyllaceae undif.","Cassia","Casuarina","Ceiba","Celastraceae undif.","Celtis","Centaurea","Chrysobalanus t.","Cichorieae","Cissampelos","Cissus t.","Cleome","Clusiaceae undif.","Combretaceae","Commelina","Commiphora","Cucurbitaceae undif.","Cynometra","Cyperaceae","Detarium","Dichrostachys","Diospyros/Euclea t.","Dodonaea","Echium t.","Elaeis","Eriocaulon","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Gardenia","Gomphrena t.","Grewioideae","Haematostaphis","Harungana","Indeterminable","Ipomoea","Kohautia","Lamiaceae undif.","Lannea","Lophira","Lotus t.","Macaranga","Maerua","Maytenus","Mitracarpus","Mitragyna/Hallea","Monoletes","Myriophyllum alterniflorum t.","Myrtaceae undif.","Nymphaea","Ocimum","Onagraceae","Petaloid monocot","Phoenix t.","Phyllanthus amarus","Phyllanthus undif.","Poaceae","Polygala","Polygonum t.","Resedaceae undiff.","Rhamnaceae undif.","Rhizophora","Rubiaceae undif.","Rutaceae undif.","Salix","Sapindaceae undif.","Sapium","Sapotaceae undif.","Searsia","Securinega  t.","Spergularia t.","Spermacoce","Spores","Stereospermum","Syzygium t.","Tamarix","Tetracera alnifolia","Tilia","Treculia","Triletes","Typha","Uapaca","Urtica t.","Vernonieae","Ximenia","Zanthoxylum"
"7134.753"," 185.000","   0.000","   0.000","   3.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","  77.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   4.000","   1.000","   0.000","   2.000","   0.000","   0.000","   4.000","   1.000"," 353.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  68.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  48.000","   1.000","   5.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   7.000"
"7896.27"," 210.00","   0.00","   0.00","  16.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   6.00","   1.00","   0.00","   0.00","   0.00"," 146.00","   2.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  10.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   1.00"," 140.00","  11.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00"," 128.00","   0.00","   0.00","   0.00","   0.00","  20.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   5.00","   0.00","  98.00","   0.00","   6.00","   0.00","   0.00","   0.00","  14.00","   0.00","   0.00","   0.00","   0.00","   5.00"
"8200.876"," 220.000","   0.000","   0.000","   9.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  69.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   6.000","   8.000"," 258.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  72.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","  56.000","   0.000","   4.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"8505.483"," 230.000","   0.000","   0.000","  21.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  48.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000"," 161.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000"," 494.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 106.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   8.000","   0.000","  41.000","   0.000","   1.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   1.000"
"8810.09"," 240.00","   0.00","   0.00","  40.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   1.00","  71.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","  12.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   7.00","   0.00","   0.00","   1.00","   3.00"," 426.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","  96.00","   0.00","   3.00","   0.00","   0.00","  12.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  25.00","   0.00","  82.00","   1.00","   6.00","   0.00","   1.00","   0.00","   9.00","   0.00","   0.00","   0.00","   1.00","   1.00"
"9114.696"," 250.000","   0.000","   0.000","  39.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000"," 130.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","  10.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   0.000","   1.000","   0.000","   6.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   1.000"," 453.000","   4.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 130.000","   0.000","   1.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","  13.000","   0.000"," 148.000","   0.000","   4.000","   0.000","   0.000","   0.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"9419.304"," 260.000","   0.000","   0.000","  26.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","  62.000","   1.000","   1.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  14.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   2.000"," 352.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000"," 111.000","   0.000","   1.000","   0.000","   0.000","  12.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  20.000","   0.000"," 110.000","   1.000","   4.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"9723.91"," 270.00","   0.00","   0.00","  25.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   3.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   0.00","  91.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   2.00","   0.00","   0.00","   0.00","  25.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   7.00","   0.00","   0.00","   1.00","   1.00"," 328.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","  81.00","   0.00","   1.00","   0.00","   0.00","  13.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   8.00","   0.00","  11.00","   0.00","   6.00","   0.00","   0.00","   0.00","   6.00","   1.00","   0.00","   0.00","   0.00","   0.00"
"10028.52","  280.00","    1.00","    0.00","   28.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","  112.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    2.00","  504.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    2.00","    0.00","    0.00","   84.00","    0.00","    2.00","    0.00","    0.00","   15.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","   11.00","    2.00","    5.00","    0.00","    0.00","    0.00","    6.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"10333.12","  290.00","    0.00","    0.00","   34.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   11.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","  272.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    8.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    2.00","    0.00","  528.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    3.00","    0.00","    1.00","  204.00","    0.00","    2.00","    0.00","    0.00","   13.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   11.00","    0.00","    2.00","    0.00","    1.00","    0.00","    0.00","    0.00","    3.00","    1.00","    0.00","    0.00","    0.00","    1.00"
"10637.73","  300.00","    0.00","    0.00","   10.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","   66.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","   11.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    3.00","    2.00","  878.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","  142.00","    0.00","    0.00","    0.00","    0.00","   20.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    6.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"10942.34","  310.00","    0.00","    0.00","   69.00","    0.00","    0.00","    4.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   20.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   73.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   15.00","    0.00","    0.00","    0.00","    0.00","    0.00","   12.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    1.00","    9.00","    0.00","  206.00","    0.00","    0.00","   25.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","  247.00","    0.00","    0.00","    0.00","    0.00","    7.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    2.00","    0.00","    0.00","    0.00","   28.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"11399.25","  325.00","    0.00","    0.00","   90.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   25.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","   75.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","   11.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","   74.00","    0.00","    0.00","   59.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","  439.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   32.00","    0.00","    0.00","    1.00","    0.00","    0.00"
