"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Gentianaceae undif.","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Loranthus","Lotus t.","Lythrum","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Ononis t.","Parrotia","Pediastrum boryanum var. divergens","Pediastrum boryanum var. granulatum","Pediastrum muticum var. scutum","Pediastrum undulatum","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Pseudopediastrum boryanum var. longicorne","Pseudopediastrum brevicorne","Pteridium undiff.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Viburnum","Vitis"
"605",NA,NA," 30","  5","  1"," 57","  1","  6","  2","  3","  5","  0","  6","  0","  3","  0"," 44","  1","  8","  0","  0","  0","  1","  2","  1","  1","  0","  0","  6","  2","  0","  0"," 14","  2"," 72","  0","  1","  0"," 10","  0","  2","  0"," 36","  2","  0","  5","  1","  0","  0","  1","  1"," 16","  2","  0","  0","  0","  0","  0","  1","  3","  0","  3","  5","  2","  2","  0","  0","  2","  0","  0","  1","  0","  0","  0"," 54","  1"," 12","  6","252","  6","  4","  4","  0","  2","  0","  0","196"," 33","  5","  1","  0","  2","  0","  0","  0","  0","  0","  0"," 24","  0","  0","  2","  1","  2"," 10","  7"," 32","  1","  0","  0","  1"
"746",NA,NA," 37","  3","  2"," 21","  1"," 11"," 16","  2"," 19","  0"," 13","  1","  5","  1"," 91","  0","  9","  0","  0","  0","  1","  1","  9","  1","  1","  0","  3","  5","  1","  0","  7","  8","181","  0","  0","  1"," 12","  0","  6","  0"," 44","  0","  0","  7","  3","  1","  0","  1","  0","  6","  5","  3","  0","  0","  0","  0","  3"," 11","  0","  3","  3","  8","  0","  0","  0","  0","  0","  0","  0","  0","  7","  1"," 18"," 10"," 18"," 15","347"," 17"," 10","  0","  0","  0","  0","  0","342"," 45","  5","  0","  1","  6","  1","  0","  2","  1","  1","  0"," 55","  0","  0","  1","  0"," 18","  7","  2"," 90","  0","  0","  0","  2"
"1209",NA,NA,"  60","   6","   0","   4","   0","   5","   1","   1","   4","   0","   3","   0","   0","   0","  24","   0","   3","   0","   0","   0","   0","   1","   1","   1","   0","   0","   2","   2","   0","   0","  10","   0","  20","   0","   0","   0","   1","   0","   2","   1","  23","   0","   0","   2","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   1","   2","   1","  49","   2","   2","   0","   0","   1","   0","   0"," 180","   8","   5","   0","   1","  20","   0","   0","   1","   0","   0","   0","   8","   0","   0","   1","   0","   1","   0","   4","   8","   0","   0","   0","   0"
"1612",NA,NA,"  80","  10","   2","   8","   0","  13","   8","   0","  13","   0","   8","   0","   2","   1","  51","   0","   9","   0","   0","   0","   0","   0","   8","   0","   0","   0","   4","   5","   0","   0","  11","   0","  52","   0","   0","   1","   6","   0","   2","   5","  37","   0","   0","   4","   0","   0","   0","   0","   0"," 131","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   4","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  68","   0","   2","   0","  81","   2","   3","   0","   0","   0","   0","   0"," 350","  41","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","  45","   0","   0","   1","   2","   0","   6","   1"," 120","   0","   0","   0","   0"
"2016",NA,NA," 100","   6","   0","   6","   3","  16","   6","   0","  18","   0","  10","   0","   1","   2"," 106","   0","   4","   0","   0","   0","   0","   6","  12","   5","   1","   0","   6","   1","   0","   0","  37","   1","  68","   0","   0","   1","   6","   0","   8","   3","  41","   1","   0","   6","   1","   0","   0","   1","   0","   2","   0","   1","   0","   0","   0","   0","   3","   1","   0","   1","   3","   4","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","  65","   3","  14","   0"," 337","   6","   6","   0","   1","   1","   0","   0"," 601","  74","  11","   0","   1","   4","   0","   0","   1","   0","   0","   0","  27","   0","   0","   4","   4","   0","  13","   6","  42","   0","   0","   0","   0"
"2419",NA,NA," 120","  17","   4","  50","   1","  24","  62","   8","  34","   0","  33","   0","  19","  11"," 167","   0","  44","   1","   0","   3","   0","   0","  14","   7","   0","   0","   5","  14","   1","   1","  38","  17"," 379","   0","   0","   1","  30","   0","   5","   5","  84","  21","   1","  23","  15","   0","   0","   0","   1","  50","   0","   1","   0","   0","   0","   1","   5","   4","   0","   0","  38","   9","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 165","   3","  23","   3","2563","  13","  10","   0","   0","   3","   0","   0","1010","  88","  22","   0","   0","   5","   8","   1","   5","   1","   0","   3"," 164","   0","   0","   2","   3","   2","  12","  36"," 312","   0","   0","   0","   5"
"2822",NA,NA," 140","   5","   1","   3","   0","   7","  20","   7","  72","   0","  21","   1","   4","   0"," 100","   0","  22","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   1","   1","   0","  15","   2"," 327","   0","   0","   0","   7","   0","   5","   0","  15","   0","   0","   9","   2","   0","   0","   0","   0","  42","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","  21","   7","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","  48","   1","  15","   0"," 498","   1","   3","   2","   0","   7","   0","   0"," 366","  17","   4","   0","   1","   9","   0","   0","   1","   0","   0","   0","  67","   0","   0","   1","   1","   2","   2","   9","  58","   0","   0","   0","   6"
"3124",NA,NA," 155","   4","   0","   3","   0","   3","   8","   2","  19","   0","   7","   0","   5","   0"," 108","   0","  23","   0","   0","   0","   0","   0","   5","   2","   0","   1","   3","   1","   0","   0","   8","   2"," 203","   0","   0","   0","   5","   0","   4","   1","  57","   0","   0","  13","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","  21","   4","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","  38","   2","   7","   1"," 282","   2","   4","   0","   0","   2","   0","   0"," 326","  18","   2","   0","   0","   2","   4","   0","   2","   0","   0","   0"," 145","   0","   0","   1","   2","   0","   5","   7","  70","   0","   0","   0","   1"
"3628",NA,NA," 180","   2","   2","   6","   1","   4","   5","   0","   7","   0","   1","   0","   2","   0","  59","   0","   3","   0","   0","   0","   0","   0","   9","   1","   0","   0","   2","   2","   0","   0","  11","   0","  74","   0","   0","   0","   3","   0","   3","   0"," 865","   2","   0","   9","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","  11","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  24","   1","   6","   1"," 141","   1","   0","   1","   0","   4","   4","   0"," 174","   7","   3","   0","   0","   5","   2","   0","   1","   0","   0","   2","  35","   0","   0","   1","   1","   1","   4","   2","  14","   0","   0","   0","   0"
"3991",NA,NA," 198","   4","   0","  20","   0","   8","   3","   0","   6","   0","   2","   0","   1","   0","  93","   1","   3","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   2","   0","   0","   8","   5","  50","   0","   0","   0","   4","   0","   4","   0","  43","   0","   0","  10","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   2","   0","   0","  21","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   1","  10","   0"," 122","   0","   0","   0","   0","   7","   0","   0"," 249","   3","   0","   0","   0","   1","   1","   0","   0","   2","   1","   0","  31","   0","   0","   1","   0","   0","   0","   7","  17","   0","   0","   0","   0"
"4434",NA,NA," 220","  10","   1","  19","   0","   4","   8","   4","   9","   0","   2","   1","   2","   0"," 170","   0","   7","   0","   0","   0","   0","   0","  19","   1","   1","   0","   2","   2","   0","   0","  15","   2","  72","   0","   0","   0","  12","   0","   3","   1","  70","   0","   0","  15","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   1","   2","   0","   0","  24","   9","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  37","   3","  15","   0"," 193","   3","   0","   0","   0","   8","   0","   0"," 410","  13","   1","   0","   0","   5","   5","   1","   2","   3","   0","   0","  51","   0","   0","   0","   1","   0","   6","   6","  16","   0","   0","   0","   3"
"4990",NA,NA," 237","   9","   0","   1","   0","   6","   3","   0","  11","   0","   1","   0","   3","   0"," 120","   1","   6","   0","   0","   0","   0","   1","  16","   1","   1","   0","   0","   4","   0","   0","   5","   0","  34","   0","   0","   0","   4","   2","   0","   0","  31","   0","   0","  24","   3","   0","   0","   3","   0","   1","   0","   3","   0","   0","   0","   0","   1","   5","   0","   0","  24","   0","   0","   0","   0","   0","   0","   0","   0","   2","   3","   0","  33","   8","   6","   1"," 172","   2","   0","   0","   0","   2","   0","   0"," 294","   2","   0","   0","   1","   6","   5","   0","   2","   0","   0","   0","  19","   0","   1","   0","   3","   1","   1","   5","   8","   0","   0","   0","   1"
"6029",NA,NA," 260","  11","   0","  23","   0","   2","   4","   1","   4","   0","   4","   0","   1","   0"," 117","   0","   6","   0","   0","   0","   1","   0","  14","   0","   0","   0","   1","   1","   0","   0","  21","   0","  13","   0","   0","   0","   0","   0","   1","   0","  57","   0","   0","  50","   4","   0","   0","   2","   0","   3","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   9","   0","   1","   0","   0","   0","   0","   2","   0","   0","  13","   0","  29","  28","   6","   0"," 132","   2","   1","   3","   0","  10","   0","   5"," 309","   0","   0","   0","   2","   5","   2","   0","   1","   2","   0","   0","  13","   0","   0","   0","   6","   0","   3","   4","   8","   0","   0","   0","   3"
"6754",NA,NA," 280","   8","   0","  26","   0","   4","   1","   0","   2","   0","   0","   0","   2","   1","  19","   0","   5","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   1","   0","   0","  11","   1","   6","   1","   0","   0","   1","   0","   0","   0","  67","   0","   1","  17","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   2","   0","   1","   0","   2","   0","  15","   8","   1","   0","  85","   1","   0","   0","   0","  11","   0","   0"," 238","   1","   0","   0","   0","   1","   1","   0","   4","   1","   0","   0","   4","   0","   0","   0","  13","   0","   0","   4","   6","   0","   0","   0","   0"
"7383",NA,NA," 303","   3","   0","  25","   0","   3","   5","   1","   5","   0","   9","   0","   1","   0","  10","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   1","   1","   0","   0","  16","   5","  16","   0","   0","   0","   0","   0","   0","   0","  20","   3","   0","   5","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  22","  16","   3","   0"," 193","  11","   0","   1","   0","  15","   0","   0"," 276","   3","   1","   0","   0","   7","   7","   0","   7","   1","   0","   1","  10","   1","   0","   0","  10","   0","   2","   4","  20","   2","   0","   0","   0"
