"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alnus","Amaranthaceae undif.","Anagallis t.","Angelica palustris-type","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fern","Filipendula t.","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Halimium/Tuberaria","Hedera","Hepaticae","HippophaÃ« rhamnoides","Hypericum undif.","Ilex","Lamiaceae undif.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Mercurialis","Musci","Myrtus","Olea t.","Paronychieae","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Portulacaceae t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Sparganium","Spergularia t.","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Vaccinium","Viola","Vitis"
" 1881.32",NA,NA,"  5","0.282","15","1","0","0","0","5","3","0","0","30","0","22","1","0","0","2","4","0","4","0","0","3","2","3","12","0","1","0","113","0","16","0","0","0","4","2","0","0","1","0","0","0","0","0","0","0","49","0","0","0","4","0","51","0","3","3","0","5","18","0","5","0","696","0","0","0","0","3","127","11","55","0","16","0","0","0","1","1","0","4","21","1","0","0","0","0","0","0","0"
" 2028.60",NA,NA," 10","0.282","28","3","0","0","1","23","7","0","0","71","1","14","1","0","0","4","4","0","4","0","0","3","6","11","30","0","0","0","99","0","17","0","0","0","7","3","5","0","0","0","0","0","1","0","0","0","58","0","0","0","2","0","14","1","3","1","0","2","11","0","7","0","1116","1","0","0","0","9","140","21","119","0","22","2","1","0","1","1","0","4","27","0","0","0","0","0","0","0","0"
" 2175.87",NA,NA," 15","0.282","24","2","0","0","2","10","4","0","0","65","1","17","0","0","0","2","4","0","1","0","0","3","4","7","27","0","2","0","65","0","15","0","0","1","5","5","3","0","0","0","0","0","0","0","0","0","54","0","0","0","5","0","4","0","3","1","1","1","6","1","5","1","984","1","0","0","0","8","149","5","142","0","20","2","0","0","0","1","0","3","25","0","0","0","0","0","0","0","0"
" 2323.14",NA,NA," 20","0.282","12","1","0","0","0","17","6","0","0","210","2","7","0","0","0","3","0","1","2","0","2","4","7","0","7","1","0","0","60","0","14","0","1","0","2","8","6","0","0","0","0","0","0","0","0","0","41","0","0","0","1","0","3","0","4","6","1","2","12","0","7","0","1026","0","0","0","0","5","132","11","143","0","18","1","0","1","1","1","0","1","19","0","0","0","0","0","0","0","0"
" 2470.41",NA,NA," 25","0.282","11","1","0","0","2","18","2","3","0","274","1","8","2","0","0","1","0","3","0","0","0","0","12","1","12","0","1","0","55","0","22","0","0","1","6","4","4","0","0","0","0","0","0","0","0","0","42","0","0","0","1","0","1","0","3","1","0","6","16","0","16","0","895","0","0","0","0","9","132","9","160","2","16","7","0","0","1","0","0","0","20","1","0","0","1","0","0","0","0"
" 2617.69",NA,NA," 30","0.282","13","0","0","0","3","32","1","2","0","198","2","9","2","0","1","4","0","0","0","0","1","4","18","0","9","0","0","0","57","0","15","0","0","1","3","7","5","0","1","0","0","0","0","1","0","0","48","0","0","0","2","0","1","2","5","5","0","1","21","0","12","1","1072","0","1","0","8","6","159","12","212","1","27","3","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0"
" 2764.96",NA,NA," 35","0.282","18","2","0","1","1","38","4","7","0","211","4","5","2","0","0","3","0","2","1","0","6","3","13","0","7","0","1","0","37","0","22","0","0","2","4","10","5","0","0","1","0","0","0","2","0","0","53","0","0","0","0","0","2","0","8","2","1","0","26","0","12","3","855","2","0","0","5","7","155","6","155","2","15","2","0","0","1","0","0","0","17","0","0","0","0","0","1","0","0"
" 3033.42",NA,NA," 40","0.282","26","0","0","0","0","27","2","1","0","167","2","11","1","0","0","4","0","0","0","0","3","1","8","0","2","0","0","0","43","0","17","0","0","2","0","6","3","1","0","1","0","0","0","0","0","0","50","0","0","0","0","0","1","0","5","5","0","2","28","0","14","1","888","1","0","0","12","4","200","21","244","1","32","0","0","0","1","0","0","0","11","0","1","0","0","1","0","0","0"
" 3301.88",NA,NA," 45","0.282","15","0","0","1","1","20","4","0","2","230","0","17","1","0","0","2","0","0","0","0","7","5","2","0","1","0","0","0","59","0","14","0","1","0","3","6","1","0","0","0","0","0","0","1","0","0","56","0","0","0","0","0","3","0","2","4","5","4","28","0","5","0","740","0","0","0","0","2","230","16","242","1","18","3","0","1","1","0","0","0","12","1","0","1","0","0","0","0","0"
" 3570.33",NA,NA," 50","0.282","20","1","0","3","0","24","2","1","0","240","0","15","1","0","0","3","0","3","1","0","0","2","5","0","8","0","0","0","52","0","16","0","0","2","1","6","0","0","0","0","0","0","3","0","0","0","72","0","0","1","2","0","3","0","3","0","0","1","25","0","6","2","828","1","0","0","1","2","247","15","264","2","21","4","0","0","1","1","1","0","11","0","0","0","0","0","0","1","0"
