"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Bryonia","Buxus","Callitriche","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Ceratonia","Chamaerops","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Elaeagnus","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Lycopodiaceae","Ficus","Filipendula t.","Fraxinus","Fungi","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Hypericum undif.","IsoÃ«tes","Lamiaceae undif.","Linum t.","Loranthus","Lotus t.","Lycopodium spike","Lycopodium tablets","Lythrum","Mercurialis","Morus","Myriophyllum undif.","Myrtus","Nerium","Nuphar","Olea t.","Onagraceae","Ononis t.","Papaver t.","Paronychieae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primula","Protist","Prunus t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Riccia","Rosa t.","Rosaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Sparganium","Spergularia t.","Styrax","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Ulmus t.","Urtica t.","Utricularia","Valeriana t.","Valerianella","Vitis"
"  -58",NA,NA,"    0","    1","    0","    0","    1","    2","    2","   76","    0","    0","    0","    0","    0","    0","   11","    0","    3","    0","    0","    0","   14","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    4","    2","    0","    0","    1","    0","   52","    2","    0","    0","    1","    0","   15","    0","    0","    0","    1","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    1","    0","   11","    5","    0","    0","   10","  230","41697","    0","    0","    1","    0","    1","    0","    0","    7","    0","    0","    0","    0","    1","    1","   21","   27","   12","    0","  215","    0","    0","    1","    1","    0","    0","    4","    1","    0","    2","    6","    3","    0","    0","    0","    0","    0","    0","    2","   22","    0","    0","    0","    2","    0","    0","    4","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0"
"  171",NA,NA,"   10","    1","    0","    0","    0","    1","    9","   37","    1","    0","    1","    3","    1","    0","   21","    1","    7","    0","    0","    0","    9","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    2","   41","    8","    0","    0","    0","    1","   82","    7","    0","    0","    0","    0","   22","    0","    0","    0","    0","    2","    2","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","   14","    7","    0","    0","    4","  375","41697","    0","    0","    0","    1","    3","    0","    0","   14","    0","    0","    0","    0","    0","    3","   10","   62","   23","    0","  103","    6","    0","    1","    1","    0","    0","   10","    0","    0","    1","   10","    0","    1","    0","    0","    0","    0","    0","   21","   17","    1","    0","    0","    1","    0","    3","    2","    0","    0","    1","    0","    1","    0","    1","    0","    0","    0","    5","    0","    0","    0","    4"
"  397",NA,NA,"   20","    1","    0","    0","    0","    3","    0","   64","    0","    0","    2","    2","    0","    0","   34","    1","   11","    0","    0","    0","   10","    0","    0","    0","    1","    0","    6","    0","    0","    0","    0","    0","    3","   31","    8","    0","    1","    0","    0","   34","   26","    0","    0","    0","    0","   19","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    3","    3","    0","    0","    0","    0","   25","   18","    0","    0","    9","  282","41697","    0","    0","    0","    2","    1","    0","    0","    6","    0","    0","    0","    0","    1","    0","    3","   69","   26","    0","   93","    5","    0","    1","    0","    0","    0","    8","    3","    0","    6","   16","    0","    4","    0","    0","    0","    0","    0","    9","   24","    1","    0","    0","    3","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","    1"
"  620",NA,NA,"   30","    1","    0","    0","    0","    0","    4","  114","    0","    1","    2","    0","    0","    0","   56","    2","    6","    1","    0","    0","   11","    0","    0","    0","    3","    0","    1","    0","    1","    0","    0","    0","   10","    1","    7","    0","    2","    0","    0","   17","   31","    0","    0","    0","    0","   38","    0","    0","    0","    0","    3","    2","    0","    0","    3","    0","    0","    0","    1","    0","    0","    0","    5","    6","    0","    0","    0","  100","41697","    0","    0","    0","    0","    4","    0","    0","   26","    0","    0","    0","    0","    1","    0","    3","   41","    5","    0","  118","    1","    0","    4","    0","    0","    0","    2","    0","    0","   10","   17","    1","    0","    0","    0","    0","    7","    0","    6","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1"
"  837",NA,NA,"   40","    1","    0","    0","    0","    0","    3","   45","    0","    2","    0","    0","    0","    0","   92","    0","    2","    0","    0","    0","   11","    0","    0","    0","    0","    0","    1","    0","    1","    1","    0","    0","    5","    4","    6","    0","    0","    0","    2","   38","   20","    0","    0","    0","    0","   23","    0","    0","    0","    0","    4","    1","    1","    0","    4","    1","    0","    0","    0","    0","    0","    0","   12","    9","    0","    0","   12","  253","41697","    0","    0","    0","    1","   20","    0","    0","   58","    0","    0","    0","    0","    2","    3","    0","   46","    8","    0","   67","    1","    0","    3","    0","    0","    0","   19","    0","    0","    3","   18","    3","    3","    0","    0","    0","    4","    0","   11","    4","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    3"
" 1379",NA,NA,"   67","    1","    0","    0","    0","    0","    4","   85","    0","    2","    0","    0","    0","    0","   78","    0","    3","    0","    0","    0","    9","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    3","    0","    0","    1","    0","   44","   24","    0","    0","    0","    0","   11","    0","    0","    0","    0","    2","    1","    0","    0","    4","    2","    0","    0","    0","    0","    0","    2","    1","   10","    0","    0","    4","  218","41697","    0","    0","    0","    0","   15","    0","    0","   53","    0","    0","    0","    0","    2","    1","    2","   81","    8","    0","   54","    7","    0","    0","    1","    0","    0","    1","    5","    0","    4","   16","    1","    3","    0","    0","    0","    0","    0","    8","    1","    2","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
" 1453",NA,NA,"   71","    1","    0","    0","    1","    0","    4","   21","    0","    2","    0","    4","    0","    1","   85","    0","    2","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    2","    7","    0","    0","    0","    0","   63","   35","    0","    1","    0","    1","   10","    0","    0","    0","    0","    2","    0","    0","    0","   11","    3","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","  266","41697","    0","    0","    0","    0","   20","    0","    0","   66","    0","    0","    0","    0","    2","    5","    0","   96","    4","    0","   32","    5","    0","    0","    0","    0","    0","    0","    1","    0","    6","   26","    5","    0","    0","    0","    0","    0","    0","    4","   23","    3","    0","    0","    0","    0","    0","    1","    3","    0","    4","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    6"
" 1541",NA,NA,"   76","    1","    0","    0","    0","    0","   24","   33","    0","    3","    3","    1","    1","    1","   69","    1","   18","    1","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   20","   24","    0","    1","    0","    1","   31","   38","    0","    0","    0","    3","   27","    0","    0","    0","    0","    8","    3","    1","    0","    3","    4","    0","    0","    0","    0","    0","    1","   24","    5","    0","    0","   11","  417","41697","    0","    0","    0","    0","   14","    0","    0","   27","    0","    0","    0","    0","    0","    1","    1","   34","    5","    0","   85","    2","    0","    1","    4","    0","    0","    0","    0","    0","   10","   22","    1","    0","    0","    0","    0","    1","    0","    8","    0","    1","    1","    0","    0","    0","    0","    9","    0","    0","    2","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    6"
" 1626",NA,NA,"   81","    1","    0","    0","    0","    1","   43","   30","    0","   16","    2","    6","    1","    1","   30","    2","   10","    0","    2","    0","   16","    0","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","    2","   33","   49","    0","    0","    1","    0","   26","   57","    0","    1","    0","    0","   45","    1","    0","    0","    0","   16","    1","    0","    0","    6","    7","    0","    0","    1","    0","    0","    0","   24","    4","    1","    0","    1","  626","41697","    0","    0","    0","    0","    9","    0","    0","   34","    0","    0","    0","   14","    1","    4","    4","   52","   10","    0","   63","    1","    0","    1","    1","    0","    0","    1","    0","    0","   11","   23","    4","    2","    0","    1","    0","    2","    1","   15","    6","    7","    0","    0","    3","    3","    0","   10","    0","    0","    3","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","   16"
" 1722",NA,NA,"   87","    1","    0","    0","    0","    0","   25","   33","    0","    2","    5","    0","    0","    0","   58","    1","   18","    1","    0","    0","   11","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","   26","   53","    0","    1","    0","    0","   28","   40","    0","    0","    0","    1","   75","    0","    0","    0","    0","   13","    3","    0","    0","    4","   12","    0","    1","    1","    0","    0","    1","   39","    4","    0","    0","    6","  740","41697","    0","    0","    0","    0","   20","    0","    0","   11","    0","    0","    0","    0","    1","    3","    4","   19","   17","    0","   39","    0","    0","    0","    0","    0","    0","    1","    0","    0","    5","    8","    1","    2","    0","    0","    0","    2","    0","   18","    1","    1","    0","    0","    5","    0","    0","   13","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","   16","    0","    0","    0","    1"
