"age_NA","ageolder_BP","ageyounger_BP","depth","Algae","Alnus","Amaranthaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Cardueae undif.","Cichorieae","Cistaceae","Cyperaceae","Lamiaceae undif.","Olea t.","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Rumex t.","Salix","Urtica t."
NA,NA,NA," 2"," 2"," 7"," 5"," 3"," 3"," 2","23","11","21","13"," 3"," 4"," 5","21","15","19"," 0"," 5","66"," 8","11","23"," 8"
NA,NA,NA," 3"," 7"," 7"," 4"," 2"," 3"," 2","15","13","18","19"," 4"," 6"," 6","13"," 6","21"," 8"," 6","54","11","11","31"," 3"
NA,NA,NA," 4","24"," 4"," 4"," 2"," 8"," 1","13","28","13","33"," 4","22"," 7","13","10","30","13"," 5","42"," 4","12","19"," 4"
NA,NA,NA," 5","20"," 5"," 3"," 2"," 9"," 2","17","31","12","29"," 5","31"," 5","14"," 9","33","10"," 6","41"," 4"," 9","22"," 4"
