"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Geranium","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Loranthus","Lotus t.","Lysimachia","Lythrum","Matthiola","Menyanthes","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Taxus","Thalictrum","Theligonum","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valeriana t.","Valerianella","Verbena t.","Viburnum","Vitis","Ziziphus/Paliurus"
"  85"," 568","-388","   5","   1","   1","   0","   0","   0","  14","   0","   1","   1","  12","   0","   0","   0","  15","   0","   4","   1","   0","   3","   0","   0","   0","  59","   0","   1","   3","   0","   0","   0","   0","   3","  14"," 135","   0","   0","   0","   0","   3","   0","   4","  43","   0","   0","   3","   1","   0","   0","   0","   0","   3","   3","   0","   0","   0","   4","   1","   3","   0","   0","   0","   0","   2","   2","   0","   1","   1","   1","   0","  54","   0","   5","   8","  76","   3","   5","   0","   2","   0","  55","   5","   1","   0","   1","   3","   5","   0","   2","   2","   0","  25","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   1","   1"
"352","801","-86"," 20","  2","  1","  8","  0"," 26"," 14","  0","  2","  2"," 31","  0"," 10","  1"," 43","  1","  3","  1","  0","  7","  0","  2","  2","  8","  0","  0","  1","  1","  0","  1","  0"," 15"," 27","195","  0","  0","  2","  0","  1","  0"," 25","  0","  1","  0"," 11","  5","  0","  1","  5","  0","  8","  1","  1","  0","  0","  1","  2","  1","  0","  0","  0"," 20"," 46","  2","  0","  0","  0","  1","  0"," 47","  3"," 27","  7","285","  7","  3","  0"," 48","  1"," 90","  8","  2","  0","  0"," 11","  8","  0","  2","  1","  1"," 55","  0","  0","  0","  0","  1","  4","  0","  4","  0","  0","  0","  0","  5","  1"
"530","955","114"," 30","  1","  1","  2","  0","  6"," 10","  0","  0","  2"," 16","  0","  3","  2"," 22","  0","  2","  0","  1","  2","  0","  0","  1","  8","  0","  0","  2","  0","  1","  1","  0","  5"," 18","121","  0","  0","  1","  0","  0","  0","  4"," 27","  0","  1"," 10","  2","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  3"," 18","  1","  0","  0","  0","  0","  0"," 52","  2"," 15","  4","158","  2","  2","  0"," 44","  0"," 67","  3","  1","  0","  1","  6","  1","  0","  1","  2","  0"," 18","  0","  0","  0","  0","  2","  3","  0","  0","  0","  0","  0","  0","  0","  0"
" 887","1265"," 515","  50","   2","   0","   6","   0","  13","  10","   0","   0","   3","   0","   0","   5","   0","  21","   1","   0","   1","   0","   3","   0","   8","   0","  10","   0","   1","   5","   0","   0","   0","   0","   7","  36"," 382","   0","   0","   3","   0","   2","   0","  19","  27","   0","   0","   5","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","  19","   0","   0","   0","   0","   0","   0","  63","   3","  12","   7"," 196","   7","   5","   0"," 190","   0","  96","   6","   2","   0","   2","   5","   9","   0","   2","   0","   0","  34","   0","   0","   0","   0","   1","   3","   1","   0","   0","   0","   0","   0","   2","   0"
"1243","1576"," 915","  70","   1","   0","   2","   0","   4","   3","   1","   0","   1","   7","   0","   1","   0","  14","   0","   1","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   7","  46","   0","   0","   1","   0","   1","   0","  16","   2","   0","   0","   6","   1","   0","   1","   1","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   6","  15","   0","   0","   0","   0","   0","   0","  22","   0","   4","   3","  80","   5","   0","   0","   7","   0","  49","   1","   1","   0","   0","   2","   0","   0","   0","   1","   0","  20","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0"
"1422","1733","1116","  80","   1","   0","  17","   0","  11","   7","   0","   0","   0","  13","   0","   1","   1","  18","   0","   0","   0","   0","   6","   0","   0","   2","   5","   0","   0","   1","   0","   3","   0","   0","   4","  10"," 218","   0","   0","   0","   0","   2","   0","   4","  25","   0","   0","   6","   1","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   3","   7","   3","   0","   0","   1","   1","   0","  35","   1","  14","   5"," 112","   3","   0","   0","  78","   0","  52","   1","   4","   0","   0","   8","   0","   0","   0","   0","   0","  27","   0","   1","   0","   0","   2","   4","   0","   2","   0","   0","   0","   0","   2","   1"
"1778","2043","1512"," 100","   2","   0","   8","   0","  23","  12","   0","   2","   2","  12","   0","   3","   0","  46","   0","   1","   3","   0","   4","   0","   1","   1","   5","   0","   1","   1","   0","   1","   0","   0","   6","  17"," 208","   0","   0","   0","   0","   2","   0","  22","  29","   0","   1","  15","   1","   0","   0","   1","   0","  10","   2","   0","   0","   0","   1","   0","   1","   0","   0","   0","  14","  58","   1","   0","   0","   0","   1","   0","  46","   4","  14","   7"," 202","  11","   1","   0","  60","   2"," 104","   5","   1","   0","   0","  10","   1","   0","   0","   0","   0","  47","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","   0","   3","   0"
"2134","2356","1905"," 120","   5","   0","  11","   0","  35","  15","   2","   1","   1","  21","   0","   2","   0","  66","   0","   2","   2","   0","  14","   0","   4","   0","   9","   0","   7","   7","   0","   0","   0","   0","   9","  19"," 360","   0","   0","   3","   0","   0","   0","  28","  73","   0","   0","   6","   2","   0","   0","   0","   0","   9","   3","   0","   0","   0","   1","   1","   1","   1","   0","   0","  23"," 151","   1","   1","   0","   0","   2","   1"," 100","   6","  18","  12"," 334","  15","   4","   0","  58","   1"," 146","   0","   1","   0","   1","  22","   7","   0","   1","   4","   0","  99","   0","   0","   0","   0","   1","   4","   2","   0","   0","   0","   1","   0","   5","   0"
"2491","2678","2299"," 140","   1","   0","   0","   0","  60","  11","   0","   4","   4","   8","   0","   3","   6","  63","   0","   3","   0","   0","   5","   0","   5","   4","   5","   0","   2","   3","   1","   3","   0","   0","   7","   5"," 107","   0","   0","   2","   0","   2","   0","  97"," 519","   1","   0","  18","   2","   0","   0","   1","   0","  12","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","  44","  41","   0","   0","   0","   0","   2","   0","  50","   7","  13","  11"," 180","   5","   9","   0","   3","   2"," 184","   5","   1","   1","   3","  12","   5","   4","   1","   1","   1"," 155","   0","   1","   1","   1","   0","   1","   5","   0","   1","   0","   0","   0","   4","   0"
"2847","3006","2684"," 160","   2","   2","   0","   0","  22","   6","   0","   0","   1","   6","   0","   7","   0","  27","   0","   1","   0","   0","   3","   0","   2","   0","   7","   1","   4","   0","   0","   0","   0","   0","   7","   1","  78","   0","   0","   1","   0","   2","   1","   8"," 135","   3","   0","   5","   1","   0","   2","   0","   0","   3","   1","   0","   0","   0","   0","   0","   1","   0","   0","   4","   4","   5","   0","   4","   0","   1","   5","   0","  56","   0","   5","   3"," 116","   0","   2","   2","  18","   0"," 140","   4","   0","   0","   1","   0","   4","   0","   3","   2","   0","  88","   0","   2","   0","   1","   0","   1","   2","   0","   0","   0","   0","   0","   4","   0"
