"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alismataceae","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Centaurea","Ceratonia","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Euphorbiaceae undif.","Fabaceae Undif.","Fraxinus","Hedera","HippophaÃ«","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Lonicera","Malva undif.","Myriophyllum undif.","Myrtus","Nerium","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Primulaceae undif.","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae undif.","Searsia","Styrax","Tamarix","Thymelaeaceae undif.","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
"1861.177",NA,NA,"  75.000","  12.000","  24.000","   0.000","   3.000","   3.000","   0.000","   0.000","   0.000","  12.000","  12.000","   3.000","   9.000","  13.000","  14.000","   3.000","   3.000","  18.000","   4.000","  12.000","   0.000","   0.000","   3.000","  28.000","  11.000","   3.000","   8.000","  11.000","  20.000","  11.000","   3.000","   3.000","  10.000","  13.000","   3.000","  17.000","  13.000","  13.000","   3.000","   3.000","   6.000","   8.000","  20.000","   3.000","  10.000","  23.000","   4.000","   6.000","  12.000","   3.000","  13.000","  14.000","   5.000","  13.000","  20.000","  22.000","  11.000","   4.000","   7.000","  10.000","   0.000","   9.000","   3.000","   3.000","   3.000","   3.000","  18.000","  11.000","   3.000","  17.000","   9.000","   0.000"
"1925.882",NA,NA,"  80.000","  14.000","  37.000","   0.000","   3.000","   3.000","   0.000","   0.000","   0.000","  14.000","  14.000","   3.000","  13.000","  15.000","  16.000","   3.000","   1.000","  41.000","   2.000","  14.000","   0.000","   0.000","   3.000","  35.000","  13.000","   3.000","  12.000","  13.000","  22.000","  18.000","   3.000","   3.000","  16.000","  15.000","   3.000","  25.000","  15.000","  15.000","   3.000","   1.000","   2.000","  13.000","  22.000","   3.000","   8.000","  28.000","   2.000","  11.000","  14.000","   3.000","  15.000","  16.000","   3.000","  15.000","  22.000","  22.000","  13.000","   2.000","  10.000","  12.000","   0.000","  11.000","   3.000","   3.000","   3.000","   3.000","  42.000","  13.000","   3.000","  24.000","   3.000","   0.000"
"1990.588",NA,NA,"  85.000","  12.000","  26.000","   0.000","   3.000","   3.000","   0.000","   0.000","   0.000","  12.000","  12.000","   3.000","  11.000","  13.000","  14.000","   3.000","   2.000","  20.000","   3.000","  12.000","   0.000","   0.000","   3.000","  31.000","  11.000","   3.000","  10.000","  11.000","  20.000","  12.000","   3.000","   3.000","  11.000","  13.000","   3.000","  18.000","  13.000","  13.000","   3.000","   2.000","   4.000","  10.000","  20.000","   3.000","   9.000","  26.000","   3.000","  10.000","  12.000","   3.000","  13.000","  14.000","   4.000","  13.000","  20.000","  20.000","  11.000","   3.000","   9.000","  10.000","   0.000","   9.000","   3.000","   3.000","   3.000","   3.000","  18.000","  11.000","   3.000","  20.000","   4.000","   0.000"
"2055.294",NA,NA,"  90.000","  14.000","  46.000","   0.000","   6.000","   6.000","   0.000","   0.000","   0.000","  13.000","  13.000","   6.000","  13.000","  14.000","  15.000","   6.000","   1.000","  32.000","   2.000","  13.000","   0.000","   0.000","   6.000","  34.000","  12.000","   6.000","  13.000","  12.000","  21.000","  23.000","   6.000","   6.000","  23.000","  14.000","   6.000","  19.000","  14.000","  14.000","   6.000","   1.000","   2.000","  13.000","  21.000","   6.000","   8.000","  27.000","   2.000","  11.000","  13.000","   6.000","  14.000","  15.000","   3.000","  14.000","  21.000","  24.000","  12.000","   2.000","  11.000","  11.000","   0.000","  10.000","   6.000","   6.000","   6.000","   6.000","  32.000","  12.000","   6.000","  21.000","   3.000","   0.000"
"2120",NA,NA,"  95","  12","  42","   0","   5","   5","   0","   0","   0","  12","  12","   5","  12","  13","  14","   5","   3","  31","   4","  12","   0","   0","   5","  32","  11","   5","  12","  11","  20","  21","   5","   5","  21","  13","   5","  18","  13","  13","   5","   3","   6","  12","  20","   5","  10","  18","   4","  10","  12","   5","  13","  14","   5","  13","  20","  22","  11","   4","   9","  10","   0","   9","   5","   5","   5","   5","  31","  11","   5","  17","   6","   0"
"2184.706",NA,NA," 100.000","  11.000","  36.000","   0.000","   4.000","   4.000","   0.000","   0.000","   0.000","  11.000","  11.000","   4.000","  10.000","  12.000","  13.000","   4.000","   6.000","  28.000","   7.000","  11.000","   0.000","   0.000","   4.000","  29.000","  10.000","   4.000","  10.000","  10.000","  19.000","  18.000","   4.000","   4.000","  18.000","  12.000","   4.000","  16.000","  12.000","  12.000","   4.000","   5.000","  11.000","  10.000","  19.000","   4.000","  13.000","  16.000","   6.000","   8.000","  11.000","   4.000","  12.000","  13.000","  10.000","  12.000","  19.000","  20.000","  10.000","   6.000","   7.000","   9.000","   0.000","   8.000","   4.000","   4.000","   4.000","   4.000","  29.000","  10.000","   4.000","  15.000","  11.000","   0.000"
"2249.412",NA,NA," 105.000","   6.000","  31.000","   4.000","   2.000","   2.000","   4.000","   4.000","   4.000","   6.000","   6.000","   2.000","   8.000","   7.000","   8.000","   6.000","   8.000","  25.000","  13.000","   6.000","   4.000","   4.000","   2.000","  22.000","   5.000","   2.000","   8.000","   9.000","  14.000","  15.000","   2.000","   2.000","  15.000","   7.000","   2.000","  13.000","   7.000","   7.000","   2.000","   7.000","  15.000","   7.000","  14.000","   2.000","  15.000","  13.000","   8.000","   6.000","   6.000","   2.000","   7.000","   8.000","  12.000","   7.000","  14.000","  13.000","   5.000","   8.000","   5.000","   4.000","   4.000","   3.000","   2.000","   2.000","   2.000","   2.000","  25.000","   5.000","   2.000","  13.000","  13.000","   4.000"
"2314.118",NA,NA," 110.000","   7.000","  18.000","   4.000","   3.000","   3.000","   4.000","   4.000","   4.000","   7.000","   7.000","   3.000","   3.000","   8.000","   9.000","   7.000","  10.000","  14.000","  15.000","   7.000","   4.000","   4.000","   3.000","  18.000","   6.000","   3.000","   2.000","  10.000","  15.000","  10.000","   3.000","   3.000","   8.000","   8.000","   3.000","  12.000","   8.000","   8.000","   3.000","  10.000","  21.000","   3.000","  15.000","   3.000","  18.000","  12.000","  10.000","   2.000","   7.000","   3.000","   8.000","   9.000","  15.000","   8.000","  15.000","  15.000","   6.000","  11.000","   2.000","   5.000","   4.000","   4.000","   3.000","   3.000","   3.000","   3.000","  12.000","   6.000","   3.000","  10.000","  15.000","   4.000"
"2378.823",NA,NA," 115.000","  11.000","  27.000","   0.000","   2.000","   4.000","   0.000","   0.000","   0.000","  11.000","  11.000","   2.000","   4.000","  12.000","  13.000","   2.000","   8.000","  21.000","   9.000","  11.000","   0.000","   0.000","   2.000","  23.000","  10.000","   2.000","   3.000","  10.000","  19.000","  13.000","   2.000","   2.000","  10.000","  12.000","   2.000","  13.000","  12.000","  12.000","   2.000","   7.000","  22.000","   4.000","  19.000","   2.000","  15.000","  13.000","   8.000","   3.000","  11.000","   2.000","  12.000","  13.000","  13.000","  12.000","  19.000","  18.000","  10.000","   8.000","   3.000","   9.000","   0.000","   8.000","   2.000","   2.000","   2.000","   2.000","  18.000","  10.000","   2.000","  11.000","  12.000","   0.000"
"2443.529",NA,NA," 120.000","   6.000","  25.000","   1.000","   2.000","   2.000","   1.000","   1.000","   1.000","   6.000","   6.000","   2.000","   3.000","   7.000","   8.000","   3.000","   9.000","  16.000","  11.000","   6.000","   1.000","   1.000","   2.000","  17.000","   5.000","   2.000","   2.000","   6.000","  14.000","   8.000","   2.000","   2.000","   8.000","   7.000","   2.000","  12.000","   7.000","   7.000","   2.000","   8.000","  24.000","   3.000","  14.000","   2.000","  16.000","  12.000","   9.000","   2.000","   6.000","   2.000","   7.000","   8.000","  14.000","   7.000","  14.000","  13.000","   5.000","   9.000","   2.000","   6.000","   1.000","   3.000","   2.000","   2.000","   2.000","   2.000","  14.000","   5.000","   2.000","  10.000","  13.000","   1.000"
