"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Algae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Conopodium majus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Fern","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hedera","Hepaticae","Hypericum undif.","Ilex","Lamiaceae undif.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Menyanthes","Musci","Olea t.","Onagraceae","Parnassia","Paronychieae","Pentaglottis sempervirens","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rumex t.","Salix","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Sparganium","Spergularia t.","Spermatophyta undiff. (cf. upland herbs)","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Ulmus t.","Urtica t.","Vitis"
" 1115.00",NA,NA," 35.0","221.4285714, 0.282","0","0","11","0","0","5","5","0","0","5","0","2","0","0","0","0","0","0","1","0","0","2","3","34","2","0","0","48","0","13","1","1","1","4","3","0","0","0","2","0","0","0","35","0","0","0","0","0","1","0","0","2","0","1","0","0","10","1","0","5","0","500","1","0","0","2","90","4","0","0","9","0","0","0","0","0","4","0","3","0","0","0","0","0","0"
" 1345.00",NA,NA," 45.0","257.1428571, 0.282","0","0","7","3","0","5","2","0","0","9","1","3","1","0","0","0","0","0","1","0","0","0","1","36","2","0","0","53","0","8","0","2","3","4","0","0","0","0","0","0","0","0","31","0","0","0","0","0","4","0","0","0","0","0","0","0","10","0","0","7","0","663","0","0","0","1","87","4","0","0","17","0","0","1","0","0","0","0","1","0","0","0","0","0","1"
" 1575.00",NA,NA," 55.0","246.4285714, 0.282","0","0","8","0","0","6","2","0","0","12","0","7","1","0","0","0","0","0","0","0","0","0","1","19","1","0","0","66","0","16","0","1","3","3","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","1","0","1","1","0","20","2","0","4","0","337","0","0","0","2","127","7","0","0","8","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
" 1805.00",NA,NA," 65.0","232.1428571, 0.282","0","0","13","0","0","13","2","0","0","14","1","7","2","0","0","0","0","0","1","0","0","8","5","43","12","0","0","69","0","14","0","2","2","5","2","0","0","0","1","0","0","0","66","0","0","0","0","2","1","0","0","0","0","3","0","0","2","19","0","3","1","197","0","0","0","4","133","6","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 1874.00",NA,NA," 68.0","0.282","0","0","10","3","0","13","3","0","0","15","1","4","0","0","0","0","0","0","2","0","0","2","2","342","1","1","0","81","0","31","0","0","5","10","1","0","0","0","1","1","1","0","64","0","0","0","0","5","10","0","0","2","0","1","1","0","9","12","0","11","1","493","5","0","0","0","152","0","2","0","18","2","0","0","0","0","1","3","0","0","0","0","0","0","0"
" 1966.00",NA,NA," 72.0","0.282","0","0","6","0","0","6","7","0","0","12","0","3","2","0","0","0","0","0","2","0","0","0","0","388","1","0","0","75","0","31","0","1","1","8","0","0","0","1","2","2","0","0","90","0","0","0","0","0","3","0","0","1","0","3","3","0","10","6","0","11","3","425","3","0","0","2","140","0","0","0","21","0","0","0","2","0","3","0","0","0","0","0","0","0","0"
" 2035.00",NA,NA," 75.0","235.7142857, 0.282","0","0","19","2","0","14","5","0","0","22","0","4","1","0","0","0","0","1","2","0","0","6","2","51","15","0","0","97","0","37","0","0","1","13","1","0","0","0","1","0","0","0","76","0","0","0","0","3","2","0","0","0","0","1","1","0","6","21","0","6","0","450","1","0","0","1","189","5","0","0","10","0","0","1","0","0","3","1","2","0","0","0","1","0","0"
" 2092.50",NA,NA," 77.5","0.282","0","0","20","4","0","19","7","0","0","32","2","11","1","0","0","0","0","0","1","0","0","2","3","210","3","3","0","103","0","32","0","0","3","10","4","0","0","0","0","0","1","0","56","0","1","1","0","0","0","0","0","1","0","1","3","0","6","26","2","3","1","413","1","0","0","3","144","0","1","0","12","0","0","0","0","0","2","3","0","0","0","0","0","1","0"
" 2150.00",NA,NA," 80.0","0.282","0","0","16","0","0","14","0","0","0","27","0","5","0","0","0","1","0","0","2","0","0","0","5","112","1","0","0","60","1","34","0","0","2","12","1","0","0","0","3","0","0","0","35","0","0","0","0","0","2","0","0","0","0","2","6","0","11","11","0","5","1","326","1","0","0","2","146","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 2265.00",NA,NA," 85.0","246.4285714, 0.282","0","0","20","0","0","15","4","1","0","33","1","15","0","0","0","0","0","0","2","0","0","8","4","53","15","0","0","94","0","35","2","0","3","19","1","0","0","0","3","0","0","0","49","0","0","0","0","3","4","0","0","0","0","1","0","0","8","36","0","12","1","589","4","0","0","1","179","14","1","0","13","6","0","0","0","0","0","0","4","0","0","0","0","0","0"
