"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Petasites","Abies","Acacia t.","Acanthus","Acer","Agrimonia","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calligonum","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Centranthus t.","Ceratophyllum","Chamaerops","Cichorieae","Cistaceae","Citrus","Clematis-type","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Ficus","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentiana t.","Geranium","Hedera","Humulus","Hydrocotyle","Hypericum undif.","IsoÃ«tes","Juncaceae","Lamiaceae undif.","Ligustrum","Linum t.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Matthiola","Menyanthes","Mercurialis","Morus","Myriophyllum spicatum/verticillatum t.","Myrtus","Olea t.","Ononis t.","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Protist","Prunus t.","Psoralea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trachycarpus fortunei","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valerianella","Verbena t.","Viburnum","Vitis","Zelkova"
"  -50.9875",NA,NA,"   1","1",NA,"0","0","0","0","0","0","1","0","6","0","1","0","12","1","0","3","0","4","0","0","0","24","0","0","0","1","0","0","0","0","0","0","0","7","0","1","0","1","0","0","0","1","0","10","3","39","0","5","0","1","8","0","5","29","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","6","0","0","0","230","0","0","1","0","0","4","0","0","0","14","1","0","2","0","2","0","0","1","1","25","6","0","0","73","2","0","0","0","0","0","0","0","1","12","0","0","3","0","0","0","0","1","8","15","1","0","0","1","1","0","0","51","0","1","0","1","0","0","0","1","4","5","0","3","0","0","0","0","3","0"
"    6.2602",NA,NA,"  20","1",NA,"0","0","0","0","0","16","0","4","9","1","1","1","18","1","0","4","0","3","0","0","0","29","0","0","0","2","0","0","0","0","0","0","0","6","0","7","4","0","0","0","0","0","1","15","0","50","0","2","0","2","7","0","6","13","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","6","0","0","5","319","0","0","3","0","0","7","0","0","0","13","0","2","1","0","4","0","0","0","1","31","6","0","0","96","3","0","1","0","3","0","0","0","3","13","2","0","3","0","0","0","0","1","12","16","0","0","0","0","1","0","1","97","0","2","0","0","0","1","0","0","6","3","0","6","0","0","0","0","1","0"
"   66.5199",NA,NA,"  40","1",NA,"0","0","0","0","0","22","1","1","9","0","2","0","17","5","0","5","0","0","0","1","3","37","0","0","0","2","0","0","2","0","0","0","0","14","0","2","3","0","0","0","0","0","1","5","2","65","0","4","1","5","1","0","7","43","0","0","1","0","0","1","0","2","0","0","0","0","0","2","1","2","9","1","2","3","259","0","0","3","0","0","2","0","0","0","16","2","0","1","0","13","1","0","0","2","9","21","0","0","63","2","0","0","1","0","0","0","0","1","7","0","2","3","0","0","1","1","0","20","24","0","0","0","0","0","0","0","84","0","2","0","0","1","0","0","0","6","5","0","4","0","0","0","1","4","0"
"  202.6236",NA,NA,"  80","1",NA,"0","0","0","0","0","28","0","1","8","0","1","0","4","8","0","3","0","1","0","0","2","3","0","0","0","1","0","0","0","0","1","0","0","19","4","6","1","0","0","0","0","1","0","5","3","47","0","3","0","3","0","0","0","2","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","2","0","1","0","221","0","0","0","0","0","7","0","0","0","4","0","0","3","0","0","0","0","0","0","6","12","0","0","68","4","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","1","17","41","0","0","0","0","0","0","1","61","0","1","0","0","3","0","0","0","0","5","0","19","0","0","0","0","0","0"
"  366.7782",NA,NA," 100","1",NA,"0","0","0","0","0","10","2","1","13","0","3","0","10","2","0","18","0","1","0","0","0","3","0","0","1","0","0","0","2","0","0","0","0","34","1","5","2","0","0","0","0","0","0","3","4","69","0","3","2","2","0","0","0","6","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","0","9","0","0","0","387","0","0","0","0","0","15","0","0","0","29","0","0","4","0","2","2","0","0","1","23","20","0","0","149","1","0","1","2","0","0","0","0","3","16","2","0","0","0","0","0","1","3","18","36","0","0","0","0","0","0","3","78","0","3","0","3","2","0","0","0","2","4","0","30","0","0","0","0","0","0"
"  530.9328",NA,NA," 120","1",NA,"0","0","0","0","0","6","1","2","10","0","3","0","25","6","0","8","1","4","0","0","5","17","0","0","1","7","1","1","1","0","1","0","0","24","0","12","7","0","0","4","0","0","0","1","20","25","1","21","0","25","0","0","0","35","0","0","0","0","0","0","0","2","2","0","5","0","0","1","1","0","27","0","1","1","250","0","0","1","0","0","3","0","0","0","25","0","0","1","0","8","0","0","1","1","30","10","0","0","80","3","0","0","1","0","0","0","0","2","33","0","4","7","1","0","2","0","5","8","12","1","0","1","0","2","0","0","21","0","0","0","0","1","0","0","0","5","0","0","16","0","0","0","0","0","0"
"  695.0874",NA,NA," 140","1",NA,"0","0","0","0","0","10","1","1","9","0","7","0","16","2","0","10","0","4","0","0","1","19","0","0","1","2","0","0","0","0","1","0","0","50","1","5","2","0","0","1","0","0","0","3","10","86","0","4","0","14","0","0","0","6","0","0","0","0","1","0","1","4","0","0","3","0","0","1","0","0","8","0","1","1","327","0","0","3","0","0","7","0","0","0","11","0","0","3","0","7","2","0","1","1","8","23","0","0","111","6","1","0","0","0","0","0","0","2","11","1","1","0","0","0","0","0","0","8","2","1","0","0","0","4","0","1","49","0","0","0","0","1","1","0","0","1","1","0","16","0","0","0","0","0","0"
"  859.2420",NA,NA," 160","1",NA,"0","0","0","0","0","30","1","0","10","0","3","0","42","3","0","7","0","2","1","1","1","3","0","0","0","6","0","1","2","1","0","0","0","0","12","11","9","0","0","0","0","1","1","3","1","74","1","0","0","10","0","0","3","1","0","3","0","0","0","0","3","0","0","0","1","0","0","0","0","0","15","0","0","2","320","0","0","0","0","0","10","0","0","0","16","0","0","3","0","11","1","0","0","1","11","10","0","0","101","2","0","0","1","2","0","0","1","1","20","6","3","0","0","0","1","0","3","9","2","1","0","0","0","1","0","0","74","0","2","0","1","1","0","0","0","3","0","0","36","0","0","0","0","0","0"
" 1023.3970",NA,NA," 180","1",NA,"0","0","0","0","0","11","1","2","8","0","2","0","17","4","0","13","0","2","3","1","1","7","0","0","0","2","0","1","0","0","0","0","0","2","5","0","0","0","0","0","0","1","0","5","1","101","0","2","0","1","0","0","2","1","0","1","0","0","0","1","0","2","0","0","0","0","0","0","1","0","1","0","0","0","281","0","0","0","0","0","13","0","0","0","4","0","0","3","0","3","1","0","2","1","6","25","0","0","173","4","0","1","1","0","0","0","0","3","7","3","0","0","0","0","0","0","0","15","4","0","0","0","0","0","0","0","117","0","0","0","0","3","0","0","0","0","0","0","23","0","0","0","0","0","0"
" 1187.5510",NA,NA," 200","1",NA,"0","0","0","0","0","21","2","1","14","0","2","0","19","10","0","6","1","3","0","0","0","7","0","0","0","2","0","0","0","0","1","0","0","1","10","38","0","0","0","0","0","1","0","3","0","60","0","0","1","2","0","0","0","4","0","2","0","0","0","1","2","1","0","0","0","0","0","1","0","0","0","0","0","0","273","0","0","0","0","0","14","0","0","0","0","0","0","6","0","3","0","0","0","2","9","7","0","0","108","2","0","0","0","0","0","0","0","1","0","4","0","0","1","0","0","0","2","5","12","0","0","0","0","6","0","1","44","0","0","0","0","3","0","0","0","2","0","0","26","0","0","0","0","1","0"
