"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Geranium","Haplophyllum","Heliotropium","Hypericum undif.","Juglans","Lamiaceae undif.","Mercurialis","Olea t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Punica granatum","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosaceae undif.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Taxus","Thalictrum","Ulmus t.","Unknown","Valerianella","Vitis"
NA,NA,NA,"179","  0","  0","  0","  0","  2","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  9","  4","155","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","230","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0"
NA,NA,NA,"200","  1","  0","  0"," 14","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  1","  1"," 85","  0","  0","  0","  0","  0","  3","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 58","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 20","  0","  0"
NA,NA,NA,"150","  0","  0","  0","  5","  0","  0","  5","  0","  2","  0","  0","  0","  0","  0","  0","  1","  4","173","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 76","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  6","  0","  0"
NA,NA,NA,"140","  0","  0","  0","  0","  2","  1","  7","  0","  4","  0","  0","  0","  1","  0","  0","  0","  5"," 39","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","151","  0","  0","  0","  1","  1","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0"
NA,NA,NA,"290","  0","  0","  0"," 28","  2","  0","  8","  0","  4","  0","  0","  0","  0","  0","  1","  0","  7"," 36","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 23","  0","  1","  0"," 17","  1","  0","  0","  0","  0","  3","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0"
NA,NA,NA," 20","  0","  0","  0"," 20","  0","  0","  5","  0"," 16","  0","  0","  7","  0","  0","  2","  5","  8","177","  0","  0","  0","  0","  0","104","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","356","  0","  1","  0"," 35","  6","  1","  0","  0","  0","  1","  1","  0","  0","  0","  2","  3","  0","  0","  0"," 28","  0","  0"
NA,NA,NA," 60","  2","  0","  1"," 19","  4","  4","  8","  0"," 12","  0","  0"," 11","  0","  0","  3","  3","  6"," 70","  0","  0","  0","  0","  0"," 63","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","386","  0","  1","  0","  5","  0","  0","  0","  0","  0","  2","  4","  1","  0","  0","  0","  4","  0","  0","  0"," 44","  0","  1"
NA,NA,NA," 80","  0","  0","  0"," 60","  2","  2"," 10","  0"," 23","  0","  1","  2","  2","  0","  0","  1","  5"," 73","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","268","  0","  2","  1"," 49","  4","  0","  0","  0","  0","  6","  3","  0","  0","  0","  0","  8","  0","  0","  0"," 62","  0","  0"
NA,NA,NA,"250","  1","  0","  0"," 28","  1","  0"," 11","  0"," 19","  1","  0","  1","  2","  0","  1","  6","  8","390","  0","  0","  0","  1","  0"," 19","  3","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 92","  0","  2","  0","  6","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 38","  0","  0"
NA,NA,NA,"300","  1","  0","  0"," 83","  2","  1"," 44","  0"," 21","  1","  0","  0","  4","  0","  2","  3"," 10"," 41","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 42","  0","  0","  0","  7","  0","  1","  0","  0","  0","  1","  2","  0","  0","  2","  0","  1","  0","  0","  0"," 54","  1","  0"
