"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Abutilon t.","Acacia t.","Aerva type","Aeschynomene","Aizoaceae t.","Alchornea","Amaranthaceae undif.","Ambrosia t.","Ammannia t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Betula","Blepharis","Boraginaceae undif.","Boscia","Brachystegia","Brassicaceae","Cadaba","Calligonum","Capparaceae undif.","Capparis","Cardueae undif.","Carissa","Caryophyllaceae undif.","Cassia","Celosia type","Celtis","Centaurea","Chrozophora","Cichorieae","Cissampelos","Cissus t.","Cistaceae","Citrullus","Clematis-type","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cordia","Corylus","Crateva","Cucumis","Cucurbitaceae undif.","Cupressaceae","Cyperaceae","Dialium","Dichrostachys","Dodonaea","Ephedra","Erica t.","Eriosema","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fagonia","Faidherbia albida","Fern","Fern-Lycopodiaceae","Ficus","Fraxinus","Gentianaceae undif.","Geraniaceae undif.","Grewioideae","Heliotropium","Hewittia","Hibiscus","Hyphaene t.","Indeterminable","Indigofera","Ind̩terminables","Ipomoea","Jasminum","Lamiaceae undif.","Lannea","Lotus t.","Luffa","Maerua","Malva undif.","Maytenus","Meliaceae undif.","Mitracarpus","Moltkiopsis","Monoletes","Morelia","Morella","Nyctaginaceae","Olea t.","Onagraceae","Pavetta","Petaloid monocot","Phoenix t.","Phyllanthus amarus","Phyllanthus maderaspatensis","Phyllanthus undif.","Picea","Piliostigma","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Podocarpus","Polygala","Polygonum t.","Psilotrichum t.","Psoralea","Quercus evergreen","Quercus undif.","Resedaceae undiff.","Ricinus","Rumex t.","Salix","Salvadora","Scrophulariaceae undif.","Searsia","Securinega  t.","Sesbania","Solanum","Spergularia t.","Spermacoce","Syzygium t.","Tamarindus","Tamarix","Tapinanthus","Tribulus","Triletes","Typha","Urtica t.","Vernonieae","Vigna","Vitaceae undif.","Waltheria","Ziziphus/Paliurus","Zygophyllum t."
"-56.5","  0.5","  0.0"," 17.0","  0.0","  0.0","  2.0","  0.0"," 24.0","  1.0","  0.0","  1.0","  7.0","  4.0","  3.0","  5.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  2.0","113.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  4.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  3.0","  0.0"," 14.0","  0.0","  0.0","  0.0"," 18.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  2.0"," 66.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  5.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0"
"-3.0"," 8.5"," 0.0","13.0"," 0.0"," 0.0"," 0.0"," 0.0","43.0"," 0.0"," 0.0"," 0.0"," 4.0"," 8.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","10.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.0"," 3.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0","73.0"," 0.0"," 0.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0","10.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","10.0"," 0.0"," 2.0","55.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 1.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"51.5","16.5"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0","21.0"," 0.0"," 0.0"," 1.0","14.0"," 5.0"," 1.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 3.0"," 0.0"," 1.0"," 1.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 3.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","48.0"," 0.0"," 0.0"," 0.0"," 4.0"," 0.0"," 0.0"," 2.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.0"," 0.0"," 0.0"," 1.0"," 8.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 2.0"," 0.0"," 0.0","54.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 1.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"105.5"," 24.5","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0"," 27.0","  0.0","  0.0","  0.0"," 11.0","  6.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 40.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  0.0","  0.0","100.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"160.0"," 32.5","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0"," 24.0","  0.0","  0.0","  1.0"," 16.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 60.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 10.0","  1.0","  1.0","  0.0","  0.0","  0.0","  4.0","  0.0","  2.0"," 92.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"
"214.5"," 40.5","  0.0"," 17.0","  0.0","  0.0","  0.0","  0.0"," 26.0","  0.0","  0.0","  0.0"," 18.0","  8.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 26.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 21.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0"," 71.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0"
"269.5"," 48.5","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0"," 27.0","  0.0","  0.0","  1.0","  8.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 55.0","  0.0","  0.0","  1.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","101.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"325.5"," 56.5","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0"," 42.0","  0.0","  0.0","  0.0"," 15.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 55.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  3.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 15.0","  0.0","  1.0","  1.0","  0.0","  0.0","  3.0","  0.0","  4.0"," 78.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"
"436.5"," 72.5","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0"," 28.0","  0.0","  0.0","  1.0"," 10.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 66.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","248.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  3.0","  1.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"
"492.5"," 80.5","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0"," 41.0","  0.0","  0.0","  0.0"," 14.0","  5.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 56.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0"," 21.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  3.0","342.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
