"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cotinus coggygria","Crassulaceae","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echium t.","Elaeagnus","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentianaceae undif.","HippophaÃ«","Hippuris","Hypericum undif.","Juglans","Juncaceae","Lamiaceae undif.","Lauraceae","Lemnaceae","Ligustrum","Liquidambar","Lythrum","Malva","Matthiola","Mercurialis","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Ononis t.","Papaver t.","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Prunus t.","Punica granatum","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rumex t.","Salix","Sambucus","Samolus","Sanguisorba t.","Saxifraga t.","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Thalictrum","Theligonum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianella","Verbena t.","Vitex","Vitis","Ziziphus/Paliurus","Zygophyllum t."
"1235","1388","1084","  30","   0","   0","   1","   0","  26","   0","   0","   3","  15","   1","  36","   0","   0","   0","   0","  17","   0","   0","   5","   1","   4","   3","   0","   0","   3","   2","   0","   0","   0","   0","   1","   0","  35"," 448","   0","   0","   0","   0","   0","   0","   0","   1","   5","   0","   0","   3","   1","   0","   8","   3","   0","   0","   0","   0","   3","   0","   1","   0","   3","   0","   0","   1","   0","   1","   0","   0","   0","   1","  47","   3","   0","   0","   0","   0","  12","  95","   5","   5","   5"," 135","   7","   2","   0","   4","   0","   1","  19","  32","   3","   0","   0","   0","   2","   2","   0","   0","   0","   0","  12","   0","   0","   0","   4","   2","   1","   4","   0","   0","   0","   0","   0","   1","   0","   0"
"1661","1852","1474","  40","   0","   0","   0","   0","  23","   0","   0","   4","   6","   0","  18","   1","   0","   2","   0","  17","   0","   0","   2","   1","   1","   1","   1","   0","   4","   3","   0","   0","   0","   0","   0","   0","  23"," 289","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   5","   0","   0","   0","   4","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   5","   0","   0","   1","   0","   0","   2","  23","   0","   0","   0","   0","   0","   6","  84","   0","   4","   1","  91","   4","   1","   0","   0","   0","   0","  25","  29","   2","   0","   0","   0","   0","   1","   0","   1","   0","   0","  11","   0","   0","   0","   0","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1"
"2086","2321","1859","  50","   0","   0","   0","   0","  19","   0","   0","   4","   4","   0","  23","   0","   0","   1","   0","  14","   0","   0","   2","   0","   1","   1","   3","   0","   6","   2","   0","   0","   0","   1","   0","   0","  19"," 269","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","2619","   0","   1","   1","   6","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","  17","   0","   1","   0","   0","   0","   0","  93","   3","   2","   3"," 197","   4","   0","   2","   0","   0","   0","  24","  35","   1","   0","   2","   0","   0","   1","   0","   0","   0","   0","  35","   0","   0","   1","   1","   4","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0"
"2512","2791","2242","  60","   0","   0","   0","   1","  17","   0","   2","   6","  25","   0","  31","   3","   0","   1","   0","  10","   0","   0","   0","   0","   2","   1","   4","   0","  13","   5","   0","   0","   0","   0","   0","   0","  27"," 599","   0","   0","   0","   1","   0","   0","   2","   1","   1","   0","   1","2621","   1","   2","   0","   9","   0","   0","   0","   0","   3","  15","   3","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","  10","  43","   1","   0","   1","   0","   0","   6","  92","  10","   4","   3"," 353","   2","   1","   0","   1","   1","   3","  21","  41","   2","   2","   3","   0","   0","   3","   1","   3","   0","   0","  14","   1","   0","   0","   5","   2","   0","  28","   1","   1","   0","   0","   0","   0","   0","   0"
"2938","3263","2625","  70","   0","   4","   0","   0","  17","   1","   0","   2","   2","   0","  41","   1","   0","   2","   0","   7","   0","   0","   3","   3","   2","   2","   1","   0","   3","   1","   0","   0","   0","   1","   1","   0","  21","  91","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   4","   6","   0","   0","   3","   1","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","  94","   0","   0","  19","   0","   0","   0","   0","   0","   1","  90","   1","   5","   2"," 191","   4","   1","   0","  64","   0","   0","   7","  14","   1","   2","   1","   0","   0","   0","   0","   1","   0","   1","  11","   1","   0","   0","   2","  11","   0","   6","   1","   1","   0","   0","   0","   1","   0","   0"
"3363","3736","3008","  80","   0","   5","   0","   1","  11","   0","   0","   4","   4","   1","  22","   0","   0","   1","   0","   2","   0","   0","   0","   1","   0","   0","   6","   1","   9","   0","   0","   0","   0","   0","   0","   0","  42"," 496","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","  15","   1","   2","   3","   0","   1","   0","   1","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   1","   0","   0","   0","   1","   0"," 133","   5","   5","   2"," 851","  33","   1","   0","   0","   0","   0","  34","  64","   8","   5","   1","   0","   0","   1","   0","   0","   0","   0"," 829","   0","   0","   0","   5","   3","   0","   0","   1","   3","   1","   0","   0","   0","   1","   0"
"3789","4209","3390","  90","   0","   9","   0","   0","  14","   0","   0","   1","   3","   0","  14","   0","   0","   0","   0","   1","   0","   0","   3","   0","   1","   0","   3","   0","   4","   1","   1","   0","   0","   0","   0","   0","   9"," 382","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   6","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   6","   1","   0","   0","   0","   0","   0","  85","   4","   2","   1"," 663","  22","   1","   0","   0","   0","   0","  10","  28","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","  10","   0","   0","   0","   1","   0","   0","   2","   0","   1","   0","   0","   0","   1","   1","   0"
"4700","5086","4325"," 100","   0","  26","   0","   0","   4","   0","   0","   1","   1","   1","   9","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   4","   0","   1","   0","   0","   1","   0","   0","   0","   0","   8","  70","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   4","   0","   0","   0","   2","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0"," 348","   1","   1","   1","  67","   4","   0","   0","   0","   0","   0","  11","  28","   1","   1","   1","   0","   0","   0","   0","   1","   0","   0","  25","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6097","6402","5772"," 110","   1","   5","   0","   1","  13","   0","   0","   5","   9","   0","  11","   1","   1","   0","   1","   5","   0","   0","   4","   0","   2","   0","   4","   0","   3","   5","   0","   0","   0","   0","   0","   1","  44","  82","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","   6","   1","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   7","   4","   2","   2","   0","   0","   0","   4"," 355","   4","   7","   3"," 106","   4","   0","   0","   2","   0","   0","  25","  25","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","  39","   0","   0","   0","   0","   2","   0","   4","   1","   0","   0","   0","   1","   0","   0","   0"
"7494","7836","7180"," 120","   2","  24","   0","   0","   5","   0","   0","   2","   2","   0","  10","   0","   0","   0","   0","   1","   0","   0","   2","   0","   1","   1","   7","   0","   1","   1","   1","   0","   0","   0","   0","   0","  12","  67","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   4","   0","   1","   0","   0","   0","   0","   0"," 200","   0","   5","   0","  78","   1","   0","   0","   2","   0","   0","  13","  14","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","  27","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0"
