"depth","Acacia t.","Acer","Alchornea","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Blepharis","Bombacaceae","Borreria t.","Brassicaceae","Calligonum","Caylusea","Celastraceae undif.","Centaurea","Chionanthus","Cichorieae","Cistaceae","Cleome","Combretaceae","Corbiconia","Corylus","Cupressaceae","Cyperaceae","Echium t.","Elaeis","Ephedra","Erica t.","Erodium","Euphorbia t.","Faboideae Undif.","Fagus","Fern","Gymnocarpos","Heliotropium","Indeterminable","Lamiaceae undif.","Lannea","Maerua","Manilkara","Moltkia","Ostrya","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polygala","Polygonum t.","Prosopis t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rhizophora","Rumex t.","Sanguisorba t.","Searsia","Simirestis","Spergularia t.","Sterculia undif.","Strychnos","Tamarix","Tilia","Tribulus","Typha"
"497.5","  0.0","  0.0","  0.0","  0.0","155.0","  0.0"," 30.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 79.0","  0.0","  0.0","200.0","  0.0","  0.0","  1.0","  4.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0"," 14.0","  0.0","  2.0","  0.0"," 32.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"
"517.5","  0.0","  0.0","  0.0","  0.0","154.0","  0.0"," 46.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0"," 39.0","  0.0","  0.0","248.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0"," 28.0","  0.0","  0.0","  1.0"," 29.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"
"537.5","  0.0","  0.0","  0.0","  0.0","219.0","  0.0"," 54.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  2.0","  0.0"," 54.0","  0.0","  0.0"," 91.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  1.0"," 23.0","  0.0","  0.0","  0.0"," 32.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"
"557.5","  0.0","  0.0","  0.0","  0.0","146.0","  1.0","101.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  3.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","142.0","  0.0","  1.0"," 18.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  1.0","  0.0","  9.0","  0.0","  0.0","  0.0"," 14.0","  0.0","  3.0","  0.0"," 63.0","  0.0","  2.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0"
"577.5","  0.0","  0.0","  0.0","  0.0","207.0","  6.0"," 24.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  3.0","  5.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0"," 30.0","  0.0","  0.0","143.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  4.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 23.0","  0.0","  2.0","  1.0"," 41.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"597.5","  1.0","  0.0","  1.0","  0.0","171.0","  0.0"," 18.0","  0.0","  7.0","  1.0","  0.0","  0.0","  0.0","  5.0","  1.0","  0.0","  0.0","  1.0","  0.0","  1.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 77.0","  0.0","  0.0","143.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0"," 54.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0"
"617.5","  0.0","  0.0","  0.0","  1.0","175.0","  2.0","106.0","  1.0","  9.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  3.0","  0.0","  2.0","  2.0","112.0","  0.0","  0.0"," 33.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  2.0","  0.0"," 39.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0"
"637.5","  0.0","  0.0","  0.0","  0.0","220.0","  0.0"," 61.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  6.0","  1.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  5.0","  0.0","  1.0","  2.0"," 58.0","  0.0","  0.0"," 96.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  9.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0"," 30.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  3.0"
"657.5","  0.0","  0.0","  0.0","  0.0","111.0","  1.0"," 15.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  4.0","  0.0","  0.0","  1.0","256.0","  0.0","  2.0"," 15.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  9.0","  0.0","  2.0","  0.0"," 97.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0"
"677.5","  0.0","  0.0","  0.0","  0.0","215.0","  0.0"," 55.0","  0.0","  9.0","  0.0","  0.0","  0.0","  1.0","  1.0","  4.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0"," 44.0","  0.0","  0.0","162.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  9.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0"," 34.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"697.5","  0.0","  0.0","  0.0","  0.0","189.0","  0.0"," 45.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  4.0","  7.0","  0.0","  0.0","  0.0","  0.0","  2.0","  2.0","  2.0","  0.0","  0.0","  0.0","  1.0"," 79.0","  0.0","  0.0","125.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0"," 11.0","  0.0","  0.0","  0.0"," 41.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  2.0"
"717.5","  1.0","  0.0","  0.0","  0.0","205.0","  0.0"," 47.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  5.0","  4.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0"," 31.0","  0.0","  0.0","136.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  1.0","  0.0"," 11.0","  0.0","  0.0","  2.0","  2.0","  0.0","  0.0","  0.0"," 16.0","  0.0","  4.0","  0.0"," 58.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0"
"737.5","  0.0","  0.0","  0.0","  0.0","246.0","  0.0"," 48.0","  1.0","  6.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0"," 41.0","  0.0","  0.0"," 99.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  1.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  6.0","  0.0","  3.0","  0.0"," 41.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0"
"757.5","  0.0","  0.0","  0.0","  0.0","235.0","  0.0"," 79.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  2.0","  3.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0","  0.0","  0.0","  3.0"," 27.0","  0.0","  0.0","142.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  0.0","  6.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  6.0","  0.0","  1.0","  0.0"," 34.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"777.5","  0.0","  0.0","  0.0","  0.0","264.0","  0.0"," 73.0","  0.0"," 12.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0"," 69.0","  0.0","  0.0"," 42.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  0.0","  0.0","  3.0","  2.0","  0.0","  0.0","  0.0","  7.0","  0.0","  1.0","  0.0"," 42.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"797.5","  1.0","  0.0","  0.0","  0.0","138.0","  0.0"," 42.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  5.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  5.0","  0.0","  1.0","  5.0","140.0","  0.0","  0.0"," 14.0","  0.0","  0.0","  1.0","  4.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0"," 13.0","  2.0","  1.0","  0.0","128.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0"
"817.5","  0.0","  0.0","  0.0","  0.0","165.0","  1.0","158.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  5.0","  0.0","  0.0","  3.0","106.0","  0.0","  0.0"," 16.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0"," 11.0","  2.0","  1.0","  0.0"," 50.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0"
"837.5","  0.0","  0.0","  0.0","  0.0","244.0","  1.0"," 31.0","  0.0"," 28.0","  0.0","  0.0","  0.0","  0.0","  4.0","  2.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  9.0","  0.0","  0.0","  2.0"," 54.0","  0.0","  1.0"," 70.0","  1.0","  0.0","  4.0","  1.0","  0.0","  2.0","  0.0","  0.0","  7.0","  0.0","  1.0","  2.0","  1.0","  1.0","  0.0","  0.0","  7.0","  0.0","  2.0","  0.0"," 69.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
