"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Erica t.","Eucalyptus spike","Eucalyptus tablets","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Hedera","HippophaÃ«","Ilex","Indeterminable","Lamiaceae undif.","Lonicera","Myriophyllum spicatum/verticillatum t.","Nuphar","Olea t.","Ostrya","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Polypodiophyta (monolete) undiff.","Polypodiophyta (trilete) undiff.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Tamarix","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Viscum","Vitis"
"9659.8",NA,NA,"54.75","1.2","9","4","81","3","0","0","3","3","0","0","0","0","2","1","0","24","1","0","0","0","0","130","0","4","0","59","0","0","23","0","0","1","32","0","5","0","0","3","0","0","0","0","0","130","0","16","0","3","1","6","0","44","1","0","0","1","0","0","19","393","3","0","3","0","1","10","0","0","0","0","0","2","3","1","0","23","0","0","1","9"
"9661.4",NA,NA,"54.85","1.2","6","13","153","2","0","1","18","2","0","2","2","0","1","1","0","22","0","1","0","4","1","218","0","11","7","175","0","0","66","2","0","0","30","0","13","0","1","0","0","0","3","1","0","206","0","38","0","9","0","8","1","62","1","1","0","1","0","0","58","861","2","4","2","2","1","11","0","0","0","5","0","0","10","0","1","35","6","0","0","7"
"9663.1",NA,NA,"54.95","1.0","6","1","146","3","1","0","18","4","0","1","10","0","2","0","0","17","0","0","0","1","1","178","1","7","1","72","0","0","20","1","0","1","27","0","5","0","0","4","2","0","0","0","3","127","0","21","1","6","0","12","0","51","2","4","1","0","1","0","16","494","0","0","2","2","0","4","0","0","0","1","0","0","9","1","1","19","4","0","0","2"
"9664.7",NA,NA,"55.05","1.4","4","5","89","3","0","0","15","2","0","0","1","0","1","0","0","9","0","0","0","0","0","150","2","7","4","70","0","0","23","0","0","0","17","0","3","0","0","7","3","0","0","0","0","106","0","8","0","8","2","6","0","60","0","4","3","1","1","1","21","400","1","0","1","3","0","2","0","0","2","2","0","0","10","0","1","19","0","0","0","2"
"9666.4",NA,NA,"55.15","1.0","5","5","88","3","0","0","17","0","0","0","1","0","0","1","0","10","1","0","0","2","0","158","1","3","4","54","0","0","21","0","0","0","10","0","1","0","0","2","0","0","0","0","0","103","0","5","0","4","1","3","0","56","1","2","0","0","0","0","24","327","1","4","1","1","1","1","0","0","0","0","0","0","18","0","1","18","2","0","0","6"
"9668.1",NA,NA,"55.25","0.8","6","2","68","4","0","0","9","2","0","2","1","1","2","0","0","3","0","0","0","4","0","164","0","3","3","243","0","0","42","1","0","1","18","0","6","0","0","3","0","0","1","1","2","8","0","10","0","3","0","6","0","44","1","0","0","0","0","0","45","519","0","3","1","3","0","2","0","0","0","1","1","0","11","0","4","11","4","0","0","7"
"9669.7",NA,NA,"55.35","1.0","9","10","36","4","0","0","8","4","0","0","3","0","1","0","0","7","0","0","0","1","0","82","1","2","3","221","0","4","24","1","0","1","14","0","13","0","1","5","0","0","0","0","0","39","0","5","1","7","0","9","0","23","0","3","1","0","0","1","24","500","1","0","1","0","0","1","0","0","1","3","0","0","12","0","0","6","2","0","0","1"
"9671.4",NA,NA,"55.45","1.0","8","3","84","5","0","0","11","1","0","2","1","0","1","0","0","14","0","0","1","2","0","208","3","4","3","144","0","1","33","0","0","0","5","0","10","0","0","2","0","0","1","0","0","106","1","7","0","14","1","9","0","51","0","1","0","0","0","0","36","584","3","0","1","1","0","3","1","0","0","0","0","0","22","0","0","25","6","0","0","5"
"9673.0",NA,NA,"55.55","1.0","3","5","67","2","0","0","6","0","0","4","4","0","2","0","0","11","0","0","0","2","0","143","1","3","4","237","0","0","43","3","0","1","6","0","11","0","0","8","0","0","0","0","1","82","0","5","0","8","1","12","0","27","0","1","1","0","0","0","34","778","0","0","0","1","0","2","0","0","0","0","0","0","20","0","1","14","0","0","0","6"
"9674.7",NA,NA,"55.65","1.2","1","3","101","2","0","0","12","4","2","1","5","0","5","0","3","14","0","0","0","2","0","181","2","3","1","74","0","0","34","4","0","0","13","0","7","0","0","6","0","0","2","0","1","125","0","15","0","10","0","11","0","81","1","1","1","0","0","0","35","323","0","0","2","0","0","0","0","0","0","0","0","0","10","0","2","36","4","0","0","0"
"9676.3",NA,NA,"55.75","0.8","2","7","71","2","0","1","5","3","1","0","2","0","2","0","0","12","0","0","0","2","2","175","3","4","4","225","0","0","41","4","1","0","13","0","3","0","0","7","0","2","1","0","1","105","3","9","0","5","0","17","0","42","0","2","1","0","0","0","30","417","1","0","0","5","0","0","0","0","0","0","0","0","15","0","2","23","0","0","0","3"
"9678.0",NA,NA,"55.90","2.2","2","3","117","8","0","1","9","2","0","2","0","1","1","0","0","12","0","0","1","2","0","137","4","7","2","400","0","0","26","4","0","0","39","0","14","0","0","5","2","0","3","1","0","139","0","30","0","7","0","8","0","84","1","0","2","1","4","0","31","397","1","0","2","0","0","0","1","0","1","0","1","0","13","1","5","29","4","0","0","7"
