"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Anthoceros-type","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Galium t.","Geraniaceae undif.","Hedera","Lamiaceae undif.","Malva undif.","Monoletes","Myriophyllum undif.","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Salix","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Selaginella-type","Sparganium","Tamarix","Thymelaeaceae undif.","Triletes","Ulmus t.","Urtica t.","Vitis"
"2931",NA,NA," 180","   2","  33","   0","   8","   6","   0","   4","   2","   0","   0","   0","   0","   0","   0","  17","   0","   0","  17","  20","   0","   1","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   3","   0","   0","  35","   0","  14","  96","   1","   3","  13","   3","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   2","   0","   3","   1"
"3020",NA,NA," 190","   0","  65","   1","  32","   6","   0","  24","   0","   0","   0","   0","   0","   0","   4","  47","   0","   0","  13"," 107","   0","   0","  18","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  94","   1","  40","  56","   1","   0","  24","   0","   0","   0","   0","   1","   0","   0","   0","   0","  33","   0","   0","   0","   0","   0","   0"
"3108",NA,NA," 200","   1","  31","   0","  23","   9","   0","   5","   0","   0","   0","   0","   0","   0","   0","  49","   0","   2","   5","  14","   0","   0","   5","   0","   1","   2","   6","   0","   0","   0","   0","   0","   0","   3","   4","   3","   0","   0","  48","   0","  12","  62","   4","   1","  24","   4","   0","   0","   1","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0"
"3197",NA,NA," 210","   4","  22","   0","  14","  16","   0","   9","   1","   0","   0","   0","   0","   0","   0","  11","   0","   0","  10","  39","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","  48","   0","  12","  31","   1","   0","  19","   0","   0","   0","   0","   2","   0","   0","   0","   0","   6","   1","   1","   2","   0","   1","   0"
"3286",NA,NA," 220","   4","   9","   0","  22","  10","   0","   7","   0","   0","   0","   0","   0","   1","   0","  32","   3","   1","  14","  33","   2","   0","  16","   0","   1","   5","   3","   0","   1","   0","   0","   0","   0","   3","   0","   3","   0","   2"," 114","   0","   5","  60","   6","   8","  45","   2","   0","   0","   0","   1","   0","   0","   2","   0","   5","   1","   0","  10","   0","   0","   0"
"3375",NA,NA," 230","   0","   3","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   7","   0","   1","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  12","   0","   0","   0","   0"," 110","   0","   0","  27","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"3464",NA,NA," 240","   6","  13","   0","   1","   4","   0","   6","   0","   0","   0","   0","   0","   0","   0","   5","   1","   3","   2","   4","   0","   0","   5","   1","   0","   0","   2","   2","   0","   0","   0","   0","   0","   6","   1","   5","   1","   2"," 114","   0","   3","  19","   1","   7","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0"
"3553",NA,NA," 250","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"3641",NA,NA," 260","   0","   6","   0","   0","   2","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   4","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   7","   0","   7","   0","   1","  91","   0","   3","  23","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","   0","   1","   0","   0","   0"
"3847",NA,NA," 280","   1","  11","   0","   1","   4","   0","   2","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","   4","   0","   0","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  26","   0","   4","  11","   1","   0","  10","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"
"4057",NA,NA," 300","   1","   2","   0","   1","   7","   1","   3","   0","   0","   0","   0","   0","   0","   0","   9","   0","   2","   5","   8","   2","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   6","   0","   1","   9","   7","   2","   6","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0"
"4267",NA,NA," 320","   0","  22","   0","   5","   2","   0","  11","   1","   0","   0","   0","   0","   0","   0","  15","   0","   1","   1","   5","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","  28","   0","   8","  32","   3","   0","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   1","   0"
"4477",NA,NA," 340","   4","  28","   0","   6","   3","   1","  13","   2","   0","   0","   0","   0","   0","   0","   2","   1","   2","   6","  15","   0","   0","  17","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   3","   0","   6","   0","   3","  84","   1","   5","  43","   1","   6","  61","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   1","   0"
"4687",NA,NA," 360","   4","  56","   0","   0","   6","   1","  13","   2","   0","   0","   1","   0","   0","   0","   2","   1","   7","  12","  11","   0","   0","  14","   0","   3","   7","   2","   0","   0","   0","   0","   0","   0","   5","   0","   8","   0","   0","  66","   1","  11","  26","   0","  14"," 107","   1","   0","   0","   0","   0","   0","   0","   1","   0","   2","   5","   0","   5","   0","   0","   0"
