"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Ilex","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lonicera","Lotus t.","Lycopodium spike","Lythrum","Mercurialis","Myriophyllum undif.","Myrtus","Nuphar","Nymphaea","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Polypodiophyta undiff.","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Samolus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Taxus","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Unknown (trilete, verrucate)","Utricularia","Valeriana t.","Viburnum","Vitis"
" 1220",NA,NA," 386","1.9","2","1","0","363","1","1","0","0","0","5","0","6","1","30","2","0","0","0","0","0","3","2","0","0","0","2","1","0","0","3","0","2","3","0","1","11","0","0","0","1","4","0","5","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","20","0","0","0","0","27","0","17","16","7","1","0","65","0","0","1","0","0","0","0","302","53","0","0","2","0","0","2","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","14","2","0","0","0","0","1"
" 1272",NA,NA," 394","2.1","1","0","0","170","4","2","0","0","0","7","0","3","1","32","0","0","0","0","0","0","7","0","0","0","0","1","0","0","0","2","0","1","3","0","0","5","0","1","0","7","6","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","11","0","0","0","0","46","1","15","13","6","4","0","56","4","0","0","2","1","0","0","302","34","0","1","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","11","12","0","0","0","0","4"
" 1323",NA,NA," 402","1.8","1","0","0","182","10","1","0","0","1","12","0","1","1","22","0","0","0","0","1","0","8","2","0","1","0","0","0","0","0","3","0","2","4","0","0","5","0","0","0","4","4","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","26","0","0","0","0","36","0","10","15","2","6","0","30","1","0","0","0","0","1","0","301","58","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","0","15","6","0","0","0","0","0"
" 1349",NA,NA," 406","2.2","3","0","0","136","8","4","0","0","0","0","0","3","0","23","1","0","0","0","0","0","2","3","0","0","0","0","0","0","0","2","0","1","2","0","0","6","0","1","0","0","1","0","17","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","8","0","0","0","0","44","0","11","20","2","0","0","32","1","0","0","1","0","0","0","317","38","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","1","0","1","0","0","16","6","0","0","0","0","0"
" 1375",NA,NA," 410","2.2","4","1","0","205","4","0","0","0","0","1","1","3","0","31","0","1","0","0","0","0","7","0","0","0","0","3","0","1","0","3","0","1","0","0","0","7","0","0","0","4","2","0","14","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","27","0","18","8","5","3","0","40","0","0","0","1","0","0","0","334","60","0","1","2","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","24","6","0","0","0","0","2"
" 1401",NA,NA," 414","3.2","1","0","0","7","10","3","1","0","0","6","0","4","1","23","1","0","0","0","0","0","3","1","0","0","0","1","2","0","0","5","0","1","2","0","1","16","0","0","0","3","2","0","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","6","0","0","0","0","38","0","14","26","4","1","1","29","5","0","0","2","1","0","0","307","52","0","0","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","2","0","1","0","0","0","0","15","6","0","0","0","0","1"
" 1427",NA,NA," 418","1.9","0","0","0","46","6","4","0","0","0","4","0","4","1","26","1","0","0","0","0","0","1","2","0","0","0","4","0","0","0","3","0","0","5","0","0","21","0","0","0","1","4","0","8","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","28","0","17","18","1","0","0","32","1","0","0","2","0","0","0","280","58","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","18","12","0","0","0","0","2"
" 1452",NA,NA," 422","2.3","2","0","0","3","7","7","0","0","0","4","1","5","1","22","2","0","0","0","0","0","2","4","0","1","1","9","1","0","0","6","0","1","3","0","0","15","0","0","0","3","8","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","10","0","0","0","1","49","0","8","42","3","0","0","43","2","0","0","2","0","0","0","268","41","0","1","2","0","1","0","0","1","1","0","0","3","0","0","1","1","0","3","0","1","0","0","0","0","19","8","0","0","0","0","2"
" 1807",NA,NA," 426","1.9","1","0","0","6","9","5","0","0","0","7","0","3","2","19","0","0","0","0","0","0","0","6","0","0","0","1","0","0","0","0","0","0","4","0","1","17","0","2","0","5","2","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","23","0","0","0","0","33","0","7","34","1","1","0","52","1","0","0","0","1","0","0","274","50","0","1","3","0","0","0","0","0","1","0","0","3","0","0","1","0","0","3","0","0","0","0","0","0","20","22","1","0","0","0","5"
" 1808",NA,NA," 430","2.2","1","0","0","11","4","6","0","0","0","5","0","6","2","14","1","0","0","0","0","0","1","1","0","0","0","2","0","0","0","3","0","2","5","0","0","17","0","0","0","3","3","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","30","0","0","0","0","45","0","7","50","2","1","0","57","0","0","0","1","1","0","0","292","43","0","0","2","1","0","1","0","2","1","0","0","0","0","0","1","1","0","6","0","0","0","0","0","0","9","6","1","0","0","0","2"
" 1808",NA,NA," 434","1.6","0","0","0","9","3","1","0","0","0","3","0","3","1","11","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","3","0","0","3","0","0","15","0","0","0","1","4","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","24","0","0","0","0","21","0","9","31","3","0","0","28","0","0","0","0","0","0","0","186","28","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","11","16","0","0","0","0","0"
" 1809",NA,NA," 438","2.2","0","0","0","41","6","9","0","0","0","1","0","4","1","15","1","0","0","0","0","0","1","6","0","0","0","2","0","0","0","2","0","1","7","0","0","11","0","0","0","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","0","0","1","0","80","0","9","29","4","1","0","26","0","1","0","0","0","0","0","301","28","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","5","0","2","0","0","0","0","15","22","1","0","0","0","2"
