"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Ilex","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lonicera","Lotus t.","Lycopodium spike","Lythrum","Mercurialis","Myriophyllum undif.","Myrtus","Nuphar","Nymphaea","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Polypodiophyta undiff.","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Samolus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Taxus","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Unknown (trilete, verrucate)","Utricularia","Valeriana t.","Viburnum","Vitis"
" 2272",NA,NA," 532","1.8","1","0","0","21","3","10","2","0","0","0","0","7","1","13","1","0","0","0","0","0","2","2","0","0","0","10","2","0","0","7","0","1","7","0","0","8","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","24","0","0","0","0","111","0","27","17","5","0","0","43","3","1","0","3","0","0","0","267","15","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1","1","0","6","0","1","0","0","0","0","5","0","1","0","0","0","1"
" 2303",NA,NA," 536","1.9","4","0","0","31","6","3","0","0","0","4","1","5","0","24","1","0","0","0","0","0","2","2","0","0","0","8","0","0","0","6","0","1","11","0","0","10","0","0","0","6","4","0","3","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","2","1","0","0","0","49","0","0","0","2","70","0","30","20","4","1","0","47","5","0","0","1","0","0","0","277","21","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0","3","0","3","0","0","0","0","0","0","3","6","2","0","0","0","3"
" 2348",NA,NA," 542","2.6","2","0","0","6","7","5","0","0","0","9","0","11","1","13","0","0","0","0","0","0","1","2","0","0","1","10","0","0","0","4","0","0","6","0","0","13","0","0","0","4","5","0","3","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","3","14","0","0","2","24","0","0","0","0","146","0","23","14","2","0","0","45","1","0","0","2","0","0","1","227","47","0","1","0","0","0","1","0","1","0","0","0","2","0","0","1","2","0","7","0","0","0","0","0","0","2","14","0","0","0","0","3"
" 2379",NA,NA," 546","2.0","2","0","0","16","2","5","1","0","0","5","0","13","0","13","4","0","0","0","0","0","5","4","0","0","0","5","0","0","0","3","0","1","1","0","0","20","0","1","0","6","7","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","21","0","0","5","19","0","0","0","0","145","0","33","14","10","2","0","70","2","0","0","4","0","0","0","234","18","0","0","1","0","0","1","0","2","1","0","0","1","0","0","2","1","0","12","0","0","0","1","0","0","1","12","0","0","0","0","4"
" 2409",NA,NA," 550","1.8","1","0","0","9","4","9","0","0","0","7","0","9","1","10","1","0","0","0","0","0","6","1","0","0","2","3","2","0","0","2","1","0","13","0","0","8","0","0","0","5","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","1","5","39","0","0","0","2","141","0","30","17","1","1","1","45","2","0","0","0","0","0","0","193","28","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","11","0","1","0","0","0","0","1","6","1","0","0","0","3"
" 2440",NA,NA," 554","2.0","2","0","0","2","8","10","3","0","0","11","0","9","0","11","0","0","0","0","0","0","0","3","0","0","1","5","0","0","0","3","0","0","3","0","0","17","0","1","0","2","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","30","0","0","5","12","0","0","0","0","192","0","23","21","8","0","0","58","3","0","0","0","2","0","0","192","24","0","0","0","0","0","2","0","1","0","0","0","1","0","0","1","1","0","7","0","1","0","1","0","1","1","6","0","0","0","0","3"
" 2470",NA,NA," 558","1.8","1","0","0","6","6","8","0","0","0","3","0","15","1","20","1","0","0","0","0","0","1","1","0","0","0","1","3","0","0","4","0","0","15","0","1","18","0","1","0","4","3","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","27","0","0","8","30","0","0","0","0","169","0","46","10","4","0","0","80","3","0","0","1","1","0","0","210","44","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","9","0","0","0","0","0","0","4","10","0","0","0","0","3"
" 2501",NA,NA," 562","1.8","6","0","0","9","8","10","2","0","0","11","0","9","0","17","2","0","0","0","0","0","0","4","0","0","0","4","1","0","0","5","0","1","8","0","0","15","0","0","0","1","8","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","28","0","0","3","14","0","0","0","0","183","0","28","11","3","2","2","72","4","0","1","1","3","0","0","192","29","0","0","2","0","0","1","0","4","0","0","0","1","0","0","1","0","0","11","0","4","0","0","1","0","1","4","0","0","0","0","1"
" 2531",NA,NA," 566","1.9","2","0","0","2","7","11","0","0","0","7","1","11","2","19","0","0","0","0","0","0","6","1","0","0","0","7","0","0","0","8","0","0","4","0","1","17","0","0","0","1","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","26","0","1","16","34","0","0","0","0","228","0","22","7","2","0","0","47","1","0","0","2","5","0","0","158","21","0","1","2","0","0","0","1","1","0","0","0","2","0","0","0","0","1","7","0","1","0","0","0","0","0","2","0","0","0","0","0"
" 2561",NA,NA," 570","2.3","4","1","0","5","4","6","1","1","0","9","1","13","1","25","1","0","0","0","0","0","5","3","0","0","2","2","2","0","0","6","0","0","11","1","0","10","0","1","1","2","2","0","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3","22","0","0","16","11","0","0","0","1","236","0","28","6","3","1","0","60","1","0","0","2","3","0","0","161","10","0","0","4","0","0","0","0","3","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","2","4","1","0","0","0","1"
" 2592",NA,NA," 574","1.7","3","0","0","4","5","9","0","0","0","4","1","13","1","18","1","0","0","0","0","0","5","1","0","0","0","8","0","0","0","3","0","0","18","0","1","24","0","0","0","4","1","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","27","0","0","15","17","0","0","0","1","191","0","38","13","7","0","0","58","3","0","0","3","19","0","1","165","27","0","0","1","0","0","1","0","4","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","1","14","0","0","0","0","2"
" 2612",NA,NA," 578","1.6","1","0","0","5","5","9","2","1","0","7","1","11","2","18","3","0","0","0","0","0","2","2","0","1","0","3","0","0","0","7","0","1","17","0","1","23","0","1","0","7","5","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","16","0","0","8","7","0","0","0","1","200","0","37","12","3","1","0","83","5","0","1","1","22","0","0","171","15","0","0","2","0","0","1","0","5","1","0","0","0","0","0","0","1","0","3","0","3","0","0","0","0","2","4","1","1","0","0","3"
" 2622",NA,NA," 582","2.3","3","0","0","3","4","11","0","1","0","13","0","9","0","18","2","0","0","0","0","0","4","4","0","0","0","6","0","0","0","6","0","0","11","0","4","16","0","1","1","3","4","0","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","40","0","0","4","24","0","1","0","0","154","0","47","12","13","0","0","53","4","0","0","1","20","0","0","184","41","0","1","1","0","0","0","0","1","0","0","0","2","0","0","0","4","0","2","0","0","0","0","0","0","6","6","0","0","0","0","1"
" 2632",NA,NA," 586","2.2","5","0","0","12","4","7","9","1","0","11","0","12","1","18","1","0","1","0","0","0","6","8","0","0","3","6","3","0","0","6","0","0","15","0","1","21","0","0","0","2","12","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","142","0","0","5","34","0","0","0","0","153","0","32","15","10","1","0","58","1","0","1","3","11","0","0","174","35","0","0","1","1","0","2","0","1","0","0","0","2","0","0","0","1","0","6","0","1","0","0","0","1","2","6","2","0","0","0","1"
" 2642",NA,NA," 590","1.8","4","0","0","0","3","7","0","0","0","3","0","22","0","27","1","0","0","0","0","0","4","0","0","0","1","3","1","0","0","8","0","0","4","0","0","15","0","0","0","7","9","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","941","0","0","1","11","0","0","0","0","164","0","24","18","8","0","0","66","2","0","2","1","2","0","0","173","39","0","0","1","0","0","0","0","2","1","0","0","2","0","0","0","0","0","1","0","1","0","0","0","0","2","16","0","0","0","0","2"
" 2661",NA,NA," 598","1.7","6","0","0","14","0","12","0","0","0","4","0","5","3","6","1","0","0","0","1","0","0","4","0","0","0","5","0","0","0","0","0","0","10","0","0","5","0","1","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","4","0","1","1","0","21","0","36","2","5","0","0","51","1","0","1","5","0","0","1","114","14","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","1","6","1","0","0","0","1"
" 2681",NA,NA," 606","1.9","1","1","0","16","0","8","0","0","0","2","0","10","0","2","4","0","0","0","0","0","0","4","0","0","0","3","1","0","0","0","0","0","4","0","1","2","0","0","0","0","9","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","7","0","27","10","2","0","0","28","0","0","0","3","0","0","0","69","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","2","0","0","0","1","0","0","0","4","2","0","0","0","0"
" 2701",NA,NA," 614","1.9","3","1","0","10","0","9","0","0","0","4","1","5","0","1","0","0","0","0","0","0","0","2","0","0","2","5","1","0","0","1","0","1","3","0","0","1","0","0","0","0","8","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","8","0","22","4","0","0","0","17","2","0","0","5","0","0","0","71","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","2","0","0","0","0","0","10","2","0","0","0","1"
" 2719",NA,NA," 622","1.7","1","0","0","21","0","4","0","0","0","2","0","4","0","10","1","0","0","0","0","0","1","4","0","0","2","4","1","0","0","0","0","0","3","0","1","7","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","19","6","0","0","0","22","0","0","0","2","0","0","0","62","6","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","4","0","0","0","0","1"
" 2736",NA,NA," 630","1.8","3","0","0","21","3","9","0","0","0","10","0","4","1","22","1","0","0","0","0","0","1","4","0","0","1","1","1","0","0","4","0","0","4","0","0","11","0","0","0","4","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","3","0","0","0","0","15","0","30","8","5","0","0","72","3","0","0","0","0","0","0","199","8","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","2","0","5","0","0","0","1","0","0","2","14","1","0","0","0","1"
" 2740",NA,NA," 632","1.6","2","1","0","23","6","9","0","2","0","11","1","7","3","50","4","0","0","0","0","0","3","6","0","0","0","3","1","0","0","5","1","4","11","0","0","22","1","4","0","1","10","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","4","8","0","0","0","1","39","0","50","24","10","0","0","113","2","0","0","3","0","0","0","285","19","2","1","3","0","0","1","1","3","2","0","0","0","0","0","1","1","0","15","0","2","0","0","0","0","2","30","1","0","0","0","2"
" 2744",NA,NA," 634","1.8","1","0","0","57","7","7","0","1","0","5","0","4","2","41","3","0","0","0","0","1","3","9","0","0","1","5","2","0","0","10","0","0","11","0","0","15","2","3","0","2","9","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","4","8","0","0","0","1","31","0","35","15","7","1","0","91","0","0","0","5","0","0","0","287","19","0","0","3","0","0","0","1","3","0","0","0","0","0","0","0","1","0","12","0","0","0","1","0","0","2","8","0","0","0","0","0"
" 2752",NA,NA," 638","2.1","6","0","0","622","9","2","0","1","0","7","1","8","2","48","3","0","0","0","0","0","4","6","0","0","0","2","1","0","0","7","0","2","20","0","0","35","0","0","0","5","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","4","9","0","0","0","0","40","0","51","13","12","0","0","171","7","0","0","0","0","0","0","282","13","0","0","2","0","0","0","0","2","0","0","0","1","1","0","1","4","0","15","0","1","0","1","3","0","4","8","1","0","0","0","3"
" 2775",NA,NA," 646","2.0","4","1","0","1380","6","8","0","2","0","14","1","11","3","41","1","0","0","0","0","0","2","0","0","0","2","4","1","0","0","4","0","1","20","0","1","24","0","2","0","5","4","0","10","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","6","9","0","0","0","0","30","0","66","19","6","0","1","115","3","0","0","4","0","0","0","293","13","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","14","0","0","0","0","0","0","3","20","2","0","0","0","1"
" 2816",NA,NA," 654","2.5","5","0","0","3094","5","11","0","2","0","5","1","16","1","43","4","0","0","0","0","0","4","3","0","0","0","7","0","1","0","5","0","1","18","0","0","17","0","0","2","6","14","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","4","5","0","0","0","0","23","1","61","13","6","0","1","135","2","0","2","3","0","0","1","312","17","1","0","1","0","0","0","0","4","0","0","0","0","0","0","0","1","0","16","0","0","0","0","0","0","5","18","3","0","0","0","2"
" 2857",NA,NA," 662","2.1","11","0","0","9118","4","4","0","0","0","7","0","19","1","40","3","0","0","0","0","0","1","1","0","0","4","4","1","0","0","4","0","0","22","0","0","18","0","0","0","4","12","1","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0","0","0","0","31","0","84","13","7","0","0","151","2","0","0","3","0","0","1","294","9","0","0","2","0","0","0","0","1","0","1","0","1","0","0","0","4","0","13","0","1","1","2","1","0","3","4","1","0","0","0","2"
" 2947",NA,NA," 670","1.8","4","0","1","3976","3","6","0","0","0","6","0","11","1","38","2","0","0","0","0","0","3","3","0","0","6","4","0","0","0","5","0","1","24","0","1","23","0","0","0","3","13","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","2","0","0","0","0","25","0","63","10","7","0","0","135","3","0","2","2","0","0","0","313","17","0","0","3","0","0","0","0","0","0","0","0","2","0","0","1","5","0","14","0","0","0","0","0","0","2","4","2","0","0","0","0"
" 3120",NA,NA," 678","1.6","5","0","0","4914","6","6","0","1","0","3","0","13","2","50","2","0","0","0","0","0","6","1","0","0","2","5","1","0","0","6","0","0","22","0","1","31","0","0","0","7","9","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2","0","0","1","5","0","0","0","0","46","0","43","23","21","0","0","135","4","0","0","2","1","0","0","266","5","0","0","2","0","0","0","0","4","0","0","0","3","0","0","0","2","0","21","0","0","0","1","0","0","5","6","0","0","0","0","4"
" 3292",NA,NA," 686","1.8","9","0","0","3104","6","9","0","1","0","6","0","9","4","42","2","0","0","0","0","1","4","3","0","0","4","1","1","0","0","9","0","2","13","0","0","21","0","0","0","7","5","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","2","9","1","0","0","0","43","0","41","11","18","0","1","120","2","0","0","1","0","0","0","289","11","0","0","2","0","0","1","0","4","0","0","0","2","0","0","1","5","0","17","0","0","0","0","0","0","0","16","2","0","0","0","2"
" 3336",NA,NA," 688","2.0","8","0","0","4951","1","10","0","0","0","3","1","10","1","32","5","0","0","0","0","0","5","3","0","0","1","5","3","0","0","8","0","1","20","0","2","19","0","0","0","7","9","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","4","0","0","0","0","37","0","55","20","10","1","0","95","4","0","0","7","0","0","0","298","16","0","0","3","0","0","0","0","0","0","0","0","1","0","0","1","2","0","32","0","3","0","2","0","0","6","2","1","0","0","0","1"
" 3484",NA,NA," 696","2.0","6","0","0","2002","12","5","0","1","0","8","0","7","0","60","2","0","0","0","0","0","4","5","0","0","1","2","0","0","0","8","0","0","9","0","0","12","0","0","0","5","4","0","6","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","16","0","0","0","0","40","0","34","11","14","1","0","129","1","0","0","1","0","0","0","279","14","0","0","5","0","0","0","1","2","0","0","0","2","0","0","0","9","0","40","0","1","0","1","0","0","2","12","0","0","0","0","3"
" 3609",NA,NA," 704","2.0","4","0","0","3919","5","9","0","0","0","3","0","3","0","59","4","0","0","0","0","0","5","0","0","0","1","2","0","0","0","1","0","1","12","0","0","13","1","1","1","4","7","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","7","12","0","0","0","0","36","0","36","15","10","0","0","89","2","0","0","1","0","0","0","285","24","0","0","5","0","0","0","1","3","0","0","0","1","0","0","1","4","0","21","0","1","0","4","0","0","3","4","0","0","0","0","0"
" 3734",NA,NA," 712","1.6","2","0","0","2846","8","4","0","0","0","3","0","6","0","38","1","0","0","0","0","0","7","3","0","0","1","3","0","0","0","8","0","0","12","0","0","21","0","0","0","7","1","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","0","0","0","0","15","0","25","10","8","0","0","78","9","0","1","0","0","0","0","334","15","0","0","1","0","0","1","0","2","1","0","0","2","0","0","0","3","0","7","0","0","0","1","0","0","5","12","0","0","0","0","0"
" 3859",NA,NA," 720","2.0","9","0","0","562","8","5","0","0","0","5","0","6","1","39","1","0","0","0","0","0","2","0","0","0","1","4","1","0","0","6","0","0","11","0","0","14","0","0","0","4","8","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","3","7","0","0","0","0","27","0","22","12","13","0","0","66","0","0","0","1","0","0","0","333","15","0","0","1","0","0","2","1","1","0","0","0","0","0","0","0","3","0","5","0","0","0","0","0","0","7","8","1","0","0","0","1"
" 3984",NA,NA," 728","2.0","4","0","0","3948","4","5","0","0","0","5","0","10","1","43","1","0","0","0","0","0","1","1","0","0","0","3","2","0","0","5","0","2","5","0","0","22","0","0","0","3","5","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","2","18","0","0","1","1","28","0","34","7","10","1","1","93","5","0","1","5","0","0","0","310","12","0","0","1","0","0","0","0","2","0","0","0","0","0","0","3","5","0","6","0","1","0","1","0","0","12","8","1","0","0","0","2"
" 4109",NA,NA," 736","2.3","5","0","0","6006","4","9","0","1","0","4","0","5","0","62","0","0","1","1","0","0","4","2","0","0","1","1","0","0","0","4","1","2","4","0","2","12","0","0","0","2","4","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","6","16","0","0","0","1","44","0","38","9","14","0","0","94","4","0","2","4","0","0","1","317","27","0","0","3","0","0","0","2","3","1","0","0","1","0","0","4","0","0","17","0","1","1","3","1","0","1","10","0","0","0","0","3"
" 4234",NA,NA," 744","1.8","8","0","0","4682","3","6","0","0","0","2","0","5","1","32","1","0","0","0","0","0","6","1","0","0","0","3","1","0","0","2","0","1","8","0","2","19","0","0","0","1","8","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","37","1","50","7","5","0","0","71","0","0","0","4","0","0","0","322","8","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","5","0","2","0","0","0","3","0","0","4","12","0","0","0","0","2"
" 4375",NA,NA," 753","2.2","6","0","0","1783","2","6","0","1","0","1","0","7","2","45","1","0","0","0","0","0","7","1","0","0","1","4","0","0","1","10","1","3","8","0","0","16","0","0","1","2","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","4","9","1","0","1","0","32","1","41","6","7","0","0","99","2","0","0","0","0","0","0","310","13","1","0","0","0","0","0","1","0","1","1","0","0","0","0","1","4","0","16","0","0","0","1","0","0","7","2","0","0","0","0","2"
" 4500",NA,NA," 761","1.9","10","0","0","3194","4","7","0","0","0","3","0","8","1","44","0","0","0","0","0","0","6","0","0","0","0","7","3","0","0","2","0","0","5","0","1","28","0","1","0","2","19","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","12","0","0","0","0","39","1","50","7","4","0","1","93","2","0","0","1","0","0","0","300","7","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","11","0","1","0","1","0","0","5","2","1","0","0","0","1"
" 4578",NA,NA," 766","2.0","20","2","0","2062","3","12","0","0","0","4","1","9","0","39","2","0","0","0","0","0","9","1","0","0","4","7","2","0","0","3","1","1","2","0","0","19","0","0","0","1","10","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","4","0","0","0","0","34","0","73","6","6","0","0","111","3","0","0","3","0","0","0","398","7","0","0","0","0","0","0","1","7","0","0","0","0","0","0","1","0","0","10","0","1","0","2","1","0","4","12","0","0","0","0","2"
" 4703",NA,NA," 774","2.0","13","0","0","1526","4","3","0","0","0","1","0","7","0","45","3","0","0","0","0","0","6","2","0","0","0","8","3","0","0","3","0","3","4","0","0","29","0","0","0","1","12","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","5","0","0","2","4","0","0","0","2","15","0","61","12","6","0","0","102","1","0","0","5","0","0","1","358","10","0","0","4","0","0","0","0","2","0","0","0","2","0","0","0","2","0","6","0","0","0","2","0","0","9","10","0","0","0","0","0"
" 4828",NA,NA," 782","2.5","12","0","0","3561","2","2","0","0","0","2","2","16","1","41","1","0","0","0","0","0","11","0","0","0","1","7","1","0","0","5","0","0","9","0","1","26","0","0","0","4","13","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","5","0","78","7","4","0","0","87","1","0","0","3","0","0","0","318","10","2","0","2","1","0","0","0","2","0","0","0","1","0","0","0","2","0","6","0","0","0","1","0","0","7","2","3","0","0","0","2"
" 4953",NA,NA," 790","1.9","7","0","0","1990","2","5","0","0","0","2","0","5","0","33","2","0","0","0","0","0","2","0","0","0","0","2","0","0","0","5","0","1","5","1","2","24","0","0","0","3","13","0","6","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","2","5","0","0","1","0","0","1","0","0","2","0","78","4","6","0","0","92","3","0","0","2","0","0","0","345","10","0","0","1","0","0","0","0","2","0","0","0","2","0","1","0","0","0","15","0","0","0","5","0","0","2","10","1","0","0","0","1"
" 5078",NA,NA," 798","1.9","12","0","0","779","1","1","0","0","0","0","0","3","0","61","2","0","0","0","0","0","2","1","0","0","1","1","0","0","0","4","0","2","8","0","1","15","0","0","0","4","9","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","0","4","0","0","0","0","7","0","51","13","7","0","0","94","0","0","0","3","0","0","0","323","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","12","0","0","0","4","0","0","4","6","1","0","0","0","2"
" 5140",NA,NA," 802","1.7","12","1","0","2999","5","3","0","0","0","3","1","8","1","50","1","0","0","0","0","0","6","1","0","0","1","2","0","0","0","9","0","1","6","0","0","22","0","0","0","2","7","0","12","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","2","7","0","0","3","0","0","0","0","0","8","0","47","6","6","0","0","102","1","0","0","3","0","0","0","314","8","0","0","2","0","0","3","0","0","0","0","0","0","0","0","1","0","0","21","0","0","0","2","0","0","7","4","2","0","0","0","2"
" 5203",NA,NA," 806","2.0","7","0","0","1235","2","3","0","0","0","6","3","6","0","56","1","0","0","0","0","0","6","2","0","0","0","0","1","0","0","5","0","3","6","0","4","10","0","0","0","3","11","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","2","1","0","0","0","0","4","0","46","5","2","0","0","91","1","0","0","3","0","0","1","324","5","1","0","1","0","0","1","0","1","0","0","0","0","0","0","2","0","0","10","0","0","0","3","0","0","7","6","0","0","0","0","3"
" 5328",NA,NA," 814","1.8","6","0","0","3524","1","5","0","1","0","0","1","7","0","47","0","0","0","0","0","0","8","2","0","0","0","4","0","0","0","6","0","2","8","0","1","22","0","0","0","0","7","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","4","1","0","1","1","0","3","0","37","13","6","0","0","65","2","0","1","3","0","0","0","350","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","6","0","0","0","1","0","0","8","6","0","0","0","0","4"
" 5448",NA,NA," 822","2.0","13","0","0","4106","10","1","0","1","0","0","0","8","0","53","0","0","0","0","0","0","5","1","0","0","0","3","0","0","0","6","0","2","4","1","1","21","0","0","0","2","11","0","2","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","6","0","0","4","0","0","0","0","0","3","1","68","10","4","0","0","95","6","0","0","4","0","0","0","378","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","1","3","0","13","0","1","0","3","0","0","8","8","0","0","0","0","0"
" 5554",NA,NA," 830","2.1","9","0","0","2034","3","3","0","0","0","5","2","6","0","51","3","0","0","0","0","0","3","0","0","0","2","0","0","0","0","5","0","3","6","0","1","15","0","0","0","0","12","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","5","0","46","5","4","0","0","89","2","0","0","3","0","0","1","361","4","0","0","3","0","0","0","0","2","1","0","0","2","0","0","0","1","0","13","0","2","0","5","0","0","13","8","0","0","0","0","2"
" 5580",NA,NA," 832","1.8","9","0","0","1710","1","6","0","0","0","1","1","6","0","35","2","0","0","0","0","1","3","0","0","0","1","5","1","0","0","6","0","4","10","0","1","17","0","0","0","0","12","0","9","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","2","3","0","0","4","0","0","0","1","0","6","0","75","7","3","0","0","110","3","0","0","5","0","0","0","322","6","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","2","0","5","0","0","0","3","0","0","10","8","0","0","0","0","2"
" 5686",NA,NA," 840","2.0","5","1","0","596","0","2","0","0","0","2","1","6","1","47","0","0","0","0","0","0","1","2","0","0","0","1","0","0","0","1","0","1","10","0","3","19","0","0","0","3","5","0","14","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","2","0","0","9","0","0","0","0","0","9","0","57","11","4","0","0","115","4","0","0","3","0","0","0","343","3","0","0","1","0","0","1","1","1","0","0","0","3","0","0","0","1","0","28","0","0","0","3","1","0","9","2","1","0","0","0","1"
" 5792",NA,NA," 848","1.7","3","0","0","1219","6","11","0","0","0","1","1","9","0","31","2","0","0","0","0","0","3","0","0","0","1","2","0","0","0","8","0","0","11","0","0","11","0","0","0","1","10","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","1","0","0","4","0","0","0","0","0","1","0","54","4","4","0","0","132","3","0","0","10","0","0","0","393","3","1","0","0","0","0","0","0","2","1","0","0","2","0","0","0","0","0","16","0","2","0","5","0","0","3","10","0","0","0","0","1"
