"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acanthus","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Asphodelus t.","Asteroideae undif.","Campanulaceae","Caryophyllaceae undif.","Cichorieae","Cistaceae","Corylus","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Hypericum undif.","Lamiaceae undif.","Lythrum","Myriophyllum undif.","Myrtus","Olea t.","Persicaria t.","Pinus mediterranea","Pinus pinaster","Plantago","Poaceae","Polygala","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Salix","Thymelaeaceae undif.","Typha","Unknown","Viburnum"
"103",NA,NA,"  0","  0","  0","  0","  7","  0","  0","  9","  0","  0","  1","  4","  0","  0","  0"," 10","  0","  8","  0","  1","  0","  0","  8"," 27","  0","  1","  0","  2"," 10","  0","  4"," 23","102","  0","  0","  0","  4","  0"
"124",NA,NA,"  5","  0","  2","  0","  2","  0","  0","  6","  0","  2","  4","  8","  0","  0","  0"," 12","  0","  6","  0","  0","  0","  0"," 22"," 10","  0","  6","  0","  8"," 10","  0","  1"," 44"," 87","  0","  0","  0","  2","  0"
"146",NA,NA," 10","  0","  2","  4","  0","  2","  0"," 12","  0","  0","  0"," 10","  0","  0","  0"," 18","  0","  2","  0","  0","  0","  0"," 18"," 16","  0","  2","  0","  0"," 20","  2","  0"," 40"," 90","  0","  0","  0","  6","  0"
"168",NA,NA," 15","  0","  0","  2","  2","  0","  0"," 20","  0","  2","  2","  4","  0","  2","  0"," 24","  0","  2","  0","  0","  0","  0"," 10","  6","  0","  4","  0","  0"," 14","  0","  0"," 28"," 85","  4","  0"," 24","  4","  0"
"190",NA,NA," 20","  0","  0","  0","  0","  0","  0"," 20","  0","  2","  2"," 16","  0","  0","  0"," 26","  0","  0","  0","  0","  0","  0"," 24","  0","  0","  4","  0","  4"," 14","  0","  2"," 44","103","  4","  0"," 25","  2","  0"
"211",NA,NA," 25","  0","  0","  1","  1","  0","  1","  8","  0","  1","  4"," 16","  0","  3","  0"," 13","  0","  4","  0","  1","  0","  0"," 18","  5","  0","  5","  0","  5"," 13","  0","  1"," 25","127","  4","  0"," 15","  1","  0"
"233",NA,NA," 30","  0","  0","  2","  0","  0","  4","  2","  0","  0","  2"," 10","  0","  4","  0"," 19","  0","  2","  4","  0","  2","  0"," 12","  6","  0","  6","  0","  0","  8","  0","  0"," 36","130","  1","  2"," 14","  3","  0"
"255",NA,NA," 35","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  2","  0","  0","  0"," 12","  0","  2","  0","  0","  2","  0","  6","  6","  0","  2","  0","  0","  6","  0","  2"," 28","138","  4","  2","  4","  4","  0"
"277",NA,NA," 40","  0","  2","  2","  8","  0","  2"," 10","  0","  0"," 12","  4","  0","  0","  0"," 26","  0","  8","  4","  0","  2","  2"," 18","  6","  0","  4","  0","  0"," 16","  0","  0"," 34","121"," 10","  4","  6","  6","  0"
"298",NA,NA," 45","  0","  0","  0","  8","  0","  4","  0","  0","  0","  0","  4","  0","  0","  0"," 40","  0","  4","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  8","  0","  3"," 48","117","  4","  0"," 10","  2","  0"
