"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Frangula","Fraxinus","Galium t.","Hedera","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Loranthus","Lotus t.","Lythrum","Malva","Menyanthes","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Onagraceae","Ononis t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valeriana t.","Valerianella","Viburnum","Viscum","Vitis","Ziziphus/Paliurus"
" 131"," 577","-303","  33","   1","   0","   4","   0","   3","  88","   0","   1","   1","   5","   4","   0","   6","   1","   6","   1","   0","   0","   0","   0","   0","   2","   1","   1","   0","   0","   0","   0","   0","   0","1809","   0","   0","   0","   0","   0","   4","  10","   0","   0","   0","   1","   7","   0","   0","   0","   0","   2","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","  36","   0","   5","   1","   0"," 107","   7","   7","   0","   1","   0","   0","  25","   0","   3","   1","   0","   1","   1","   0","   0","   0","   0","  64","   0","   0","   0","  37","   0","  18","   0","   0","   0","   0","   0","   0","   1","   0"
" 158"," 589","-260","  40","   0","   0","  33","   2","   1","  54","   0","   2","   1","   1","   7","   0","   1","   0","   3","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   1"," 246","   0","   0","   0","   0","   0","   4","  11","   0","   0","   0","   3","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","  13","   0","   0","   1","   0","  79","   5","   1","   0","   0","   0","  32","  13","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   9","   0","   0","   0","   8","   1","  10","   0","   0","   0","   0","   0","   0","   1","   0"
" 196"," 606","-198","  50","   1","   0","   4","   0","   0","  11","   0","   0","   1","   3","   3","   1","   4","   0","   7","   0","   0","   0","   0","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 140","   0","   1","   0","   0","   0","   2","  15","   0","   1","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  31","   0","   0","   1","   0","  87","   3","   3","   0","   0","   0","   0","  30","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   6","   0","   0","   0","   8","   0","  16","   0","   0","   0","   0","   0","   0","   1","   0"
" 234"," 623","-136","  60","   1","   0","   4","   0","   4","  52","   0","   1","   1","   3","   5","   1","   2","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","1631","   0","   0","   0","   2","   0","  10","  14","   0","   0","   0","   3","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","   0","   1","   1","   0"," 206","   3","   3","   0","   1","   0","   0","  95","   0","   4","   0","   0","   1","   0","   0","   0","   1","   4","  60","   0","   0","   0","  46","   2","   4","   0","   0","   0","   0","   0","   0","   0","   1"
"273","641","-74"," 70","  3","  0"," 36","  1","  5"," 23","  0","  0","  3","  6","  4","  0","  9","  1"," 48","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  2","  0","  5","443","  0","  0","  0","  1","  0","  7"," 18","  0","  1","  0","  1","  8","  0","  0","  0","  0","  1","  2","  0","  0","  0","  2","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0"," 47","  0","  3","  6","  0","344"," 15","  9","  0","  0","  0","  0"," 77","  0","  3","  0","  0","  2","  0","  0","  0","  0"," 15"," 84","  1","  1","  0"," 67","  1"," 28","  2","  0","  0","  0","  0","  0","  2","  0"
"311","658","-13"," 80","  1","  0","  0","  0","  4"," 53","  0","  2","  5","  3","  5","  0"," 14","  0","  7","  0","  0","  0","  0","  1","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","374","  1","  2","  0","  4","  0","  6"," 34","  0","  0","  0","  3","  1","  0","  0","  1","  0","  1","  1","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 38","  1","  3","  1","  0","271","  6","  7","  0","  0","  0","  0"," 73","  0"," 25","  0","  0","  5","  2","  0","  0","  3"," 75"," 42","  1","  0","  0","  7","  0"," 44","  0","  0","  0","  0","  0","  0","  2","  0"
"337","670"," 29"," 87","  2","  0","  4","  0","  4"," 23","  0","  2","  3","  7"," 89","  0","  6","  0"," 10","  0","  0","  0","  1","  3","  0","  1","  0","  1","  0","  0","  4","  0","  0","  2","235","  0","  0","  0","  0","  0","  7"," 47","  0","  0","  0","  2","  3","  0","  0","  0","  0","  1","  1","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 40","  0","  5","  1","  0","223","  6","  6","  0","  0","  0","  0"," 85","  0","  2","  0","  0","  2","  1","  0","  0","  0","  3"," 61","  0","  0","  0"," 34","  0"," 42","  1","  1","  0","  0","  0","  0","  1","  0"
"399","697","125","103"," 10","  0"," 21","  5"," 30","  4","  0","  1"," 25","  5","  2","  0","  9","  0"," 13","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  8"," 33","  0","  0","  0","  0","  0","  7","  6","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  2","  0","  2","  0","  0","  0","  0","  1","  2"," 84","  1","  1","  1","  0","376","  9","  3","  0","  0","  0","  0","114","  3","  0","  0","  0","  8"," 22","  0","  1","  0","  0"," 25","  1","  1","  0","  7","  0"," 58","  1","  0","  0","  0","  0","  0","  0","  0"
"425","709","166","110"," 22","  1"," 41","  0","264"," 12","  0","  1","  8","  4"," 17","  1"," 25","  1"," 65","  0","  0","  0","  1","  5","  1","  0","  0","  5","  0","  0","  0","  6","  0","  9"," 76","  0","  3","  0","  0","  0"," 16"," 82","  0","  0","  0","  2","  6","  0","  0","  1","  0","  0","  3","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","265","  2","  7","  0","  0","341","  9","  4","  0","  0","  0"," 11","383","  0","  2","  0","  2","  5","375","  0","  2","  0","  5"," 29","  1","  2","  5"," 14","  3","186","  7","  0","  0","  0","  0","  0","  3","  0"
"464","726","224","120","  9","  0","362","  0"," 13","  5","  0","  1","  1","  2"," 18","  0","  6","  1","  9","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  3","  0","  2","  9","  0","  1","  0","  2","  0","  2","368","  0","  0","  0","  1","  5","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","121","  0","  0","  0","  0","245","  2","  2","  0","  0","  0"," 37"," 67","  0","  1","  0","  0","  1"," 11","  0","  0","  0","  6"," 17","  0","  0","  0"," 29","  0"," 28","  0","  0","  0","  0","  0","  0","  0","  0"
