"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Alnus","Alona rustica (type 72, HdV)","Amaranthaceae undif.","Animalia? (type 175, HdV)","Apiaceae undif.","Araneidae (type 71B, HdV)","Arcella","Archerella flavum (type 31A, HdV)","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betula/Alnus/Corylus/Myrica (type 114, HdV)","Brassicaceae","Calluna","Cannabaceae undif.","Carabidae (type 107, HdV)","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cercophora sp. (type 112, HdV)","Chaetomium sp. (type 7A, HdV)","Chara sp. Glomerus (type 764A)","Cichorieae","Cistaceae","Coniochaeta ligniaria (type 172, HdV)","Coniochaeta xylariispora (type 6A, HdV)","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Erica t.","Erodium","Fabaceae Undif.","Fern","Fraxinus","Fungi","Fungi (type 18, HdV)","Fungi (type 200, HdV)","Fungi (type 568C, HdV)","Fungi (type 729, HdV)","Gelasinospora (type 1, HdV)","Genisteae","Glomus cf. G. fasciculatum (type 207, HdV)","Gyratrix hermaphroditus","Habrotrocha angusticollis (type 37, HdV)","Hypericum undif.","Indeterminable","Invertebrata (type 52, HdV)","Invertebrata (type 88A, HdV)","Invertebrate? (type 178, HdV)","Juglans","Leucojum","Musci","Myriophyllum alterniflorum t.","Olea t.","Oribatida (type 36, HdV)","Parnassia","Pediastrum (type 900, HdV)","Pedicularis","Petaloid monocot","Phillyrea","Pinus mediterranea","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta (monolete) undiff.","Polypodiophyta (trilete) undiff.","Pseudoschizaea circula","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhabdocoela undiff.","Riccia","Rivularia-type","Rumex t.","Salix","Scheuchzeria palustris","Scrophulariaceae undif.","Sordaria-type (type 55A, HdV)","Spike","Spirogyra sp. (type 315, HdV)","Sporormiella (type 113, HdV)","Unknown (type 119, HdV)","Unknown (type 150, HdV)","Unknown (type 181, HdV)","Unknown (type 182, HdV)","Unknown (type 716, HdV)","Unknown (type 728, HdV)","Unknown (type 74, HdV)","Urtica t.","Viburnum","Zygnemataceae (type 62, HdV)","cf. Persiciospora (type 124, HdV)"
" -56",NA,NA,"  0","5.24","17","0","4","0","0","0","0","0","0","0","21","2","0","0","0","0","1","2","5","0","0","1","0","6","1","0","0","0","0","1","13","21","0","0","0","0","0","3","0","0","25","0","6","5","0","2","0","5","0","0","0","0","1","0","0","57","0","2","0","0","2","0","0","116","10","0","1","136","0","0","5","1","1","93","0","13","0","0","0","0","2","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  20",NA,NA,"  5","0.60","8","0","0","0","0","4","0","0","0","0","10","12","0","0","0","0","6","2","20","0","0","0","0","6","0","0","2","0","0","2","12","30","0","0","2","0","0","24","0","6","34","0","0","0","0","0","0","2","0","0","0","0","2","2","0","66","0","3","0","0","4","0","0","120","4","0","0","140","0","0","6","2","0","126","0","2","2","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"  96",NA,NA," 10","5.20","0","0","1","1","0","0","0","0","0","0","3","3","0","2","0","0","0","3","6","0","0","44","0","4","0","6","0","0","1","4","34","7","3","15","0","1","0","2","2","0","10","0","7","23","1","0","0","11","0","1","13","0","0","1","0","14","0","2","0","2","18","2","0","67","8","0","1","327","0","0","1","2","0","53","6","0","1","2","0","0","2","0","0","9","18","0","1","35","3","0","3","0","0","0","0","8","0","0","1"
" 141",NA,NA," 13","5.00","8","0","0","0","0","0","0","0","0","0","2","6","0","0","0","0","1","1","11","0","0","0","0","1","1","0","0","0","1","5","5","12","0","0","1","0","0","12","0","2","7","0","0","28","0","0","0","1","0","0","7","0","1","0","0","24","11","1","0","1","2","0","0","292","20","0","0","102","0","0","3","1","1","52","0","0","2","0","1","0","0","0","0","2","59","0","0","0","0","0","0","0","3","0","0","1","0","0","0"
" 202",NA,NA," 17","5.00","5","0","0","0","0","0","0","0","0","0","7","5","0","0","0","0","0","0","12","0","0","0","0","4","4","0","0","0","0","1","12","40","0","0","1","0","0","3","0","0","0","0","0","6","0","0","0","1","0","0","1","0","2","0","0","17","2","3","0","0","4","0","0","339","35","0","0","99","0","0","7","1","0","38","0","1","1","0","2","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 247",NA,NA," 20","5.10","3","2","7","0","1","0","5","16","1","0","5","8","0","0","0","5","3","1","8","1","7","1","0","1","1","1","0","1","1","12","51","33","0","2","1","0","4","1","0","1","0","0","15","6","1","3","3","6","0","0","0","3","3","0","1","11","0","3","0","4","13","0","3","136","15","0","1","71","0","2","26","1","0","36","1","1","10","1","1","2","1","1","2","8","18","0","2","9","0","0","0","0","0","0","0","4","1","0","0"
" 292",NA,NA," 23","5.10","6","0","0","0","2","0","0","0","1","0","3","4","0","0","0","0","0","0","5","0","0","0","0","6","3","0","0","0","0","8","5","56","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","283","24","0","0","97","0","0","14","1","0","43","0","2","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
" 353",NA,NA," 27","5.00","7","0","0","0","0","0","0","0","2","0","12","9","0","0","1","0","4","0","13","0","0","0","0","1","3","0","0","0","0","27","11","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","204","14","0","0","154","0","0","10","0","0","45","0","0","0","0","0","0","0","0","0","0","3","0","2","0","0","0","1","1","0","0","4","0","0","1","0"
" 398",NA,NA," 30","5.50","4","2","2","0","0","0","0","0","0","0","26","15","0","0","0","0","19","0","16","0","0","0","0","2","0","0","0","0","0","4","0","51","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","41","0","0","0","0","0","0","0","124","0","0","0","235","0","0","14","4","0","133","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","2","2","0","0","0","2","0","0","0"
" 443",NA,NA," 33","5.20","9","0","1","0","0","0","0","0","0","0","13","5","0","0","0","0","9","0","9","0","0","0","0","0","1","0","0","0","0","2","6","49","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","25","0","0","0","0","0","0","0","178","11","0","0","250","2","0","1","3","0","51","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
