"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calicotome","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cercis","Cichorieae","Cistaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Fraxinus","Geranium","Hedera","Humulus","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Lonicera","Lythrum","Myriophyllum spicatum/verticillatum t.","Olea t.","Onagraceae","Ononis t.","Osyris","Periploca","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Spergularia t.","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Vaccinium","Viburnum","Vitex","Vitis","Ziziphus/Paliurus"
"-19",NA,NA,"  0","  2","  0"," 15"," 35","  1","  0","  2","  0","  2","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  1","  1","  0"," 68","  2","  0","  0","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0"," 66","  0","  0","  0","  6","  3","  0","  0","  4","  2","  2","  2","  0","  0","  0","  0","  1"," 15","  0","  2","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0"
"38",NA,NA,"10"," 2"," 0","20","27"," 1"," 0"," 2"," 0"," 7"," 0"," 1"," 0"," 3"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 3"," 0"," 0"," 1"," 0"," 0"," 9"," 0"," 0"," 0"," 0"," 0"," 1","56"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","67"," 0"," 0"," 0"," 7"," 0"," 0"," 0"," 5"," 3"," 0"," 1"," 0"," 0"," 1"," 2"," 0"," 4"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"
"96",NA,NA,"20"," 2"," 0","22","14"," 0"," 0"," 2"," 0"," 4"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 4"," 0"," 0"," 1"," 0"," 0"," 3"," 0"," 0"," 0"," 1"," 0"," 1","59"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","65"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 5"," 4"," 0"," 1"," 0"," 1"," 2"," 0"," 0"," 4"," 0"," 1"," 0"," 0"," 0"," 0"," 2"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"
"153",NA,NA," 30","  3","  0"," 23"," 11","  1","  0","  4","  0","  1","  0","  2","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  4","  0","  0","  0","  1","  1","  0"," 49","  7","  0","  2","  0","  0","  0","  2","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0"," 50","  0","  2","  0","  6","  2","  0","  0","  4","  5","  1","  0","  0","  0","  2","  2","  0"," 21","  0","  5","  1","  1","  0","  0","  4","  0","  6","  0","  0","  1","  0","  1","  0"
"211",NA,NA," 40","  8","  0"," 79"," 18","  0","  0","  4","  0","  5","  0","  8","  0","  9","  0","  0","  0","  0","  0","  1","  0","  0","  5","  1","  0","  3","  0","  3"," 26","  0","  0","  4","  1","  7","  3","126"," 13","  0","  0","  0","  0","  1","  4","  2","  0"," 14","  1","  0","  0","  0","  0","  0","  2","  0"," 71","  1","  5","  1"," 17","  1","  0","  0"," 12"," 15","  2","  3","  2","  6"," 11","  6","  8"," 54","  0"," 23","  1","  0","  0","  0","  2","  3","  8","  0","  0","  0","  0","  1","  0"
"268",NA,NA," 50","  4","  0","220","  7","  0","  0","  4","  0","  2","  0"," 10","  0","  7","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  3","  0","  6"," 13","  0","  0","  1","  3","  3","  1","197"," 10","  0","  0","  0","  0","  0","  2","  0","  0","  7","  1","  0","  0","  0","  0","  0","  0","  0"," 53","  1","  6","  0"," 21","  4","  2","  0"," 13","  7","  2","  0","  0","  9","  4","  0","  2"," 19","  0"," 15","  2","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  3","  0"
"326",NA,NA," 60","  3","  0","145","  9","  3","  0","  6","  0","  3","  0","  7","  0","  4","  0","  0","  0","  1","  1","  4","  3","  0","  1","  0","  0","  5","  0","  7"," 16","  0","  0","  0","  6","  7","  2","114","  9","  0","  0","  1","  0","  0","  3","  0","  0","  4","  1","  0","  0","  0","  0","  0","  1","  0"," 61","  0","  6","  2"," 37","  1","  2","  0"," 10"," 12","  1","  4","  0","  7","  5","  1","  7"," 40","  0"," 12","  0","  1","  0","  0"," 11","  3","  8","  0","  0","  0","  0","  4","  0"
"383",NA,NA," 70","  3","  0","170","  6","  2","  0","  3","  0","  1","  0","  5","  0","  4","  0","  0","  0","  0","  0","  2","  0","  0","  1","  2","  0","  5","  0"," 10"," 18","  0","  0","  2","  3","  3","  0","215","  3","  0","  2","  0","  0","  1","  5","  1","  0","  4","  1","  0","  0","  0","  0","  0","  0","  0"," 45","  1","  3","  0"," 16","  2","  1","  0","  4","  4","  1","  1","  0"," 29","  6","  0","  1"," 25","  0","  7","  0","  0","  0","  0","  6","  2","  2","  0","  0","  0","  0","  4","  0"
"441",NA,NA," 80","  0","  0","186","  6","  0","  0","  6","  0","  5","  0","  2","  0","  5","  0","  0","  0","  1","  1","  1","  0","  0","  3","  1","  0","  7","  0","  2"," 12","  0","  0","  0","  0","  2","  1"," 81","  8","  1","  2","  0","  0","  0","  3","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0"," 27","  1","  5","  0"," 17","  0","  0","  0","  7"," 10","  2","  0","  0","  3","  1","  1","  2"," 28","  0","  7","  1","  0","  0","  0","  1","  2","  2","  0","  0","  0","  0","  1","  0"
"498",NA,NA," 90","  2","  0","255","  2","  0","  0","  7","  0","  6","  0","  7","  0","  5","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  3","  0","  1"," 15","  0","  0","  1","  0","  2","  0"," 92","  8","  0","  1","  0","  0","  1","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0"," 34","  1","  2","  0"," 10","  0","  0","  0","  6","  6","  0","  0","  0","  0","  7","  2","  3"," 32","  0","  5","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0"
"568",NA,NA,"102","  0","  0","206","  7","  0","  0","  2","  0","  1","  0","  5","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  5","  0","  1"," 22","  0","  0","  0","  2","  3","  2"," 82","  8","  0","  0","  0","  0","  3","  2","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0"," 37","  4","  4","  0"," 12","  0","  0","  0"," 17","  9","  2","  0","  1","  1","  2","  1","  0"," 32","  1","  6","  1","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  5","  0"
"614",NA,NA,"110","  1","  0","343","  7","  1","  0","  6","  0","  7","  0"," 13","  0","  3","  1","  1","  0","  1","  2","  0","  1","  0","  1","  0","  0","  8","  0","  1"," 10","  0","  0","  1","  0","  2","  0","103"," 14","  0","  0","  2","  0","  2","  5","  1","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0"," 39","  1","  3","  1"," 14","  3","  0","  0"," 11","  8","  1","  0","  0","  3","  5","  0","  4"," 27","  0","  6","  1","  1","  0","  0","  0","  1","  8","  0","  0","  0","  0","  2","  0"
"671",NA,NA,"120","  2","  0","301","  1","  0","  0","  6","  0","  2","  0","  9","  0","  4","  1","  0","  0","  1","  0","  0","  1","  0","  0","  1","  0","  8","  0","  3"," 20","  0","  0","  4","  2","  5","  1"," 60"," 25","  0","  2","  0","  0","  2","  3","  0","  0","  7","  0","  0","  0","  0","  0","  0","  1","  0"," 38","  3","  6","  1"," 14","  1","  0","  0"," 16"," 18","  3","  0","  0","  7","  7","  0","  5"," 48","  2","  7","  1","  0","  1","  0","  0","  3","  4","  0","  0","  0","  0","  5","  0"
"769",NA,NA,"137","  2","  0","238","  9","  0","  0","  1","  0","  3","  0","  7","  0","  0","  2","  0","  0","  1","  0","  1","  2","  0","  1","  0","  0"," 11","  0","  0"," 21","  0","  0","  1","  0","  0","  0"," 69","  8","  0","  0","  0","  0","  2","  2","  1","  0","  7","  0","  0","  0","  0","  0","  0","  0","  1"," 46","  2","  3","  3"," 22","  1","  0","  0"," 16"," 15","  3","  3","  0","  2","  9","  2","  1"," 36","  0","  3","  0","  1","  0","  0","  3","  4"," 16","  0","  0","  0","  0","  3","  0"
"844",NA,NA,"150","  2","  1","113"," 10","  1","  0","  9","  0","  7","  0"," 15","  0","  3","  1","  0","  0","  2","  0","  0","  2","  0","  3","  0","  0"," 10","  0","  2"," 48","  0","  0","  4","  0","  8","  0","186"," 15","  0","  1","  0","  0","  1","  1","  2","  0"," 12"," 10","  0","  0","  0","  0","  0","  0","  0"," 72","  2","  6","  0"," 16","  2","  1","  0"," 30"," 15","  8","  2","  0","  3","  8","  2","  6","  8","  1","  7","  0","  0","  0","  0","  4","  5","  0","  0","  0","  0","  0","  4","  0"
"901",NA,NA,"160","  2","  0","136","  7","  0","  0","  2","  0","  4","  0"," 10","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  1"," 43","  0","  0","  0","  3","  2","  1","142"," 12","  1","  0","  1","  1","  1","  0","  1","  0"," 10","  5","  0","  0","  0","  0","  0","  0","  1"," 44","  1","  3","  0"," 28","  0","  0","  0"," 18"," 12","  6","  2","  3","  6","  6","  3","  1","  9","  0","  5","  0","  0","  0","  0","  2","  9","  4","  0","  0","  0","  0","  4","  0"
"959",NA,NA,"170","  3","  0"," 70","  4","  0","  0"," 11","  0","  5","  0"," 16","  0","  2","  0","  0","  0","  2","  0","  0","  0","  0","  3","  0","  0"," 11","  0","  4"," 46","  0","  1","  2","  0"," 10","  1","160","  9","  0","  0","  1","  0","  1","  0","  0","  0","  7"," 21","  1","  0","  0","  0","  0","  0","  1"," 75","  2","  1","  0"," 31","  4","  3","  0"," 24"," 18","  7","  4","  1","  5","  7","  1","  8","  5","  0"," 12","  0","  1","  0","  0"," 13","  3","  8","  0","  0","  0","  0","  4","  0"
"1016",NA,NA," 180","   1","   0","  26","   4","   0","   0","   3","   0","   4","   0","  14","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   3","  39","   0","   0","   2","   0","   5","   0","  45","   8","   0","   0","   0","   0","   2","   0","   0","   0","   1","   7","   0","   0","   0","   0","   0","   0","   0","  56","   2","   3","   0","  20","   0","   0","   0","  12","   4","   3","   0","   1","   0","   3","   0","   1","   2","   0","   3","   0","   0","   0","   0","   9","   1","   6","   0","   0","   0","   0","   3","   0"
"1102",NA,NA," 195","   2","   0"," 126","  13","   1","   0","   6","   0","   4","   0","  12","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   2","   0","  14","   0","   6","  67","   0","   0","   3","   3","  11","   1"," 206","  11","   0","   2","   1","   0","   0","   0","   0","   0","   4","  19","   0","   0","   0","   0","   0","   0","   0","  79","   0","   6","   0","  30","   2","   0","   0","  31","  16","  10","   1","   1","   2","  12","   1","   1","  11","   0","  10","   0","   0","   1","   0","   8","   6","  14","   0","   0","   0","   0","   3","   0"
"1177",NA,NA," 208","   3","   0"," 141","   2","   0","   0","   3","   0","   4","   0","   8","   0","   0","   1","   0","   0","   2","   0","   0","   1","   0","   0","   0","   1","   8","   0","   1","  25","   0","   0","   0","   0","   4","   0"," 103","   9","   0","   1","   0","   0","   2","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  41","   1","   1","   0","  23","   0","   0","   0","  22","  10","   7","   4","   2","   1","   4","   1","   5","  10","   0","  14","   1","   0","   1","   0","   2","   1","   8","   0","   0","   0","   0","  12","   0"
"1275",NA,NA," 225","   3","   0","  57","   8","   0","   0","   4","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","  30","   0","   0","   0","   1","   1","   0","  33","   5","   1","   0","   0","   0","   1","   1","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","  22","   1","   2","   0","   8","   1","   0","   0","   7","   2","   3","   1","   0","   0","   0","   1","   1","  10","   0","   8","   3","   1","   0","   0","   2","   0","   4","   0","   0","   0","   0","   7","   0"
"1304",NA,NA," 230","   3","   0"," 170","   3","   2","   0","   3","   0","   5","   0","  10","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   2","  22","   0","   0","   1","   2","   4","   0"," 151","   8","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","  63","   4","   4","   0","  24","   0","   0","   0","  14","   8","   6","   0","   2","   4","   8","   1","   0","  10","   0","  11","   0","   0","   0","   0","   1","   2","  10","   0","   0","   0","   0","   6","   0"
"1361",NA,NA," 240","   2","   0"," 155","   1","   3","   0","   5","   0","   1","   0","   3","   0","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","  11","   0","   2","  12","   0","   0","   0","   1","   4","   0","  88","   2","   0","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","  33","   1","   1","   0","   7","   0","   0","   0","  12","   7","   4","   3","   0","   3","   3","   2","   1","  12","   0","   4","   2","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   8","   0"
"1447",NA,NA," 255","   0","   0"," 263","   2","   0","   0","   5","   0","   1","   0","   7","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   6","   0","   0","  20","   0","   0","   0","   1","   4","   0"," 107","   5","   0","   1","   2","   0","   2","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  28","   0","   2","   0","  10","   0","   1","   0","  12","   7","   3","   1","   0","   1","   2","   1","   1","  10","   0","   7","   1","   0","   1","   0","   0","   2","   4","   0","   0","   0","   0","   4","   1"
"1522",NA,NA," 268","   2","   0"," 277","   2","   0","   0","   2","   0","   4","   0","  11","   0","   4","   0","   0","   0","   2","   0","   0","   0","   0","   2","   0","   0","   6","   0","   0","  13","   0","   0","   0","   0","   1","   0"," 114","   2","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","  32","   0","   3","   0","   9","   0","   0","   0","  15","   9","   3","   0","   0","   0","   3","   0","   2","  18","   1","   8","   1","   0","   0","   0","   0","   3","   2","   1","   0","   0","   0","   4","   0"
"1591",NA,NA," 280","   3","   0"," 242","   6","   0","   0","   3","   0","   6","   0","  14","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","  16","   1","   2","  19","   0","   0","   1","   0","  10","   0"," 179","   9","   0","   0","   0","   0","   2","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  45","   0","   2","   0","  25","   2","   0","   0","  27","   7","   9","   2","   1","   1","   1","   1","   2","   9","   0","  18","   0","   0","   0","   0","   2","   2","   6","   0","   0","   0","   0","   7","   0"
"1677",NA,NA," 295","   0","   0"," 200","   6","   0","   0","   5","   0","   4","   0","   8","   0","   6","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","  21","   0","   1","  14","   0","   0","   0","   1","   6","   0"," 222","   4","   0","   4","   2","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","  35","   0","   3","   0","  19","   0","   0","   1","  26","  11","   7","   3","   1","   5","   2","   1","   6","   6","   0","  15","   3","   0","   0","   0","   0","   3","   4","   0","   0","   0","   0","   7","   0"
"1735",NA,NA," 305","   1","   1"," 167","   0","   1","   0","   3","   0","   2","   0","  11","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   8","   0","   2","  15","   0","   0","   1","   0","   5","   0","  95","   6","   0","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","  21","   0","   3","   0","  19","   0","   2","   0","   9","  11","   3","   0","   0","   1","   2","   2","   4","   4","   0","   9","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   2","   0"
"1804",NA,NA," 317","   1","   0","  62","   1","   0","   0","   9","   0","   9","   0","   5","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","   6","   0","   1","  10","   0","   0","   0","   1","   1","   0","  65","   7","   0","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  25","   0","   2","   0","  14","   1","   0","   2","   7","   5","   3","   0","   1","   0","   1","   0","   0","   4","   0","   1","   0","   0","   0","   0","   1","   4","   8","   0","   0","   0","   0","   9","   0"
"1879",NA,NA," 330","   2","   0","  32","   5","   0","   0","   8","   0","   5","   0","  12","   0","   1","   0","   0","   0","   0","   4","   0","   0","   0","   1","   1","   0","   8","   0","   0","   7","   0","   0","   0","   2","   8","   3","  57","   4","   0","   0","   0","   0","   1","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  34","   0","   1","   0","  28","   0","   0","   0","  25","   7","   4","   3","   0","   0","   2","   2","   1","   9","   0","   0","  13","   1","   0","   0","   0","   0","   6","   0","   0","   0","   0","   2","   0"
"1965",NA,NA," 345","   0","   0"," 226","  11","   8","   0","   6","   0","  20","   0","   9","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","  15","   3","   0","   3","   0","   3","  22","   0","   0","   0","   4","   5","   6","  38","  10","   0","   0","   1","   0","   3","  17","   2","   0","   9","   0","   0","   1","   0","   0","   0","   2","   0","  30","   0","  10","   0"," 117","   6","   1","   0","  27","  16","   6","   2","   1","   1","  13","   1","   3","  45","   3","  18","   7","   1","   1","   0","   5","   1","   4","   1","   0","   0","   0","  14","   0"
"2051",NA,NA," 360","   3","   0"," 235","   7","   2","   0","  17","   0","   9","   0","   6","   0","   4","   0","   0","   0","   0","   4","   0","   2","   0","   7","   0","   0","   6","   0","   2","  30","   0","   0","   0","   6","   8","   9","  34","  12","   1","   2","   3","   0","   4","  21","   5","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","  22","   1","   4","   0","  64","  14","   2","   0","  24","  23","   5","   4","   1","   1","   5","   2","   5","  41","   0","  12","   5","   0","   0","   0","   3","   1","  10","   0","   0","   0","   0","  17","   0"
