"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calicotome","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cercis","Cichorieae","Cistaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Fraxinus","Geranium","Hedera","Humulus","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Lonicera","Lythrum","Myriophyllum spicatum/verticillatum t.","Olea t.","Onagraceae","Ononis t.","Osyris","Periploca","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Spergularia t.","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Vaccinium","Viburnum","Vitex","Vitis","Ziziphus/Paliurus"
"2684",NA,NA," 470","   2","   1"," 104","   7","   6","   0","   5","   0","  13","   1","   9","   0","   4","   0","   2","   1","   3","   0","   2","   1","   1","   4","   1","   0","  10","   0","   2","  38","   0","   0","   0","   3","   5","   5","  23","  11","   0","   5","   0","   0","   4","  10","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  24","   1","   8","   0","  69","   4","   0","   1","  24","  22","   6","   3","   3","   0","   9","   4","   5","  66","   2","  23","   9","   0","   0","   2","  16","   1","   8","   0","   0","   0","   3","   4","   0"
"2753",NA,NA," 482","   3","   0","  20","   1","   0","   0","   3","   0","   2","   0","  12","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   2","   5","   0","   0","   0","   0","   0","   0","   9","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  53","   0","   0","   0","   8","   0","   0","   0","   9","   4","   2","   2","   0","   0","   0","   2","   0","   4","   0","   0","   0","   1","   0","   0","   0","   0","   6","   0","   0","   0","   0","   3","   0"
"2799",NA,NA," 490","   4","   0"," 191","   5","   0","   0","   2","   0","   1","   0","  11","   0","   3","   0","   0","   0","   2","   0","   0","   0","   0","   3","   0","   0","   9","   0","   1","  12","   0","   0","   0","   1","   5","   0","  30","   5","   0","   1","   0","   0","   1","   2","   1","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","  37","   0","   1","   0","  20","   0","   4","   0","  34","  19","   6","   4","   0","   0","   2","   0","   2","   3","   0","   2","   3","   0","   0","   0","   0","   5","   2","   0","   0","   0","   0","  10","   0"
"2868",NA,NA," 502","   6","   0","  87","   2","   0","   0","   1","   0","   1","   0","   8","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  12","   0","   3","   8","   0","   0","   1","   2","   7","   1","  71","   6","   0","   4","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  68","   0","   4","   0","  12","   1","   2","   0","  25","   9","   7","   3","   0","   0","   2","   2","   3","   1","   0","   3","   0","   1","   0","   0","   1","   1","   2","   0","   0","   0","   0","  12","   0"
"2953",NA,NA," 510","   2","   0","  19","   2","   0","   0","   2","   0","   1","   0","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   5","   4","   0","   0","   0","   0","   0","   0","  44","   7","   0","   4","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  49","   0","   0","   0","  22","   0","   0","   0","  14","   8","   4","   3","   0","   0","   3","   1","   1","   1","   0","   0","   1","   1","   0","   0","   0","   0","   4","   0","   0","   0","   0","   6","   1"
"2952",NA,NA," 520","   6","   0"," 153","   4","   0","   0","   2","   0","   2","   0","  10","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   6","   0","   0","   1","   0","   0","   0"," 159","   9","   0","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 139","   0","   0","   0","  10","   0","   0","   0","  25","  19","   6","   2","   0","   0","   2","   0","   2","   7","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   5","   0"
"3085",NA,NA," 530","   4","   0"," 142","   3","   0","   0","   3","   0","   1","   0","  10","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","   0","   6","   0","   0","   4","   0","   0","   1","   0","   3","   1"," 147","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 138","   1","   0","   0","   5","   0","   0","   0","  22","  15","   6","   2","   0","   0","   1","   0","   0","   4","   0","   0","   0","   0","   0","   0","   1","   1","   8","   0","   0","   0","   0","  10","   0"
"3218",NA,NA," 554","   6","   0"," 131","   2","   0","   0","   4","   0","   0","   0","  18","   0","   2","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","   0","  21","   0","   0","   6","   0","   0","   1","   1","   5","   0","  12","  25","   0","   8","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 134","   0","   2","   0","   7","   0","   0","   0","  39","  16","  17","   6","   1","   0","   3","   0","   3","   2","   0","   2","   0","   0","   1","   0","   0","   8","   2","   0","   1","   0","   0","   7","   0"
"3537",NA,NA," 555","   4","   0","   2","   3","   0","   0","   0","   0","   0","   0","   8","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0","   8","   0","  15","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  89","   0","   0","   0","   3","   0","   0","   0","  10","   0","   1","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   1","   0"
"3551",NA,NA," 560","   3","   0","  78","   1","   0","   0","   1","   0","   0","   0","   8","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","  15","   0","   1","   5","   0","   0","   0","   0","   3","   0","  20","  12","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  75","   0","   0","   0","   5","   0","   0","   0","  34","  15","   9","   4","   0","   0","   1","   0","   1","   3","   1","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   8","   0"
