"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthaceae undif.","Acer","Aesculus","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Atraphaxis","Berberidaceae","Betula","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabis","Capsicum-type","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Filipendula t.","Fraxinus","Fungi","Galium t.","Gentiana t.","Hedera","HippophaÃ«","Hydrocharitaceae","Hypericum undif.","Indeterminable","Juglans","Lamiaceae undif.","Leontice","Linum t.","Lycopodium spike","Musci","Myriophyllum undif.","Olea t.","Ononis t.","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Pleurospermum","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rheum","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Sparganium","Tamarix","TetraÃ«dron","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Urtica t.","Utricularia","Vitis","cf. Tsuga"
"   52",NA,NA,"    5","    0","    0","    0","    0","    1","    2","   89","   10","  154","   50","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    6","    0","    0","    4","   16","    3","    0","    4","   15","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","   13","    2","    0","   15","    1","    0","    2","    0","    3","   24","   27","    2","    0","    0","  312","   46","    0","   14","    0","    0","    0","    0","    4","    2","   23","   13","   27","    0","    0","    0","  233","   41","16245","    4","    0","    5","    0","    0","   16","  197","    4","    1","    0","   10","   17","    3","    4","    0","    0","    0","    1","    5","    0","    7","    1","    0","    0","    0","    4","    0","    0","    1"
"  221",NA,NA,"   13","    0","    0","    2","    0","    1","    0","   66","   12","  151","   26","    0","    0","    0","    2","    1","    0","    0","    0","    2","    0","    4","    0","    0","    2","   12","    1","    0","   22","    6","    0","    0","    1","    0","    0","    0","    3","    0","    0","    0","    5","    2","    1","    6","    0","    0","    0","    0","    2","   31","   11","    1","    0","    0","  223","   15","    1","    3","    0","    0","    0","    0","    5","    4","   19","    9","   15","    0","    0","    0","  230","   66","19083","    0","    0","    2","    0","    0","   11","  142","    4","    1","    0","    7","    8","    0","    8","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    3","    0","    0","    0"
"  391",NA,NA,"   21","    0","    0","    1","    0","    2","    6","   77","   33","  112","   37","    0","    0","    4","    0","    4","    0","    0","    0","    0","    0","    3","    0","    0","    2","    8","    0","    0","    6","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","   10","    0","    0","   62","    0","    0","    0","    0","    1","   27","   14","    0","    0","    0","  163","   23","    0","    4","    0","    0","    0","    0","    4","    7","   31","    8","   12","    0","    0","    0","  358","   79","32121","    1","    0","    1","    0","    0","    7","  141","    2","    1","    0","    5","   27","    3","    3","    0","    0","    0","    4","    3","    0","    4","    0","    0","    0","    2","    4","    0","    0","    0"
"  560",NA,NA,"   29","    0","    0","    0","    0","    1","    7","   40","    7","   59","   19","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    3","    6","    1","    2","    5","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    5","    0","    5","    0","    0","    0","    0","    0","   13","   13","    0","    0","    0","  144","   15","    0","    4","    0","    0","    0","    0","    0","    0","   37","    7","    6","    0","    0","    0","  100","   13","17583","    1","    0","    0","    0","    0","   17","  126","    4","    1","    0","    8","    4","    0","    4","    0","    0","    0","    0","    3","    0","    9","    0","    1","    0","    0","    1","    0","    0","    0"
"  729",NA,NA,"   37","    1","    0","    0","    0","    4","    1","   66","    9","  105","   33","    0","    0","    0","    0","    2","    0","    0","    0","    0","    3","    5","    0","    0","    6","   11","    4","    0","    3","    9","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    3","    0","    0","   13","    0","    0","    0","    0","    0","    0","    6","    2","    0","    0","  162","    0","    0","    3","    0","    1","    0","    0","    0","    1","   10","   12","   22","    0","    0","    0","  195","   27","20648","    2","    0","    1","    0","    2","    9","  107","    1","    0","    0","    1","   11","    0","    9","    0","    0","    2","    0","    4","    0","    8","    0","    0","    0","    0","    2","    0","    0","    0"
"  899",NA,NA,"   45","    1","    0","    3","    0","    0","    3","   54","    7","   90","   14","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    4","    0","    0","    1","    6","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    4","    1","    0","    2","    0","    0","    3","    0","    3","   13","   10","    0","    0","    0","   69","    5","    0","    1","    0","    0","    0","    0","    0","    0","    1","    3","   16","    0","    0","    0","  114","   18","33261","    1","    0","    1","    0","    0","   21","   73","    1","    2","    0","    3","    3","    0","    1","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    1","    1","    0","    0","    0"
" 1068",NA,NA,"   53","    0","    0","    0","    0","    1","    3","   87","   12","  137","   27","    0","    0","   12","    2","    4","    0","    0","    0","    0","    0","    6","    0","    0","    3","    7","    2","    0","    6","    9","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    7","    3","    0","   12","    0","    0","    0","    0","    2","   25","   16","    1","    0","    0","  301","    9","    0","    7","    0","    0","    0","    0","    3","    6","   18","    2","   14","    0","    0","    0","  265","   69","30745","    4","    0","    0","    0","    0","    8","  179","    4","    1","    0","    2","   15","    0","    2","    0","    0","    0","    3","    1","    0","    4","    0","    0","    0","    0","    5","    0","    0","    0"
" 1238",NA,NA,"   61","    0","    0","    0","    0","    3","    5","   24","    8","   62","   14","    0","    0","    3","    0","    1","    0","    1","    0","    0","    0","    2","    0","    0","    0","    4","    1","    0","    3","    6","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    3","    2","    0","    9","    0","    0","    0","    0","    0","   20","   14","    0","    0","    0","   97","    5","    0","    3","    0","    0","    0","    0","    0","    3","   11","    2","    9","    0","    0","    0","  131","   27","26150","    1","    0","    1","    0","    0","   11","  145","    4","    1","    0","    1","    4","    1","    4","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0"
" 1407",NA,NA,"   69","    0","    0","    0","    0","    0","    0","   33","    6","   56","    4","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    7","    0","    0","    3","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    4","    0","    0","    0","    0","    1","    9","    9","    1","    0","    0","  107","    7","    0","    7","    1","    0","    1","    0","    0","    2","    3","    4","   10","    0","    0","    0","  120","   15","19668","    0","    0","    2","    0","    0","   11","  100","    0","    0","    0","    3","    7","    1","    3","    0","    0","    0","    0","    2","    0","   11","    2","    2","    0","    0","    3","    0","    0","    0"
" 1576",NA,NA,"   77","    0","    0","    2","    0","    1","    2","   56","    6","   68","   18","    0","    0","    5","    1","    0","    0","    0","    0","    0","    0","    5","    1","    0","    3","    2","    4","    0","    7","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    6","    1","    0","    9","    0","    0","    1","    0","    2","   22","    8","    2","    0","    0","   79","    3","    0","   10","    0","    0","    0","    0","    6","    8","   17","    0","    1","    0","    0","    0","  134","   25","36989","    4","    0","    0","    0","    0","    0","  147","    2","    3","    0","    1","   23","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    1","    3","    0","    0","    0"
