"age_NA","ageolder_BP","ageyounger_BP","depth","Algae","Alnus","Amaranthaceae undif.","Anthoceros t.","Arbutus","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Ceratonia","Cichorieae","Cistaceae","Corylus","Cyperaceae","Dipsacaceae","Erica t.","Fallopia","Fern","Fraxinus","Geranium","Hedera","Impatiens","Indeterminable","Juglans","Malva undif.","Myrtus","Olea t.","Phillyrea","Picea","Pinus undif.","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus deciduous","Ranunculaceae undif.","Rosa t.","Rubiaceae undif.","Salix","Scrophulariaceae undif.","Tilia","Ulmus t.","Vitis"
NA,NA,NA," 3"," 0"," 1"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0","37"," 0"," 0"," 0"," 0","83"," 4"," 0"," 0"," 1"," 0"," 0"," 5"," 0"," 3"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 1"," 0"," 0"
NA,NA,NA,"  2","  1","  3","  1","  1","  0","  0","  1","  2","  0","  1","  0","  0","  4","  0","  0","  4","  0","  4","  6","  0","  2","  0"," 92","  0","  0","  0","  0","309"," 16","  0","  0","  3","  0","  0"," 40","  0","  9","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"
NA,NA,NA," 4"," 0"," 1"," 4"," 0"," 0"," 2"," 9"," 3"," 1"," 6"," 0"," 0"," 6"," 0"," 0"," 4"," 0","10"," 1"," 0"," 0"," 1","25"," 0","17"," 0"," 0","15"," 0"," 8"," 1"," 1"," 0"," 0"," 1"," 1","15"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA,NA,"   1","   0","   9","   3","   3","   1","   2","  18","   0","   0","  52","  20","   2","  44","   1","   1","  23","   1","  29","   8","  33","   8","   3","1772","   3","  19","   1","   1","  86","  52","   5","   0","   0","   4","   1"," 120","  18","  76","   1","   6","   3","   1","   1","   0","   1","   1","  10","   1"
