"Sample Age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Alnus","Amaranthaceae undif.","Asteroideae undif.","Betulaceae undif.","Brassicaceae","Cardueae undif.","Caryophyllaceae undif.","Caylusea","Celtis","Cercis","Cichorieae","Combretaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Euphorbia t.","Fabaceae Undif.","Fagonia","Indeterminable","Malva undif.","Myrtus","Nyctaginaceae","Paronychieae","Petaloid monocot","Pinus undif.","Poaceae","Polygala","Pterocarya","Quercus evergreen","Rumex t.","Scrophulariaceae t.","Tamarix","Tribulus","Typha","Ulmus t.","Verbenaceae undif.","Ziziphus/Paliurus"
"7470","  60","   2","   3"," 269","2948","   0"," 723","  11","  60","   2","   0","   3","  30","   0","   4","   1","   4","  35","   1","  11","  27","  49","   0","   0","   9"," 209","  10","   0","  59","   2","   0","   0","   1"," 194","  11","   0","   8","   4","   2","   7"
"7668","  75","   0","   0","  36","4932","   0","  33","   4","   0","   1","   0","   0","  42","   0","   0","   0","  13","  19","   0","   3","   0","   8","   0","   0","   0","   1","   0","   0"," 157","   0","   0","   0","   0","  18","   0","   0","   8","   0","   0","   0"
"7913","  90","   0","   0"," 137","  53","   0"," 138","   1","   0","   1","   0","   0","   6","   0","   0","   0","   1","   1","   0","   0","   0","  31","   0","   0","   0","  11","   0","   0","  17","   0","   1","   0","   0","  59","   4","   0","   5","   0","   0","   0"
NA,"140","  2","  1"," 13","181","  1","362","  0","  0","  0","  4","  0","166","  1","  1","  1","  1","  5","  0","  2","  1"," 17","  1","  1","  2","  4","  1","  1"," 22","  0","  0","  2","  0"," 21","  5","  1","  0","  1","  0","  0"
NA,"160","  0","  0","278","112","  0"," 62","  0","141","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0"
