"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Algae","Alismataceae","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fern","Fraxinus","Galium t.","Geraniaceae undif.","Haplophyllum","Hypericum undif.","Juglans","Lamiaceae undif.","Malva undif.","Myriophyllum spicatum/verticillatum t.","Olea t.","Onagraceae","Papaver t.","Phillyrea","Pinus undif.","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Quercus subgen. Cerris","Ranunculaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Thalictrum","Typha","Ulmus t.","Unknown","Vitis","cf. Centaurea"
NA,NA,NA,"60"," 1"," 0"," 0"," 0"," 0"," 9"," 0"," 0","12"," 0"," 0"," 0"," 0"," 1"," 1"," 3","32","78"," 0"," 0","76"," 1"," 1"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","40"," 1","30"," 1"," 0"," 0"," 0"," 5"," 1"," 0"," 0"," 0"," 0","15"," 0"," 0"," 0","30"," 0"," 0"
NA,NA,NA,"150","  1","  0","  0","  4","  0","  7","  0","  0"," 12","  1","  0","  1","  0","  0","  0","  1"," 16"," 24","  0","  0"," 65","  0","  0","  2","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0"," 33","  2","  0","  0","  0","  5","  0","  0","  1","  0","  0","  9","  0","  0","  0"," 26","  1","  0"
NA,NA,NA," 90","  0","  0","  0","  0","  2","  6","  1","  0","  3","  0","  0","  1","  0","  4","  1","  1","  4"," 15","  0","  0","107","  0","  0","  1","  0","  0","  0","  1","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0"," 15","  0"," 13","  0","  3","  0","  0","  3","  0","  0","  2","  0","  1","  6","  0","  0","  0"," 20","  0","  0"
NA,NA,NA," 80","  0","  0","  0","  1","  1","  5","  2","  0","  5","  0","  0","  0","  0","  2","  0","  6"," 19"," 23","  0","  0","187","  0","  3","  0","  0","  3","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 55","  0","  9","  1","  1","  0","  0","  4","  0","  0","  4","  0","  0","  8","  0","  0","  0"," 24","  0","  1"
NA,NA,NA,"130","  0"," 45","  0","  4","  2"," 10","  3","  0","  8","  0","  1","  6","  0","  5","  0","  0"," 16"," 13","  0","  0"," 54","  0","  0","  3","  0","  0","  0","  0","  3","  0","  0","  1","  0","  0","  6","  2","  0","  0","  0"," 14","  0"," 42","  3","  1","  0","  0","  6","  0","  1"," 26","  0","  0"," 32","  0","  0","  0"," 20","  0","  0"
NA,NA,NA,"100","  0","  0","  1","  3","  1","  4","  0","  0"," 13","  0","  0","  1","  0","  1","  1","  0","  5"," 61","  0","  1","161","  0","  1","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 19","  0"," 80","  3"," 12","  0","  0","  3","  0","  0","  2","  1","  1"," 35","  0","  0","  0"," 30","  1","  0"
NA,NA,NA,"120","  0","  4","  0","  2","  1","  2","  4","  0","  2","  0","  0","  1","  0","  1","  0","  2","  0","  1","  0","  1"," 15","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  5","  1","  0","  1","  0","  7","  1"," 70","  3","  0","  0","  0","  5","  0","  1","  5","  0","  1"," 31","  0","  0","  0"," 22","  0","  0"
NA,NA,NA,"110","  0","  1","  0","  2","  1"," 10","  6","  0","  6","  1","  0","  4","  0","  4","  1","  2","  2"," 17","  0","  0"," 53","  0","  0","  6","  0","  0","  2","  1","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  9","  1"," 90","  1","  0","  0","  1","  9","  0","  0","  1","  0","  0"," 70","  0","  0","  0"," 38","  1","  0"
NA,NA,NA,"140","  0","  6","  0","  4","  0"," 14","  0","  0"," 10","  0","  0","  1","  0","  6","  0","  0"," 20"," 37","  1","  0","142","  0","  0","  3","  0","  0","  0","  2","  1","  1","  0","  0","  1","  1","  2","  0","  0","  0","  1"," 25","  1"," 48","  2","  3","  0","  0","  9","  1","  0","  6","  0","  3"," 25","  0","  0","  0"," 38","  0","  0"
NA,NA,NA,"160","  0","  2","  1","  4","  3","  3","  4","  2"," 21","  1","  0","  0","  2","  1","  0","  2"," 12"," 89","  0","  0"," 89","  6","  1","  3","  0","  0","  0","  0","  1","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0"," 28","  0"," 93","  4","  2","  1","  0"," 18","  1","  1","  0","  0","  1"," 35","  1","  1","  1"," 36","  0","  0"
