"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cichorieae","Erica t.","Fabaceae Undif.","Fern","Glomus cf. G. fasciculatum","Indeterminable","Juglans","Laboratory analyses","Lamiaceae undif.","Myrtus","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Pinus mediterranea","Pinus nigra/sylvestris t.","Pistacia","Poaceae","Polypodiophyta (trilete)","Quercus deciduous","Quercus evergreen","Rhamnus","Rivularia-type","Rumex t.","Salix","Scrophulariaceae undif.","Ulmus t.","Unknown (types 181-182)","Urtica t."
"9059.0",NA,NA," 142.5","   2.0","   2.0","   2.0","   0.0","   6.0","   8.0","   2.0","   6.0","   2.0","   0.0","  11.0","   5.0","   4.0","   9.0","   4.0","   6.0","   0.0","  16.0","   2.0","   0.0","   2.0","   2.0","   1.0","  21.0","   2.0","   2.0","  33.0","  34.0","  12.0","  23.0","  77.0","   4.0","   0.0","   4.0","   1.0","   4.0","   0.0","   0.0","   1.0"
"9694",NA,NA," 156","   2","   2","   2","   1","   7","   9","   3","   7","   2","   1","  34","   4","   5","   9","   3","   7","   0","  14","   1","   0","   1","   0","   1","  17","   2","   3","  24","  54","  23","  27","  65","   4","   0","   1","   2","   4","   0","   0","   1"
"9765.0",NA,NA," 157.5","   1.0","   1.0","   3.0","   1.0","   8.0","  11.0","   2.0","  11.0","   3.0","   0.0","  21.0","   2.0","   6.0","  11.0","   0.0","   6.0","   0.0","  13.0","   0.0","   0.0","   2.0","   2.0","   0.0","  19.0","   0.0","   1.0","  19.0","  45.0","  13.0","  31.0","  69.0","   2.0","   0.0","   3.0","   1.0","   4.0","   0.0","   0.0","   0.0"
"10000.0",NA,NA,"  162.5","    5.0","    8.0","    2.0","    0.0","    3.0","    3.0","    3.0","   28.0","    1.0","    0.0","   23.0","   23.0","   16.0","    1.0","    0.0","    8.0","    0.0","   15.0","    1.0","    2.0","    3.0","    1.0","   12.0","   13.0","    0.0","    1.0","    3.0","   33.0","    3.0","   27.0","   23.0","   16.0","    0.0","    0.0","    2.0","    2.0","    3.0","    2.0","    3.0"
"10235.0",NA,NA,"  167.5","    3.0","    8.0","    2.0","    2.0","    7.0","    4.0","    2.0","   44.0","    2.0","    0.0","   25.0","   25.0","   13.0","    1.0","    0.0","    9.0","    0.0","   12.0","    2.0","    3.0","    4.0","    1.0","    9.0","   15.0","    0.0","    2.0","    3.0","   35.0","    3.0","   23.0","   32.0","   21.0","    0.0","    0.0","    3.0","    2.0","    3.0","    2.0","    2.0"
"10471.0",NA,NA,"  172.5","    3.0","    9.0","    1.0","    1.0","    7.0","    5.0","    3.0","   33.0","    1.0","    0.0","   31.0","   31.0","   13.0","    0.0","    0.0","    7.0","    0.0","   11.0","    0.0","    0.0","    5.0","    0.0","    9.0","    7.0","    0.0","    2.0","    2.0","   37.0","    2.0","   22.0","   24.0","   23.0","    0.0","    0.0","    2.0","    2.0","    2.0","    3.0","    4.0"
"10824",NA,NA,"  180","    2","    5","    0","    0","    6","    3","    2","   23","    1","    0","   21","   19","   16","    0","    0","    8","    0","   10","    0","    3","    3","    0","   13","   16","    0","    1","    3","   41","    1","   23","   26","   17","    0","    0","    3","    1","    3","    0","    4"
"11176.0",NA,NA,"  187.5","    4.0","    7.0","    0.0","    0.0","    5.0","    4.0","    1.0","   27.0","    3.0","    0.0","   23.0","   21.0","   14.0","    0.0","    0.0","    8.0","    0.0","    9.0","    0.0","    0.0","    3.0","    0.0","   11.0","    9.0","    0.0","    0.0","    1.0","   33.0","    0.0","   27.0","   21.0","   14.0","    0.0","    0.0","    3.0","    1.0","    1.0","    0.0","    3.0"
"12000",NA,NA,"  205","    2","    9","    2","    3","    9","    2","    3","    3","    0","    0","   11","   13","    3","    1","    1","    8","    0","    8","    2","    1","    4","    0","    2","    5","    0","    2","    2","   44","    2","   21","   21","   11","    0","    2","    3","    2","    3","    0","    2"
"12124",NA,NA,"  211","    1","   11","    2","    3","    8","    3","    0","    3","    1","    0","   13","   21","    3","    1","    2","   11","    0","    7","    2","    1","    5","    1","    0","    5","    1","    2","    2","   56","    2","   33","   13","    3","    0","    1","    4","    3","    3","    0","    2"
