"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Ephedra","Euphorbia t.","Fabaceae Undif.","Fern","Filipendula t.","Fraxinus","Galium t.","Genisteae","Geranium","Hedera","Heliotropium","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Lamiaceae undif.","Leontice","Linum t.","Lonicera","Loranthus","Lysimachia","Lythrum","Malva","Matthiola","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nitraria","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Paronychieae","Periploca","Persicaria t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rheum","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Tamarix","Thalictrum","Theligonum","Thesium","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Viola","Viscum","Vitis","Ziziphus/Paliurus","Zygophyllum t."
"6000",NA,NA,"1010","   0","2230","   0","   0","  25","   0","   0","  12","  21","   1","   4","   0","  14","   0","   0","   3","   0","   1","   0","   0","   4","   0","   0","   0","   2","   2","   0","   1","   0","   0","   0","   0","   9","   1","   0","   1","   0","   0","   3","   0","   0","   1","   6","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   4","   0","   2","  13","   0","   0","   0","   0","   0","   5","   1","   0","   0","   0","   0","   0","   0","   1","   0","   3","   3","   6","   1"," 127","  19","   4","   1","   0","   0","   0","  24","  84","   8","   0","   0","   0","   1","   8","   0","   0","   0","   0","   0","  11","   3","   1","   2","   0","   0","   0","   0","   1","  42","   0","   0","   0","   2","   1","   0"
"7721",NA,NA,"1205","   0"," 608","   1","   1","  15","   0","   0","   5","  20","   0","   3","   0","   7","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   1","   2","  12","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   1","   3","   4","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","  12","   0","   0","  10","   0","   0","   3","   0","   2","  11","  19","   0","   0","   0","   0","   0","   1","   0","   1","  13","   6","   1","   0"," 128","  15","   1","   0","   2","   1","   0","  20"," 208","   3","   0","   0","   0","   0","   5","   2","   0","   0","   1","   1","   4","   0","   0","   3","   0","   0","   0","   4","   0","  10","   0","   0","   0","   2","   0","   0"
"7765",NA,NA,"1210","   0","1104","   0","   0","  32","   0","   0","   6","  27","   1","   8","   1","   4","   2","   1","   5","   0","   0","   1","   0","   5","   5","   0","   1","   6","  12","   2","   1","   1","   0","   1","   0","  16","   0","   0","   0","   2","   0","   0","  14","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","  27","   0","   0","   1","   0","   0","  19","  12","   1","   0","   0","   0","   0","   3","   1","   5","  15","   3","   3","   0"," 133","  24","   2","   0","   1","   0","   0","  21"," 352","   9","   0","   0","   1","   3","   7","   2","   0","   1","   0","   0","   6","   0","   1","   5","   0","   0","   0","   0","   0","  14","   0","   0","   0","   5","   0","   0"
"7809",NA,NA,"1215","   0","1152","   0","   1","  28","   0","   0","   3","  25","   1","  13","   1","   3","   0","   0","   7","   0","   0","   0","   1","   2","  10","   0","   0","   3","   6","   0","   0","   0","   0","   1","   0","  26","   0","   0","   0","   4","   1","   2","  12","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","  21","   0","   1","  26","   0","   0","   0","   0","   1","   8","   0","   0","   0","   0","   0","   0","   2","   1","   0","  22","   4","   1","   0"," 265","  22","   0","   0","   0","   1","   0","   9"," 375","   8","   0","   1","   0","   3","  15","   5","   0","   0","   0","   0","   8","   1","   0","   6","   0","   0","   0","   5","   0","  22","   0","   0","   0","   8","   0","   0"
"7853",NA,NA,"1220","   0","  18","   0","   1","  10","   0","   0","   2","  14","   0","   7","   2","   2","   0","   0","   5","   0","   0","   0","   0","   0","   2","   0","   2","   2","   5","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   2","   1","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   6","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   1","   0","   0","  17","   2","   1","   0","  83","   6","   0","   0","   0","   0","   0","   9"," 247","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   3","   0","   0","   0","   1","   0","   8","   0","   0","   0","   5","   0","   0"
"7897",NA,NA,"1225","   0","8769","   0","   0","  17","   0","   1","   4","  12","   0","   4","   0","   2","   1","   0","   7","   0","   0","   0","   0","   2","   2","   0","   2","   5","   8","   0","   0","   0","   0","   1","   0","  31","   0","   0","   0","   1","   0","   2","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   8","   0","   0","   2","   0","   0","   4","  34","   0","   0","   0","   1","   0","   0","   0","   6","   8","   7","   1","   0"," 122","  19","   0","   0","   1","   0","   0","  28"," 207","   2","   0","   0","   0","   2","   4","   1","   0","   1","   0","   0","   6","   1","   0","   4","   0","   0","   0","   1","   0","   8","   0","   0","   0","   0","   0","   0"
"7941",NA,NA,"1230","   0","   4","   0","   0","  12","   1","   0","   3","   6","   1","   7","   1","   2","   0","   0","   3","   0","   1","   0","   0","   0","   1","   0","   3","   4","   9","   0","   0","   0","   0","   1","   0","   8","   0","   1","   0","   0","   1","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   4","   1","   0","   0","   0","   0","   0","  26","   0","   0","   2","   3","   0","   0","   0","   2","   5","   2","   1","   0"," 107","  11","   0","   0","   0","   0","   0","  22"," 357","   1","   0","   0","   0","   0","   3","   1","   0","   1","   2","   0","   3","   0","   1","   4","   0","   0","   0","   3","   0","   4","   0","   0","   0","   1","   0","   0"
"7985",NA,NA,"1235","   0","1378","   0","   0","   1","   0","   0","   3","   5","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","  19","   3","   0","   0","   0","   0","   0","   5"," 135","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0"
"8118",NA,NA,"1250","   0","2184","   0","   0","  34","   0","   0","   0","  23","   0","  21","   0","   4","   0","   0","   2","   0","   0","   0","   0","   3","   5","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","  16","   5","   0","   0","   1","   1","   0","   6","   0","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","   0","   0","   2","   1","   0","   1","   0","   1","   0","   0","   0","   1","   0","   0","   1","   1","   1","   3","   0"," 155","   2","   2","   0","   0","   0","   0","  15"," 308","   5","   0","   0","   0","   0","   9","  15","   0","   0","   0","   0","   6","   0","   0","   1","   0","   0","   0","   0","   0","  14","   0","   0","   0","   5","   0","   0"
"8250",NA,NA,"1265","   0","1780","   0","   0","  30","   0","   0","   4","  12","   0","  22","   0","   2","   1","   0","   7","   0","   0","   0","   0","   1","   0","   0","   1","   1","   2","   0","   0","   0","   0","   0","   0","  21","   2","   1","   0","   1","   0","   1","   7","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   1","   1","   0","   0","   1","   1","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   1","   0","   9","   4","   7","   0"," 159","   9","   0","   0","   0","   0","   0","   9"," 394","   7","   0","   0","   0","   1","   2","  10","   0","   0","   0","   0","  14","   1","   0","   0","   0","   0","   0","   0","   0","  22","   0","   0","   0","   2","   0","   0"
