"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acacia t.","Alnus","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Casuarina","Cedrus","Centaurea","Ceratonia","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Euphorbia t.","Fabaceae Undif.","Fraxinus","Geranium","Hypericum undif.","Indeterminable","Juglans","Lamiaceae undif.","Lauraceae","Lycopodium spike","Mercurialis","Olea t.","Ostrya","Papaver t.","Paronychieae","Petaloid monocot","Phillyrea","Phoenix t.","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sarcopoterium","Scrophulariaceae undif.","Tamarix","Thymelaeaceae undif.","Typha","Urtica t.","Vitis","Ziziphus/Paliurus","Zygophyllum t."
"  5",NA,NA,"-18","  0","  0","157","  0","  4","  1"," 53","  0"," 33","  0","  9","  0","  0","  5","  4","  0","  6","  0"," 18","  0","  0","  2","  4","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","368","  0"," 28","  0","  0","  2","  0","  0"," 15"," 21","  5"," 37","  1"," 96","  6","  0","  0"," 13","126","  3","  0","  9","  0","  2","  0","  0"," 15","  0","  2","  0","  2","  0","  0","  0","  0"
"140",NA,NA," 12","  0","  0","273","  0","  2","  0"," 27","  0"," 85","  1"," 11","  0","  0"," 13","  6","  0","  6","  2"," 26","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0"," 13","  0","  0","  0","260","  0","  9","  0","  0"," 15","  0","  4","  8","  8","  8"," 23","  0"," 50","  1","  0","  0"," 10"," 67","  7","  0","  1","  0","  2","  0","  0","  7","  0","  1","  0","  1","  0","  0","  0","  0"
"300",NA,NA," 42","  0","  0","200","  0"," 10","  0"," 50","  0"," 61","  0","  9","  0","  0","  8","  0","  0","  4","  0"," 32","  0","  0","  1","  2","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  3","  0","265","  0","  8","  0","  0"," 15","  0","  1","  2"," 13","  5"," 22","  0"," 85"," 10","  0","  0"," 15"," 63","  7","  0"," 11","  1","  9","  1","  0"," 17","  0","  3","  0","  0","  0","  0","  1","  2"
"530",NA,NA," 72","  0","  1","192","  0","  0","  1"," 90","  0"," 54","  0"," 17","  0","  0"," 27","  0","  0","  3","  0"," 23","  1","  0","  1","  5","  0","  0","  5","  0","  1","  0","  0","  0","  0","  0","  0","  0","365","  0"," 30","  2","  0"," 16","  0","  2","  0"," 26","  9"," 26","  0"," 65","  8","  2","  0","  9"," 56","  4","  0","  3","  1","  2","  0","  0"," 25","  0","  1","  0","  1","  0","  3","  0","  0"
"720",NA,NA,"102","  0","  0","175","  0"," 13","  0"," 75","  0"," 60","  0","  9","  0","  0"," 13","  0","  0","  1","  0"," 41","  2","  0","  2","  6","  0","  0","  4","  0","  0","  2","  0","  0"," 14","  0","  1","  1","143","  0"," 28","  1","  0","  4","  0","  5","  0"," 45"," 10"," 29","  0"," 58","  6","  1","  1","  3"," 47","  2","  0","  5","  3","  8","  1","  1"," 20","  0","  5","  0","  2","  2","  1","  0","  2"
"910",NA,NA,"132","  1","  0","170","  0","  4","  0"," 95","  0"," 40","  0","  6","  0","  0","  9","  0","  1","  1","  0"," 24","  0","  0","  9","  4","  0","  0","  2","  0","  1","  0","  0","  1"," 13","  0","  0","  0","237","  0"," 62","  0","  0","  5","  0","  1","  0","139"," 14"," 52","  1"," 50"," 10","  2","  0","  4"," 41","  3","  0","  9","  3","  5","  0","  0","  7","  0","  3","  0","  1","  2","  0","  0","  0"
"1030",NA,NA," 162","   0","   0"," 200","   0","   6","   0"," 103","   0","  46","   0","   8","   0","   0","  11","   0","   0","   4","   0","  42","   0","   0","   3","   4","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0"," 660","   0","  42","   0","   0","   1","   0","   0","   0","   5","   4","  23","   0","  25","   8","   0","   0","   2","  15","   7","   0","   2","   0","   5","   0","   0","   2","   0","   1","   0","   0","   3","   0","   0","   0"
"1200",NA,NA," 192","   1","   1"," 178","   0","   1","   0","  55","   0","  45","   1","   5","   0","   0","   9","   0","   0","   3","   0","  40","   1","   0","   3","   4","   0","   0","   1","   0","   2","   0","   1","   2","  11","   2","   1","   0"," 245","   0"," 153","   0","   0","   5","   1","   3","   0","   7","   3","  24","   0","  50","  23","   0","   0","   3","  15","   8","   0","   3","   8","   9","   3","   0","   3","   0","   6","   0","   0","   1","   3","   1","   0"
"1410",NA,NA," 222","   0","   0"," 350","   0","   1","   0","  23","   1"," 106","   0","  12","   0","   0","  10","   0","   1","   2","   0"," 147","   0","   0","   0","   2","   0","   0","   3","   0","   1","   0","   2","   0","   7","   0","   0","   0"," 255","   0","  65","   0","   0","   4","   1","   0","   1","  13","   0","   8","   0","  13","   4","   1","   0","   2","   3","   3","   0","   0","   0","   1","   0","   0","   1","   0","   4","   0","   1","   0","   0","   0","   0"
"1640",NA,NA," 244","   0","   1"," 317","   0","   8","   0","  67","   0","  62","   0","  10","   0","   0","  12","   0","   0","   6","   0","  70","   1","   0","   1","   4","   0","   0","   8","   0","   2","   0","   1","   1","   0","   0","   0","   0"," 235","   0","  66","   0","   0","   6","   0","   0","   0","  27","  10","  33","   0","  38","   9","   1","   0","  15","   9","   5","   0","   5","   6","   2","   2","   0","   1","   0","   5","   0","   0","   0","   1","   0","   0"
