"Depth (cm)","Sample code","Abies","Acacia t.","Acalypha","Acanthaceae undif.","Afzelia","Agavaceae","Aizoaceae t.","Alchornea","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Amphimas","Anthoceros t.","Antidesma t.","Apiaceae undif.","Araliaceae undif.","Arecaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Balanites","Barleria","Betula","Bignoniaceae undif.","Blepharis","Blighia","Bombax","Boraginaceae undif.","Borreria t.","Boscia","Bosqueia","Brassicaceae","Bridelia","Burkea","Cadaba","Calligonum","Calycobolus-type","Canthium","Capparaceae undif.","Carpinus","Caryophyllaceae undif.","Cassia","Cathaya","Caylusea","Celastraceae/Hippocrateaceae","Celtis","Centaurea","Chrozophora","Chrysobalanus t.","Cichorieae","Cissus t.","Cistaceae","Cleome","Combretaceae","Commiphora","Connaraceae","Convolvulaceae","Corylus","Crossopteryx","Crudia","Cuviera","Cyperaceae","Detarium","Dichrostachys","Diodia","Diospyros/Euclea t.","Dodonaea","Drypetes molunduana","Elaeis","Entada","Ephedra","Erica t.","Erodium","Eucommia","Eugenia/Syzygium","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fungi","Gaertnera","Geraniaceae undif.","Grewioideae","Gymnocarpos","Heliotropium","Hygrophila","Hymenocardia","Hyphaene t.","Hypoestes t.","Ilex","Indeterminable","Indigofera","Isoberlinia","Ixora","Jasminum","Jatropha/Croton","Justicia/Monechma","Kedrostis","Lamiaceae undif.","Lannea","Leea","Lophira","Macaranga","Maerua","Mallotus","Malva undif.","Manilkara","Marker, added","Marker, found","Mitracarpus","Monoletes","Morelia","Morella","Musci","Mussaenda","Myriophyllum undif.","Nauclea/Mitragyna","Neurada","Nitraria","Nyctaginaceae","Nymphaea","Olea t.","Paramacrolobium","Pavetta","Petaloid monocot","Phillyrea","Phoenix t.","Phyllanthus undif.","Phytolacaceae","Picea","Piliostigma","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Polygala","Polygonum t.","Ponteridaceae","Potamogeton","Proteaceae","Pterocarya","Pycnanthus","Quercus undif.","Ranunculaceae undif.","Rauvolfia","Rhamnaceae undif.","Rhizophora","Riccia","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Rutaceae undif.","Sabicea","Salix","Salvadora","Sanguisorba t.","Sapotaceae/Meliaceae","Schrebera","Searsia","Securinega  t.","Sesbania","Sherbournia","Sideroxylon t.","Solanum","Spergularia t.","Sterculia","Tamarindus/Cryptosepalum","Tamarix","Tetrorchidium","Thymelaeaceae undif.","Tilia","Tribulus","Triletes","Typha","Uapaca","Ulmus t.","Vigna","Virectaria","Volume","Zanthoxylum","Zygophyllum t."
"16436","108-658A-19-6, 12-16","0","3","0","0","0","0","0","0","0","0","0","127","0","0","0","0","0","1","3","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","57","0","0","0","0","0","0","0","0","8","0","0","0","1","0","0","0","0","0","0","0","83","0","0","0","0","1","0","0","0","29","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","141","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","1","114","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","145","0","0"
"16488","108-658A-19-6, 97-99","0","1","0","0","0","0","0","0","0","0","0","79","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","39","1","0","0","0","0","1","0","0","8","0","0","0","1","0","0","0","0","0","0","0","37","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","199","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","1","96","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0"
"16548","108-658A-19-7, 6-10","0","0","0","0","0","0","0","0","2","0","0","136","0","0","0","0","0","0","8","0","8","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","1","0","104","0","0","0","0","0","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","767","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0"
"16630","108-658A-19-7, 99-101","0","0","0","1","0","0","0","0","0","0","0","56","0","1","0","0","0","0","12","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","7","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","237","27000","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","190","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0"
"16694","108-658A-19-8, 36-38","0","0","0","0","0","0","0","1","1","0","0","61","0","0","0","0","0","0","29","0","7","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","32","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","81","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","92","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0"
"16715","108-658A-19-3, 5-7","0","0","0","0","0","0","0","0","0","0","0","136","0","0","0","0","0","0","6","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","42","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","52","2","0","0","0","0","0","0","3","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","16","0","0"
"16750","108-658A-19-3, 40-42","0","0","0","0","0","0","0","0","0","0","0","136","0","0","0","0","0","1","1","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","0","0","0","0","0","0","0","0","8","0","0","0","1","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0"
"16820","108-658A-20-1, 12-16","0","0","0","1","0","0","0","1","3","0","0","110","0","1","0","0","0","0","1","0","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","66","0","0","0","0","0","0","0","0","14","0","0","0","2","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","19","0","0","0","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230","24200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","15","0","0"
"16873","108-658A-20-1, 66-68","0","0","0","0","0","0","0","0","0","0","0","132","0","0","0","0","0","0","2","0","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","1","0","0","0","0","1","0","0","5","0","0","0","2","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","406","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","1","51","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","8","0","0"
"16919","108-658A-20-1, 112-114","0","0","0","0","0","0","0","1","0","0","0","146","0","0","0","0","0","0","4","1","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","33","1","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","127","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","1","0","0","70","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","11","0","0"
