"depth","Estimated age BP","Acacia t.","Aizoaceae t.","Alchornea","Alnus","Amaranthaceae undif.","Antidesma t.","Artemisia","Asteroideae undif.","Balanites","Betula","Blepharis","Blighia","Bombax","Borreria t.","Boscia","Bridelia","Calligonum","Canthium","Capparis","Caryophyllaceae undif.","Cassia","Cedrus","Celastraceae/Hippocrateaceae","Celtis","Centaurea","Cichorieae","Cistaceae","Cleome","Combretaceae","Commiphora","Cupressaceae","Cyperaceae","Elaeis","Ephedra","Erica t.","Euphorbia t.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Gaertnera","Heliotropium","Hymenocardia","Hypoestes t.","Indeterminable","Isoberlinia","Jatropha/Croton","Justicia/Monechma","Lannea","Linum t.","Lophira","Loranthaceae undif.","Macaranga","Maerua","Monoletes","Morella","Myriophyllum undif.","Myrtus","Ochna","Phyllanthus undif.","Pinus undif.","Pistacia","Plantago","Poaceae","Quercus undif.","Rhamnaceae undif.","Rhizophora","Rotala","Rubiaceae undif.","Rumex t.","Salvadora","Sapium","Sapotaceae/Meliaceae","Searsia","Sebaea","Sideroxylon t.","Solanum","Spergularia t.","Sterculia undif.","Thymelaeaceae undif.","Tilia","Tribulus","Trichodesma","Triletes","Typha","Urtica t.","Zanthoxylum"
"202",NA,"  1","  0"," 13","  0"," 29","  1"," 19","  5","  2","  1","  0","  0","  0","  1","  1","  0","  0","  0","  0","  2","  0","  0","  1","  4","  2","  1","  0","  1"," 19","  1","  0","115","  2"," 12","  0","  0","  0","  7","  0","  0","  0","  0","  0","  8","  0","  0","  1","  3","  0","  0","  0","  2","  6"," 52","  1","  0","  0","  1","  2","  6","  1","  1","287","  2","  7","  9","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  7","  0","  1","  0","  0"," 17","  8","  1","  0"
"210",NA,"  1","  0","  6","  0","  3","  0","  5"," 16","  7","  0","  0","  0","  0","  2","  1","  1","  0","  1","  1","  0","  1","  0","  0","  2","  0","  3","  0","  0","  9","  0","  0"," 46","  3"," 10","  0","  0","  0","  9","  0","  0","  2","  1","  0","  2","  1","  0","  1","  3","  0","  0","  0","  0","  3"," 42","  1","  0","  0","  0","  0","  8","  0","  0","173","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  7","  0","  0","  1","  6"," 10","  0","  0","  0"
"219",NA,"  4","  0","  2","  0","  6","  0","  6","  5","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  4","  2","  0","  0","  2","  0","  1","  0","  0","  7","  0","  0"," 46","  0","  2","  0","  1","  0","  2","  0","  0","  2","  0","  0","  2","  0","  0","  0","  4","  0","  0","  0","  0","  4"," 42","  2","  0","  0","  0","  3","  2","  0","  0","161","  3","  2"," 10","  0","  0","  0","  0","  0","  3","  2","  0","  2","  0","  0","  3","  1","  0","  0","  2"," 20","  0","  0","  0"
"226",NA,"  0","  0","  1","  0","  1","  0","  3","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0"," 10","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  1"," 22","  0","  0","  0","  0","  0","  0","  0","  0"," 72","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  2","  0","  0","  5","  0","  0","  0","  0"," 25","  0","  0","  0"
"231",NA,"  0","  0","  2","  1","  5","  0","  7","  7","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  1","  0","  0"," 14","  1","  0","  7","  1","  0","  0","  1","  0","  5","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  2"," 12","  5","  0","  1","  0","  0","  0","  0","  1","134","  0","  0","  9","  0","  0","  0","  1","  0","  3","  1","  0","  0","  0","  0"," 11","  0","  0","  0","  0"," 13","  1","  2","  0"
"  238","74000","    0","    0","    3","    0","    2","    0","    4","    3","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    2","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   27","    0","    0","    1","    0","    0","    1","    0","    1","   67","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    4","    0","    0","    0","    0","   18","    0","    0","    0"
"246",NA,"  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0"
"252",NA,"  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 17","  0","  0","  0","  0","  0","  1","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 18","  0","  0","  0"
"  260","84000","    1","    0","    5","    0","    6","    0","   21","    5","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    1","    0","    1","    0","    0","    0","    1","   18","    0","    0","    9","    1","    4","    0","    0","    0","    7","    0","    1","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    1","    0","   60","    5","    0","    0","    0","    1","    2","    0","    0","  107","    5","    0","    2","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    9","    0","    0","    0","    0","   21","   26","    0","    0"
"267",NA,"  5","  0","  1","  0"," 16","  1","  3","  4","  1","  0","  0","  0","  0","  1","  4","  0","  0","  0","  0","  0","  3","  0","  0","  2","  1","  2","  0","  2"," 19","  0","  0"," 56","  6"," 22","  0","  0","  0"," 16","  0","  0","  0","  0","  0","  7","  0","  0","  1","  5","  0","  0","  0","  1","  7"," 80","  1","  0","  0","  0","  0","  5","  0","  0","265","  0","  1","  7","  0","  0","  0","  1","  0","  1","  5","  0","  3","  1","  1"," 14","  0","  1","  0","  0"," 16","  4","  0","  0"
"272",NA,"  3","  0","  7","  0"," 13","  1"," 10"," 15","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  1","  0","  3","  0","  0","  6","  0","  2","  0","  1"," 48","  3","  0"," 26","  3","  2","  0","  1","  0"," 10","  0","  1","  0","  0","  0","  5","  0","  0","  0","  7","  0","  3","  0","  0","  9"," 85","  3","  0","  0","  0","  0","  2","  0","  0","131","  4","  2"," 19","  0","  0","  0","  0","  0","  1","  5","  0","  5","  0","  0"," 28","  0","  0","  0","  0"," 22","  2","  1","  0"
"  278","98000","    0","    0","    4","    0","    6","    0","    0","    1","    4","    0","    0","    0","    0","    1","    5","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    1","   19","    0","    1","   16","    1","    4","    0","    0","    0","   29","    0","    0","    0","    0","    1","    1","    0","    0","    0","    2","    1","    0","    0","    0","    3","  110","    1","    0","    0","    0","    0","    3","    0","    0","  122","    0","    0","   10","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    7","    0","    0","    0","    0","   53","    0","    0","    0"
"285",NA,"  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0"
"293",NA,"  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  5","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 21","  1","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  9","  0","  0","  0"
"   302","110000","     1","     0","     0","     1","     0","     0","     0","     2","     0","     0","     0","     0","     0","     0","     1","     0","     0","     0","     0","     0","     1","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     3","     1","     2","     0","     0","     0","     4","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","   113","     1","     0","     0","     0","     0","     4","     0","     0","    86","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     1","    13","     1","     0","     0"
"309",NA,"  3","  1","  1","  0","  5","  1","  6","  7","  2","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  2","  0","  0","  5","  1","  0"," 27","  4","  1","  0","  0","  0","  7","  0","  0","  0","  0","  0","  1","  0","  0","  0","  4","  1","  0","  0","  0","  3"," 54","  2","  0","  0","  0","  1"," 11","  0","  0","215","  1","  0","  6","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0"," 15","  1","  0","  0"
"318",NA,"  1","  0","  1","  0","  2","  0","  3","  1","  2","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  2","  0","  0","  3","  0","  0","  0","  1","  9","  1","  0"," 18","  3","  0","  0","  1","  0","  7","  0","  0","  0","  1","  0","  5","  0","  0","  0","  2","  0","  0","  0","  0","  3"," 32","  1","  0","  0","  0","  0","  2","  0","  1"," 84","  0","  1","  3","  0","  0","  0","  0","  2","  1","  0","  2","  1","  0","  1","  3","  0","  0","  0","  0","  5","  2","  1","  0"
"326",NA,"  1","  0","  3","  0","  1","  0","  2","  1","  0","  0","  0","  0","  0","  0","  5","  0","  1","  0","  0","  1","  1","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  2","  1","  1","  0","  1","  0","  2","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  6","  0","  0","  1","  0","  0","  0","  0","  0"," 44","  1","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  8","  0","  1","  0"
"332",NA,"  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  4","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"
"339",NA,"  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0"
"348",NA,"  0","  0","  0","  0","  1","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  3","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0"
"355",NA,"  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  1","  0","  0","  8","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"
"363",NA," 11","  0","  0","  0"," 33","  0","  9","  7","  2","  3","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0"," 11","  0","  0","  3","  0","  3","  0","  1","  1","  0","  0"," 65","  1","  9","  0","  3","  0","  8","  0","  0","  1","  0","  0","  5","  0","  0","  0","  2","  0","  0","  0","  0","  5"," 26","  9","  0","  0","  0","  0","  0","  0","  4","302","  4","  0","  7","  0","  0","  4","  0","  0","  2","  0","  0","  2","  0","  0","  5","  0","  0","  0","  0","  8","  1","  0","  0"
"368",NA," 11","  0","  3","  2"," 35","  0"," 18"," 25","  3","  0","  0","  0","  0","  1","  3","  0","  0","  3","  2","  0","  8","  0","  1","  5","  3","  1","  1","  0"," 13","  1","  0"," 66","  0"," 17","  0","  1","  1","  5","  0","  0","  1","  0","  0","  8","  0","  0","  3","  1","  0","  0","  2","  0"," 10"," 18","  5","  1","  0","  0","  1"," 20","  0","  0","236","  6","  3","  1","  0","  0","  0","  0","  1","  3","  3","  0","  4","  0","  0"," 14","  0","  0","  3","  1"," 29","  0","  0","  0"
"376",NA,"  5","  0","  2","  0"," 41","  0"," 25"," 11","  4","  0","  0","  1","  0","  0","  0","  0","  3","  0","  1","  0","  5","  0","  2"," 16","  3","  3","  0","  0"," 24","  1","  0"," 77","  0"," 10","  0","  0","  0","  9","  0","  1","  4","  0","  0"," 10","  0","  0","  1","  0","  0","  0","  0","  0"," 10"," 19","  1","  0","  0","  0","  2"," 13","  0","  5","401","  0","  3","  2","  0","  0","  1","  0","  0","  6","  0","  0","  6","  0","  0"," 21","  0","  0","  0","  0"," 10","  2","  0","  0"
"   384","135000","     3","     0","     0","     0","    34","     0","    24","     7","     0","     0","     1","     0","     0","     0","     0","     0","     0","     0","     1","     0","     6","     0","     0","     6","     2","     5","     1","     1","    12","     0","     0","    72","     0","    17","     0","     0","     0","     9","     0","     0","     0","     0","     0","     2","     0","     0","     0","     1","     0","     0","     0","     2","     2","    20","     1","     0","     0","     0","     2","     8","     0","     1","   368","     1","     0","     0","     1","     0","     0","     0","     0","     1","     3","     0","     4","     0","     0","    12","     0","     0","     0","     1","    16","     0","     0","     0"
"394",NA,"  1","  0","  0","  0","  2","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  4","  0","  0"," 18","  0","  6","  1","  0","  1","  8","  0","  0","  0","  2","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  1","  0","  0","  0","  1","  4","  0","  1","130","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  1","  3","  0","  0","  0","  0"," 20","  0","  0","  1"
"401",NA,"  0","  0","  1","  0","  3","  1","  7"," 10","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  9","  0","  0","  1","  2","  0","  0","  1","  8","  0","  0"," 77","  0"," 33","  0","  2","  0"," 16","  0","  0","  0","  1","  0","  6","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 31","  4","  0","  0","  0","  0","  6","  0","  1","169","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  7","  0","  0","  0","  0"," 19","  1","  0","  0"
"409",NA,"  0","  0","  1","  0","  3","  0","  4","  3","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  1","  2","  0","  2","  0","  0","  1","  0","  0"," 48","  1"," 12","  0","  0","  0"," 21","  0","  0","  2","  0","  0"," 10","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 22","  7","  0","  0","  0","  1","  9","  0","  1"," 97"," 19","  0","  1","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0"," 25","  1","  0","  0"
