"Depth","Age","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Calligonum","Caryophyllaceae undif.","Centaurea","Cistaceae","Cupressaceae","Cyperaceae","Ephedra","Gentianaceae undif.","Indeterminable","Nymphaea","Pinus undif.","Plantago","Poaceae","Pollen sum","Sum AP (%)"
" 70.50000","811.50000","106.00000","  0.00000"," 69.00000","  0.00000"," 10.00000","  0.00000","  0.00000","  2.00000","  0.00000","  0.00000","  0.00000"," 19.00000","  3.00000","  0.00000"," 10.00000","  0.00000","  3.00000","  8.00000"," 33.00000","263.00000","  6.08365"
" 74.5","862.5","147.0","  0.0"," 83.0"," 11.0"," 14.0","  0.0","  6.0","  3.0","  9.0","  0.0","  0.0","  6.0","  4.0","  0.0"," 11.0","  0.0","  6.0","  9.0","  6.0","300.0","  7.8"
" 81.500000","951.500000"," 92.000000","  3.000000"," 56.000000","  0.000000"," 10.000000","  0.000000","  4.000000","  0.000000","  3.000000","  0.000000","  0.000000","  7.000000","  3.000000","  0.000000","  7.000000","  0.000000","  4.000000","  4.000000"," 11.000000","204.000000","  8.333333"
"  91.5","1032.5"," 138.0","   0.0"," 108.0","  12.0","  18.0","   0.0","  12.0","   3.0","   6.0","   0.0","   0.0","   3.0","   3.0","   0.0","  12.0","   0.0","   3.0","   3.0","   9.0"," 301.0","   8.0"
"  95.5000","1046.5000"," 111.0000","   3.0000","  64.0000","   0.0000","  16.0000","   0.0000","   5.0000","   1.0000","   3.0000","   0.0000","   0.0000","   9.0000","   6.0000","   0.0000","  10.0000","   0.0000","   5.0000","   3.0000","  12.0000"," 248.0000","  10.8871"
" 100.5","1064.0"," 128.0","   0.0","  86.0","   9.0","  21.0","   0.0","   9.0","   9.0","  12.0","   0.0","   0.0","   9.0","   6.0","   0.0","  10.0","   0.0","   6.0","   6.0","   6.0"," 298.0","  11.0"
" 105.50000","1081.00000"," 125.00000","   5.00000","  74.00000","   0.00000","  24.00000","   0.00000","   9.00000","   2.00000","   4.00000","   0.00000","   0.00000","  12.00000","   9.00000","   0.00000","  14.00000","   0.00000","   5.00000","   6.00000","  14.00000"," 303.00000","  12.54125"
" 110.500000","1098.500000","  94.000000","   5.000000","  57.000000","   0.000000","  10.000000","   0.000000","   9.000000","   0.000000","   3.000000","   0.000000","   0.000000","   9.000000","   5.000000","   0.000000","   9.000000","   0.000000","   7.000000","   3.000000","  34.000000"," 245.000000","   8.979592"
" 120.500000","1144.000000","  96.000000","   8.000000","  59.000000","   0.000000","   9.000000","   0.000000","  11.000000","   0.000000","   5.000000","   0.000000","   0.000000","  11.000000","   6.000000","   0.000000","  11.000000","   0.000000","   6.000000","   8.000000","  38.000000"," 268.000000","   7.835821"
" 131.500000","1664.000000"," 114.000000","   6.000000","  62.000000","   0.000000","  11.000000","   0.000000","   9.000000","   0.000000","   2.000000","   0.000000","   0.000000","   8.000000","   4.000000","   0.000000","  10.000000","   0.000000","   3.000000","   8.000000","  47.000000"," 284.000000","   6.338028"
