"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Anthemideae","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Fagus","Fern","Fraxinus","Galium t.","Hedera","HippophaÃ«","Indeterminable","Olea t.","Ostrya","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus undif.","Rhamnaceae undif.","Rumex t.","Salix","Sanguisorba t.","Taxus","Thalictrum","Tilia","Ulmus t.","Unknown","Viburnum","Vitis"
" -36"," 458","-560","   0","   1","   0","  48","   2","   1","   0","   1","   0","   0","   0","   0","   0","   4","   1","   0","   4","   0","   1","   0","  18","   0","   7","   0","   0","   2","   0","   0","   0","   8","   1","   0","   1","   1","   0","   0","  45","  20","  35","   0","   0","   8","   0","   0","   1","   0","   0","  25","   0","   0"
" 136"," 583","-340","  10","   0","   0","  98","   3","   0","   0","   1","   0","   0","   0","   0","   1","   5","   0","   0","   2","   0","   1","   0","  11","   0","  10","   1","   0","   0","   0","   0","   3","   4","   1","   0","   0","   2","   0","   1","  49","   6","  44","   0","   2","   4","   0","   0","   0","   0","   0","  18","   0","   1"
" 308"," 729","-111","  20","   0","   0"," 101","   3","   1","   1","   0","   0","   0","   1","   0","   0","  13","   1","   0","   4","   0","   0","   0","  11","   0","  14","   2","   1","   1","   1","   0","   1","   0","   9","   0","   0","   0","   0","   6","  64","   3","  52","   0","   0","   2","   0","   0","   0","   0","   1","  30","   0","   0"
"479","880","107"," 30","  1","  0","157","  0","  1","  0","  1","  1","  0","  0","  0","  0"," 17","  0","  0","  0","  0","  0","  0"," 18","  0"," 40","  3","  2","  0","  1","  0","  2","  0","  8","  0","  0","  1","  1","  5"," 19","  2"," 80","  0","  1","  0","  1","  0","  0","  0","  2","140","  0","  0"
" 822","1201"," 469","  50","   0","   1","  93","   0","   0","   0","   0","   1","   0","   0","   0","   0","  15","   0","   0","   1","   0","   5","   1","   5","   0","  20","   0","   2","   0","   0","   0","   3","   2","  13","   0","   0","   0","   0","   3","  25","   0","  94","   0","   0","   1","   0","   0","   0","   0","   5","   0","   0","   0"
"1166","1576"," 762","  70","   0","   0","  36","   0","   0","   0","   0","   0","   0","   4","   3","   0","  17","   0","   2","   0","   0","   5","   1","   3","   0","  47","   0","   0","   0","   0","   0","   1","   0","  15","   0","   0","   0","   0","   2","   7","   0"," 108","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0"
"1797","2270","1302"," 100","   4","   0","  45","   1","   1","   1","   2","   0","   0","   0","   0","   1","  39","   1","   0","   0","   0","  24","   0","   3","   0","  17","   2","   4","   1","   1","   0","   3","   0","  16","   0","   0","   3","   0","   1","   7","   0","  41","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0"
"2085","2538","1610"," 110","  23","   1","  34","   1","   0","   1","   1","   0","   0","   2","   0","   0","  20","   0","   0","   0","   0","  44","   0","   2","   0","  20","   0","   0","   0","   1","   0","   1","   0","  30","   0","   0","   2","   0","   2","  25","   0","  34","   1","   2","   0","   0","   0","   0","   0","   3","   0","   0","   1"
"2662","3077","2223"," 130","  31","   0","  32","   2","   0","   0","   0","   1","   1","   0","   0","   0","  33","   0","   0","   0","   1","  21","   0","   1","   0","  15","   5","   7","   0","   0","   0","   1","   2","  35","   0","   0","   1","   0","   3","  30","   1","  53","   0","   0","   0","   0","   3","   0","   1","   2","   0","   0","   1"
"3239","3628","2841"," 150","  39","   3","  64","   0","   0","   1","   0","   0","   1","   0","   0","   0","  18","   0","   0","   0","   0","   8","   0","   1","   0","   6","   0","   7","   1","   4","   0","   6","   0","  20","   0","   0","   1","   0","   1","   4","   0","  68","   0","   0","   0","   0","   5","   0","   2","   4","   2","   1","   2"
