"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alnus","Amaranthaceae undif.","Anagallis t.","Angiospermae undiff. (herbs)","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Elatine","Ephedra","Erica t.","Eucalyptus spike","Eucalyptus tablets","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","HippophaÃ«","Hypericum undif.","Ilex","Indeterminable","Lamiaceae undif.","Menyanthes","Mercurialis","Myriophyllum alterniflorum t.","Ostrya","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Spermatophyta undiff. (trees/shrubs)","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valeriana t."
"37312.3",NA,NA,"74.65","0.6","3","1","2","21","0","1","6","10","121","1","1","0","0","0","0","0","1","0","1","7","4","1","0","33","4","0","1","0","995","0","0","0","5","0","32","1","0","18","10","0","0","9","0","0","0","1","1","0","0","0","49","0","9","0","287","0","0","1","0","22","4","0","0","0","5","0","1","0","0","1","1","0","3","0","0","1","1","0","0"
"37326.3",NA,NA,"75.05","0.6","3","3","9","43","0","2","24","9","273","10","2","0","4","0","1","0","3","0","4","15","5","0","0","56","18","0","2","0","940","0","0","0","11","0","35","3","1","9","5","0","0","15","0","0","0","0","3","4","2","0","61","0","12","0","364","0","0","0","0","27","3","0","0","0","6","3","0","0","0","2","0","0","3","0","0","0","0","0","0"
"37333.3",NA,NA,"75.25","0.8","3","0","2","34","0","0","11","9","208","7","3","0","1","1","1","0","7","0","1","5","7","0","0","50","10","0","2","0","1013","0","0","0","10","0","0","2","0","23","8","0","0","6","0","0","2","0","0","0","0","0","68","0","14","0","361","1","2","2","0","18","0","0","0","1","8","1","0","0","0","1","0","0","2","0","0","0","1","0","0"
"37336.8",NA,NA,"75.35","0.5","2","0","6","44","0","0","9","14","161","3","2","0","5","0","0","0","13","0","0","5","6","0","0","80","11","0","2","0","1607","0","0","1","7","0","1","1","0","19","4","0","0","9","0","0","0","0","0","1","0","1","44","0","14","0","327","0","0","1","0","26","0","0","0","1","5","1","0","0","0","1","0","0","2","0","0","0","1","0","1"
"37340.3",NA,NA,"75.45","0.5","1","0","4","24","0","2","12","8","112","3","1","0","2","1","5","1","5","0","3","11","4","0","0","59","15","0","2","0","905","0","0","0","15","0","11","2","1","9","5","0","0","19","0","0","0","0","0","1","0","0","55","0","16","0","275","0","1","0","0","42","1","0","0","1","4","0","0","0","0","2","0","0","1","1","0","0","2","0","0"
"37343.8",NA,NA,"75.55","0.7","3","1","2","41","0","0","23","10","179","9","5","0","1","0","2","0","2","4","1","11","4","0","0","68","9","0","5","0","840","0","1","0","15","0","0","1","0","25","5","0","0","17","0","1","0","0","0","1","0","0","44","0","14","1","389","0","0","1","0","15","0","0","0","0","15","0","1","0","0","1","0","0","4","0","1","1","2","0","0"
"37347.3",NA,NA,"75.65","0.6","3","0","0","14","0","0","13","2","59","4","2","0","0","0","2","0","4","0","0","7","3","0","0","36","4","0","2","0","545","0","0","0","7","0","33","2","0","3","3","0","0","7","1","0","0","0","1","1","0","0","16","0","4","0","185","0","0","0","0","13","0","0","0","0","3","0","0","1","0","0","0","0","1","0","0","0","3","0","0"
"37350.8",NA,NA,"75.75","0.7","6","0","1","38","0","0","26","17","219","4","10","0","2","2","4","1","17","0","1","8","3","0","0","58","20","0","8","0","903","0","0","0","27","0","0","2","0","30","4","0","0","0","1","0","0","0","2","1","0","0","64","0","13","0","407","0","0","2","0","38","1","1","0","1","7","2","0","0","1","0","0","0","7","0","2","1","1","0","0"
"37354.3",NA,NA,"75.85","0.5","3","0","3","11","0","0","9","5","67","3","2","1","1","0","1","0","3","0","1","6","2","0","0","48","5","0","0","0","727","0","0","0","1","0","34","0","1","5","6","0","0","13","0","0","0","0","0","0","0","0","13","0","3","0","94","1","1","0","0","13","0","0","0","0","5","0","0","0","0","0","0","1","1","0","0","0","1","0","0"
"37357.8",NA,NA,"75.95","0.6","0","0","0","23","0","0","5","3","72","1","2","0","1","1","1","0","5","0","1","2","1","0","0","45","12","0","0","0","417","0","0","0","2","0","0","10","0","10","5","0","0","8","0","0","0","0","2","0","0","0","22","0","13","0","217","0","0","0","0","17","1","0","0","3","2","0","1","0","1","1","0","0","6","0","0","0","2","0","0"
"37361.3",NA,NA,"76.05","0.5","1","0","1","11","0","0","4","5","60","2","1","0","1","0","1","0","3","0","1","6","7","0","0","20","7","0","1","0","1054","0","0","0","2","0","12","1","0","7","6","1","0","6","0","0","0","0","0","0","1","0","17","0","8","0","63","0","0","0","1","16","0","0","1","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"37368.5",NA,NA,"78.10","0.6","3","1","6","16","2","0","12","10","177","6","6","0","4","0","0","1","20","3","3","7","6","0","0","52","23","0","3","0","751","0","1","0","10","0","2","1","1","20","5","0","0","10","0","0","2","0","0","0","0","0","41","0","15","0","337","0","1","1","0","36","0","0","0","3","8","0","0","0","0","0","0","0","3","1","0","0","0","0","0"
"37379.5",NA,NA,"78.30","0.9","2","1","5","27","0","0","5","3","118","6","1","0","2","1","0","0","2","0","3","6","5","0","0","42","13","0","0","0","778","0","0","0","6","0","30","2","2","6","9","0","0","8","1","0","0","0","3","1","0","0","44","0","12","0","282","0","1","0","1","41","0","1","0","2","5","0","0","0","0","5","0","0","2","0","0","0","1","0","2"
"37389.1",NA,NA,"78.48","0.8","9","0","3","40","0","0","20","13","228","7","5","0","5","1","4","0","18","0","1","10","9","0","2","72","26","0","8","1","1255","0","0","0","13","0","0","7","1","25","7","0","1","10","0","0","1","0","1","2","0","0","88","0","15","0","484","1","2","1","1","47","0","0","0","2","16","0","0","0","0","5","0","0","3","0","0","0","2","0","0"
