"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Aspiromitus punctatus","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Ceratonia","Cercis","Cichorieae","Cistaceae","Citrus","Convolvulaceae","Corylus","Cucumis","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Ficus","Fraxinus","Genisteae","Hedera","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Malva undif.","Mercurialis","Musci","Myrtus","Nerium","Nymphaea","Olea t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Protist","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana","Viburnum","Viscum","Vitis","Ziziphus/Paliurus"
NA,NA,NA,"380","  0","  0"," 41"," 15","  6","  6","  0","  3","  0","  8","  0","  0","  1"," 32"," 17","  0","  0","  0","  3","  1","  1","  0","  1","  0","  0","  5","  0","  0","  0"," 39","  0","  0","  1","  0","  0","  2"," 12","  0","  0"," 21","  0","  1","  1","  3","  0","  8","  0","  7","  9","  0","  0","  7","  0","  0","  0","  0"," 49","  0","  0"," 16","  0","  5"," 31","  0","  0","  0"," 40","  3","  0","  0","  0"," 12","  0","144","654","  0","  0","  2","  1","  2","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0"," 16"," 28","  0","  0","  0","  0"," 18","  0"
NA,NA,NA,"385","  0","  0"," 58"," 10","  6","  1","  1","  3","  0","  8","  0","  1","  1"," 32"," 16","  0","  0","  1"," 11","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 31","  0","  3","  5","  0","  0","  0"," 12","  0","  1"," 27","  0"," 13","  4"," 15","  0","  5","  0"," 12","  1","  0","  0"," 14","  0","  0","  0","  0"," 57","  0","  0"," 18","  0","  5"," 36","  2","  0","  0"," 60","  1","  0","  0","  0"," 13","  0","164","652","  3","  0","  1","  1","  8","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  8"," 70","  0","  0","  0","  0"," 16","  0"
NA,NA,NA,"375","  0","  0"," 39"," 13","  6","  3","  0","  5","  0"," 11","  0","  1","  0"," 39"," 14","  0","  0","  1","  8","  4","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 22","  0","  8","  5","  1","  1","  0","  3","  0","  1","  8","  0"," 12","  1"," 11","  0","  5","  0"," 16","  8","  0","  0"," 10","  0","  4","  0","  0"," 81","  0","  0"," 25","  0","  4"," 27","  1","  2","  0"," 65","  2","  0","  0","  0"," 44","  0","198","572","  0","  0","  0","  0"," 18","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  9","114","  1","  0","  0","  0"," 14","  0"
NA,NA,NA,"371","  0","  2"," 43"," 17","  8","  0","  0","  0","  3"," 14","  0","  0","  0"," 79"," 17","  0","  0","  1"," 31","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 69","  0","  2","  9","  0","  0","  0"," 12","  0","  0"," 41","  0"," 13","  1"," 11","  0","  8","  0"," 15","  0","  0","  0","  6","  0","  0","  0","  0"," 42","  0","  0"," 31","  0","  4"," 20","  6","  0","  0"," 69","  1","  0","  0","  0"," 26","  0","172","515","  1","  3","  1","  0"," 16","  1","  0","  0","  0","  0","  6","  0","  0","  0","  1","  0"," 24"," 50","  2","  0","  0","  0","  7","  0"
NA,NA,NA,"390","  0","  0"," 40"," 19","  8","  1","  0","  5","  0"," 12","  0","  3","  0"," 54"," 16","  0","  0","  1","  4","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 52","  0","  1","  7","  0","  0","  1","  7","  0","  0"," 34","  0"," 22"," 14"," 13","  0","  7","  0"," 23","  2","  1","  0","  5","  0","  5","  0","  0"," 65","  0","  0"," 36","  0","  5"," 22","  4","  0","  0"," 86","  3","  0","  0","  2"," 20","  0","121","768","  3","  0","  0","  0"," 27","  1","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0"," 24","112","  5","  1","  0","  0"," 10","  0"
NA,NA,NA,"395","  1","  1"," 44"," 18"," 13","  3","  0","  2","  0"," 12","  0","  1","  1"," 33"," 25","  0","  0","  0","  9","  4","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 29","  0","  2","  3","  0","  0","  0","  7","  0","  2"," 42","  0"," 10","  2","  6","  0","  8","  0","  3","  3","  0","  0"," 12","  0","  2","  0","  0"," 68","  0","  1"," 37","  0","  5"," 42","  2","  0","  0"," 69","  6","  0","  0","  0","  9","  0","131","614","  1","  0","  0","  1"," 18","  1","  0","  0","  0","  1","  5","  0","  0","  0","  0","  0"," 21"," 44","  3","  0","  0","  0","  9","  0"
NA,NA,NA,"410","  0","  0","120"," 16","  4","  4","  0","  1","  0"," 14","  0","  2","  2","103"," 36","  0","  0","  4","  9","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 38","  0","  3","  8","  0","  0","  2"," 15","  0","  0"," 19","  0"," 12","  4"," 11","  0","  2","  0"," 17","  1","  1","  0","  8","  0","  2","  0","  0"," 26","  0","  2"," 33","  0","  5"," 40","  3","  0","  0"," 86","  5","  1","  0","  0"," 47","  0","215","454","  0","  0","  1","  0"," 29","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0"," 31"," 58","  3","  0","  0","  0","  8","  0"
NA,NA,NA,"424","  2","  1","418"," 41"," 11","  4","  0"," 16","  0"," 21","  0","  2","  2","123"," 12","  0","  0","  2"," 17"," 20","  0","  0","  0","  0","  0","  6","  0","  0","  0"," 81","  0","  5"," 13","  0","  1","  0"," 31","  0","  3"," 66","  1","118","  2","  7","  0","  4","  0"," 15","  0","  1","  0","  6","  0","  0","  0","  0","  8","  0","  0"," 11","  0"," 11"," 42"," 20","  0","  0","190","  8","  1","  0","  0","187","  0","345","259","  0","  0","  0","  1"," 42","  0","  0","  0","  0","  0"," 26","  0","  0","  0","  0","  0","  9"," 72","  0","  0","  0","  0","  6","  0"
NA,NA,NA,"270","  0","  1"," 63"," 44","  9","  5","  0","  8","  0"," 21","  0","  3","  2"," 50","  4","  0","  0","  3"," 12","  8","100","  0","  0","  0","  0","  3","  0","  0","  0"," 29","  0","  4"," 10","  0","  1","  1"," 13","  0","  0"," 38","  0"," 78","  1"," 12","  0","  1","  0"," 11","  4","  0","  1","  2","  0"," 28","  0","  0","  8","  0","  0","  4","  0"," 15"," 59","  8","  0","  0"," 37","  4","  0","  0","  0","567","  0","449","111","  1","  0","  1","  0","  5","  0","  0","  0","  1","  0","  3","  0","  0","  1","  0","  0"," 32"," 80","  0","  0","  0","  0","  6","  0"
NA,NA,NA,"415","  1","  0","137","  6","  8","  2","  0","  2","  1"," 19","  1","  6","  1"," 47"," 25","  0","  0","  0","  5","  9","  0","  1","  1","  0","  0","  3","  0","  0","  0"," 28","  0","  6","  8","  0","  1","  0","  9","  0","  0"," 40","  0"," 12","  2"," 19","  0","  0","  0","  8","  0","  0","  0","  5","  0","  2","  0","  0"," 17","  0","  0"," 17","  0","  4"," 23","  4","  0","  0"," 69","  0","  0","  0","  0"," 39","  0","171","597","  2","  0","  2","  1"," 21","  1","  0","  0","  0","  0"," 12","  0","  0","  1","  0","  0"," 23"," 92","  0","  0","  0","  0","  7","  0"
