"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Aspiromitus punctatus","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Ceratonia","Cercis","Cichorieae","Cistaceae","Citrus","Convolvulaceae","Corylus","Cucumis","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Ficus","Fraxinus","Genisteae","Hedera","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Malva undif.","Mercurialis","Musci","Myrtus","Nerium","Nymphaea","Olea t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Protist","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana","Viburnum","Viscum","Vitis","Ziziphus/Paliurus"
NA,NA,NA,"400","  0","  0"," 82"," 16","  6","  2","  1","  2","  0"," 15","  0","  1","  1"," 82"," 35","  0","  0","  3","  8","  9","  0","  0","  0","  0","  0","  3","  0","  0","  0"," 42","  0","  6","  7","  1","  0","  1"," 17","  0","  2"," 31","  0","  9","  6"," 14","  0","  4","  0"," 12","  6","  0","  0","  2","  1","  0","  0","  0"," 39","  0","  0"," 31","  0","  9"," 40","  2","  0","  0"," 43","  2","  0","  0","  0"," 29","  0","157","545","  1","  0","  0","  1"," 16","  2","  1","  1","  0","  0","  3","  0","  0","  0","  0","  0"," 24"," 84","  1","  0","  0","  0","  9","  0"
NA,NA,NA,"405","  0","  1"," 97","  8","  4","  2","  1","  1","  1"," 12","  1","  0","  1"," 57"," 24","  0","  0","  0"," 12","  6","  2","  0","  1","  0","  0","  1","  0","  0","  0"," 38","  0","  3","  2","  0","  1","  0","  9","  0","  1"," 40","  0"," 15","  1"," 11","  0","  8","  0","  9","  0","  0","  0","  6","  0","  1","  0","  0"," 55","  0","  0"," 27","  0","  4"," 31","  1","  0","  0"," 58","  5","  0","  0","  0"," 26","  0","142","560","  1","  0","  2","  0"," 10","  2","  1","  0","  0","  0"," 10","  0","  0","  0","  1","  0"," 25"," 58","  0","  0","  0","  0","  8","  0"
NA,NA,NA,"275","  0","  0"," 63"," 60"," 16","  2","  0","  4","  0"," 20","  0","  3"," 33"," 91"," 10","  0","  0","  5"," 34","  8"," 83","  0","  3","  0","  0","  6","  0","  0","  0"," 84","  0","  3"," 14","  0","  0","  1"," 11","  0","  0"," 31","  0"," 39","  0","  8","  0","  9","  0"," 11","  1","  0","  0"," 13","  0"," 24","  0","  0","  8","  0","  0","  5","  0"," 41"," 82","  3","  2","  0"," 18","  3","  0","  2","  1","272","  0","334"," 83","  2","  0","  2","  1","  9","  1","  0","  2","  0","  0","  2","  0","  0","  0","  0","  0"," 38","104","  0","  0","  0","  0","  3","  0"
NA,NA,NA,"370","  0","  1"," 46"," 13"," 28","  3","  5","  5","  1"," 25","  3"," 13","  0"," 57"," 35","  0","  0","  3","  8","  5"," 44","  0","  2","  0","  0","  2","  2","  0","  0"," 30","  0","  7"," 10","  1","  0","  1","  5","  0","  1"," 40","  0"," 56","  0","  7","  0","  4","  0"," 16"," 14","  0","  0","  6","  0","  0","  0","  0"," 13","  0","  0"," 19","  0","155","  4","  5"," 25","  0"," 44","  1","  0","  0","  0","837","  0","335","187","  0","  0","  0","  1","  8","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1"," 25","102","  0","  0","  0","  0","  9","  0"
NA,NA,NA,"315","  0","  0"," 55"," 10"," 33","  3","  0","  9","  0"," 44","  0","  8","  1"," 33"," 46","  0","  0","  4"," 11"," 15"," 48","  0","  0","  0","  0","  7","  2","  1","  0"," 22","  0"," 23","  6","  0","  0","  1"," 11","  0","  6"," 49","  0"," 19","  0","  6","  0","  2","  0"," 13"," 14","  0","  0","  7","  1","  1","  1","  0"," 26","  0","  0","  7","  0","151","  6","  9"," 83","  0"," 79","  3","  2","  0","  0","878","  0","253","157","  0","  0","  1","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 45","108","  0","  0","  0","  0","  9","  0"
NA,NA,NA,"325","  2","  3"," 39"," 20"," 17","  3","  1"," 15","  0"," 25","  0"," 11","  0"," 38"," 47","  0","  0","  5","  8","  6"," 35","  0","  5","  0","  0","  1","  1","  1","  0"," 34","  0"," 38","  3","  0","  0","  2"," 10","  0","  8"," 38","  0"," 13","  0","  6","  0","  3","  0"," 18"," 23","  2","  0","  4","  0","  0","  0","  0"," 20","  0","  0","  6","  0","195"," 10","  6"," 20","  0"," 63","  3","  0","  0","  0","555","  0","231","184","  0","  0","  0","  1"," 21","  1","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0"," 49","100","  2","  0","  0","  0","  7","  0"
NA,NA,NA,"297","  0","  3"," 51"," 32"," 38","  6","  0","  4","  0"," 29"," 11","  5","  0"," 61"," 24","  1","  0","  7"," 13","  6"," 77","  1","  2","  0","  0","  1","  0","  0","  0"," 43","  0","  2"," 28","  0","  0","  3"," 19","  0","  2"," 44","  0"," 99","  0","  9","  0","  3","  0"," 24"," 15","  0","  0","  7","  0","  3","  0","  0"," 16","  0","  0","  7","  1"," 50"," 50"," 11","  8","  0"," 74","  3","  0","  0","  0","486","  0","331","136","  3","  0","  2","  0"," 16","  3","  0","  1","  1","  0","  2","  0","  0","  0","  0","  0"," 28"," 44","  0","  0","  0","  0","  9","  0"
NA,NA,NA,"300","  0","  0","  9"," 15"," 32","  7","  2","  2","  0"," 29","  0"," 22","  3"," 53"," 33","  0","  1","  4","  5","  9"," 13","  0","  2","  0","  0","  4","  0","  0","  0"," 92","  0"," 23"," 17","  1","  0","  2"," 22","  0"," 11"," 40","  0"," 79","  0","  8","  0","  3","  0"," 14"," 35","  1","  1"," 23","  0","  0","  0","  0"," 51","  0","  0"," 15","  0"," 52"," 12","  6"," 11","  0","108","  8","  0","  0","  0"," 79","  0","311","264","  0","  0","  1","  1"," 11","  3","  2","  1","  0","  1"," 19","  0","  0","  0","  0","  0"," 14"," 98","  0","  0","  0","  0"," 12","  0"
NA,NA,NA," 280","   1","   0","  37","  66","  38","   6","   0","   5","   0","  41","   1","   9","   3","  66","   7","   0","   0","   0","  16","  11","  60","   1","   2","   0","   0","   2","   2","   0","   0","  67","   0","   2","   7","   0","   1","   3","  21","   0","   3","  39","   0","  92","   0","  14","   0","   2","   0","   8","  11","   0","   0","   3","   0","   4","   0","   0","  26","   0","   0","   7","   0","  37","  58","   4","   1","   0","  61","   4","   2","   0","   0","1240","   0"," 471","  57","   3","   0","   0","   1","  19","   8","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","  29","  96","   0","   0","   0","   0","  15","   0"
NA,NA,NA," 305","   3","   1","  95","  16","  19","   4","   1","  12","   0","  33","   0","   7","   5","  53","  52","   0","   0","   1","  15","  12","  35","   0","   1","   0","   0","   7","   1","   0","   0","  51","   0","  41","  16","   0","   0","   0","  15","   0","   9","  44","   0","  34","   1","   6","   0","   1","   0","  13","  12","   2","   1","  44","   0","   0","   0","   0","  33","   0","   2","   2","   0"," 138","  13","   5","  36","   0"," 132","  15","   0","   0","   0","1275","   0"," 295"," 162","   1","   0","   0","   0","  17","   5","   3","   1","   0","   0","  16","   0","   0","   0","   0","   0","  32"," 128","   0","   0","   0","   0","  13","   0"
NA,NA,NA,"265","  1","  1"," 18"," 70"," 37","  5","  0","  6","  1"," 24","  0","  1","  0"," 74"," 19","  0","  0","  3"," 18","  6"," 78","  0","  2","  0","  0","  5","  1","  0","  0"," 27","  0","  2"," 11","  0","  4","  3"," 11","  0","  1"," 22","  0"," 54","  0"," 18","  0","  5","  0"," 14","  4","  0","  0","  5","  0"," 30","  0","  0","  5","  0","  1","  8","  0"," 11","122"," 11","  2","  0"," 43","  1","  0","  0","  0"," 70","  0","393"," 85","  0","  1","  0","  1","  7","  2","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0"," 18"," 74","  1","  0","  0","  0","  5","  1"
NA,NA,NA,"302","  0","  0"," 15"," 11"," 26"," 10","  0","  5","  0"," 25","  3","  4","  0"," 55"," 59","  0","  0","  0"," 18","  5"," 29","  0","  3","  0","  0","  4","  0","  0","  0"," 31","  0"," 97"," 15","  0","  0","  2"," 11","  0","  4"," 31","  0"," 33","  0","  8","  0","  5","  0"," 24"," 12","  2","  1","  6","  0","  1","  0","  0"," 20","  0","  2","  9","  0","128","  6"," 10","132","  0","100","  4","  0","  0","  0","583","  0","222","151","  0","  0","  0","  1"," 17","  4","  3","  1","  1","  0","  1","  0","  0","  0","  0","  0"," 64"," 58","  0","  0","  0","  0","  8","  0"
NA,NA,NA,"340","  0","  2"," 66"," 15"," 40","  6","  2"," 22","  0"," 23","  0","  5","  1"," 58"," 91","  0","  0","  3","  7"," 15"," 47","  1","  5","  0","  0","  8","  0","  0","  0"," 33","  2"," 77","  7","  1","  1","  0","  9","  0"," 14"," 50","  0"," 14","  1","  6","  0","  4","  0"," 25"," 19","  0","  0"," 15","  0","  0","  0","  0"," 32","  0","  1"," 11","  0","157","  3"," 10","  9","  0","101","  2","  3","  1","  0","217","  0","241","150","  1","  0","  3","  0"," 19","  1","  2","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 49","112","  0","  0","  0","  0"," 12","  0"
NA,NA,NA,"345","  0","  0","110"," 21"," 34","  9","  2","  9","  0"," 37","  1","  2","  4"," 85"," 53","  1","  0","  4"," 15"," 16"," 14","  0","  3","  0","  0","  8","  1","  0","  0"," 52","  0"," 82"," 12","  0","  0","  1"," 18","  1"," 10"," 29","  0"," 48","  0"," 10","  0","  1","  0"," 24"," 18","  0","  1"," 14","  0","  0","  0","  0"," 27","  0","  0"," 14","  0","250"," 10","  5"," 11","  0","205"," 11","  0","  0","  0","282","  0","255","165","  1","  0","  0","  1"," 47","  0","  4","  2","  0","  2","  6","  0","  0","  1","  0","  0"," 48"," 64","  4","  0","  0","  0"," 10","  0"
NA,NA,NA,"320","  0","  3"," 87"," 14"," 28","  3","  1"," 11","  0"," 28","  0","  0","  3"," 57"," 45","  0","  0","  5","  6"," 11"," 23","  1","  3","  0","  0","  6","  0","  1","  0"," 31","  0"," 91","  8","  0","  0","  3","  5","  0","  9"," 32","  0"," 24","  0","  6","  1","  2","  0"," 22"," 23","  1","  1"," 14","  0","  0","  0","  0"," 22","  0","  1","  6","  0","135"," 10"," 17","179","  0","156","  4","  0","  0","  0","771","  0","197","114","  1","  1","  2","  0"," 20","  1","  6","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 53"," 58","  0","  0","  1","  0","  5","  0"
NA,NA,NA,"420","  2","  2","298"," 60","  8","  8","  0"," 11","  0"," 28","  0","  5","  5","206"," 14","  0","  0","  1"," 25"," 17","  0","  0","  0","  0","  1","  5","  1","  0","  0"," 52","  0","  3"," 25","  0","  1","  1"," 33","  0","  1"," 94","  0"," 47","  0","  8","  0","  1","  0","  7","  0","  1","  0","  3","  0","  1","  0","  0","  4","  0","  0","  3","  0","  6"," 27"," 21","  0","  0","123","  2","  0","  0","  0","331","  0","302","195","  1","  2","  0","  2"," 20","  2","  0","  1","  0","  0"," 23","  0","  1","  0","  0","  1","  9"," 24","  1","  0","  0","  1","  7","  0"
NA,NA,NA,"260","  2","  2","  1"," 91"," 29","  7","  1","  5","  0"," 28","  1"," 14","  2","129","  6","  0","  0","  7"," 35","  8"," 14","  0","  1","  0","  0","  2","  0","  0","  0"," 39","  0","  1"," 14","  0","  0","  3","  8","  0","  1"," 49","  0"," 62","  0"," 14","  0","  5","  0"," 18","  4","  1","  0","  9","  0"," 37","  0","  0","  5","  0","  0","  6","  0","  9","116"," 19","  0","  0"," 67"," 13","  0","  0","  0","106","  0","345"," 67","  3","  2","  1","  0"," 32","  2","  0","  0","  8","  0","  2","  1","  0","  1","  0","  0"," 15"," 44","  4","  0","  0","  0"," 30","  0"
NA,NA,NA," 290","   0","   0","  73","  65","  35","   9","   0","   5","   0","  45","   2","   4","   5"," 102","   8","   0","   0","   7","  13","  11","  34","   0","   2","   0","   0","  10","   1","   1","   0","  58","   0","   1","  26","   1","   1","   5","  17","   0","   0","  46","   0","  93","   0","   8","   0","   7","   0","  13","   6","   1","   0","  10","   1","   6","   1","   1","  17","   0","   1","   6","   1","  31","  85","   5","   1","   0","  83","   1","   0","   0","   0","2409","   0"," 408","  99","   0","   3","   1","   1","  24","   2","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","  30","  88","   0","   0","   0","   0","  10","   0"
NA,NA,NA,"330","  0","  1","131"," 22"," 25"," 13","  0"," 27","  0"," 45","  2","  4","  6"," 48"," 46","  0","  0","  0"," 10"," 11"," 90","  0","  3","  0","  1","  7","  1","  0","  1"," 25","  1","107","  9","  0","  0","  2"," 17","  0"," 25"," 37","  0"," 13","  1"," 17","  0","  3","  0"," 32"," 25","  2","  0"," 21","  0","  1","  0","  0"," 22","  1","  1"," 12","  0","141","  4"," 13"," 27","  0","133","  5","  0","  0","  0","228","  0","196","124","  5","  1","  2","  0"," 40","  0","  2","  0","  0","  0","  5","  0","  0","  0","  1","  0"," 78"," 94","  2","  0","  0","  0","  8","  0"
NA,NA,NA," 250","   0","   2","  32","  39","  21","  11","   2","   4","   0","  30","   0","   6","   1","  71","  19","   0","   0","   8","  11","  11","  54","   0","   0","   0","   0","   6","   2","   1","   1","  44","   0","   4","  31","   0","   2","   1","  14","   0","   2","  47","   0","  57","   1","   8","   0","   5","   0","  13","  23","   1","   0","  16","   0","  16","   0","   0","  42","   1","   1","   4","   0","  48","  87","   8","   4","   1","  97","   6","   0","   0","  10","1047","   0"," 346"," 126","   0","   1","   2","   0","  40","   1","   0","   2","   0","   1","   4","   0","   0","   0","   0","   1","  26","  62","   1","   0","   0","   0","  14","   0"
NA,NA,NA," 350","   0","   1","  66","  21","  34","  14","   1","   4","   1","  27","   3","   9","   8","  65","  34","   0","   1","   4","  14","  14","   6","   1","   2","   0","   0","  15","   0","   0","   0","  42","   0","  55","  29","   0","   0","   1","  24","   0","   9","  51","   0","  39","   0","  10","   0","   2","   0","  19","  12","   0","   1","  65","   0","   0","   0","   0","  56","   0","   1","   7","   0"," 129","  12","  18","  11","   0"," 253","  11","   2","   0","   0","1769","   1"," 328"," 196","   4","   0","   2","   1","  47","   2","   3","   1","   0","   0","  18","   0","   0","   0","   1","   0","  31","  68","   4","   0","   0","   1","  27","   0"
NA,NA,NA,"292","  1","  4"," 33"," 46"," 36","  2","  1","  6","  1"," 36","  1"," 12","  1"," 64"," 21","  0","  0"," 11"," 28","  7"," 60","  2","  2","  0","  0","  5","  0","  0","  0"," 66","  1","  7"," 40","  0","  2","  3"," 23","  0","  3"," 68","  1","163","  1"," 10","  0","  3","  0"," 25"," 16","  0","  0"," 11","  0","  8","  0","  0"," 19","  0","  0","  7","  1"," 28"," 58"," 10","  3","  0","123","  3","  0","  0","  0","915","  0","339","113","  5","  1","  1","  0"," 11","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 39"," 62","  0","  0","  0","  0","  9","  0"
NA,NA,NA,"255","  0","  3"," 71"," 78"," 30","  9","  0","  5","  2"," 84","  2"," 14","  1"," 71"," 26","  0","  0"," 31","  5"," 18"," 18","  0","  3","  0","  0"," 11","  2","  0","  0"," 51","  0","  8"," 31","  0","  9","  3"," 65","  0","  5"," 78","  0"," 40","  0","  3","  0","  7","  0"," 19"," 22","  0","  0"," 25","  0","  1","  0","  0"," 24","  1","  0","  7","  0"," 24"," 60"," 21","  1","  0","186"," 27","  1","  0","  0","525","  0","331"," 78","  5","  1","  2","  1","178","  5","  0","  0"," 13","  2"," 97","  0","  0","  0","  0","  3"," 41"," 88","  2","  0","  0","  0"," 42","  0"
NA,NA,NA,"335","  0","  2","115"," 23"," 28"," 13","  0"," 20","  2"," 36","  0","  7","  5"," 45"," 80","  0","  0","  3","  8"," 11"," 59","  0","  2","  1","  0"," 16","  1","  0","  0"," 35","  0","103"," 13","  0","  0","  2"," 10","  0"," 26"," 33","  0"," 29","  2"," 15","  0","  3","  0"," 38"," 32","  1","  0"," 21","  0","  1","  1","  0"," 28","  1","  2","  7","  0","179","  6"," 14"," 27","  0","174"," 26","  2","  0","  0","912","  0","197"," 94","  1","  2","  1","  3"," 34","  0","  1","  0","  0","  3","  1","  0","  0","  0","  2","  0"," 63"," 96","  5","  0","  0","  0"," 28","  0"
NA,NA,NA,"360","  1","  0","103"," 21"," 29"," 22","  1"," 15","  2"," 24","  1","  7","  6"," 73"," 49","  0","  0","  7"," 16"," 21"," 10","  0","  1","  1","  0"," 17","  0","  0","  0"," 57","  0"," 36"," 32","  0","  0","  1"," 21","  0"," 12"," 43","  0"," 77","  1","  8","  0","  5","  1"," 18","  8","  0","  1"," 49","  2","  1","  0","  0"," 61","  0","  0"," 17","  2"," 63"," 21"," 11","  4","  0","171"," 30","  3","  0","  0","352","  0","302","244","  2","  1","  2","  0"," 38","  1","  1","  0","  0","  0"," 25","  1","  0","  0","  0","  1"," 21","126","  1","  0","  0","  2"," 12","  1"
