"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alismataceae","Amaranthaceae undif.","Ambrosia t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Bryonia","Campanulaceae","Cannabaceae undif.","Capparis","Cardueae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Ceratonia","Chrozophora","Cichorieae","Cistaceae","Convolvulaceae","Coris","Corylus","Cotinus coggygria","Crassulaceae","Cucumis","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Elaeagnus","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Geranium","Hypericum undif.","Indeterminable","Lamiaceae undif.","Lotus t.","Lythrum","Malva","Mercurialis","Myrtus","Olea t.","Ononis t.","Ostrya","Papaver t.","Paronychieae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Protist","Prunus t.","Punica granatum","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruta","Salix","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Symphoricarpos","Tamarix","Thalictrum","Theligonum","Trifolium t.","Unknown","Urtica t.","Viburnum","Vitis"
"1420",NA,NA," 262","   2","  40","   3"," 107","  16","  12","   0","  27","   1","   0","   3","   0","   3","   0","   3","  12","   0","   2","  11","   2","   1","   1","   0","   0","   1","   1","   1","   2","  31","  21","   0","   0","   0","  11","   1","   0","   2","   0","   0","   3","   2","   1","  30","   0","  24","   0","   0","   1","   6","   5","   1","  12","   4","  14","   1","  68","  22","   8","   2","   1","   0","  29","  14","   0","   0","   0","   0","   1","   0","   0","   6","   6","   0","  10","   1","   1","   1","   2","   2","   3","   1","   0","  14","   0","   4","   1","   2"
"1454",NA,NA," 270","   0","  25","   2","  57","   9","   7","   0","  30","   0","   0","   4","   0","   7","   0","   0","   6","   4","   0","   6","   1","   0","   0","   1","   0","   0","   1","   0","   3","  14","   8","   1","   2","   0","   1","   0","   0","   1","  16","   2","   1","   0","   0","  25","   0","  23","   2","   0","   0","  16","   1","   0","  10","   4","  11","   1","  35","  13","   0","   0","   0","   1","   6","  24","   0","   0","   1","   0","   0","   2","   0","   8","   6","   1","  13","   0","   0","   0","   0","   0","   2","   0","   0","   6","   1","   1","   0","   2"
"1571",NA,NA," 298","   0","  46","   0","  84","   4","  22","   0","  38","   0","   0","   0","   1","  10","   0","   2","  16","   0","   0","   4","   2","   0","   0","   0","   0","   0","   0","   0","   6","  19","   6","   0","   0","   0","   7","   0","   2","   0","  23","   0","   1","   0","   0","  21","   1","   7","   3","   0","   0","   2","   1","   2","   8","   2","   8","   0","  63","  40","   5","   0","   0","   0","   9","  24","   0","   0","   0","   0","   0","   2","   1","   2","   2","   1","   9","   0","   0","   0","   2","   0","   0","   0","   1","   4","   0","   2","   0","   7"
"1630",NA,NA," 313","   0","  11","   0","  34","   0","   2","   0","   7","   0","   0","   0","   0","   4","   0","   0","   4","   1","   1","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","   0","   9","   0","   1","   1","   0","   0","   0","   1","   0","   4","   1","   0","   0","  18","  10","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0"
"1715",NA,NA," 335","   0","  18","   0","  46","   5","   3","   0","  28","   0","   0","   1","   0","   7","   0","   0","   4","   3","   0","   7","   1","   1","   0","   0","   0","   0","   4","   0","   1","  16","   7","   0","   0","   3","   0","   1","   1","   0","  14","   0","   0","   0","   4","  24","   0","  20","   3","   1","   0","  13","   5","   4","  15","   1","  14","   1","  32","  14","   9","   0","   0","   0","   8","  11","   0","   0","   0","   1","   0","   2","   0","   3","   0","   0","   8","   0","   4","   7","   0","   1","   0","   0","   0","   1","   0","   2","   0","   1"
"1781",NA,NA," 352","   0","  18","   1","  31","   5","   7","   0","  21","   0","   0","   5","   0","   6","   1","   2","   5","   0","   0","   6","   0","   0","   0","   0","   1","   0","   1","   0","   8","  10","   8","   0","   0","   0","   0","   0","   0","   0","  13","   2","   5","   0","   0","  32","   0","  22","   1","   0","   1","  14","   2","   1","   7","   6","  10","   1","  35","  17","   1","   0","   0","   1","   8","  19","   1","   0","   3","   0","   0","   2","   1","   1","   2","   2","  13","   0","   2","   0","   3","   0","   2","   2","   0","   9","   0","   2","   0","   0"
"1913",NA,NA," 386","   0","  18","   0","   7","   2","   8","   1","  50","   0","   1","   0","   0","   2","   1","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","   0","   2","   3","   1","   2","   0","   0","   6","   0","   0","   0","   0","   7","   1","   0","   0","   0","   8","   0","  17","   3","   0","   0","   6","   3","   0","   7","   2","   2","   0","  30","   6","   0","   1","   0","   0","   2","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   3"
"2235",NA,NA," 470","   0","  22","   0","  46","   6","   7","   0","  15","   0","   0","   2","   0","  11","   2","   1","   4","   2","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   4","  16","  12","   0","   0","   0","   1","   0","   0","   0","  15","   3","   1","   4","   0","  24","   0","  11","   4","   0","   0","  12","   2","   1","   9","   0","   2","   0","  17","  15","   2","   2","   0","   0","   5","   8","   2","   3","   2","   0","   0","   2","   0","   2","   1","   2","   9","   0","   2","   0","   1","   0","   3","   0","   0","   1","   0","   0","   0","   0"
