"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Alchemilla t.","Algae","Algae (type 146, HdV)","Algae (type 170, HdV)","Algae (type 601, HdV)","Algae? (type 225, HdV)","Algae? (type 229, HdV)","Alismataceae","Alnus","Alona rustica (type 72, HdV)","Amaranthaceae undif.","Animalia (type 532, HdV)","Apiaceae undif.","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Bactrodesmium-type (type 502, HdV)","Betula","Betulaceae undif.","Boraginaceae undif.","Brachysporium (type HdV-359)","Brassicaceae","Bryophyta (type 340, HdV)","Butomus","Buxus","Callitriche","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Caryospora","Castanea","Cedrus","Centaurea","Ceratophyllum","Chamaerops","Cichorieae","Cistaceae","Clasterosporium caricinum (type 126, HdV)","Closterium idiosporum-type (type 60, HdV)","Coniochaeta ligniaria (type 172, HdV)","Copepoda (type 179, HdV)","Cornus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Diporotheca rhizophila (type 143, HdV)","Elatine","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern-Equisetophyta","Filipendula t.","Frangula","Fraxinus","Fungi (type 11, HdV)","Fungi (type 120, HdV)","Fungi (type 123, HdV)","Fungi (type 145, HdV)","Fungi (type 17, HdV)","Fungi (type 174, HdV)","Fungi (type 20, HdV)","Fungi (type 204, HdV)","Fungi (type 312, HdV)","Fungi (type 324, HdV)","Fungi (type 350, HdV)","Fungi (type 361, HdV)","Fungi (type 364, HdV)","Fungi (type 367, HdV)","Fungi (type 411, HdV)","Fungi (type 55, HdV)","Fungi (type 83, HdV)","Fungi (type 8B, HdV)","Fungi (type 92, HdV)","Fungi (type 970, HdV)","Fungi (type 972, HdV)","Galium t.","Gentiana t.","Geranium","Glomus cf. G. fasciculatum (type 207, HdV)","Glyptotendipes pallens group (type 509, HdV)","Hedera","Hydrocharitaceae","Hypericum undif.","Indeterminable","IsoÃ«tes","Jasminum","Juglans","Juncaceae","Lamiaceae undif.","Ligustrum","Linum t.","Lycopodium spike","Lythrum","Malva undif.","Monoletes","Morella","Myriophyllum undif.","Neurospora crassa (type 55C, HdV)","Nymphaea","Olea t.","Orchidaceae","Papaver t.","Parnassia","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Pleospora sp. (type 3B, HdV)","Poaceae","Poaceae (Cerealia-type)","Podospora sp./Zopfiella sp. (type 466, HdV)","Polygonum t.","Populus","Potamogeton","Primulaceae undif.","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhabdocoela (type 353, HdV)","Rhamnus","Rosaceae undif.","Rumex t.","Ruta","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Sordariaceae? (type 205, HdV)","Sporormiella (type 113, HdV)","Syringa","Tamarix","Tetraploa aristata (type 89, HdV)","Thalictrum","Thymelaeaceae undif.","Tilia","Trapa natans","Trichocladium opacum (type 10A, HdV)","Triletes","Typha","Ulmus t.","Unknown (type 119, HdV)","Unknown (type 128, HdV)","Unknown (type 150, HdV)","Unknown (type 159, HdV)","Unknown (type 181, HdV)","Unknown (type 222, HdV)","Unknown (type 492, HdV)","Unknown (type 519, HdV)","Unknown (type 69, HdV)","Urtica t.","Ustilago","Ustulina deusta (type 44, HdV)","Utricularia","Valerianaceae undif.","Viburnum","Vitex","Vitis","Ziziphus/Paliurus","cf. Richonia variospora (type 140, HdV)","charcoal"
" -41",NA,NA,"  1"," 4.993","7","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","17","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","131","0","0","0","0","0","0","0","0","0","0","26","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","54","0","2","0","10","0","0","0","0","0","0","0","0","4","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -26",NA,NA,"  3"," 6.634","7","0","189","0","0","0","18.9","0","1","2","0","29","28.35","4","0","4","0","7","0","0","1","0","0","5","0","0","0","0","0","0","0","1","0","0","0","3","0","0","81","0","0","0","0","0","3","0","0","2","0","32","18.9","0","0","2","0","0","0","0","0","1","0","0","18.9","0","0","0","0","0","0","0","0","0","1653.75","0","0","0","47.25","0","9.45","0","0","75.6","3","0","0","245.7","0","0","0","0","134.85","0","0","1","0","0","0","0","0","2","0","0","0","0","0","1","4","0","0","0","0","0","0","3","0","74","0","11","0","1","5","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","9.45","0","0","0","0","66.15","4","36","1","28.35","0","37.8","0","0","0","18.9","0","0","0","0","0","0","0","0","0","0","0","9.45","0"
"  -4",NA,NA,"  6"," 7.226","6","0","103.79999","0","0","0","0","0","0","0","0","34","11.53333","6","0","5","0","8","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","72","0","0","0","69.2","0","6","0","0","0","0","83","5.766667","0","0","0","0","0","0","0","0","0","0","0","17.3","0","28.83333","0","0","0","0","0","0","0","386.3667","0","0","0","0","0","0","0","0","11.53333","7","0","0","69.2","0","0","0","0","11.766667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","6","0","70","0","2","0","15","0","0","0","0","0","0","0","0","7","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","40.36666","7","42","1","11.53333","5.766667","0","0","0","0","17.3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  18",NA,NA,"  9"," 7.882","8","0","413","0","0","0","0","0","4","0","0","41","0","4","0","6","0","19","0","1","4","0","0","4","0","0","0","0","0","0","0","2","0","0","0","1","0","0","101","0","0","0","309.75","0","0","0","0","4","0","50","0","0","0","1","0","0","0","0","0","0","0","0","0","0","206.5","0","0","0","0","0","103.25","0","5059.25","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","335.75","0","0","0","0","2","0","0","0","4","0","0","0","0","0","1","1","1","0","0","0","0","0","14","0","112","0","0","0","7","0","0","0","0","0","0","0","0","5","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","258.125","3","68","0","51.625","0","154.875","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  55",NA,NA," 14"," 7.211","4","0","225","0","0","0","0","0","8","0","0","18","0","2","0","6","0","6","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","46","1","0","0","90","0","0","0","0","2","1","77","0","0","0","1","0","0","0","0","0","0","11","0","0","0","135","0","0","0","0","0","45","0","4455","0","0","0","45","0","0","0","0","0","4","0","0","0","0","0","1","0","105","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","2","1","0","2","0","0","0","4","1","24","0","0","45","14","1","0","0","0","0","0","0","0","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","90","1","36","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  77",NA,NA," 17"," 7.387","12","0","120.57143","0","0","0","0","0","3","0","0","10","0","2","0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","22","0","0","0","30.14286","0","0","0","0","2","0","126","0","0","0","2","0","0","0","0","0","0","1","0","60.28571","0","0","0","0","0","0","0","0","0","2803.286","0","0","0","90.42857","0","0","0","0","0","3","0","0","60.28571","0","0","0","0","122.5714","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","14","1","59","0","0","0","4","1","0","0","0","0","0","0","0","9","4","0","3","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","49","0","30.14286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60.28571","0"
" 106",NA,NA," 21"," 4.442","18","0","1102.19181","0","0","0","0","0","0","0","0","2","0","0","0","1","0","7","0","0","0","0","18.36986","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","13","0","0","73.47945","0","0","0","0","0","12","0","97","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.36986","0","1745.137","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","53.73973","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","2","0","105","0","2","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","30","0","0","0","73.47945","0","0","0","18.36986","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 128",NA,NA," 24"," 7.886","3","0","368","0","0","0","0","0","0","0","0","3","0","0","0","7","0","16","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","2","0","3","0","0","23","0","0","0","0","0","0","0","0","2","0","127","0","0","0","2","0","0","0","0","0","0","0","0","0","0","69","0","0","0","0","0","23","0","2760","0","0","0","92","0","0","0","0","23","4","0","0","23","0","0","0","0","7","0","0","3","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","0","0","2","1","43","0","0","0","20","0","0","0","0","0","0","0","0","3","0","1","0","2","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","46","7","53","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","23","0"
" 150",NA,NA," 27"," 7.814","2","0","464.75","0","0","0","0","0","22","0","0","6","0","1","0","4","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","2","0","0","24","0","0","0","0","0","0","0","0","0","0","95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.5","0","2873","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","5","0","42","0","0","0","16","0","0","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.25","0"
" 216",NA,NA," 36"," 7.904","5","0","89","0","0","0","0","0","18","1","0","5","0","0","0","1","0","23","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","0","1","0","0","55","0","0","0","1","0","1","2","0","0","0","64","0","0","0","1","0","0","0","0","0","0","1","0","0","14","0","0","0","0","0","0","0","0","1","0","0","2","56","0","1","0","0","0","1","0","0","0","0","0","0","0","28","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","34","0","0","0","25","0","0","0","0","0","0","0","0","3","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","3","74","0","5","8","0","0","1","0","3","0","0","0","0","1","1","0","0","0","0","0","0","0"
