"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acalypha","Acanthus","Adansonia digitata","Aerva type","Alchornea","Amaranthaceae undif.","Ambrosia t.","Ammannia t.","Anthostema","Antidesma t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Bridelia","Caesalpinioideae","Canthium","Caryophyllaceae undif.","Cassia","Ceiba","Celastraceae undif.","Celtis","Centaurea","Cichorieae","Cissus t.","Cleome","Combretaceae","Commelina","Commiphora","Crossopteryx","Cyperaceae","Detarium","Dichrostachys","Euphorbia t.","Faboideae Undif.","Fern","Ficus","Galium t.","Garcinia","Gomphrena t.","Hygrophila","Indeterminable","Ixora","Kohautia","Lamiaceae undif.","Lannea","Lophira","Macaranga","Maerua","Maytenus","Mitracarpus","Mitragyna/Hallea","Monoletes","Myriophyllum alterniflorum t.","Nymphaea","Ocimum","Onagraceae","Petaloid monocot","Phoenix t.","Plantago","Poaceae","Polygala","Polygonum t.","Potamogeton","Resedaceae undiff.","Rhizophora","Rubiaceae undif.","Rumex t.","Salix","Salvadora","Sapindaceae undif.","Sapotaceae undif.","Searsia","Spergularia t.","Spermacoce","Spores","Syzygium t.","Tamarix","Treculia","Tribulus","Triletes","Typha","Uapaca","Urtica t.","Vernonieae","Ximenia","Zanthoxylum"
"1121.1","  12.0","   3.0","   0.0","   1.0","   0.0","   0.0","   0.0","  30.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","  11.0","   4.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0"," 226.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","  25.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   6.0","   1.0","  25.0","   0.0","   1.0","   0.0","   0.0","   0.0","1680.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   6.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0"," 782.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"1961.1","  62.0","   1.0","   0.0","   0.0","   1.0","   4.0","   0.0","  12.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   7.0","   0.0","   2.0","   0.0"," 114.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   1.0","   0.0","   1.0","   1.0","   0.0","   0.0","  13.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 551.0","   0.0","   0.0","  43.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0"," 459.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"2347.5","  85.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","  25.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   2.0","   1.0","   1.0","   0.0","  11.0","   0.0","   0.0","   0.0","   2.0","   0.0"," 322.0","   0.0","   0.0","   0.0","   0.0","  49.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0"," 102.0","   0.0","   0.0","   1.0","   1.0","   0.0"
"2943.339"," 109.000","   3.000","   0.000","   0.000","   0.000","   5.000","   3.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","  14.000","   0.000","   0.000","   0.000","  36.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   9.000","   0.000","   0.000","   3.000","   0.000","   0.000"," 247.000","   0.000","   0.000","   0.000","   1.000","  59.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   2.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000"," 109.000","   0.000","   0.000","   0.000","   0.000","   1.000"
"4853.557"," 159.000","   1.000","   0.000","   0.000","   0.000","   9.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","  73.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   2.000","   0.000","  19.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 386.000","   1.000","   1.000","  16.000","   0.000","  25.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 643.000","   0.000","   0.000","   1.000","   0.000","   0.000"
"5846.87"," 185.00","   0.00","   0.00","   0.00","   0.00","   2.00","   3.00","   8.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","  17.00","   1.00","   0.00","   0.00","  19.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","  11.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 109.00","   0.00","   0.00","   0.00","   0.00"," 121.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","  40.00","   0.00","   0.00","   1.00","   0.00","   0.00"
"6763.774"," 209.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","  33.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","  28.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 112.000","   0.000","   0.000","   0.000","   0.000"," 487.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   4.000","   0.000","   0.000","   1.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"  0","235","  0","  0","  0","  0","  1","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  1","  0","  0","  6","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0","  0"," 57","  0","  0","  0","  0","800","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  2","  0","  0","  0","  1"," 14","  0","  0","  0","  0","  0"
"  0","262","  0","  0","  0","  0","  3","  1","  6","  1","  0","  0","  0","  0","  1","  6","  0","  0","  0","  0","  1","  0","  1","  0","  7","  0","  0","  0","  0","  9","  0","  0","  0"," 41","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  8","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  2","  0"," 10","  0","  0","  3","  0","  0","235","  0","  0","  1","  0","144","  0","  0","  0","  1","  0","  0","  0","  1","  1","  1","  0","  0","  0","  0","  0","162","  0","  0","  0","  0","  0"
"  0","284","  0","  1","  0","  0","  1","  2","  2","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  8","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  2","  0","  0","  0","  0","  1","  0","  0"," 55","  0","  0","  0","  0","567","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  6","  0","  0","  0","  0"," 15","  0","  0","  1","  0","  0"
"  0","309","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 14","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 38","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  1","  0","  0","  1","  0","  0","  1","  0"," 42","  0","  0","  0","  0","603","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  5","  1","  0","  0","  1"," 12","  1","  0","  0","  0","  0"
